,Close_LIBOREUR,Close_BrentCrude,Close_bergenTemperatureDaily,Close_US2YearTreasuryNotes,Close_NorwayInterestRates3months,Date,Close_AluminumMWUSTransactionPr
0,0.01357,112.47,3.4,0.271,1.49,2013-01-01,0.1075
1,0.01357,112.47,3.7,0.271,1.49,2013-01-02,0.1075
2,0.01357,112.14,7.5,0.283,1.45,2013-01-03,0.1075
3,0.01357,111.31,7.8,0.275,1.48,2013-01-04,0.1075
2092,0.01357,111.31,7.1,0.275,1.48,2013-01-05,0.1075
2093,0.01357,111.31,6.4,0.275,1.48,2013-01-06,0.1075
4,0.01357,111.4,5.9,0.284,1.53,2013-01-07,0.1075
5,0.01357,111.94,3.5,0.256,1.57,2013-01-08,0.1075
6,0.01357,111.76,4.1,0.248,1.57,2013-01-09,0.1075
7,0.01357,111.89,-1.0,0.256,1.62,2013-01-10,0.1075
8,0.01357,110.64,-3.6,0.257,1.62,2013-01-11,0.1075
2094,0.01357,110.64,-5.2,0.257,1.62,2013-01-12,0.1075
2095,0.01357,110.64,-4.6,0.257,1.62,2013-01-13,0.1075
9,0.01357,111.88,-1.7,0.257,1.61,2013-01-14,0.11
10,0.01357,110.3,-6.0,0.261,1.59,2013-01-15,0.11
11,0.01357,110.61,-2.7,0.253,1.58,2013-01-16,0.1125
12,0.01357,111.1,-4.1,0.274,1.58,2013-01-17,0.1125
13,0.01357,111.89,-5.3,0.262,1.59,2013-01-18,0.115
2096,0.01357,111.89,-6.3,0.262,1.59,2013-01-19,0.115
2097,0.01357,111.89,-5.6,0.262,1.59,2013-01-20,0.115
14,0.01357,111.71,-4.8,0.262,1.63,2013-01-21,0.115
15,0.01357,112.42,-7.0,0.255,1.62,2013-01-22,0.111
16,0.01357,112.8,-4.6,0.247,1.63,2013-01-23,0.111
17,0.01357,113.28,-1.8,0.251,1.64,2013-01-24,0.1125
18,0.01357,113.28,0.2,0.288,1.59,2013-01-25,0.1125
2098,0.01357,113.28,1.8,0.288,1.59,2013-01-26,0.1125
2099,0.01357,113.28,3.7,0.288,1.59,2013-01-27,0.1125
19,0.01357,113.48,4.4,0.285,1.57,2013-01-28,0.1125
20,0.01357,114.36,5.6,0.281,1.62,2013-01-29,0.1138
21,0.01643,114.9,5.5,0.274,1.62,2013-01-30,0.1138
22,0.015,115.55,2.1,0.277,1.62,2013-01-31,0.1138
23,0.01714,116.76,-0.9,0.285,1.63,2013-02-01,0.1125
2100,0.01714,116.76,1.0,0.285,1.63,2013-02-02,0.1125
2101,0.01714,116.76,1.4,0.285,1.63,2013-02-03,0.1125
24,0.01714,115.6,2.6,0.258,1.63,2013-02-04,0.1125
25,0.01714,116.52,2.0,0.265,1.63,2013-02-05,0.1125
26,0.01714,116.73,0.9,0.254,1.6,2013-02-06,0.1125
27,0.01714,117.24,-2.8,0.266,1.59,2013-02-07,0.113
28,0.01714,118.9,-1.9,0.258,1.6,2013-02-08,0.113
2102,0.01714,118.9,-1.1,0.258,1.6,2013-02-09,0.113
2103,0.01714,118.9,-3.2,0.258,1.6,2013-02-10,0.113
29,0.01714,118.13,-4.2,0.254,1.62,2013-02-11,0.113
30,0.01714,118.66,-4.0,0.27,1.67,2013-02-12,0.1165
31,0.01714,118.72,-0.8,0.282,1.63,2013-02-13,0.1165
32,0.01714,118.0,2.4,0.278,1.6,2013-02-14,0.1165
33,0.01714,117.66,2.6,0.278,1.6,2013-02-15,0.1165
2104,0.01714,117.66,2.4,0.278,1.6,2013-02-16,0.1165
2105,0.01714,117.66,2.6,0.278,1.6,2013-02-17,0.1165
34,0.01714,117.38,3.9,0.278,1.66,2013-02-18,0.1165
35,0.01714,117.52,2.6,0.282,1.65,2013-02-19,0.1135
36,0.01714,115.6,0.3,0.274,1.63,2013-02-20,0.1135
37,0.01714,113.53,-1.0,0.262,1.64,2013-02-21,0.1135
38,0.01714,114.1,-0.2,0.258,1.61,2013-02-22,0.1135
2106,0.01714,114.1,1.7,0.258,1.61,2013-02-23,0.1135
2107,0.01714,114.1,1.6,0.258,1.61,2013-02-24,0.1135
39,0.01714,114.44,0.7,0.25,1.61,2013-02-25,0.1135
40,0.01714,112.71,0.7,0.25,1.6,2013-02-26,0.1135
41,0.01714,111.87,2.3,0.25,1.6,2013-02-27,0.1135
42,0.01857,111.38,4.6,0.249,1.62,2013-02-28,0.1135
43,0.01857,110.4,2.5,0.245,1.63,2013-03-01,0.1135
2108,0.01857,110.4,3.7,0.245,1.63,2013-03-02,0.1135
2109,0.01857,110.4,3.2,0.245,1.63,2013-03-03,0.1135
44,0.01857,110.09,3.6,0.245,1.66,2013-03-04,0.1135
45,0.01857,111.61,2.6,0.245,1.68,2013-03-05,0.1135
46,0.01786,111.06,3.7,0.261,1.62,2013-03-06,0.11675
47,0.01786,111.15,2.6,0.257,1.62,2013-03-07,0.11675
48,0.01857,110.85,1.1,0.261,1.64,2013-03-08,0.11675
2110,0.01857,110.85,-0.6,0.261,1.64,2013-03-09,0.11675
2111,0.01857,110.85,-2.1,0.261,1.64,2013-03-10,0.11675
49,0.01857,110.22,-2.3,0.261,1.57,2013-03-11,0.11675
50,0.01857,109.65,-0.1,0.261,1.56,2013-03-12,0.11675
51,0.01857,108.52,-2.0,0.269,1.54,2013-03-13,0.11675
52,0.01857,109.42,-0.6,0.273,1.47,2013-03-14,0.11675
53,0.01857,109.82,1.7,0.265,1.5,2013-03-15,0.1145
2112,0.01857,109.82,4.6,0.265,1.5,2013-03-16,0.1145
2113,0.01857,109.82,5.9,0.265,1.5,2013-03-17,0.1145
54,0.01857,109.51,2.5,0.253,1.54,2013-03-18,0.1145
55,0.01929,107.45,-0.8,0.245,1.52,2013-03-19,0.1145
56,0.01929,108.72,-1.2,0.253,1.59,2013-03-20,0.1175
57,0.02,107.47,0.2,0.257,1.6,2013-03-21,0.1175
58,0.02071,107.66,-1.6,0.261,1.59,2013-03-22,0.1175
2114,0.02071,107.66,-1.6,0.261,1.59,2013-03-23,0.1175
2115,0.02071,107.66,-0.2,0.261,1.59,2013-03-24,0.1175
59,0.01929,108.17,0.3,0.257,1.54,2013-03-25,0.1145
60,0.02214,109.36,0.1,0.254,1.62,2013-03-26,0.1145
61,0.02214,109.69,0.2,0.246,1.63,2013-03-27,0.1145
62,0.02643,110.02,0.9,0.246,1.63,2013-03-28,0.1145
63,0.02643,110.02,1.3,0.246,1.63,2013-03-29,0.1145
2116,0.02643,110.02,1.0,0.246,1.63,2013-03-30,0.1145
2117,0.02643,110.02,0.8,0.246,1.63,2013-03-31,0.1145
64,0.02643,111.08,3.0,0.242,1.63,2013-04-01,0.116
65,0.02357,110.69,4.0,0.242,1.61,2013-04-02,0.116
66,0.02357,107.11,3.7,0.222,1.58,2013-04-03,0.1145
67,0.02357,106.34,4.0,0.23,1.67,2013-04-04,0.1145
68,0.02357,104.12,2.9,0.23,1.68,2013-04-05,0.1145
2118,0.02357,104.12,1.6,0.23,1.68,2013-04-06,0.1145
2119,0.02357,104.12,0.8,0.23,1.68,2013-04-07,0.1145
69,0.02357,104.66,1.6,0.23,1.67,2013-04-08,0.1145
70,0.02357,106.23,2.9,0.238,1.61,2013-04-09,0.1145
71,0.02357,105.79,2.8,0.234,1.65,2013-04-10,0.1145
72,0.02357,104.27,3.8,0.23,1.66,2013-04-11,0.1145
73,0.02357,103.11,6.3,0.23,1.67,2013-04-12,0.1145
2120,0.02357,103.11,4.8,0.23,1.67,2013-04-13,0.1145
2121,0.02357,103.11,8.1,0.23,1.67,2013-04-14,0.1145
74,0.02357,100.39,9.0,0.222,1.66,2013-04-15,0.1145
75,0.02357,99.91,9.0,0.23,1.63,2013-04-16,0.119
76,0.02357,97.69,7.2,0.23,1.65,2013-04-17,0.119
77,0.02357,99.13,7.4,0.23,1.66,2013-04-18,0.119
78,0.02357,99.65,5.6,0.234,1.69,2013-04-19,0.115
2122,0.02357,99.65,6.3,0.234,1.69,2013-04-20,0.115
2123,0.02357,99.65,8.2,0.234,1.69,2013-04-21,0.115
79,0.02357,100.39,5.8,0.226,1.62,2013-04-22,0.115
80,0.02357,100.31,7.1,0.234,1.58,2013-04-23,0.115
81,0.02357,101.73,6.2,0.23,1.58,2013-04-24,0.115
82,0.02357,103.41,5.2,0.242,1.58,2013-04-25,0.115
83,0.02357,103.16,4.3,0.223,1.57,2013-04-26,0.115
2124,0.02357,103.16,5.3,0.223,1.57,2013-04-27,0.115
2125,0.02357,103.16,4.4,0.223,1.57,2013-04-28,0.115
84,0.02357,103.81,5.0,0.215,1.53,2013-04-29,0.115
85,0.02786,102.37,5.2,0.215,1.47,2013-04-30,0.115
86,0.02786,99.95,4.2,0.208,1.47,2013-05-01,0.1175
87,0.02357,102.85,4.2,0.2,1.55,2013-05-02,0.1175
88,0.02357,104.19,3.5,0.224,1.52,2013-05-03,0.1175
2126,0.02357,104.19,5.2,0.224,1.52,2013-05-04,0.1175
2127,0.02357,104.19,8.4,0.224,1.52,2013-05-05,0.1175
89,0.02357,105.46,10.6,0.224,1.49,2013-05-06,0.1175
90,0.02357,104.4,9.8,0.224,1.55,2013-05-07,0.1175
91,0.02357,104.34,12.2,0.236,1.54,2013-05-08,0.1175
92,0.02357,104.47,10.2,0.232,1.54,2013-05-09,0.115
93,0.02357,103.91,9.1,0.253,1.55,2013-05-10,0.1175
2128,0.02357,103.91,8.1,0.253,1.55,2013-05-11,0.1175
2129,0.02357,103.91,8.5,0.253,1.55,2013-05-12,0.1175
94,0.02357,102.82,7.1,0.249,1.56,2013-05-13,0.12
95,0.02357,102.6,8.3,0.257,1.51,2013-05-14,0.12
96,0.02357,103.68,9.4,0.249,1.48,2013-05-15,0.12
97,0.02357,103.8,10.9,0.241,1.45,2013-05-16,0.12
98,0.02357,104.64,14.0,0.254,1.45,2013-05-17,0.12
