Date,Close
1/1/2014,108.72
1/1/2015,179.57
1/1/2016,350.59
1/1/2017,437.45
1/1/2018,613.46
1/1/2019,580.7
1/1/2020,580.7
1/1/2021,580.7
1/10/2013,
1/10/2014,104.54
1/10/2015,192.51
1/10/2016,356.23
1/10/2017,454.97
1/10/2018,595.69
1/10/2019,580.7
1/10/2020,580.7
1/10/2021,580.7
1/11/2013,
1/11/2014,105.35
1/11/2015,192.03
1/11/2016,356.44
1/11/2017,456.77
1/11/2018,593.6
1/11/2019,580.7
1/11/2020,580.7
1/11/2021,580.7
1/12/2013,
1/12/2014,105.15
1/12/2015,192.17
1/12/2016,356.26
1/12/2017,450.56
1/12/2018,607.34
1/12/2019,580.7
1/12/2020,580.7
1/12/2021,580.7
1/13/2013,
1/13/2014,103.55
1/13/2015,193.37
1/13/2016,355.58
1/13/2017,452.35
1/13/2018,600.6
1/13/2019,580.7
1/13/2020,580.7
1/13/2021,580.7
1/14/2013,
1/14/2014,102.35
1/14/2015,189.02
1/14/2016,350.54
1/14/2017,455.26
1/14/2018,600.39
1/14/2019,580.7
1/14/2020,580.7
1/14/2021,580.7
1/15/2013,
1/15/2014,103.03
1/15/2015,191.64
1/15/2016,350.09
1/15/2017,449.73
1/15/2018,610.0
1/15/2019,580.7
1/15/2020,580.7
1/15/2021,580.7
1/16/2013,
1/16/2014,101.05
1/16/2015,194.2
1/16/2016,336.27
1/16/2017,450.42
1/16/2018,615.68
1/16/2019,580.7
1/16/2020,580.7
1/16/2021,580.7
1/17/2013,
1/17/2014,99.5
1/17/2015,193.82
1/17/2016,339.22
1/17/2017,452.79
1/17/2018,618.86
1/17/2019,580.7
1/17/2020,580.7
1/18/2013,
1/18/2014,99.82
1/18/2015,195.29
1/18/2016,328.36
1/18/2017,449.44
1/18/2018,624.29
1/18/2019,580.7
1/18/2020,580.7
1/19/2013,
1/19/2014,98.82
1/19/2015,199.35
1/19/2016,328.1
1/19/2017,448.53
1/19/2018,621.55
1/19/2019,580.7
1/19/2020,580.7
1/2/2013,
1/2/2014,109.87
1/2/2015,183.56
1/2/2016,350.56
1/2/2017,441.56
1/2/2018,573.77
1/2/2019,580.7
1/2/2020,580.7
1/2/2021,580.7
1/20/2013,
1/20/2014,100.49
1/20/2015,199.66
1/20/2016,335.72
1/20/2017,452.86
1/20/2018,616.89
1/20/2019,580.7
1/20/2020,580.7
1/21/2013,
1/21/2014,100.85
1/21/2015,202.17
1/21/2016,335.42
1/21/2017,452.34
1/21/2018,615.87
1/21/2019,580.7
1/21/2020,580.7
1/22/2013,
1/22/2014,100.74
1/22/2015,201.64
1/22/2016,331.97
1/22/2017,453.27
1/22/2018,617.97
1/22/2019,580.7
1/22/2020,580.7
1/23/2013,
1/23/2014,100.62
1/23/2015,201.26
1/23/2016,329.71
1/23/2017,459.32
1/23/2018,620.15
1/23/2019,580.7
1/23/2020,580.7
1/24/2013,
1/24/2014,100.46
1/24/2015,202.87
1/24/2016,331.98
1/24/2017,464.39
1/24/2018,605.06
1/24/2019,580.7
1/24/2020,580.7
1/25/2013,
1/25/2014,101.87
1/25/2015,201.41
1/25/2016,342.29
1/25/2017,465.85
1/25/2018,612.33
1/25/2019,580.7
1/25/2020,580.7
1/26/2013,
1/26/2014,100.95
1/26/2015,198.73
1/26/2016,344.91
1/26/2017,465.87
1/26/2018,617.31
1/26/2019,580.7
1/26/2020,580.7
1/27/2013,
1/27/2014,99.23
1/27/2015,200.59
1/27/2016,344.43
1/27/2017,463.26
1/27/2018,621.62
1/27/2019,580.7
1/27/2020,580.7
1/28/2013,
1/28/2014,100.76
1/28/2015,200.61
1/28/2016,340.56
1/28/2017,469.48
1/28/2018,623.01
1/28/2019,580.7
1/28/2020,580.7
1/29/2013,
1/29/2014,101.43
1/29/2015,199.67
1/29/2016,341.75
1/29/2017,468.21
1/29/2018,624.32
1/29/2019,580.7
1/29/2020,580.7
1/3/2013,
1/3/2014,110.06
1/3/2015,184.69
1/3/2016,349.78
1/3/2017,445.24
1/3/2018,581.49
1/3/2019,580.7
1/3/2020,580.7
1/3/2021,580.7
1/30/2013,
1/30/2014,101.71
1/30/2015,200.61
1/30/2016,337.13
1/30/2017,465.28
1/30/2018,614.08
1/30/2019,580.7
1/30/2020,580.7
1/31/2013,
1/31/2014,98.55
1/31/2015,199.44
1/31/2016,334.23
1/31/2017,471.67
1/31/2018,620.73
1/31/2019,580.7
1/31/2020,580.7
1/4/2013,
1/4/2014,109.45
1/4/2015,186.2
1/4/2016,354.48
1/4/2017,456.28
1/4/2018,573.73
1/4/2019,580.7
1/4/2020,580.7
1/4/2021,580.7
1/5/2013,
1/5/2014,107.1
1/5/2015,186.26
1/5/2016,352.92
1/5/2017,455.22
