Date,Close
1/1/2014,
1/1/2015,83.57
1/1/2016,89.3
1/1/2017,77.99
1/1/2018,86.9
1/1/2019,67.25
1/1/2020,89.62
1/1/2021,75.56
1/10/2013,
1/10/2014,
1/10/2015,84.45
1/10/2016,82.56
1/10/2017,80.39
1/10/2018,88.79
1/10/2019,71.72
1/10/2020,93.07
1/10/2021,81.07
1/11/2013,
1/11/2014,
1/11/2015,84.45
1/11/2016,82.56
1/11/2017,79.93
1/11/2018,88.74
1/11/2019,69.74
1/11/2020,93.39
1/11/2021,81.07
1/12/2013,
1/12/2014,
1/12/2015,84.45
1/12/2016,81.64
1/12/2017,80.47
1/12/2018,88.21
1/12/2019,68.81
1/12/2020,93.39
1/12/2021,80.32
1/13/2013,
1/13/2014,
1/13/2015,84.96
1/13/2016,80.44
1/13/2017,81.33
1/13/2018,89.58
1/13/2019,68.81
1/13/2020,93.39
1/13/2021,81.35
1/14/2013,
1/14/2014,
1/14/2015,86.09
1/14/2016,81.52
1/14/2017,82.35
1/14/2018,89.58
1/14/2019,68.81
1/14/2020,93.11
1/14/2021,80.67
1/15/2013,
1/15/2014,
1/15/2015,84.04
1/15/2016,79.56
1/15/2017,82.35
1/15/2018,89.58
1/15/2019,67.74
1/15/2020,92.46
1/15/2021,80.03
1/16/2013,
1/16/2014,
1/16/2015,83.31
1/16/2016,77.87
1/16/2017,82.35
1/16/2018,90.27
1/16/2019,67.69
1/16/2020,90.03
1/16/2021,79.01
1/17/2013,
1/17/2014,
1/17/2015,82.64
1/17/2016,77.87
1/17/2017,82.72
1/17/2018,90.46
1/17/2019,67.53
1/17/2020,89.84
1/18/2013,
1/18/2014,
1/18/2015,82.64
1/18/2016,77.87
1/18/2017,82.95
1/18/2018,89.16
1/18/2019,67.99
1/18/2020,91.35
1/19/2013,
1/19/2014,
1/19/2015,82.64
1/19/2016,77.09
1/19/2017,84.19
1/19/2018,88.44
1/19/2019,68.95
1/19/2020,91.35
1/2/2013,
1/2/2014,
1/2/2015,83.57
1/2/2016,89.3
1/2/2017,77.99
1/2/2018,86.9
1/2/2019,67.25
1/2/2020,89.62
1/2/2021,75.56
1/20/2013,
1/20/2014,
1/20/2015,82.84
1/20/2016,79.25
1/20/2017,85.48
1/20/2018,89.32
1/20/2019,68.95
1/20/2020,91.35
1/21/2013,
1/21/2014,
1/21/2015,84.12
1/21/2016,75.54
1/21/2017,88.53
1/21/2018,89.32
1/21/2019,68.95
1/21/2020,90.77
1/22/2013,
1/22/2014,
1/22/2015,83.34
1/22/2016,78.01
1/22/2017,88.53
1/22/2018,89.32
1/22/2019,69.07
1/22/2020,91.81
1/23/2013,
1/23/2014,
1/23/2015,82.74
1/23/2016,80.64
1/23/2017,88.53
1/23/2018,89.87
1/23/2019,67.91
1/23/2020,91.31
1/24/2013,
1/24/2014,
1/24/2015,83.4
1/24/2016,80.64
1/24/2017,88.83
1/24/2018,89.71
1/24/2019,66.99
1/24/2020,87.02
1/25/2013,
1/25/2014,
1/25/2015,83.4
1/25/2016,80.64
1/25/2017,87.95
1/25/2018,90.2
1/25/2019,66.41
1/25/2020,86.96
1/26/2013,
1/26/2014,
1/26/2015,83.4
1/26/2016,80.07
1/26/2017,88.75
1/26/2018,89.65
1/26/2019,66.25
1/26/2020,86.96
1/27/2013,
1/27/2014,
1/27/2015,81.32
1/27/2016,80.82
1/27/2017,88.98
1/27/2018,89.48
1/27/2019,66.25
1/27/2020,86.96
1/28/2013,
1/28/2014,
1/28/2015,79.97
1/28/2016,80.39
1/28/2017,87.47
1/28/2018,89.48
1/28/2019,66.25
1/28/2020,83.87
1/29/2013,
1/29/2014,
1/29/2015,79.22
1/29/2016,79.96
1/29/2017,87.47
1/29/2018,89.48
1/29/2019,64.26
1/29/2020,84.61
1/3/2013,
1/3/2014,
1/3/2015,84.57
1/3/2016,89.3
1/3/2017,79.19
1/3/2018,86.67
1/3/2019,67.51
1/3/2020,92.49
1/3/2021,75.56
1/30/2013,
1/30/2014,
1/30/2015,77.82
1/30/2016,80.3
1/30/2017,87.47
1/30/2018,89.1
1/30/2019,64.13
1/30/2020,86.08
1/31/2013,
1/31/2014,
1/31/2015,77.27
1/31/2016,80.3
1/31/2017,85.39
1/31/2018,87.04
1/31/2019,63.91
1/31/2020,84.09
1/4/2013,
1/4/2014,
1/4/2015,84.57
1/4/2016,89.3
1/4/2017,79.94
1/4/2018,87.01
1/4/2019,67.74
1/4/2020,94.72
1/4/2021,75.56
1/5/2013,
1/5/2014,
1/5/2015,84.57
1/5/2016,89.32
1/5/2017,79.57
1/5/2018,88.11
1/5/2019,69.7
1/5/2020,94.72
1/5/2021,76.72
1/6/2013,
1/6/2014,
1/6/2015,82.02
1/6/2016,87.3
1/6/2017,80.85
1/6/2018,88.38
1/6/2019,69.7
1/6/2020,94.72
1/6/2021,78.4
1/7/2013,
1/7/2014,
1/7/2015,83.42
1/7/2016,84.89
1/7/2017,81.04
1/7/2018,88.38
1/7/2019,69.7
1/7/2020,92.12
1/7/2021,77.49
1/8/2013,
1/8/2014,
1/8/2015,83.92
1/8/2016,81.66
1/8/2017,81.04
1/8/2018,88.38
1/8/2019,69.85
1/8/2020,93.0
1/8/2021,78.79
1/9/2013,
1/9/2014,
1/9/2015,83.45
1/9/2016,82.56
1/9/2017,81.04
1/9/2018,88.8
1/9/2019,71.1
1/9/2020,92.96
1/9/2021,81.07
10/1/2013,
10/1/2014,95.92
10/1/2015,90.59
10/1/2016,65.49
10/1/2017,85.62
10/1/2018,80.64
10/1/2019,77.45
10/1/2020,60.91
10/10/2013,
10/10/2014,87.78
10/10/2015,91.31
10/10/2016,67.75
10/10/2017,84.03
10/10/2018,81.46
10/10/2019,82.07
10/10/2020,63.96
10/11/2013,
10/11/2014,84.48
10/11/2015,91.31
10/11/2016,68.61
10/11/2017,84.75
10/11/2018,80.61
10/11/2019,82.14
10/11/2020,63.96
10/12/2013,
10/12/2014,84.48
10/12/2015,91.31
10/12/2016,67.99
10/12/2017,84.22
10/12/2018,77.32
10/12/2019,84.05
10/12/2020,63.96
10/13/2013,
10/13/2014,84.48
10/13/2015,91.47
10/13/2016,67.18
10/13/2017,84.04
10/13/2018,78.14
10/13/2019,84.05
10/13/2020,64.72
10/14/2013,
10/14/2014,84.53
10/14/2015,91.2
10/14/2016,66.37
10/14/2017,84.51
10/14/2018,78.14
10/14/2019,84.05
10/14/2020,64.5
10/15/2013,
10/15/2014,83.88
10/15/2015,90.39
10/15/2016,66.96
10/15/2017,84.51
10/15/2018,78.14
10/15/2019,83.99
10/15/2020,66.37
10/16/2013,
10/16/2014,81.88
10/16/2015,90.55
10/16/2016,66.96
10/16/2017,84.51
10/16/2018,78.59
10/16/2019,83.01
10/16/2020,65.24
10/17/2013,
10/17/2014,80.97
10/17/2015,90.0
10/17/2016,66.96
10/17/2017,84.38
10/17/2018,79.09
10/17/2019,82.53
10/17/2020,65.21
10/18/2013,
10/18/2014,85.55
10/18/2015,90.0
10/18/2016,66.12
10/18/2017,83.65
10/18/2018,79.23
10/18/2019,82.59
10/18/2020,65.21
10/19/2013,
10/19/2014,85.55
10/19/2015,90.0
10/19/2016,66.06
10/19/2017,83.81
10/19/2018,79.19
10/19/2019,82.92
10/19/2020,65.21
10/2/2013,
10/2/2014,94.91
10/2/2015,89.86
10/2/2016,65.49
10/2/2017,85.62
10/2/2018,82.01
10/2/2019,77.73
10/2/2020,60.47
10/20/2013,
10/20/2014,85.55
10/20/2015,89.65
10/20/2016,66.19
10/20/2017,82.42
10/20/2018,79.78
10/20/2019,82.92
10/20/2020,64.97
10/21/2013,
10/21/2014,85.92
10/21/2015,89.45
10/21/2016,66.77
10/21/2017,83.13
10/21/2018,79.78
10/21/2019,82.92
10/21/2020,64.43
10/22/2013,
10/22/2014,89.13
10/22/2015,89.37
10/22/2016,67.51
10/22/2017,83.13
10/22/2018,79.78
10/22/2019,81.99
10/22/2020,64.04
10/23/2013,
10/23/2014,89.61
10/23/2015,89.13
10/23/2016,67.51
10/23/2017,83.13
10/23/2018,78.32
10/23/2019,81.5
10/23/2020,64.83
10/24/2013,
10/24/2014,88.47
10/24/2015,88.57
10/24/2016,67.51
10/24/2017,82.8
10/24/2018,75.31
10/24/2019,82.01
10/24/2020,65.33
10/25/2013,
10/25/2014,88.63
10/25/2015,88.57
10/25/2016,67.19
10/25/2017,83.46
10/25/2018,76.22
10/25/2019,83.25
10/25/2020,65.33
10/26/2013,
10/26/2014,88.63
10/26/2015,88.57
10/26/2016,67.08
10/26/2017,83.29
10/26/2018,76.13
10/26/2019,81.83
10/26/2020,65.33
10/27/2013,
10/27/2014,88.63
10/27/2015,88.61
10/27/2016,67.14
10/27/2017,83.22
10/27/2018,75.96
10/27/2019,81.83
10/27/2020,63.08
10/28/2013,
10/28/2014,88.14
10/28/2015,88.62
10/28/2016,67.91
10/28/2017,83.56
10/28/2018,75.96
10/28/2019,81.83
10/28/2020,62.96
10/29/2013,
10/29/2014,89.08
10/29/2015,87.85
10/29/2016,68.51
10/29/2017,83.56
10/29/2018,75.96
10/29/2019,82.91
10/29/2020,60.18
10/3/2013,
10/3/2014,92.58
10/3/2015,89.57
10/3/2016,65.49
10/3/2017,84.07
10/3/2018,82.51
10/3/2019,76.59
10/3/2020,60.8
10/30/2013,
10/30/2014,89.4
10/30/2015,88.36
10/30/2016,68.51
10/30/2017,83.56
10/30/2018,76.82
10/30/2019,82.62
10/30/2020,61.47
10/31/2013,
10/31/2014,87.89
10/31/2015,89.68
10/31/2016,68.51
10/31/2017,82.93
10/31/2018,75.55
10/31/2019,83.0
10/31/2020,61.64
10/4/2013,
10/4/2014,92.61
10/4/2015,89.57
10/4/2016,65.87
10/4/2017,85.33
10/4/2018,82.9
10/4/2019,74.8
10/4/2020,60.8
10/5/2013,
10/5/2014,92.61
10/5/2015,89.57
10/5/2016,67.34
10/5/2017,85.19
10/5/2018,82.16
10/5/2019,77.7
10/5/2020,60.8
10/6/2013,
10/6/2014,92.61
10/6/2015,90.85
10/6/2016,67.37
10/6/2017,85.06
10/6/2018,81.61
10/6/2019,77.7
10/6/2020,62.18
10/7/2013,
10/7/2014,92.4
10/7/2015,91.44
10/7/2016,68.38
10/7/2017,84.5
10/7/2018,81.61
10/7/2019,77.7
10/7/2020,61.98
10/8/2013,
10/8/2014,88.35
10/8/2015,91.17
10/8/2016,67.75
10/8/2017,84.5
10/8/2018,81.61
10/8/2019,80.1
10/8/2020,61.55
10/9/2013,
10/9/2014,88.01
10/9/2015,91.12
10/9/2016,67.75
10/9/2017,84.5
10/9/2018,81.1
10/9/2019,81.14
10/9/2020,63.33
11/1/2013,
11/1/2014,89.3
11/1/2015,89.68
11/1/2016,67.77
11/1/2017,81.98
11/1/2018,77.3
