Date,Close
2013-01-02,"1,343"
2013-01-03,752
2013-01-04,"1,279"
2013-01-06,
2013-01-07,"1,860"
2013-01-08,"1,385"
2013-01-09,"1,368"
2013-01-10,"1,495"
2013-01-11,"1,141"
2013-01-13,
2013-01-14,"1,019"
2013-01-15,"1,227"
2013-01-16,33
2013-01-17,
2013-01-18,"5,410"
2013-01-20,
2013-01-22,"7,873"
2013-01-23,"5,558"
2013-01-24,"5,086"
2013-01-25,"3,821"
2013-01-27,
2013-01-28,"4,057"
2013-01-29,"3,241"
2013-01-30,"2,414"
2013-01-31,"3,222"
2013-02-01,"4,956"
2013-02-03,
2013-02-04,"2,301"
2013-02-05,"5,214"
2013-02-06,"3,179"
2013-02-07,"6,168"
2013-02-08,"3,395"
2013-02-10,
2013-02-11,"2,152"
2013-02-12,"1,556"
2013-02-13,225
2013-02-14,
2013-02-15,"5,321"
2013-02-17,
2013-02-19,"3,321"
2013-02-20,"4,641"
2013-02-21,"4,022"
2013-02-22,"2,836"
2013-02-24,
2013-02-25,"4,213"
2013-02-26,"3,942"
2013-02-27,"4,940"
2013-02-28,"5,369"
2013-03-01,"5,687"
2013-03-03,
2013-03-04,"3,618"
2013-03-05,"5,330"
2013-03-06,"4,002"
2013-03-07,"4,272"
2013-03-08,"4,486"
2013-03-10,
2013-03-10,"2,427"
2013-03-10,
2013-03-10,"2,427"
2013-03-11,"2,388"
2013-03-12,950
2013-03-13,269
2013-03-14,"2,567"
2013-03-16,
2013-03-17,
2013-03-18,"3,327"
2013-03-19,"2,745"
2013-03-20,"3,484"
2013-03-21,"2,605"
2013-03-23,
2013-03-24,"3,055"
2013-03-25,"3,355"
2013-03-26,"3,926"
2013-03-27,"2,175"
2013-03-28,
2013-03-30,
2013-03-31,"1,788"
2013-04-01,"4,299"
2013-04-02,"5,172"
2013-04-03,"7,158"
2013-04-04,"8,817"
2013-04-06,
2013-04-07,"3,754"
2013-04-08,"4,934"
2013-04-09,"3,159"
2013-04-10,"2,429"
2013-04-11,"3,004"
2013-04-13,
2013-04-14,"1,126"
2013-04-15,
2013-04-16,"4,442"
2013-04-17,"6,283"
2013-04-18,"4,312"
2013-04-20,
2013-04-21,"3,890"
2013-04-22,"4,381"
2013-04-23,"4,467"
2013-04-24,"5,471"
2013-04-25,"4,974"
2013-04-27,
2013-04-28,"4,138"
