Date,Close
2013-01-02,"13,344.00"
2013-01-03,"13,360.00"
2013-01-04,"13,377.00"
2013-01-06,-
2013-01-07,"13,366.00"
2013-01-08,"13,324.00"
2013-01-09,"13,356.00"
2013-01-10,"13,430.00"
2013-01-11,"13,436.00"
2013-01-13,-
2013-01-14,"13,457.00"
2013-01-15,"13,482.00"
2013-01-16,"13,480.00"
2013-01-17,"13,575.00"
2013-01-18,"13,586.00"
2013-01-20,-
2013-01-22,"13,718.00"
2013-01-23,"13,733.00"
2013-01-24,"13,818.00"
2013-01-25,"13,840.00"
2013-01-27,-
2013-01-28,"13,859.00"
2013-01-29,"13,918.00"
2013-01-30,"13,919.00"
2013-01-31,"13,886.00"
2013-02-01,"13,962.00"
2013-02-03,-
2013-02-04,"13,949.00"
2013-02-05,"13,958.00"
2013-02-06,"13,955.00"
2013-02-07,"13,958.00"
2013-02-08,"13,975.00"
2013-02-10,-
2013-02-11,"13,963.00"
2013-02-12,"13,992.00"
2013-02-13,"14,006.00"
2013-02-14,"13,967.00"
2013-02-15,"13,977.00"
2013-02-17,-
2013-02-19,"14,023.00"
2013-02-20,"14,035.00"
2013-02-21,"13,910.00"
2013-02-22,"13,995.00"
2013-02-24,-
2013-02-25,"14,064.00"
2013-02-26,"13,900.00"
2013-02-27,"14,091.00"
2013-02-28,"14,133.00"
2013-03-01,"14,093.00"
2013-03-03,-
2013-03-04,"14,133.00"
2013-03-05,"14,270.00"
2013-03-06,"14,309.00"
2013-03-07,"14,340.00"
2013-03-08,"14,427.00"
2013-03-10,-
2013-03-10,"14,448.00"
2013-03-10,-
2013-03-10,"14,448.00"
2013-03-11,"14,473.00"
2013-03-12,"14,472.00"
2013-03-13,"14,540.00"
2013-03-14,"14,553.00"
2013-03-16,-
2013-03-17,"14,448.00"
2013-03-18,"14,443.00"
2013-03-19,"14,476.00"
2013-03-20,"14,441.00"
2013-03-21,"14,471.00"
2013-03-23,-
2013-03-24,"14,517.00"
2013-03-25,"14,487.00"
2013-03-26,"14,495.00"
2013-03-27,"14,511.00"
2013-03-28,-
2013-03-30,-
2013-03-31,"14,533.00"
2013-04-01,"14,610.00"
2013-04-02,"14,606.00"
2013-04-03,"14,557.00"
2013-04-04,"14,534.00"
2013-04-06,-
2013-04-07,"14,588.00"
2013-04-08,"14,651.00"
2013-04-09,"14,763.00"
2013-04-10,"14,823.00"
2013-04-11,"14,811.00"
2013-04-13,-
2013-04-14,"14,797.00"
2013-04-15,"14,698.00"
2013-04-16,"14,691.00"
2013-04-17,"14,615.00"
2013-04-18,"14,505.00"
2013-04-20,-
2013-04-21,"14,550.00"
2013-04-22,"14,661.00"
2013-04-23,"14,693.00"
2013-04-24,"14,711.00"
2013-04-25,"14,684.00"
2013-04-27,-
2013-04-28,"14,786.00"
2013-04-29,"14,786.00"
2013-04-30,"14,793.00"
2013-05-01,"14,776.00"
2013-05-02,"14,953.00"
2013-05-04,-
2013-05-05,"14,927.00"
2013-05-06,"14,997.00"
2013-05-07,"15,067.00"
2013-05-08,"15,106.00"
2013-05-09,"15,112.00"
2013-05-11,-
2013-05-12,"15,070.00"
2013-05-13,"15,185.00"
2013-05-14,"15,278.00"
2013-05-15,"15,278.00"
2013-05-16,"15,334.00"
2013-05-18,-
2013-05-19,"15,367.00"
2013-05-20,"15,414.00"
2013-05-21,"15,523.00"
2013-05-22,"15,345.00"
2013-05-23,"15,334.00"
2013-05-25,-
2013-05-27,"15,508.00"
2013-05-28,"15,390.00"
2013-05-29,"15,389.00"
2013-05-30,"15,382.00"
2013-06-01,-
2013-06-02,"15,242.00"
2013-06-03,"15,298.00"
2013-06-04,"15,189.00"
2013-06-05,"15,049.00"
2013-06-06,"15,249.00"
2013-06-08,-
2013-06-09,"15,293.00"
2013-06-10,"15,247.00"
2013-06-11,"15,241.00"
2013-06-12,"15,205.00"
2013-06-13,"15,210.00"
2013-06-15,-
2013-06-16,"15,265.00"
2013-06-17,"15,343.00"
2013-06-18,"15,348.00"
2013-06-19,"15,115.00"
2013-06-20,"14,884.00"
2013-06-22,-
2013-06-23,"14,731.00"
2013-06-24,"14,738.00"
2013-06-25,"14,865.00"
2013-06-26,"15,003.00"
2013-06-27,"15,002.00"
2013-06-29,-
2013-06-30,"15,012.00"
2013-07-01,"14,980.00"
2013-07-03,-
2013-07-04,"15,112.00"
2013-07-06,-
2013-07-07,"15,200.00"
2013-07-08,"15,258.00"
2013-07-09,"15,318.00"
2013-07-10,"15,419.00"
2013-07-11,"15,433.00"
2013-07-13,-
2013-07-14,"15,444.00"
2013-07-15,"15,433.00"
2013-07-16,"15,459.00"
