Date,Close
2013-01-02,"13,177.00"
2013-01-03,"13,324.00"
2013-01-04,"13,322.00"
2013-01-06,
2013-01-07,"13,361.00"
2013-01-08,"13,312.00"
2013-01-09,"13,266.00"
2013-01-10,"13,328.00"
2013-01-11,"13,425.00"
2013-01-13,
2013-01-14,"13,432.00"
2013-01-15,"13,438.00"
2013-01-16,"13,476.00"
2013-01-17,"13,434.00"
2013-01-18,"13,540.00"
2013-01-20,
2013-01-22,"13,574.00"
2013-01-23,"13,706.00"
2013-01-24,"13,702.00"
2013-01-25,"13,752.00"
2013-01-27,
2013-01-28,"13,816.00"
2013-01-29,"13,825.00"
2013-01-30,"13,905.00"
2013-01-31,"13,830.00"
2013-02-01,"13,833.00"
2013-02-03,
2013-02-04,"13,941.00"
2013-02-05,"13,838.00"
2013-02-06,"13,935.00"
2013-02-07,"13,932.00"
2013-02-08,"13,898.00"
2013-02-10,
2013-02-11,"13,938.00"
2013-02-12,"13,922.00"
2013-02-13,"13,984.00"
2013-02-14,"13,955.00"
2013-02-15,"13,952.00"
2013-02-17,
2013-02-19,"13,937.00"
2013-02-20,"14,007.00"
2013-02-21,"13,895.00"
2013-02-22,"13,876.00"
2013-02-24,
2013-02-25,"13,985.00"
2013-02-26,"13,773.00"
2013-02-27,"13,870.00"
2013-02-28,"14,062.00"
2013-03-01,"14,043.00"
2013-03-03,
2013-03-04,"14,058.00"
2013-03-05,"14,127.00"
2013-03-06,"14,247.00"
2013-03-07,"14,276.00"
2013-03-08,"14,320.00"
2013-03-10,
2013-03-10,"14,366.00"
2013-03-10,
2013-03-10,"14,366.00"
2013-03-11,"14,440.00"
2013-03-12,"14,450.00"
2013-03-13,"14,462.00"
2013-03-14,"14,522.00"
2013-03-16,
2013-03-17,"14,368.00"
2013-03-18,"14,389.00"
2013-03-19,"14,365.00"
2013-03-20,"14,412.00"
2013-03-21,"14,347.00"
2013-03-23,
2013-03-24,"14,451.00"
2013-03-25,"14,399.00"
2013-03-26,"14,481.00"
2013-03-27,"14,445.00"
2013-03-28,
2013-03-30,
2013-03-31,"14,508.00"
2013-04-01,"14,501.00"
2013-04-02,"14,592.00"
2013-04-03,"14,489.00"
2013-04-04,"14,530.00"
2013-04-06,
2013-04-07,"14,479.00"
2013-04-08,"14,580.00"
2013-04-09,"14,610.00"
2013-04-10,"14,747.00"
2013-04-11,"14,799.00"
2013-04-13,
2013-04-14,"14,787.00"
2013-04-15,"14,505.00"
2013-04-16,"14,681.00"
2013-04-17,"14,545.00"
2013-04-18,"14,424.00"
2013-04-20,
2013-04-21,"14,475.00"
2013-04-22,"14,512.00"
2013-04-23,"14,647.00"
2013-04-24,"14,610.00"
2013-04-25,"14,660.00"
2013-04-27,
2013-04-28,"14,648.00"
2013-04-29,"14,754.00"
2013-04-30,"14,783.00"
2013-05-01,"14,648.00"
2013-05-02,"14,758.00"
2013-05-04,
2013-05-05,"14,901.00"
2013-05-06,"14,901.00"
2013-05-07,"14,983.00"
2013-05-08,"15,056.00"
2013-05-09,"15,054.00"
2013-05-11,
2013-05-12,"15,039.00"
2013-05-13,"15,055.00"
2013-05-14,"15,178.00"
2013-05-15,"15,239.00"
2013-05-16,"15,217.00"
2013-05-18,
2013-05-19,"15,301.00"
2013-05-20,"15,315.00"
2013-05-21,"15,358.00"
2013-05-22,"15,333.00"
2013-05-23,"15,298.00"
2013-05-25,
2013-05-27,"15,305.00"
2013-05-28,"15,369.00"
2013-05-29,"15,292.00"
2013-05-30,"15,323.00"
2013-06-01,
2013-06-02,"15,118.00"
2013-06-03,"15,220.00"
2013-06-04,"15,169.00"
2013-06-05,"14,962.00"
2013-06-06,"15,031.00"
2013-06-08,
2013-06-09,"15,194.00"
2013-06-10,"15,225.00"
2013-06-11,"15,140.00"
2013-06-12,"14,984.00"
2013-06-13,"15,192.00"
2013-06-15,
2013-06-16,"15,052.00"
2013-06-17,"15,192.00"
2013-06-18,"15,335.00"
2013-06-19,"15,101.00"
2013-06-20,"14,775.00"
2013-06-22,
2013-06-23,"14,715.00"
2013-06-24,"14,595.00"
2013-06-25,"14,684.00"
2013-06-26,"14,831.00"
2013-06-27,"14,937.00"
2013-06-29,
2013-06-30,"14,833.00"
2013-07-01,"14,886.00"
2013-07-03,
2013-07-04,"14,920.00"
2013-07-06,
2013-07-07,"15,080.00"
2013-07-08,"15,165.00"
2013-07-09,"15,232.00"
2013-07-10,"15,299.00"
2013-07-11,"15,385.00"
2013-07-13,
2013-07-14,"15,367.00"
2013-07-15,"15,416.00"
2013-07-16,"15,388.00"
2013-07-17,"15,431.00"
2013-07-18,"15,465.00"
2013-07-20,
2013-07-21,"15,507.00"
2013-07-22,"15,495.00"
2013-07-23,"15,515.00"
2013-07-24,"15,498.00"
2013-07-25,"15,494.00"
2013-07-27,
2013-07-28,"15,493.00"
2013-07-29,"15,481.00"
2013-07-30,"15,483.00"
2013-07-31,"15,477.00"
2013-08-01,"15,567.00"
2013-08-03,
2013-08-04,"15,585.00"
2013-08-05,"15,544.00"
2013-08-06,"15,462.00"
2013-08-07,"15,448.00"
2013-08-08,"15,454.00"
2013-08-10,
2013-08-11,"15,373.00"
2013-08-12,"15,398.00"
2013-08-13,"15,416.00"
2013-08-14,"15,286.00"
2013-08-15,"15,060.00"
2013-08-17,
2013-08-18,"15,040.00"
2013-08-19,"14,997.00"
2013-08-20,"14,986.00"
2013-08-21,"14,832.00"
2013-08-22,"14,943.00"
2013-08-24,
2013-08-25,"14,985.00"
2013-08-26,"14,938.00"
2013-08-27,"14,756.00"
2013-08-28,"14,795.00"
2013-08-29,"14,846.00"
2013-08-31,
2013-09-02,"14,850.00"
2013-09-03,"14,818.00"
2013-09-04,"14,935.00"
2013-09-05,"14,910.00"
2013-09-07,
2013-09-08,"14,908.00"
2013-09-09,"15,053.00"
2013-09-10,"15,183.00"
2013-09-11,"15,339.00"
2013-09-12,"15,316.00"
2013-09-14,
2013-09-15,"15,445.00"
2013-09-16,"15,514.00"
2013-09-17,"15,544.00"
2013-09-18,"15,670.00"
2013-09-19,"15,650.00"
2013-09-21,
2013-09-22,"15,430.00"
2013-09-23,"15,332.00"
2013-09-24,"15,282.00"
2013-09-25,"15,213.00"
2013-09-26,"15,296.00"
2013-09-28,
2013-09-29,"15,117.00"
2013-09-30,"15,087.00"
2013-10-01,"15,136.00"
2013-10-02,"15,027.00"
2013-10-03,"14,893.00"
2013-10-05,
2013-10-06,"14,940.00"
2013-10-07,"14,848.00"
2013-10-08,"14,686.00"
2013-10-09,"14,723.00"
2013-10-10,"15,025.00"
2013-10-12,
2013-10-13,"15,078.00"
2013-10-14,"15,236.00"
2013-10-15,"15,110.00"
2013-10-16,"15,239.00"
2013-10-17,"15,297.00"
2013-10-19,
2013-10-20,"15,327.00"
2013-10-21,"15,321.00"
2013-10-22,"15,405.00"
2013-10-23,"15,361.00"
2013-10-24,"15,462.00"
2013-10-26,
2013-10-27,"15,493.00"
2013-10-28,"15,517.00"
2013-10-29,"15,623.00"
2013-10-30,"15,541.00"
2013-10-31,"15,524.00"
2013-11-02,
2013-11-04,"15,540.00"
2013-11-05,"15,574.00"
2013-11-06,"15,553.00"
2013-11-07,"15,678.00"
2013-11-08,"15,544.00"
2013-11-10,
2013-11-11,"15,708.00"
2013-11-12,"15,728.00"
2013-11-13,"15,702.00"
2013-11-14,"15,783.00"
2013-11-15,"15,839.00"
2013-11-17,
2013-11-18,"15,913.00"
2013-11-19,"15,950.00"
2013-11-20,"15,932.00"
2013-11-21,"15,880.00"
2013-11-22,"15,972.00"
2013-11-24,
2013-11-25,"16,038.00"
2013-11-26,"16,051.00"
2013-11-27,"16,060.00"
2013-11-29,
2013-12-01,
2013-12-02,"16,096.00"
2013-12-03,"15,988.00"
2013-12-04,"15,896.00"
2013-12-05,"15,892.00"
2013-12-06,"15,819.00"
2013-12-08,
2013-12-09,"16,019.00"
2013-12-10,"16,027.00"
2013-12-11,"15,989.00"
2013-12-12,"15,837.00"
2013-12-13,"15,738.00"
2013-12-15,
2013-12-16,"15,753.00"
2013-12-17,"15,879.00"
2013-12-18,"15,870.00"
2013-12-19,"16,170.00"
2013-12-20,"16,175.00"
2013-12-22,
2013-12-23,"16,208.00"
2013-12-24,
2013-12-26,"16,306.00"
2013-12-27,"16,426.00"
2013-12-29,
2013-12-30,"16,417.00"
2013-12-31,"16,445.00"
2014-01-02,"16,473.00"
2014-01-03,"16,391.00"
2014-01-05,
2014-01-06,"16,399.00"
2014-01-07,"16,355.00"
2014-01-08,"16,459.00"
2014-01-09,"16,407.00"
2014-01-10,"16,392.00"
2014-01-12,
2014-01-13,"16,387.00"
2014-01-14,"16,211.00"
2014-01-15,"16,302.00"
2014-01-16,"16,413.00"
2014-01-17,"16,343.00"
2014-01-19,
