Date,Close
2013-01-02,"151,501"
2013-01-03,"116,327"
2013-01-04,"100,235"
2013-01-06,
2013-01-07,"86,399"
2013-01-08,"103,867"
2013-01-09,"84,372"
2013-01-10,"112,191"
2013-01-11,"81,514"
2013-01-13,
2013-01-14,"89,707"
2013-01-15,"101,346"
2013-01-16,"87,864"
2013-01-17,"121,261"
2013-01-18,"89,755"
2013-01-20,
2013-01-22,"117,582"
2013-01-23,"85,885"
2013-01-24,"126,006"
2013-01-25,"100,001"
2013-01-27,
2013-01-28,"83,452"
2013-01-29,"90,592"
2013-01-30,"110,101"
2013-01-31,"102,363"
2013-02-01,"120,751"
2013-02-03,
2013-02-04,"114,174"
2013-02-05,"113,758"
2013-02-06,"115,320"
2013-02-07,"140,869"
2013-02-08,"101,050"
2013-02-10,
2013-02-11,"84,679"
2013-02-12,"85,827"
2013-02-13,"87,775"
2013-02-14,"97,049"
2013-02-15,"108,785"
2013-02-17,
2013-02-19,"102,016"
2013-02-20,"134,966"
2013-02-21,"182,609"
2013-02-22,"136,269"
2013-02-24,
2013-02-25,"222,411"
2013-02-26,"233,528"
2013-02-27,"183,260"
2013-02-28,"151,404"
2013-03-01,"197,210"
2013-03-03,
2013-03-04,"141,005"
2013-03-05,"150,612"
2013-03-06,"130,149"
2013-03-07,"104,517"
2013-03-08,"92,522"
2013-03-10,
2013-03-10,"39,282"
2013-03-10,
2013-03-10,"39,282"
2013-03-11,"31,938"
2013-03-12,"21,275"
2013-03-13,"25,134"
2013-03-14,"97,955"
2013-03-16,
2013-03-17,"167,584"
2013-03-18,"210,333"
2013-03-19,"134,708"
2013-03-20,"165,101"
2013-03-21,"138,866"
2013-03-23,
2013-03-24,"207,407"
2013-03-25,"111,768"
2013-03-26,"130,736"
2013-03-27,"121,051"
2013-03-28,
2013-03-30,
2013-03-31,"86,213"
2013-04-01,"129,304"
2013-04-02,"177,030"
2013-04-03,"175,242"
2013-04-04,"184,154"
2013-04-06,
2013-04-07,"118,391"
2013-04-08,"131,463"
2013-04-09,"135,206"
2013-04-10,"130,447"
2013-04-11,"141,370"
2013-04-13,
2013-04-14,"258,391"
