Date,Close
2013-01-02,"2,738.75"
2013-01-03,"2,725.50"
2013-01-04,"2,713.00"
2013-01-06,-
2013-01-07,"2,717.75"
2013-01-08,"2,714.00"
2013-01-09,"2,722.00"
2013-01-10,"2,737.00"
2013-01-11,"2,743.75"
2013-01-13,-
2013-01-14,"2,728.75"
2013-01-15,"2,714.25"
2013-01-16,"2,726.00"
2013-01-17,"2,740.50"
2013-01-18,"2,733.75"
2013-01-20,-
2013-01-22,"2,751.00"
2013-01-23,"2,759.00"
2013-01-24,"2,718.25"
2013-01-25,"2,728.00"
2013-01-27,-
2013-01-28,"2,737.50"
2013-01-29,"2,742.75"
2013-01-30,"2,735.75"
2013-01-31,"2,725.00"
2013-02-01,"2,756.50"
2013-02-03,-
2013-02-04,"2,711.50"
2013-02-05,"2,749.25"
2013-02-06,"2,737.25"
2013-02-07,"2,742.00"
2013-02-08,"2,772.00"
2013-02-10,-
2013-02-11,"2,770.50"
2013-02-12,"2,760.75"
2013-02-13,"2,770.25"
2013-02-14,"2,767.25"
2013-02-15,"2,761.25"
2013-02-17,-
2013-02-19,"2,780.75"
2013-02-20,"2,737.50"
2013-02-21,"2,714.00"
2013-02-22,"2,735.75"
2013-02-24,-
2013-02-25,"2,702.25"
2013-02-26,"2,707.75"
2013-02-27,"2,740.50"
2013-02-28,"2,738.00"
2013-03-01,"2,748.75"
2013-03-03,-
2013-03-04,"2,760.00"
2013-03-05,"2,798.25"
2013-03-06,"2,788.25"
2013-03-07,"2,799.25"
2013-03-08,"2,801.50"
2013-03-10,-
2013-03-10,"2,809.75"
2013-03-10,-
2013-03-10,"2,809.75"
2013-03-11,"2,803.00"
2013-03-12,"2,799.00"
2013-03-13,"2,806.00"
2013-03-14,"2,807.00"
2013-03-16,-
2013-03-17,"2,787.00"
2013-03-18,"2,779.50"
2013-03-19,"2,785.25"
2013-03-20,"2,769.75"
2013-03-21,"2,793.50"
2013-03-23,-
2013-03-24,"2,784.25"
2013-03-25,"2,799.75"
2013-03-26,"2,801.00"
2013-03-27,"2,811.00"
2013-03-28,-
2013-03-30,-
2013-03-31,"2,788.00"
2013-04-01,"2,812.75"
2013-04-02,"2,787.00"
2013-04-03,"2,785.00"
2013-04-04,"2,763.00"
2013-04-06,-
2013-04-07,"2,781.00"
2013-04-08,"2,797.50"
2013-04-09,"2,853.25"
2013-04-10,"2,853.25"
2013-04-11,"2,846.25"
2013-04-13,-
2013-04-14,"2,783.50"
2013-04-15,"2,828.00"
2013-04-16,"2,774.50"
2013-04-17,"2,739.50"
2013-04-18,"2,768.25"
2013-04-20,-
2013-04-21,"2,797.25"
2013-04-22,"2,823.00"
2013-04-23,"2,824.00"
2013-04-24,"2,844.00"
2013-04-25,"2,830.50"
2013-04-27,-
2013-04-28,"2,858.75"
2013-04-29,"2,880.00"
2013-04-30,"2,863.50"
2013-05-01,"2,902.00"
2013-05-02,"2,935.00"
2013-05-04,-
2013-05-05,"2,947.50"
2013-05-06,"2,946.50"
2013-05-07,"2,961.75"
2013-05-08,"2,958.00"
2013-05-09,"2,975.50"
2013-05-11,-
2013-05-12,"2,981.00"
2013-05-13,"2,995.25"
2013-05-14,"3,001.00"
2013-05-15,"2,998.25"
2013-05-16,"3,022.75"
2013-05-18,-
2013-05-19,"3,021.00"
2013-05-20,"3,021.50"
2013-05-21,"3,001.00"
2013-05-22,"2,992.25"
2013-05-23,"2,992.25"
2013-05-25,-
2013-05-27,"3,003.50"
2013-05-28,"2,995.50"
2013-05-29,"3,010.00"
2013-05-30,"2,980.25"
2013-06-01,-
2013-06-02,"2,985.50"
2013-06-03,"2,974.75"
2013-06-04,"2,938.50"
2013-06-05,"2,949.50"
2013-06-06,"2,980.50"
2013-06-08,-
2013-06-09,"2,987.00"
2013-06-10,"2,963.50"
2013-06-11,"2,920.25"
2013-06-12,"2,962.25"
2013-06-13,"2,942.00"
2013-06-15,-
2013-06-16,"2,970.00"
2013-06-17,"2,993.50"
2013-06-18,"2,961.50"
2013-06-19,"2,886.50"
2013-06-20,"2,895.50"
2013-06-22,-
2013-06-23,"2,844.00"
2013-06-24,"2,858.25"
2013-06-25,"2,883.00"
2013-06-26,"2,899.50"
2013-06-27,"2,901.25"
2013-06-29,-
2013-06-30,"2,917.00"
2013-07-01,"2,923.25"
2013-07-03,-
2013-07-04,"2,956.50"
2013-07-06,-
2013-07-07,"2,958.75"
2013-07-08,"2,974.25"
2013-07-09,"2,996.25"
2013-07-10,"3,055.00"
2013-07-11,"3,062.00"
2013-07-13,-
2013-07-14,"3,073.00"
2013-07-15,"3,070.75"
2013-07-16,"3,079.25"
2013-07-17,"3,047.50"
2013-07-18,"3,040.75"
2013-07-20,-
2013-07-21,"3,047.50"
2013-07-22,"3,026.00"
2013-07-23,"3,048.00"
2013-07-24,"3,050.00"
2013-07-25,"3,070.50"
2013-07-27,-
2013-07-28,"3,065.50"
2013-07-29,"3,085.50"
2013-07-30,"3,083.00"
2013-07-31,"3,112.75"
2013-08-01,"3,136.00"
2013-08-03,-
2013-08-04,"3,136.00"
2013-08-05,"3,118.00"
2013-08-06,"3,116.00"
2013-08-07,"3,127.00"
2013-08-08,"3,113.25"
2013-08-10,-
2013-08-11,"3,124.00"
2013-08-12,"3,137.00"
2013-08-13,"3,123.25"
2013-08-14,"3,071.00"
2013-08-15,"3,069.75"
2013-08-17,-
2013-08-18,"3,070.50"
2013-08-19,"3,081.00"
2013-08-20,"3,062.50"
2013-08-21,"3,101.75"
2013-08-22,"3,121.25"
2013-08-24,-
2013-08-25,"3,121.00"
2013-08-26,"3,059.50"
2013-08-27,"3,068.25"
2013-08-28,"3,089.50"
2013-08-29,"3,073.50"
2013-08-31,-
2013-09-02,"3,086.50"
2013-09-03,"3,128.25"
2013-09-04,"3,128.00"
2013-09-05,"3,129.50"
2013-09-07,-
2013-09-08,"3,165.00"
2013-09-09,"3,182.75"
2013-09-10,"3,178.50"
2013-09-11,"3,176.00"
2013-09-12,"3,177.75"
2013-09-14,-
2013-09-15,"3,167.75"
2013-09-16,"3,190.75"
2013-09-17,"3,228.75"
2013-09-18,"3,239.25"
2013-09-19,"3,248.00"
2013-09-21,-
2013-09-22,"3,209.00"
2013-09-23,"3,213.25"
2013-09-24,"3,200.00"
2013-09-25,"3,226.00"
2013-09-26,"3,223.00"
2013-09-28,-
2013-09-29,"3,209.00"
2013-09-30,"3,245.50"
2013-10-01,"3,237.50"
2013-10-02,"3,202.25"
2013-10-03,"3,234.50"
2013-10-05,-
2013-10-06,"3,205.00"
2013-10-07,"3,150.75"
2013-10-08,"3,132.50"
2013-10-09,"3,193.50"
2013-10-10,"3,225.50"
2013-10-12,-
2013-10-13,"3,248.25"
2013-10-14,"3,240.75"
2013-10-15,"3,264.00"
2013-10-16,"3,301.00"
2013-10-17,"3,342.00"
2013-10-19,-
2013-10-20,"3,354.00"
2013-10-21,"3,356.50"
2013-10-22,"3,340.00"
2013-10-23,"3,371.00"
2013-10-24,"3,373.75"
2013-10-26,-
2013-10-27,"3,383.25"
2013-10-28,"3,384.00"
2013-10-29,"3,392.25"
2013-10-30,"3,369.00"
2013-10-31,"3,368.00"
2013-11-02,-
2013-11-04,"3,377.50"
2013-11-05,"3,379.75"
2013-11-06,"3,376.00"
2013-11-07,"3,319.50"
2013-11-08,"3,360.50"
2013-11-10,-
2013-11-11,"3,354.25"
2013-11-12,"3,364.50"
2013-11-13,"3,402.00"
2013-11-14,"3,410.50"
2013-11-15,"3,416.50"
2013-11-17,-
2013-11-18,"3,384.00"
2013-11-19,"3,375.50"
2013-11-20,"3,366.50"
2013-11-21,"3,400.50"
2013-11-22,"3,420.00"
2013-11-24,-
2013-11-25,"3,429.00"
2013-11-26,"3,447.25"
2013-11-27,"3,468.50"
2013-11-29,-
2013-12-01,-
2013-12-02,"3,483.00"
2013-12-03,"3,475.75"
2013-12-04,"3,482.50"
2013-12-05,"3,478.75"
2013-12-06,"3,504.00"
2013-12-08,-
2013-12-09,"3,518.50"
2013-12-10,"3,516.00"
2013-12-11,"3,470.50"
2013-12-12,"3,459.50"
2013-12-13,"3,457.50"
2013-12-15,-
2013-12-16,"3,474.50"
2013-12-17,"3,465.25"
2013-12-18,"3,512.75"
2013-12-19,"3,497.00"
2013-12-20,"3,503.00"
2013-12-22,-
2013-12-23,"3,564.75"
2013-12-24,-
2013-12-26,"3,581.75"
2013-12-27,"3,570.25"
2013-12-29,-
2013-12-30,"3,565.75"
2013-12-31,"3,583.75"
2014-01-02,"3,559.25"
2014-01-03,"3,531.50"
2014-01-05,-
2014-01-06,"3,517.75"
2014-01-07,"3,548.75"
2014-01-08,"3,564.75"
2014-01-09,"3,547.75"
2014-01-10,"3,561.50"
2014-01-12,-
2014-01-13,"3,509.50"
2014-01-14,"3,573.75"
2014-01-15,"3,598.25"
2014-01-16,"3,595.25"
2014-01-17,"3,584.75"
2014-01-19,-
2014-01-21,"3,609.50"
2014-01-22,"3,620.50"
2014-01-23,"3,613.75"
2014-01-24,"3,532.25"
2014-01-26,-
2014-01-27,"3,503.00"
2014-01-28,"3,501.00"
2014-01-29,"3,473.00"
2014-01-30,"3,502.00"
2014-01-31,"3,514.00"
2014-02-02,-
2014-02-03,"3,430.00"
2014-02-04,"3,452.00"
2014-02-05,"3,445.50"
2014-02-06,"3,487.25"
2014-02-07,"3,558.00"
2014-02-09,-
2014-02-10,"3,577.50"
2014-02-11,"3,612.75"
2014-02-12,"3,624.50"
2014-02-13,"3,651.00"
2014-02-14,"3,661.00"
2014-02-16,-
2014-02-18,"3,675.00"
2014-02-19,"3,654.50"
2014-02-20,"3,671.50"
2014-02-21,"3,664.50"
2014-02-23,-
2014-02-24,"3,688.00"
2014-02-25,"3,688.50"
2014-02-26,"3,673.75"
2014-02-27,"3,701.50"
2014-02-28,"3,695.25"
2014-03-02,-
2014-03-03,"3,668.75"
2014-03-04,"3,716.75"
2014-03-05,"3,728.25"
2014-03-06,"3,722.00"
2014-03-07,"3,704.25"
2014-03-09,-
2014-03-09,"3,707.50"
2014-03-09,-
2014-03-09,"3,707.50"
2014-03-10,"3,688.50"
2014-03-11,"3,706.75"
2014-03-12,"3,651.25"
2014-03-13,"3,627.75"
2014-03-15,-
2014-03-16,"3,658.25"
2014-03-17,"3,701.50"
2014-03-18,"3,681.75"
2014-03-19,"3,699.00"
2014-03-20,"3,718.00"
2014-03-22,-
2014-03-23,"3,611.00"
2014-03-24,"3,623.75"
2014-03-25,"3,572.75"
2014-03-26,"3,554.25"
2014-03-27,"3,563.00"
2014-03-29,-
2014-03-30,"3,586.25"
2014-03-31,"3,650.25"
2014-04-01,"3,658.25"
2014-04-02,"3,630.75"
2014-04-03,"3,537.50"
2014-04-05,-
2014-04-06,"3,499.25"
2014-04-07,"3,528.50"
2014-04-08,"3,591.00"
2014-04-09,"3,480.00"
2014-04-10,"3,444.00"
2014-04-12,-
2014-04-13,"3,470.25"
2014-04-14,"3,491.25"
2014-04-15,"3,501.50"
2014-04-16,"3,523.25"
2014-04-19,-
2014-04-20,"3,551.25"
2014-04-21,"3,585.00"
2014-04-22,"3,554.50"
2014-04-23,"3,584.75"
2014-04-24,"3,530.50"
2014-04-26,-
2014-04-27,"3,540.75"
2014-04-28,"3,563.75"
2014-04-29,"3,573.25"
2014-04-30,"3,586.75"
2014-05-01,"3,579.25"
2014-05-03,-
2014-05-04,"3,590.75"
2014-05-05,"3,551.00"
2014-05-06,"3,540.50"
2014-05-07,"3,537.50"
2014-05-08,"3,548.00"
2014-05-10,-
2014-05-11,"3,607.75"
2014-05-12,"3,608.75"
2014-05-13,"3,596.25"
2014-05-14,"3,563.25"
2014-05-15,"3,582.75"
2014-05-17,-
2014-05-18,"3,613.25"
2014-05-19,"3,596.50"
2014-05-20,"3,633.50"
2014-05-21,"3,648.00"
2014-05-22,"3,675.00"
2014-05-24,-
2014-05-26,"3,721.25"
2014-05-27,"3,716.00"
2014-05-28,"3,735.50"
2014-05-29,"3,735.50"
2014-05-31,-
2014-06-01,"3,727.50"
2014-06-02,"3,730.75"
2014-06-03,"3,743.25"
2014-06-04,"3,776.25"
2014-06-05,"3,798.00"
2014-06-07,-
2014-06-08,"3,793.75"
2014-06-09,"3,800.50"
2014-06-10,"3,798.25"
2014-06-11,"3,771.25"
2014-06-12,"3,775.75"
2014-06-14,-
2014-06-15,"3,779.25"
2014-06-16,"3,779.50"
2014-06-17,"3,803.50"
2014-06-18,"3,797.25"
