Date,Close
2013-01-02,"2,742.75"
2013-01-03,"2,747.00"
2013-01-04,"2,736.00"
2013-01-06,-
2013-01-07,"2,722.75"
2013-01-08,"2,724.75"
2013-01-09,"2,730.25"
2013-01-10,"2,743.50"
2013-01-11,"2,744.50"
2013-01-13,-
2013-01-14,"2,750.25"
2013-01-15,"2,732.25"
2013-01-16,"2,737.50"
2013-01-17,"2,752.00"
2013-01-18,"2,741.75"
2013-01-20,-
2013-01-22,"2,758.00"
2013-01-23,"2,768.75"
2013-01-24,"2,743.00"
2013-01-25,"2,739.50"
2013-01-27,-
2013-01-28,"2,747.50"
2013-01-29,"2,747.00"
2013-01-30,"2,751.75"
2013-01-31,"2,746.25"
2013-02-01,"2,764.00"
2013-02-03,-
2013-02-04,"2,759.25"
2013-02-05,"2,759.25"
2013-02-06,"2,757.00"
2013-02-07,"2,748.75"
2013-02-08,"2,778.50"
2013-02-10,-
2013-02-11,"2,780.75"
2013-02-12,"2,774.50"
2013-02-13,"2,781.75"
2013-02-14,"2,775.00"
2013-02-15,"2,776.75"
2013-02-17,-
2013-02-19,"2,786.00"
2013-02-20,"2,786.50"
2013-02-21,"2,741.00"
2013-02-22,"2,739.00"
2013-02-24,-
2013-02-25,"2,764.50"
2013-02-26,"2,718.25"
2013-02-27,"2,757.75"
2013-02-28,"2,761.50"
2013-03-01,"2,751.50"
2013-03-03,-
2013-03-04,"2,763.75"
2013-03-05,"2,803.75"
2013-03-06,"2,809.25"
2013-03-07,"2,804.50"
2013-03-08,"2,827.75"
2013-03-10,-
2013-03-10,"2,812.25"
2013-03-10,-
2013-03-10,"2,812.25"
2013-03-11,"2,811.25"
2013-03-12,"2,808.50"
2013-03-13,"2,813.25"
2013-03-14,"2,811.50"
2013-03-16,-
2013-03-17,"2,797.25"
2013-03-18,"2,800.00"
2013-03-19,"2,806.50"
2013-03-20,"2,788.25"
2013-03-21,"2,799.50"
2013-03-23,-
2013-03-24,"2,811.50"
2013-03-25,"2,803.75"
