Date,Close
2013-01-02,"285,939"
2013-01-03,"216,626"
2013-01-04,"212,859"
2013-01-06,
2013-01-07,"174,832"
2013-01-08,"200,787"
2013-01-09,"159,091"
2013-01-10,"244,792"
2013-01-11,"140,405"
2013-01-13,
2013-01-14,"207,499"
2013-01-15,"210,640"
2013-01-16,"181,659"
2013-01-17,"211,220"
2013-01-18,"171,009"
2013-01-20,
2013-01-22,"195,839"
2013-01-23,"189,334"
2013-01-24,"289,636"
2013-01-25,"234,408"
2013-01-27,
2013-01-28,"202,433"
2013-01-29,"221,674"
2013-01-30,"252,062"
2013-01-31,"216,929"
2013-02-01,"222,751"
2013-02-03,
2013-02-04,"275,933"
2013-02-05,"243,055"
2013-02-06,"217,756"
2013-02-07,"273,081"
2013-02-08,"211,104"
2013-02-10,
2013-02-11,"146,485"
2013-02-12,"171,647"
2013-02-13,"164,467"
2013-02-14,"154,958"
2013-02-15,"169,760"
2013-02-17,
2013-02-19,"163,031"
2013-02-20,"230,436"
2013-02-21,"283,845"
2013-02-22,"187,525"
2013-02-24,
2013-02-25,"383,420"
2013-02-26,"321,127"
2013-02-27,"281,226"
2013-02-28,"248,960"
2013-03-01,"278,656"
2013-03-03,
2013-03-04,"243,022"
2013-03-05,"249,527"
2013-03-06,"224,481"
2013-03-07,"194,930"
2013-03-08,"147,817"
2013-03-10,
2013-03-10,"120,851"
2013-03-10,
2013-03-10,"120,851"
2013-03-11,"90,209"
2013-03-12,"78,283"
2013-03-13,"36,307"
2013-03-14,"151,634"
2013-03-16,
2013-03-17,"261,520"
2013-03-18,"280,858"
2013-03-19,"213,748"
2013-03-20,"221,279"
2013-03-21,"180,406"
2013-03-23,
2013-03-24,"249,371"
2013-03-25,"168,868"
2013-03-26,"185,710"
2013-03-27,"145,542"
2013-03-28,
2013-03-30,
2013-03-31,"145,803"
2013-04-01,"214,259"
2013-04-02,"256,746"
2013-04-03,"226,614"
2013-04-04,"265,278"
2013-04-06,
2013-04-07,"176,139"
2013-04-08,"237,574"
2013-04-09,"259,070"
2013-04-10,"199,356"
2013-04-11,"198,997"
2013-04-13,
2013-04-14,"326,433"
2013-04-15,"236,656"
2013-04-16,"378,577"
2013-04-17,"345,298"
2013-04-18,"273,830"
2013-04-20,
2013-04-21,"230,393"
2013-04-22,"269,327"
2013-04-23,"257,076"
2013-04-24,"196,635"
2013-04-25,"165,108"
2013-04-27,
2013-04-28,"175,223"
2013-04-29,"190,418"
2013-04-30,"154,074"
2013-05-01,"199,370"
2013-05-02,"193,083"
2013-05-04,
2013-05-05,"134,824"
2013-05-06,"176,584"
2013-05-07,"144,664"
2013-05-08,"185,018"
2013-05-09,"169,255"
2013-05-11,
2013-05-12,"162,112"
2013-05-13,"192,387"
2013-05-14,"206,061"
2013-05-15,"203,738"
2013-05-16,"188,115"
2013-05-18,
2013-05-19,"193,256"
2013-05-20,"185,202"
2013-05-21,"363,785"
2013-05-22,"313,279"
2013-05-23,"203,972"
2013-05-25,
2013-05-27,"238,818"
2013-05-28,"242,455"
2013-05-29,"215,945"
2013-05-30,"273,254"
2013-06-01,
2013-06-02,"322,752"
2013-06-03,"283,605"
2013-06-04,"302,592"
2013-06-05,"280,562"
2013-06-06,"266,604"
2013-06-08,
2013-06-09,"242,507"
2013-06-10,"312,061"
2013-06-11,"328,526"
2013-06-12,"284,586"
2013-06-13,"119,403"
2013-06-15,
2013-06-16,"113,841"
2013-06-17,"96,353"
2013-06-18,"65,002"
2013-06-19,"81,024"
2013-06-20,"399,203"
2013-06-22,
2013-06-23,"358,805"
2013-06-24,"257,859"
2013-06-25,"196,345"
2013-06-26,"173,476"
2013-06-27,"239,222"
2013-06-29,
2013-06-30,"200,624"
2013-07-01,"202,883"
2013-07-03,
2013-07-04,"228,913"
2013-07-06,
2013-07-07,"200,400"
2013-07-08,"162,518"
2013-07-09,"198,676"
2013-07-10,"200,923"
2013-07-11,"148,453"
2013-07-13,
2013-07-14,"112,409"
2013-07-15,"147,259"
2013-07-16,"186,222"
2013-07-17,"179,562"
2013-07-18,"203,203"
2013-07-20,
2013-07-21,"140,933"
2013-07-22,"161,677"
2013-07-23,"314,733"
