Date,Close
2013-01-01,15.36
2013-01-02,15.36
2013-01-03,15.29
2013-01-04,15.23
2013-01-07,15.19
2013-01-08,15.3
2013-01-09,15.35
2013-01-10,15.55
2013-01-11,15.52
2013-01-14,15.63
2013-01-15,15.49
2013-01-16,15.49
2013-01-17,15.71
2013-01-18,15.59
2013-01-22,15.62
2013-01-23,15.74
2013-01-24,15.77
2013-01-25,15.95
2013-01-28,15.83
2013-01-29,15.91
2013-01-30,15.97
2013-01-31,15.9
2013-02-01,16.08
2013-02-04,15.86
2013-02-05,15.95
2013-02-06,15.81
2013-02-07,15.82
2013-02-08,15.99
2013-02-11,15.98
2013-02-12,16.03
2013-02-13,16.14
2013-02-14,15.91
2013-02-15,15.83
2013-02-19,16.06
2013-02-20,15.91
2013-02-21,15.5
2013-02-22,15.65
2013-02-25,15.23
2013-02-26,15.48
2013-02-27,15.58
2013-02-28,15.56
2013-03-01,15.38
2013-03-04,15.48
2013-03-05,15.8
2013-03-06,15.71
2013-03-07,15.79
2013-03-08,15.71
2013-03-11,15.74
2013-03-12,15.83
2013-03-13,15.69
2013-03-14,15.53
2013-03-15,15.68
2013-03-18,15.55
2013-03-19,15.31
2013-03-20,15.3
2013-03-21,15.26
2013-03-22,15.28
2013-03-25,15.1
2013-03-26,15.22
2013-03-27,15.15
2013-03-28,15.3
2013-04-01,15.28
2013-04-02,15.36
2013-04-03,15.31
2013-04-04,15.21
2013-04-05,15.13
2013-04-08,15.26
2013-04-09,15.33
2013-04-10,15.43
2013-04-11,15.55
2013-04-12,15.37
2013-04-15,14.97
2013-04-16,15.1
2013-04-17,14.66
2013-04-18,14.73
2013-04-19,14.96
2013-04-22,14.83
2013-04-23,14.89
2013-04-24,14.99
2013-04-25,15.25
2013-04-26,15.33
2013-04-29,15.34
2013-04-30,15.45
2013-05-01,15.42
2013-05-02,15.34
2013-05-03,15.55
2013-05-06,15.51
2013-05-07,15.56
2013-05-08,15.78
2013-05-09,15.71
2013-05-10,15.62
2013-05-13,15.74
2013-05-14,15.67
2013-05-15,15.51
2013-05-16,15.56
2013-05-17,15.54
2013-05-20,15.68
2013-05-21,15.81
2013-05-22,15.69
2013-05-23,15.49
2013-05-24,15.56
2013-05-28,15.65
2013-05-29,15.56
2013-05-30,15.73
2013-05-31,15.53
2013-06-03,15.58
2013-06-04,15.54
2013-06-05,15.42
2013-06-06,15.44
2013-06-07,15.51
2013-06-10,15.52
2013-06-11,15.23
2013-06-12,15.26
2013-06-13,15.35
2013-06-14,15.43
2013-06-17,15.49
2013-06-18,15.59
2013-06-19,15.38
2013-06-20,14.58
2013-06-21,14.4
2013-06-24,13.87
2013-06-25,14.22
2013-06-26,14.4
2013-06-27,14.51
2013-06-28,14.41
2013-07-01,14.47
2013-07-02,14.46
2013-07-03,14.43
2013-07-05,14.37
2013-07-08,14.6
2013-07-09,14.59
2013-07-10,14.77
2013-07-11,15.1
2013-07-12,15.13
2013-07-15,15.17
2013-07-16,15.31
2013-07-17,15.37
2013-07-18,15.24
2013-07-19,15.49
2013-07-22,15.62
2013-07-23,15.69
2013-07-24,15.69
2013-07-25,15.55
2013-07-26,15.56
2013-07-29,15.55
2013-07-30,15.56
2013-07-31,15.55
2013-08-01,15.65
2013-08-02,15.65
2013-08-05,15.71
2013-08-06,15.65
2013-08-07,15.61
2013-08-08,15.85
2013-08-09,16.04
2013-08-12,15.99
2013-08-13,15.93
2013-08-14,16.01
2013-08-15,15.74
2013-08-16,15.91
2013-08-19,15.96
2013-08-20,15.75
2013-08-21,15.34
2013-08-22,15.47
2013-08-23,15.54
2013-08-26,15.55
2013-08-27,15.46
2013-08-28,15.52
2013-08-29,15.51
2013-08-30,15.3
2013-09-03,15.58
2013-09-04,15.62
