Date,Close
2013-01-01,115.20K
2013-01-02,115.20K
2013-01-03,24.61K
2013-01-04,35.26K
2013-01-07,18.81K
2013-01-08,13.26K
2013-01-09,6.77K
2013-01-10,55.93K
2013-01-11,42.52K
2013-01-14,72.99K
2013-01-15,21.66K
2013-01-16,25.71K
2013-01-17,18.71K
2013-01-18,12.06K
2013-01-22,18.49K
2013-01-23,33.97K
2013-01-24,56.52K
2013-01-25,91.08K
2013-01-28,71.49K
2013-01-29,12.48K
2013-01-30,13.23K
2013-01-31,46.44K
2013-02-01,50.37K
2013-02-04,114.34K
2013-02-05,33.74K
2013-02-06,117.44K
2013-02-07,23.05K
2013-02-08,24.53K
2013-02-11,18.20K
2013-02-12,50.99K
2013-02-13,60.03K
2013-02-14,87.50K
2013-02-15,26.62K
2013-02-19,43.19K
2013-02-20,83.34K
2013-02-21,71.29K
2013-02-22,34.84K
2013-02-25,93.11K
2013-02-26,32.83K
2013-02-27,39.16K
2013-02-28,33.21K
2013-03-01,73.67K
2013-03-04,17.03K
2013-03-05,16.63K
2013-03-06,85.46K
2013-03-07,21.28K
2013-03-08,34.33K
2013-03-11,4.72K
2013-03-12,45.61K
2013-03-13,24.62K
2013-03-14,14.76K
2013-03-15,42.04K
2013-03-18,21.62K
2013-03-19,24.90K
2013-03-20,114.56K
2013-03-21,638.35K
2013-03-22,16.66K
2013-03-25,42.07K
2013-03-26,13.05K
2013-03-27,11.39K
2013-03-28,32.37K
2013-04-01,25.35K
2013-04-02,20.86K
2013-04-03,20.21K
2013-04-04,12.51K
2013-04-05,17.40K
2013-04-08,7.16K
2013-04-09,32.38K
2013-04-10,12.58K
2013-04-11,16.97K
2013-04-12,9.71K
2013-04-15,61.19K
2013-04-16,20.95K
2013-04-17,14.31K
2013-04-18,46.16K
2013-04-19,77.11K
2013-04-22,95.88K
2013-04-23,12.26K
2013-04-24,15.23K
2013-04-25,22.74K
2013-04-26,76.24K
2013-04-29,12.53K
2013-04-30,13.80K
2013-05-01,19.96K
2013-05-02,15.72K
2013-05-03,41.26K
2013-05-06,25.84K
2013-05-07,28.65K
2013-05-08,54.24K
2013-05-09,8.90K
2013-05-10,10.83K
2013-05-13,18.92K
2013-05-14,11.26K
2013-05-15,228.92K
2013-05-16,17.99K
2013-05-17,75.79K
2013-05-20,28.70K
2013-05-21,37.63K
2013-05-22,50.54K
2013-05-23,13.02K
2013-05-24,29.22K
2013-05-28,27.08K
2013-05-29,12.26K
2013-05-30,50.81K
2013-05-31,34.19K
2013-06-03,18.87K
2013-06-04,27.71K
2013-06-05,76.61K
2013-06-06,35.76K
2013-06-07,159.22K
2013-06-10,10.81K
2013-06-11,16.87K
2013-06-12,56.87K
2013-06-13,22.65K
2013-06-14,42.42K
2013-06-17,14.16K
2013-06-18,17.40K
2013-06-19,6.80K
2013-06-20,63.55K
2013-06-21,138.61K
2013-06-24,60.64K
2013-06-25,20.62K
2013-06-26,6.34K
2013-06-27,19.14K
2013-06-28,26.44K
2013-07-01,12.60K
2013-07-02,9.34K
2013-07-03,12.15K
2013-07-05,23.76K
2013-07-08,53.78K
2013-07-09,41.59K
2013-07-10,29.88K
2013-07-11,25.73K
2013-07-12,68.88K
2013-07-15,26.70K
2013-07-16,16.30K
2013-07-17,8.33K
2013-07-18,22.59K
2013-07-19,23.76K
2013-07-22,9.70K
2013-07-23,16.04K
2013-07-24,18.60K
2013-07-25,21.90K
2013-07-26,6.42K
2013-07-29,8.69K
2013-07-30,220.29K
2013-07-31,16.60K
2013-08-01,31.42K
2013-08-02,181.70K
2013-08-05,40.96K
2013-08-06,128.21K
2013-08-07,49.90K
2013-08-08,24.70K
2013-08-09,172.35K
2013-08-12,49.44K
2013-08-13,22.93K
2013-08-14,26.64K
2013-08-15,24.60K
2013-08-16,16.00K
2013-08-19,30.44K
2013-08-20,10.30K
2013-08-21,12.39K
2013-08-22,14.04K
2013-08-23,12.63K
2013-08-26,3.71K
2013-08-27,25.07K
2013-08-28,8.32K
2013-08-29,18.92K
2013-08-30,14.81K
2013-09-03,13.04K
2013-09-04,17.80K
2013-09-05,85.64K
2013-09-06,6.30K
2013-09-09,46.08K
2013-09-10,18.22K
2013-09-11,38.40K
2013-09-12,48.90K
2013-09-13,7.28K
2013-09-16,14.28K
2013-09-17,7.78K
2013-09-18,721.04K
2013-09-19,23.71K
2013-09-20,22.69K
2013-09-23,13.96K
2013-09-24,28.58K
2013-09-25,52.83K
2013-09-26,31.18K
2013-09-27,7.17K
2013-09-30,29.76K
2013-10-01,13.60K
2013-10-02,50.11K
2013-10-03,14.20K
2013-10-04,8.56K
2013-10-07,11.09K
2013-10-08,35.87K
2013-10-09,23.31K
2013-10-10,7.05K
2013-10-11,4.64K
2013-10-14,43.34K
2013-10-15,83.91K
2013-10-16,21.99K
2013-10-17,22.76K
2013-10-18,43.25K
2013-10-21,35.47K
2013-10-22,133.52K
2013-10-23,59.08K
2013-10-24,45.72K
2013-10-25,13.43K
2013-10-28,30.24K
2013-10-29,9.57K
2013-10-30,26.01K
2013-10-31,7.02K
2013-11-01,36.91K
2013-11-04,15.78K
2013-11-05,30.97K
2013-11-06,30.83K
2013-11-07,87.29K
2013-11-08,10.66K
2013-11-11,10.08K
2013-11-12,20.22K
2013-11-13,48.34K
2013-11-14,17.66K
2013-11-15,23.68K
2013-11-18,5.66K
2013-11-19,19.58K
2013-11-20,41.16K
2013-11-21,33.41K
2013-11-22,32.60K
2013-11-25,9.73K
2013-11-26,10.73K
2013-11-27,4.56K
2013-11-29,32.72K
2013-12-02,13.86K
2013-12-03,397.45K
2013-12-04,33.08K
2013-12-05,24.42K
2013-12-06,33.33K
2013-12-09,9.67K
2013-12-10,49.44K
2013-12-11,19.66K
2013-12-12,13.26K
2013-12-13,8.76K
2013-12-16,3.05K
2013-12-17,16.02K
2013-12-18,14.19K
2013-12-19,6.95K
2013-12-20,18.02K
2013-12-23,18.70K
2013-12-24,5.94K
2013-12-26,15.47K
2013-12-27,6.56K
2013-12-30,2.82K
2013-12-31,6.19K
2014-01-02,9.75K
2014-01-03,193.50K
2014-01-06,22.29K
2014-01-07,10.08K
2014-01-08,12.10K
2014-01-09,21.46K
2014-01-10,20.17K
2014-01-13,15.30K
2014-01-14,15.40K
2014-01-15,42.44K
2014-01-16,8.45K
2014-01-17,18.65K
2014-01-21,46.91K
2014-01-22,9.71K
2014-01-23,12.83K
2014-01-24,76.18K
2014-01-27,19.28K
2014-01-28,165.75K
2014-01-29,19.37K
2014-01-30,9.37K
2014-01-31,27.83K
2014-02-03,22.81K
2014-02-04,10.50K
2014-02-05,579.41K
2014-02-06,38.75K
2014-02-07,18.38K
2014-02-10,2.93K
2014-02-11,21.02K
2014-02-12,5.27K
2014-02-13,7.22K
2014-02-14,30.84K
2014-02-18,8.78K
2014-02-19,27.81K
2014-02-20,14.68K
2014-02-21,2.36K
2014-02-24,10.74K
2014-02-25,5.65K
2014-02-26,16.86K
2014-02-27,1.12M
2014-02-28,67.32K
2014-03-03,15.44K
2014-03-04,34.40K
2014-03-05,12.69K
2014-03-06,8.17K
2014-03-07,24.45K
2014-03-10,10.90K
2014-03-11,15.71K
2014-03-12,12.57K
2014-03-13,17.91K
2014-03-14,24.15K
2014-03-17,19.20K
2014-03-18,6.21K
2014-03-19,12.04K
2014-03-20,13.26K
2014-03-21,6.05K
2014-03-24,7.81K
2014-03-25,12.18K
2014-03-26,8.21K
2014-03-27,21.23K
2014-03-28,4.54K
2014-03-31,11.23K
2014-04-01,9.81K
2014-04-02,44.24K
2014-04-03,25.00K
2014-04-04,43.83K
2014-04-07,284.62K
2014-04-08,18.34K
2014-04-09,8.64K
2014-04-10,17.45K
2014-04-11,30.73K
2014-04-14,10.86K
2014-04-15,19.20K
2014-04-16,125.77K
2014-04-17,19.30K
2014-04-21,8.46K
2014-04-22,26.01K
2014-04-23,13.75K
2014-04-24,9.39K
2014-04-25,28.73K
2014-04-28,42.70K
2014-04-29,20.55K
2014-04-30,14.93K
2014-05-01,6.74K
2014-05-02,37.73K
2014-05-05,19.87K
2014-05-06,10.50K
2014-05-07,34.60K
2014-05-08,22.25K
2014-05-09,16.96K
2014-05-12,22.35K
2014-05-13,16.80K
2014-05-14,10.56K
2014-05-15,35.25K
2014-05-16,113.67K
2014-05-19,15.66K
2014-05-20,10.96K
2014-05-21,8.11K
2014-05-22,15.89K
2014-05-23,22.62K
2014-05-27,318.97K
2014-05-28,20.07K
2014-05-29,14.24K
2014-05-30,30.87K
2014-06-02,8.50K
2014-06-03,561.36K
2014-06-04,69.20K
2014-06-05,44.70K
2014-06-06,125.66K
2014-06-09,73.51K
2014-06-10,58.40K
2014-06-11,21.78K
2014-06-12,13.33K
2014-06-13,10.60K
2014-06-16,9.18K
2014-06-17,15.89K
2014-06-18,13.64K
2014-06-19,7.40K
2014-06-20,12.54K
2014-06-23,43.94K
2014-06-24,24.36K
2014-06-25,2.52M
2014-06-26,167.13K
2014-06-27,27.94K
2014-06-30,79.77K
2014-07-01,10.01K
2014-07-02,133.34K
2014-07-03,29.19K
2014-07-07,83.05K
2014-07-08,193.90K
2014-07-09,64.78K
2014-07-10,47.01K
2014-07-11,18.00K
2014-07-14,19.63K
2014-07-15,11.62K
2014-07-16,47.45K
2014-07-17,45.77K
2014-07-18,36.34K
2014-07-21,2.60M
2014-07-22,405.28K
2014-07-23,98.37K
2014-07-24,40.53K
2014-07-25,18.06K
2014-07-28,59.53K
2014-07-29,100.33K
2014-07-30,163.08K
2014-07-31,147.20K
2014-08-01,211.62K
2014-08-04,118.75K
2014-08-05,215.97K
2014-08-06,97.76K
2014-08-07,131.68K
2014-08-08,22.20K
2014-08-11,30.25K
2014-08-12,43.88K
2014-08-13,41.04K
2014-08-14,39.58K
2014-08-15,34.27K
2014-08-18,32.27K
2014-08-19,16.49K
2014-08-20,51.56K
2014-08-21,44.65K
2014-08-22,28.41K
2014-08-25,23.30K
2014-08-26,13.38K
2014-08-27,6.84K
2014-08-28,17.43K
2014-08-29,79.52K
2014-09-02,38.52K
2014-09-03,20.20K
2014-09-04,49.85K
2014-09-05,26.96K
2014-09-08,99.01K
2014-09-09,39.38K
2014-09-10,57.62K
2014-09-11,23.15K
2014-09-12,14.44K
2014-09-15,30.30K
2014-09-16,18.65K
2014-09-17,10.20K
2014-09-18,67.25K
2014-09-19,27.73K
2014-09-22,27.47K
2014-09-23,558.75K
2014-09-24,35.33K
2014-09-25,36.34K
2014-09-26,89.89K
2014-09-29,40.37K
2014-09-30,47.89K
2014-10-01,23.51K
2014-10-02,191.93K
2014-10-03,211.60K
2014-10-06,53.66K
2014-10-07,36.69K
2014-10-08,40.61K
2014-10-09,95.71K
2014-10-10,100.01K
2014-10-13,33.57K
2014-10-14,117.54K
2014-10-15,100.45K
2014-10-16,49.42K
2014-10-17,66.57K
2014-10-20,72.54K
2014-10-21,30.33K
2014-10-22,46.20K
2014-10-23,42.08K
2014-10-24,44.21K
2014-10-27,48.03K
2014-10-28,18.43K
2014-10-29,61.45K
2014-10-30,17.99K
2014-10-31,23.11K
2014-11-03,24.17K
2014-11-04,37.45K
2014-11-05,188.33K
2014-11-06,12.91K
2014-11-07,18.11K
2014-11-10,78.25K
2014-11-11,52.82K
2014-11-12,43.84K
2014-11-13,42.22K
2014-11-14,413.70K
2014-11-17,66.52K
2014-11-18,206.29K
2014-11-19,31.96K
2014-11-20,41.66K
2014-11-21,146.35K
2014-11-24,85.56K
2014-11-25,317.50K
2014-11-26,107.82K
2014-11-28,105.30K
2014-12-01,93.50K
2014-12-02,405.11K
2014-12-03,4.69M
2014-12-04,2.42M
2014-12-05,371.05K
2014-12-08,114.60K
2014-12-09,134.74K
2014-12-10,166.93K
2014-12-11,104.03K
2014-12-12,98.28K
2014-12-15,101.75K
2014-12-16,49.55K
2014-12-17,121.08K
2014-12-18,162.07K
2014-12-19,59.55K
2014-12-22,47.60K
2014-12-23,153.13K
2014-12-24,10.64K
2014-12-26,14.54K
2014-12-29,48.61K
2014-12-30,63.49K
2014-12-31,82.48K
2015-01-02,31.16K
2015-01-05,60.81K
2015-01-06,46.89K
2015-01-07,161.33K
2015-01-08,64.61K
2015-01-09,35.89K
2015-01-12,44.22K
2015-01-13,16.36K
2015-01-14,38.89K
2015-01-15,12.19K
2015-01-16,24.22K
2015-01-20,151.38K
2015-01-21,41.31K
2015-01-22,77.33K
2015-01-23,73.53K
2015-01-26,28.97K
2015-01-27,23.13K
2015-01-28,77.66K
2015-01-29,48.14K
2015-01-30,42.94K
2015-02-02,42.19K
2015-02-03,153.50K
2015-02-04,47.96K
2015-02-05,104.64K
2015-02-06,49.16K
2015-02-09,51.58K
2015-02-10,157.47K
2015-02-11,56.92K
2015-02-12,73.47K
2015-02-13,247.33K
2015-02-17,45.54K
2015-02-18,29.99K
2015-02-19,41.90K
2015-02-20,54.64K
2015-02-23,135.99K
2015-02-24,29.13K
2015-02-25,53.41K
2015-02-26,56.53K
2015-02-27,29.55K
2015-03-02,47.42K
2015-03-03,93.54K
2015-03-04,56.55K
2015-03-05,49.79K
2015-03-06,41.91K
2015-03-09,44.45K
2015-03-10,122.06K
2015-03-11,25.48K
2015-03-12,280.97K
2015-03-13,512.78K
2015-03-16,92.08K
2015-03-17,105.39K
2015-03-18,108.24K
2015-03-19,69.39K
2015-03-20,160.97K
2015-03-23,66.97K
2015-03-24,32.85K
2015-03-25,20.82K
2015-03-26,53.29K
2015-03-27,33.88K
2015-03-30,14.39K
2015-03-31,14.73K
2015-04-01,56.24K
2015-04-02,7.80K
2015-04-06,147.39K
2015-04-07,54.08K
2015-04-08,284.29K
2015-04-09,70.40K
2015-04-10,29.17K
2015-04-13,63.66K
2015-04-14,81.68K
2015-04-15,108.11K
2015-04-16,417.34K
2015-04-17,119.24K
2015-04-20,28.37K
