Date,Close
1/1/2014,121.87
1/1/2015,55.46
1/1/2016,63.5
1/1/2017,66.47
1/1/2018,33.78
1/1/2019,
1/1/2020,
1/1/2021,
1/10/2013,118.46
1/10/2014,118.14
1/10/2015,48.63
1/10/2016,60.24
1/10/2017,65.37
1/10/2018,37.47
1/10/2019,
1/10/2020,
1/10/2021,
1/11/2013,118.0
1/11/2014,118.48
1/11/2015,47.6
1/11/2016,57.14
1/11/2017,63.25
1/11/2018,36.22
1/11/2019,
1/11/2020,
1/11/2021,
1/12/2013,118.84
1/12/2014,117.19
1/12/2015,48.47
1/12/2016,57.08
1/12/2017,64.71
1/12/2018,36.71
1/12/2019,
1/12/2020,
1/12/2021,
1/13/2013,119.39
1/13/2014,113.19
1/13/2015,48.89
1/13/2016,55.81
1/13/2017,63.61
1/13/2018,35.61
1/13/2019,
1/13/2020,
1/13/2021,
1/14/2013,119.4
1/14/2014,113.1
1/14/2015,46.49
1/14/2016,55.51
1/14/2017,62.91
1/14/2018,36.73
1/14/2019,
1/14/2020,
1/14/2021,
1/15/2013,119.61
1/15/2014,110.64
1/15/2015,44.22
1/15/2016,56.23
1/15/2017,63.85
1/15/2018,37.16
1/15/2019,
1/15/2020,
1/15/2021,
1/16/2013,119.36
1/16/2014,110.35
1/16/2015,45.02
1/16/2016,55.02
1/16/2017,63.46
1/16/2018,37.25
1/16/2019,
1/16/2020,
1/16/2021,
1/17/2013,121.22
1/17/2014,110.98
1/17/2015,45.19
1/17/2016,55.11
1/17/2017,61.32
1/17/2018,35.89
1/17/2019,
1/17/2020,
1/18/2013,120.79
1/18/2014,110.55
1/18/2015,46.5
1/18/2016,55.94
1/18/2017,58.42
1/18/2018,34.55
1/18/2019,
1/18/2020,
1/19/2013,121.85
1/19/2014,111.47
1/19/2015,45.39
1/19/2016,55.81
1/19/2017,59.52
1/19/2018,32.84
1/19/2019,
1/19/2020,
1/2/2013,117.12
1/2/2014,122.09
1/2/2015,56.88
1/2/2016,62.6
1/2/2017,67.72
1/2/2018,33.75
1/2/2019,
1/2/2020,
1/2/2021,
1/20/2013,121.21
1/20/2014,111.44
1/20/2015,46.04
1/20/2016,54.94
1/20/2017,58.44
1/20/2018,34.0
1/20/2019,
1/20/2020,
1/21/2013,121.58
1/21/2014,108.78
1/21/2015,45.43
1/21/2016,52.6
1/21/2017,56.35
1/21/2018,35.25
1/21/2019,
1/21/2020,
1/22/2013,118.83
1/22/2014,109.02
1/22/2015,45.74
1/22/2016,52.8
1/22/2017,58.64
1/22/2018,35.73
1/22/2019,
1/22/2020,
1/23/2013,118.96
1/23/2014,110.17
1/23/2015,42.48
1/23/2016,53.03
1/23/2017,58.79
1/23/2018,36.56
1/23/2019,
1/23/2020,
1/24/2013,120.0
1/24/2014,110.08
1/24/2015,40.13
1/24/2016,51.44
1/24/2017,58.41
1/24/2018,34.5
1/24/2019,
1/24/2020,
1/25/2013,119.24
1/25/2014,107.6
1/25/2015,36.17
1/25/2016,52.83
1/25/2017,59.0
1/25/2018,35.17
1/25/2019,
1/25/2020,
1/26/2013,118.07
1/26/2014,107.6
1/26/2015,35.5
1/26/2016,50.98
1/26/2017,58.43
1/26/2018,35.95
1/26/2019,
1/26/2020,
1/27/2013,116.9
1/27/2014,105.73
1/27/2015,34.6
1/27/2016,51.77
1/27/2017,61.54
1/27/2018,35.62
1/27/2019,
1/27/2020,
1/28/2013,117.89
1/28/2014,106.68
1/28/2015,34.78
1/28/2016,51.92
1/28/2017,60.22
1/28/2018,37.04
1/28/2019,
1/28/2020,
1/29/2013,118.73
1/29/2014,106.51
1/29/2015,35.27
1/29/2016,52.82
1/29/2017,58.58
1/29/2018,35.27
1/29/2019,
1/29/2020,
1/3/2013,117.19
1/3/2014,120.58
1/3/2015,56.18
1/3/2016,59.87
1/3/2017,66.32
1/3/2018,32.14
1/3/2019,
1/3/2020,
1/3/2021,
1/30/2013,117.69
1/30/2014,106.49
1/30/2015,34.91
1/30/2016,52.67
1/30/2017,55.22
1/30/2018,37.35
1/30/2019,
1/30/2020,
1/31/2013,118.38
1/31/2014,105.66
1/31/2015,33.52
1/31/2016,52.34
1/31/2017,58.12
1/31/2018,40.15
1/31/2019,
1/31/2020,
1/4/2013,117.48
1/4/2014,117.5
1/4/2015,55.19
1/4/2016,60.85
1/4/2017,70.04
1/4/2018,33.17
1/4/2019,
1/4/2020,
1/4/2021,
1/5/2013,116.1
1/5/2014,117.04
1/5/2015,53.09
1/5/2016,60.86
1/5/2017,66.03
1/5/2018,34.07
1/5/2019,
1/5/2020,
1/5/2021,
1/6/2013,117.79
1/6/2014,116.69
1/6/2015,50.7
1/6/2016,60.67
1/6/2017,66.52
1/6/2018,33.68
1/6/2019,
1/6/2020,
1/6/2021,
1/7/2013,117.75
1/7/2014,117.82
1/7/2015,49.7
1/7/2016,61.76
1/7/2017,66.54
1/7/2018,32.65
1/7/2019,
1/7/2020,
1/7/2021,
1/8/2013,118.35
1/8/2014,117.89
1/8/2015,51.18
1/8/2016,60.29
1/8/2017,66.18
1/8/2018,33.93
1/8/2019,
1/8/2020,
1/8/2021,
1/9/2013,118.32
1/9/2014,117.69
1/9/2015,50.66
1/9/2016,59.81
1/9/2017,65.64
1/9/2018,36.52
1/9/2019,
1/9/2020,
1/9/2021,
10/1/2013,104.76
10/1/2014,58.71
10/1/2015,61.02
10/1/2016,74.69
10/1/2017,63.21
10/1/2018,
10/1/2019,
10/1/2020,
10/10/2013,104.7
10/10/2014,56.72
10/10/2015,61.45
10/10/2016,79.91
10/10/2017,64.65
10/10/2018,
10/10/2019,
10/10/2020,
10/11/2013,102.12
10/11/2014,55.47
10/11/2015,61.46
10/11/2016,79.69
10/11/2017,65.8
10/11/2018,
10/11/2019,
10/11/2020,
10/12/2013,103.62
10/12/2014,57.21
10/12/2015,60.05
10/12/2016,78.91
10/12/2017,66.18
10/12/2018,
10/12/2019,
10/12/2020,
10/13/2013,105.35
10/13/2014,56.07
10/13/2015,60.53
10/13/2016,77.58
10/13/2017,66.0
10/13/2018,
10/13/2019,
10/13/2020,
10/14/2013,107.05
10/14/2014,55.51
10/14/2015,60.77
10/14/2016,80.86
10/14/2017,65.94
10/14/2018,
10/14/2019,
10/14/2020,
10/15/2013,108.2
10/15/2014,56.61
10/15/2015,61.25
10/15/2016,83.0
10/15/2017,66.89
10/15/2018,
10/15/2019,
10/15/2020,
10/16/2013,105.67
10/16/2014,56.65
10/16/2015,63.25
10/16/2016,82.71
10/16/2017,65.81
10/16/2018,
10/16/2019,
10/16/2020,
10/17/2013,106.06
10/17/2014,54.81
10/17/2015,61.73
10/17/2016,82.23
10/17/2017,66.19
10/17/2018,
10/17/2019,
10/17/2020,
10/18/2013,106.41
10/18/2014,54.31
10/18/2015,61.98
10/18/2016,81.26
10/18/2017,65.99
10/18/2018,
10/18/2019,
10/18/2020,
10/19/2013,107.64
10/19/2014,53.44
10/19/2015,64.5
10/19/2016,80.9
10/19/2017,66.22
10/19/2018,
10/19/2019,
10/19/2020,
10/2/2013,103.95
10/2/2014,57.86
10/2/2015,62.63
10/2/2016,73.88
10/2/2017,62.73
10/2/2018,
10/2/2019,
10/2/2020,
10/20/2013,107.33
10/20/2014,53.08
10/20/2015,64.37
10/20/2016,79.68
10/20/2017,65.86
10/20/2018,
10/20/2019,
10/20/2020,
10/21/2013,108.33
10/21/2014,52.27
10/21/2015,63.92
10/21/2016,80.48
10/21/2017,66.75
10/21/2018,
10/21/2019,
10/21/2020,
10/22/2013,106.3
10/22/2014,51.45
10/22/2015,62.58
10/22/2016,80.72
10/22/2017,66.91
10/22/2018,
10/22/2019,
10/22/2020,
10/23/2013,106.65
10/23/2014,48.63
10/23/2015,59.87
10/23/2016,81.25
10/23/2017,67.19
10/23/2018,
10/23/2019,
10/23/2020,
10/24/2013,106.62
10/24/2014,50.06
10/24/2015,61.71
10/24/2016,81.78
10/24/2017,66.46
10/24/2018,
10/24/2019,
10/24/2020,
10/25/2013,104.49
10/25/2014,51.09
10/25/2015,59.44
10/25/2016,83.46
10/25/2017,65.24
10/25/2018,
10/25/2019,
10/25/2020,
10/26/2013,105.0
10/26/2014,51.71
10/26/2015,60.22
10/26/2016,82.68
10/26/2017,66.3
10/26/2018,
10/26/2019,
10/26/2020,
10/27/2013,102.92
10/27/2014,55.02
10/27/2015,60.38
10/27/2016,82.09
10/27/2017,66.78
10/27/2018,
10/27/2019,
10/27/2020,
10/28/2013,101.34
10/28/2014,55.09
10/28/2015,60.37
10/28/2016,83.02
10/28/2017,66.11
10/28/2018,
10/28/2019,
10/28/2020,
10/29/2013,100.09
10/29/2014,55.28
10/29/2015,58.91
10/29/2016,82.93
10/29/2017,65.89
10/29/2018,
10/29/2019,
10/29/2020,
10/3/2013,104.36
10/3/2014,56.1
10/3/2015,63.44
10/3/2016,77.49
10/3/2017,61.9
10/3/2018,
10/3/2019,
10/3/2020,
10/30/2013,100.64
10/30/2014,54.4
10/30/2015,60.25
10/30/2016,79.57
10/30/2017,65.76
10/30/2018,
10/30/2019,
10/30/2020,
10/31/2013,101.25
10/31/2014,55.5
10/31/2015,61.09
10/31/2016,79.08
10/31/2017,66.38
10/31/2018,
10/31/2019,
10/31/2020,
10/4/2013,105.44
10/4/2014,55.26
10/4/2015,62.33
10/4/2016,75.76
10/4/2017,62.95
10/4/2018,
10/4/2019,
10/4/2020,
10/5/2013,107.11
10/5/2014,56.25
10/5/2015,62.49
10/5/2016,76.58
10/5/2017,63.11
10/5/2018,
10/5/2019,
10/5/2020,
10/6/2013,106.18
10/6/2014,58.91
10/6/2015,61.91
10/6/2016,79.01
10/6/2017,63.96
10/6/2018,
10/6/2019,
10/6/2020,
10/7/2013,106.46
10/7/2014,58.07
10/7/2015,60.77
10/7/2016,78.66
10/7/2017,64.41
10/7/2018,
10/7/2019,
