Date,Close
1/1/2014,114.64
1/1/2015,117.91
1/1/2016,124.13
1/1/2017,146.06
1/1/2018,157.6
1/1/2019,137.47
1/1/2020,167.85
1/1/2021,152.41
1/10/2013,
1/10/2014,115.66
1/10/2015,117.29
1/10/2016,114.03
1/10/2017,147.14
1/10/2018,161.79
1/10/2019,145.49
1/10/2020,167.36
1/10/2021,152.41
1/11/2013,
1/11/2014,115.94
1/11/2015,117.29
1/11/2016,114.03
1/11/2017,146.82
1/11/2018,161.64
1/11/2019,144.47
1/11/2020,167.94
1/11/2021,152.41
1/12/2013,
1/12/2014,115.94
1/12/2015,117.29
1/12/2016,112.29
1/12/2017,147.71
1/12/2018,161.38
1/12/2019,144.37
1/12/2020,167.94
1/12/2021,152.41
1/13/2013,
1/13/2014,115.94
1/13/2015,116.36
1/13/2016,112.74
1/13/2017,147.68
1/13/2018,162.76
1/13/2019,144.37
1/13/2020,167.94
1/13/2021,152.41
1/14/2013,
1/14/2014,116.65
1/14/2015,116.76
1/14/2016,113.11
1/14/2017,147.93
1/14/2018,162.76
1/14/2019,144.37
1/14/2020,169.02
1/14/2021,152.41
1/15/2013,
1/15/2014,117.03
1/15/2015,116.0
1/15/2016,109.25
1/15/2017,147.93
1/15/2018,162.76
1/15/2019,142.66
1/15/2020,168.67
1/15/2021,152.41
1/16/2013,
1/16/2014,118.38
1/16/2015,115.19
1/16/2016,107.86
1/16/2017,147.93
1/16/2018,162.08
1/16/2019,142.55
1/16/2020,168.41
1/16/2021,152.41
1/17/2013,
1/17/2014,118.21
1/17/2015,114.66
1/17/2016,107.86
1/17/2017,146.69
1/17/2018,162.14
1/17/2019,142.81
1/17/2020,168.62
1/18/2013,
1/18/2014,117.85
1/18/2015,114.66
1/18/2016,107.86
1/18/2017,146.51
1/18/2018,160.68
1/18/2019,142.48
1/18/2020,169.47
1/19/2013,
1/19/2014,117.85
1/19/2015,114.66
1/19/2016,106.04
1/19/2017,147.15
1/19/2018,160.52
1/19/2019,144.1
1/19/2020,169.47
1/2/2013,
1/2/2014,114.64
1/2/2015,117.91
1/2/2016,124.13
1/2/2017,146.06
1/2/2018,157.6
1/2/2019,137.47
1/2/2020,167.85
1/2/2021,152.41
1/20/2013,
1/20/2014,117.85
1/20/2015,116.49
1/20/2016,109.46
1/20/2017,148.15
1/20/2018,161.68
1/20/2019,144.1
1/20/2020,169.47
1/21/2013,
1/21/2014,117.74
1/21/2015,116.65
1/21/2016,104.32
1/21/2017,149.26
1/21/2018,161.68
1/21/2019,144.1
1/21/2020,170.04
1/22/2013,
1/22/2014,117.76
1/22/2015,116.7
1/22/2016,106.51
1/22/2017,149.26
1/22/2018,161.68
1/22/2019,145.13
1/22/2020,170.09
1/23/2013,
1/23/2014,118.23
1/23/2015,117.32
1/23/2016,110.59
1/23/2017,149.26
1/23/2018,161.93
1/23/2019,143.82
1/23/2020,170.08
1/24/2013,
1/24/2014,117.1
1/24/2015,118.1
1/24/2016,110.59
1/24/2017,148.65
1/24/2018,162.61
1/24/2019,143.29
1/24/2020,166.62
1/25/2013,
1/25/2014,115.26
1/25/2015,118.1
1/25/2016,110.59
1/25/2017,148.02
1/25/2018,162.28
1/25/2019,141.47
1/25/2020,168.38
1/26/2013,
1/26/2014,115.26
1/26/2015,118.1
1/26/2016,110.09
1/26/2017,149.99
1/26/2018,161.79
1/26/2019,141.77
1/26/2020,168.38
1/27/2013,
1/27/2014,115.26
1/27/2015,118.13
1/27/2016,110.38
1/27/2017,150.74
1/27/2018,160.5
1/27/2019,141.77
1/27/2020,168.38
1/28/2013,
1/28/2014,113.69
1/28/2015,117.0
1/28/2016,109.2
1/28/2017,149.99
1/28/2018,160.5
1/28/2019,141.77
1/28/2020,163.25
1/29/2013,
1/29/2014,114.58
1/29/2015,117.51
1/29/2016,110.61
1/29/2017,149.99
1/29/2018,160.5
1/29/2019,140.64
1/29/2020,163.23
1/3/2013,
1/3/2014,114.11
1/3/2015,119.35
1/3/2016,124.13
1/3/2017,147.45
1/3/2018,157.67
1/3/2019,139.1
1/3/2020,169.73
1/3/2021,152.41
1/30/2013,
1/30/2014,114.01
1/30/2015,117.03
1/30/2016,112.62
1/30/2017,149.99
1/30/2018,159.46
1/30/2019,140.78
1/30/2020,164.3
1/31/2013,
1/31/2014,115.02
1/31/2015,117.02
1/31/2016,112.62
1/31/2017,148.02
1/31/2018,157.71
1/31/2019,141.54
1/31/2020,161.64
1/4/2013,
1/4/2014,115.03
1/4/2015,119.35
1/4/2016,124.13
1/4/2017,148.2
1/4/2018,158.01
1/4/2019,139.45
1/4/2020,169.56
