Date,Close
2013-01-01,0.00%
2013-01-02,-100.00%
2013-01-03,0.00%
2013-01-04,0.00%
2013-01-07,0.00%
2013-01-08,0.00%
2013-01-09,0.00%
2013-01-10,0.00%
2013-01-11,0.00%
2013-01-13,0.00%
2013-01-14,-100.00%
2013-01-15,0.00%
2013-01-16,0.00%
2013-01-17,0.00%
2013-01-18,0.00%
2013-01-21,0.00%
2013-01-22,0.00%
2013-01-23,0.00%
2013-01-24,0.00%
2013-01-25,0.00%
2013-01-28,0.00%
2013-01-29,0.00%
2013-01-30,0.00%
2013-01-31,0.00%
2013-02-01,0.00%
2013-02-04,0.00%
2013-02-06,0.00%
2013-02-07,0.00%
2013-02-08,0.00%
2013-02-09,0.00%
2013-02-11,-100.00%
2013-02-12,0.00%
2013-02-13,0.00%
2013-02-14,0.00%
2013-02-15,0.00%
2013-02-17,0.00%
2013-02-18,-100.00%
2013-02-19,0.00%
2013-02-20,0.00%
2013-02-21,0.00%
2013-02-22,0.00%
2013-02-25,0.00%
2013-02-26,0.00%
2013-02-27,0.00%
2013-02-28,0.00%
2013-03-01,0.00%
2013-03-04,0.00%
2013-03-05,-0.41%
2013-03-06,-0.18%
2013-03-07,0.00%
2013-03-08,-0.06%
2013-03-11,-2.80%
2013-03-12,0.00%
2013-03-13,-0.74%
2013-03-14,-1.91%
2013-03-15,-0.38%
2013-03-17,0.00%
2013-03-18,0.95%
2013-03-19,1.00%
2013-03-20,1.61%
2013-03-21,0.00%
2013-03-22,2.44%
2013-03-25,-0.36%
2013-03-26,0.00%
2013-03-27,0.00%
2013-04-02,0.54%
2013-04-03,0.06%
2013-04-04,0.00%
2013-04-05,0.06%
2013-04-08,-0.24%
2013-04-09,-0.12%
2013-04-10,-0.48%
2013-04-11,-0.84%
2013-04-12,0.06%
2013-04-15,-0.60%
2013-04-16,0.00%
2013-04-17,0.00%
2013-04-18,0.06%
2013-04-19,-0.61%
2013-04-22,-0.67%
2013-04-23,-1.41%
2013-04-24,-1.62%
2013-04-25,-0.76%
2013-04-26,-0.51%
2013-04-29,0.00%
2013-04-30,-0.38%
2013-05-02,0.00%
2013-05-03,-0.32%
2013-05-06,0.00%
2013-05-07,0.00%
2013-05-08,1.49%
2013-05-10,1.72%
2013-05-13,0.06%
2013-05-14,-3.13%
2013-05-15,-2.65%
2013-05-16,-0.73%
2013-05-21,0.07%
2013-05-22,-0.73%
2013-05-23,0.00%
2013-05-24,-1.34%
2013-05-25,0.00%
2013-05-27,0.75%
2013-05-28,0.00%
2013-05-29,0.88%
2013-05-30,0.27%
2013-05-31,0.00%
2013-06-03,0.87%
2013-06-04,0.00%
2013-06-05,-0.66%
2013-06-06,-1.34%
2013-06-07,-1.42%
2013-06-08,0.00%
2013-06-10,0.00%
2013-06-11,0.00%
2013-06-12,1.44%
2013-06-13,1.29%
2013-06-14,1.94%
2013-06-16,0.00%
2013-06-17,-0.79%
2013-06-18,-0.33%
2013-06-19,-0.86%
2013-06-20,0.67%
2013-06-21,-1.66%
2013-06-23,0.00%
2013-06-24,1.01%
2013-06-25,0.00%
2013-06-26,0.33%
2013-06-27,0.33%
2013-06-28,0.33%
2013-07-01,0.79%
2013-07-02,0.46%
2013-07-03,0.00%
2013-07-04,-0.26%
2013-07-05,0.00%
2013-07-08,0.26%
2013-07-09,-0.26%
2013-07-10,-0.07%
2013-07-11,0.00%
2013-07-12,-0.07%
2013-07-15,0.00%
2013-07-16,0.07%
2013-07-17,0.00%
2013-07-18,-0.07%
2013-07-19,0.07%
2013-07-22,0.00%
2013-07-23,0.00%
2013-07-24,0.07%
2013-07-25,-0.07%
2013-07-26,0.00%
2013-07-29,-0.07%
2013-07-30,0.00%
2013-07-31,-0.13%
2013-08-01,-1.45%
2013-08-02,0.93%
2013-08-05,0.73%
2013-08-06,-1.64%
2013-08-07,3.40%
2013-08-08,-0.06%
2013-08-09,0.06%
2013-08-10,0.00%
2013-08-11,0.00%
2013-08-12,1.93%
2013-08-13,-0.13%
2013-08-14,0.00%
2013-08-15,1.01%
2013-08-16,0.25%
2013-08-19,-0.63%
2013-08-20,1.89%
2013-08-21,-1.05%
2013-08-22,1.37%
2013-08-23,0.43%
2013-08-26,-0.12%
2013-08-27,0.00%
2013-08-28,-0.61%
2013-08-29,0.00%
2013-08-30,0.00%
2013-09-01,0.00%
2013-09-02,0.00%
2013-09-03,-0.62%
2013-09-04,0.00%
2013-09-05,0.00%
2013-09-06,-2.55%
2013-09-07,0.00%
2013-09-08,0.00%
2013-09-09,0.06%
2013-09-10,-2.55%
2013-09-11,1.64%
2013-09-12,1.61%
2013-09-13,0.00%
2013-09-15,0.00%
2013-09-16,-6.65%
2013-09-17,0.27%
2013-09-18,8.59%
2013-09-19,-0.56%
2013-09-20,0.06%
2013-09-22,0.00%
2013-09-23,0.13%
2013-09-24,0.19%
2013-09-25,0.19%
2013-09-26,-0.06%
2013-09-27,0.06%
2013-09-29,0.00%
2013-09-30,0.12%
2013-10-01,0.00%
2013-10-02,0.62%
2013-10-03,0.43%
2013-10-04,-0.43%
2013-10-07,0.00%
2013-10-08,0.00%
2013-10-09,-0.25%
2013-10-10,-0.37%
2013-10-11,0.00%
2013-10-14,-0.25%
2013-10-15,0.25%
2013-10-16,0.00%
2013-10-17,0.06%
2013-10-18,0.00%
2013-10-21,0.62%
2013-10-22,0.00%
2013-10-23,0.00%
2013-10-24,-1.24%
2013-10-25,0.00%
2013-10-27,0.00%
2013-10-28,-0.13%
2013-10-29,0.13%
2013-10-30,-0.94%
2013-10-31,0.69%
2013-11-01,-0.94%
2013-11-03,0.00%
2013-11-04,-0.06%
2013-11-05,-1.84%
2013-11-06,-0.65%
2013-11-07,-4.09%
2013-11-08,0.41%
2013-11-11,0.20%
