Date,Close
2013-01-02,
2013-01-03,
2013-01-04,
2013-01-05,
2013-01-06,
2013-01-07,
2013-01-08,
2013-01-09,
2013-01-10,
2013-01-11,
2013-01-12,
2013-01-13,
2013-01-14,
2013-01-15,
2013-01-16,
2013-01-17,
2013-01-18,
2013-01-19,
2013-01-20,
2013-01-21,
2013-01-22,
2013-01-23,
2013-01-24,
2013-01-25,
2013-01-26,
2013-01-27,
2013-01-28,
2013-01-29,
2013-01-30,
2013-01-31,
2013-02-01,
2013-02-02,
2013-02-03,
2013-02-04,
2013-02-05,
2013-02-06,
2013-02-07,
2013-02-08,
2013-02-09,
2013-02-10,
2013-02-11,
2013-02-12,
2013-02-13,
2013-02-14,
2013-02-15,
2013-02-16,
2013-02-17,
2013-02-18,
2013-02-19,
2013-02-20,
2013-02-21,
2013-02-22,
2013-02-23,
2013-02-24,
2013-02-25,
2013-02-26,
2013-02-27,
2013-02-28,
2013-03-01,
2013-03-02,
2013-03-03,
2013-03-04,
2013-03-05,
2013-03-06,
2013-03-07,
2013-03-08,
2013-03-09,
2013-03-10,
2013-03-11,
2013-03-12,
2013-03-13,
2013-03-14,
2013-03-15,
2013-03-16,
2013-03-17,
2013-03-18,
2013-03-19,
2013-03-20,
2013-03-21,
2013-03-22,
2013-03-23,
2013-03-24,
2013-03-25,
2013-03-26,
2013-03-27,
2013-03-28,
2013-03-29,
2013-03-30,
2013-03-31,
2013-04-01,
2013-04-02,
2013-04-03,
2013-04-04,
2013-04-05,
2013-04-06,
2013-04-07,
2013-04-08,
2013-04-09,
2013-04-10,
2013-04-11,
2013-04-12,
2013-04-13,
2013-04-14,
2013-04-15,
2013-04-16,
2013-04-17,
2013-04-18,
2013-04-19,
2013-04-20,
2013-04-21,
2013-04-22,
2013-04-23,
2013-04-24,
2013-04-25,
2013-04-26,
2013-04-27,
2013-04-28,
2013-04-29,
2013-04-30,
2013-05-01,
2013-05-02,
2013-05-03,
2013-05-04,
2013-05-05,
2013-05-06,
2013-05-07,
2013-05-08,
2013-05-09,
2013-05-10,
2013-05-11,
2013-05-12,
2013-05-13,
2013-05-14,
2013-05-15,
2013-05-16,
2013-05-17,
2013-05-18,
2013-05-19,
2013-05-20,
2013-05-21,
2013-05-22,
2013-05-23,
2013-05-24,
2013-05-25,
2013-05-26,
2013-05-27,
2013-05-28,
2013-05-29,
2013-05-30,
2013-05-31,
2013-06-01,
2013-06-02,
2013-06-03,
2013-06-04,
2013-06-05,
2013-06-06,
2013-06-07,
2013-06-08,
2013-06-09,
2013-06-10,
2013-06-11,
2013-06-12,
2013-06-13,
2013-06-14,
2013-06-15,
2013-06-16,
2013-06-17,
2013-06-18,
2013-06-19,
2013-06-20,
2013-06-21,
2013-06-22,
2013-06-23,
2013-06-24,
2013-06-25,
2013-06-26,
2013-06-27,
2013-06-28,
2013-06-29,
2013-06-30,
2013-07-01,
2013-07-02,
2013-07-03,
2013-07-04,
2013-07-05,
2013-07-06,
2013-07-07,
2013-07-08,
2013-07-09,
2013-07-10,
2013-07-11,
2013-07-12,
2013-07-13,
2013-07-14,
2013-07-15,
2013-07-16,
2013-07-17,
2013-07-18,
2013-07-19,
2013-07-20,
2013-07-21,
2013-07-22,
2013-07-23,
2013-07-24,
2013-07-25,
2013-07-26,
2013-07-27,
2013-07-28,
2013-07-29,
2013-07-30,
2013-07-31,
2013-08-01,
2013-08-02,
2013-08-03,
2013-08-04,
2013-08-05,
2013-08-06,
2013-08-07,
2013-08-08,
2013-08-09,
2013-08-10,
2013-08-11,
2013-08-12,
2013-08-13,
2013-08-14,
2013-08-15,
2013-08-16,
2013-08-17,
2013-08-18,
2013-08-19,
2013-08-20,
2013-08-21,
2013-08-22,
2013-08-23,
2013-08-24,
2013-08-25,
2013-08-26,
2013-08-27,
2013-08-28,
2013-08-29,
2013-08-30,
2013-08-31,
2013-09-01,
2013-09-02,
2013-09-03,
2013-09-04,
2013-09-05,
2013-09-06,
2013-09-07,
2013-09-08,
2013-09-09,
2013-09-10,
2013-09-11,
2013-09-12,
2013-09-13,
2013-09-14,
2013-09-15,
2013-09-16,
2013-09-17,
2013-09-18,
2013-09-19,
2013-09-20,
2013-09-21,
2013-09-22,
2013-09-23,
2013-09-24,
2013-09-25,
2013-09-26,
2013-09-27,
2013-09-28,
2013-09-29,
2013-09-30,
2013-10-01,
2013-10-02,
2013-10-03,
2013-10-04,
2013-10-05,
2013-10-06,
2013-10-07,
2013-10-08,
2013-10-09,
2013-10-10,
2013-10-11,
2013-10-12,
2013-10-13,
2013-10-14,
2013-10-15,
2013-10-16,
2013-10-17,
2013-10-18,
2013-10-19,
2013-10-20,
2013-10-21,
2013-10-22,
2013-10-23,
2013-10-24,
2013-10-25,
2013-10-26,
2013-10-27,
2013-10-28,
2013-10-29,
2013-10-30,
2013-10-31,
2013-11-01,
2013-11-02,
2013-11-03,
2013-11-04,
2013-11-05,
2013-11-06,
2013-11-07,
2013-11-08,
2013-11-09,
2013-11-10,
2013-11-11,
2013-11-12,
2013-11-13,
2013-11-14,
2013-11-15,
2013-11-16,
2013-11-17,
2013-11-18,
2013-11-19,
2013-11-20,
2013-11-21,
2013-11-22,
2013-11-23,
2013-11-24,
2013-11-25,
2013-11-26,
2013-11-27,
2013-11-28,
2013-11-29,
2013-11-30,
2013-12-01,
2013-12-02,
2013-12-03,99.66
2013-12-04,99.73
2013-12-05,101.46
2013-12-06,102.44
2013-12-07,102.44
2013-12-08,101.53
2013-12-09,101.11
2013-12-10,100.22
2013-12-11,100.46
2013-12-12,100.66
2013-12-13,100.01
2013-12-14,99.78
2013-12-15,99.38
2013-12-16,100.98
2013-12-17,100.53
2013-12-18,101.1
2013-12-19,102.72
2013-12-20,102.78
2013-12-21,103.21
2013-12-22,102.44
2013-12-23,102.02
2013-12-24,101.7
2013-12-25,100.76
2013-12-26,100.81
2013-12-27,102.27
2013-12-28,105.02
2013-12-29,105.74
2013-12-30,107.25
2013-12-31,107.95
2014-01-01,108.72
2014-01-02,109.87
2014-01-03,110.06
2014-01-04,109.45
2014-01-05,107.1
2014-01-06,105.92
2014-01-07,106.09
2014-01-08,105.58
2014-01-09,105.61
2014-01-10,104.54
2014-01-11,105.35
2014-01-12,105.15
2014-01-13,103.55
2014-01-14,102.35
2014-01-15,103.03
2014-01-16,101.05
2014-01-17,99.5
2014-01-18,99.82
2014-01-19,98.82
2014-01-20,100.49
2014-01-21,100.85
2014-01-22,100.74
2014-01-23,100.62
2014-01-24,100.46
2014-01-25,101.87
2014-01-26,100.95
2014-01-27,99.23
2014-01-28,100.76
2014-01-29,101.43
2014-01-30,101.71
2014-01-31,98.55
2014-02-01,100.55
2014-02-02,100.03
2014-02-03,99.5
2014-02-04,100.71
2014-02-05,100.49
2014-02-06,101.28
2014-02-07,100.1
2014-02-08,99.13
2014-02-09,98.59
2014-02-10,99.66
2014-02-11,99.71
2014-02-12,99.3
2014-02-13,99.2
2014-02-14,99.9
2014-02-15,99.62
2014-02-16,100.88
2014-02-17,104.51
2014-02-18,105.76
2014-02-19,106.34
2014-02-20,106.09
2014-02-21,106.66
2014-02-22,106.1
2014-02-23,105.24
2014-02-24,105.07
2014-02-25,105.18
2014-02-26,104.03
2014-02-27,104.0
2014-02-28,105.89
2014-03-01,104.0
2014-03-02,106.47
2014-03-03,105.8
2014-03-04,105.26
2014-03-05,109.43
2014-03-06,109.22
2014-03-07,109.21
2014-03-08,109.07
2014-03-09,109.74
2014-03-10,110.21
2014-03-11,111.68
2014-03-12,111.84
2014-03-13,110.55
2014-03-14,111.06
2014-03-15,111.84
2014-03-16,112.56
2014-03-17,112.42
2014-03-18,114.2
2014-03-19,114.01
2014-03-20,115.5
