Date,Close
2013-01-02,
2013-01-03,
2013-01-04,
2013-01-05,
2013-01-06,
2013-01-07,
2013-01-08,
2013-01-09,
2013-01-10,
2013-01-11,
2013-01-12,
2013-01-13,
2013-01-14,
2013-01-15,
2013-01-16,
2013-01-17,
2013-01-18,
2013-01-19,
2013-01-20,
2013-01-21,
2013-01-22,
2013-01-23,
2013-01-24,
2013-01-25,
2013-01-26,
2013-01-27,
2013-01-28,
2013-01-29,
2013-01-30,
2013-01-31,
2013-02-01,
2013-02-02,
2013-02-03,
2013-02-04,
2013-02-05,
2013-02-06,
2013-02-07,
2013-02-08,
2013-02-09,
2013-02-10,
2013-02-11,
2013-02-12,
2013-02-13,
2013-02-14,
2013-02-15,
2013-02-16,
2013-02-17,
2013-02-18,
2013-02-19,
2013-02-20,
2013-02-21,
2013-02-22,
2013-02-23,
2013-02-24,
2013-02-25,
2013-02-26,
2013-02-27,
2013-02-28,
2013-03-01,
2013-03-02,
2013-03-03,
2013-03-04,
2013-03-05,
2013-03-06,
2013-03-07,
2013-03-08,
2013-03-09,
2013-03-10,
2013-03-11,
2013-03-12,
2013-03-13,
2013-03-14,
2013-03-15,
2013-03-16,
2013-03-17,
2013-03-18,
2013-03-19,
2013-03-20,
2013-03-21,
2013-03-22,
2013-03-23,
2013-03-24,
2013-03-25,
2013-03-26,
2013-03-27,
2013-03-28,
2013-03-29,
2013-03-30,
2013-03-31,
2013-04-01,
2013-04-02,
2013-04-03,
2013-04-04,
2013-04-05,
2013-04-06,
2013-04-07,
2013-04-08,
2013-04-09,
2013-04-10,
2013-04-11,
2013-04-12,
2013-04-13,
2013-04-14,
2013-04-15,
2013-04-16,
2013-04-17,
2013-04-18,
2013-04-19,
2013-04-20,
2013-04-21,
2013-04-22,
2013-04-23,
2013-04-24,
2013-04-25,
2013-04-26,
2013-04-27,
2013-04-28,
2013-04-29,
2013-04-30,
2013-05-01,
2013-05-02,
2013-05-03,
2013-05-04,
2013-05-05,
2013-05-06,
2013-05-07,
2013-05-08,
2013-05-09,
2013-05-10,
2013-05-11,
2013-05-12,
2013-05-13,
2013-05-14,
2013-05-15,
2013-05-16,
2013-05-17,
2013-05-18,
2013-05-19,
2013-05-20,
2013-05-21,
2013-05-22,
2013-05-23,
2013-05-24,
2013-05-25,
2013-05-26,
2013-05-27,
2013-05-28,
2013-05-29,
2013-05-30,
2013-05-31,
2013-06-01,
2013-06-02,
2013-06-03,
2013-06-04,100.22
2013-06-05,99.84
2013-06-06,99.23
2013-06-07,98.15
2013-06-08,98.41
2013-06-09,98.41
2013-06-10,98.41
2013-06-11,98.17
2013-06-12,96.65
2013-06-13,97.6
2013-06-14,97.01
2013-06-15,97.61
2013-06-16,97.61
2013-06-17,97.61
2013-06-18,98.54
2013-06-19,98.71
2013-06-20,98.7
2013-06-21,97.17
2013-06-22,96.65
2013-06-23,96.65
2013-06-24,96.65
2013-06-25,94.71
2013-06-26,95.5
2013-06-27,96.51
2013-06-28,97.59
2013-06-29,97.65
2013-06-30,97.65
2013-07-01,97.65
2013-07-02,98.34
2013-07-03,98.77
2013-07-04,97.54
2013-07-05,98.56
2013-07-06,98.67
2013-07-07,98.67
2013-07-08,98.67
2013-07-09,98.95
2013-07-10,98.31
2013-07-11,99.04
2013-07-12,100.71
2013-07-13,100.84
2013-07-14,100.84
2013-07-15,100.84
2013-07-16,101.62
2013-07-17,102.01
2013-07-18,101.8
2013-07-19,101.8
2013-07-20,102.39
2013-07-21,102.39
2013-07-22,102.39
2013-07-23,102.26
2013-07-24,102.84
2013-07-25,103.03
2013-07-26,102.7
2013-07-27,102.54
2013-07-28,102.54
2013-07-29,102.54
2013-07-30,102.64
2013-07-31,102.9
2013-08-01,102.65
2013-08-02,103.37
2013-08-03,103.09
2013-08-04,103.09
2013-08-05,103.09
2013-08-06,103.75
2013-08-07,103.41
2013-08-08,103.45
2013-08-09,103.91
2013-08-10,104.47
2013-08-11,104.47
2013-08-12,104.47
2013-08-13,105.02
2013-08-14,104.4
2013-08-15,104.85
2013-08-16,103.53
2013-08-17,104.26
2013-08-18,104.26
2013-08-19,104.26
2013-08-20,105.09
2013-08-21,103.96
2013-08-22,103.94
2013-08-23,104.49
2013-08-24,104.59
2013-08-25,104.59
2013-08-26,104.59
2013-08-27,103.72
2013-08-28,102.21
2013-08-29,102.39
2013-08-30,103.02
2013-08-31,102.46
2013-09-01,102.46
2013-09-02,102.46
2013-09-03,103.65
2013-09-04,103.33
2013-09-05,103.17
2013-09-06,103.93
2013-09-07,104.13
2013-09-08,104.13
2013-09-09,104.13
2013-09-10,104.29
2013-09-11,105.54
2013-09-12,106.02
2013-09-13,106.05
2013-09-14,105.96
2013-09-15,105.96
2013-09-16,105.96
2013-09-17,106.16
2013-09-18,105.82
2013-09-19,106.02
2013-09-20,106.05
2013-09-21,106.41
2013-09-22,106.41
2013-09-23,106.41
2013-09-24,106.04
2013-09-25,105.39
2013-09-26,105.18
2013-09-27,104.98
2013-09-28,105.17
2013-09-29,105.17
2013-09-30,105.17
2013-10-01,103.55
2013-10-02,104.38
2013-10-03,104.51
2013-10-04,105.25
2013-10-05,105.49
2013-10-06,105.49
2013-10-07,105.49
2013-10-08,104.68
2013-10-09,103.45
2013-10-10,103.08
2013-10-11,104.63
2013-10-12,104.94
2013-10-13,104.94
2013-10-14,104.94
2013-10-15,105.12
2013-10-16,105.97
2013-10-17,105.85
2013-10-18,106.12
2013-10-19,106.9
2013-10-20,106.9
2013-10-21,106.9
2013-10-22,107.55
2013-10-23,107.83
2013-10-24,107.49
2013-10-25,107.61
2013-10-26,107.74
2013-10-27,107.74
2013-10-28,107.74
2013-10-29,107.03
2013-10-30,108.22
2013-10-31,108.31
2013-11-01,108.64
2013-11-02,109.7
2013-11-03,109.7
2013-11-04,109.7
2013-11-05,109.33
2013-11-06,108.76
2013-11-07,110.27
2013-11-08,110.28
2013-11-09,109.98
2013-11-10,109.98
2013-11-11,109.98
2013-11-12,110.69
2013-11-13,109.77
2013-11-14,109.33
2013-11-15,110.19
2013-11-16,110.57
2013-11-17,110.57
2013-11-18,110.57
2013-11-19,110.86
2013-11-20,110.24
2013-11-21,109.5
2013-11-22,108.77
2013-11-23,109.64
2013-11-24,109.64
2013-11-25,109.64
2013-11-26,109.88
2013-11-27,111.95
2013-11-28,112.88
2013-11-29,113.29
2013-11-30,113.83
2013-12-01,113.83
2013-12-02,113.83
2013-12-03,114.09
2013-12-04,113.91
2013-12-05,113.15
2013-12-06,112.77
2013-12-07,112.84
2013-12-08,112.84
2013-12-09,112.84
2013-12-10,111.76
2013-12-11,111.45
2013-12-12,111.12
2013-12-13,109.83
2013-12-14,110.41
2013-12-15,110.41
2013-12-16,110.41
2013-12-17,110.12
2013-12-18,109.95
2013-12-19,110.2
2013-12-20,110.78
2013-12-21,111.7
2013-12-22,111.7
2013-12-23,111.7
2013-12-24,113.16
2013-12-25,113.16
2013-12-26,113.16
2013-12-27,113.16
2013-12-28,114.46
2013-12-29,114.46
2013-12-30,114.46
2013-12-31,114.64
2014-01-01,114.64
2014-01-02,114.64
2014-01-03,114.11
2014-01-04,115.03
2014-01-05,115.03
2014-01-06,115.03
2014-01-07,114.93
2014-01-08,114.93
2014-01-09,115.78
2014-01-10,115.66
2014-01-11,115.94
2014-01-12,115.94
2014-01-13,115.94
2014-01-14,116.65
2014-01-15,117.03
2014-01-16,118.38
2014-01-17,118.21
2014-01-18,117.85
2014-01-19,117.85
2014-01-20,117.85
2014-01-21,117.74
2014-01-22,117.76
2014-01-23,118.23
2014-01-24,117.1
2014-01-25,115.26
2014-01-26,115.26
2014-01-27,115.26
2014-01-28,113.69
2014-01-29,114.58
