Date,Close,Q_RR
2015-01-01,358,0
2015-01-02,128,0
2015-01-03,56,0
2015-01-04,14,0
2015-01-05,74,0
2015-01-06,235,0
2015-01-07,218,0
2015-01-08,113,0
2015-01-09,73,0
2015-01-10,253,0
2015-01-11,295,0
2015-01-12,145,0
2015-01-13,82,0
2015-01-14,109,0
2015-01-15,195,0
2015-01-16,309,0
2015-01-17,268,0
2015-01-18,16,0
2015-01-19,0,0
2015-01-20,0,0
2015-01-21,0,0
2015-01-22,0,0
2015-01-23,154,0
2015-01-24,66,0
2015-01-25,212,0
2015-01-26,43,0
2015-01-27,478,0
2015-01-28,285,0
2015-01-29,705,0
2015-01-30,96,0
2015-01-31,0,0
2015-02-01,0,0
2015-02-02,1,0
2015-02-03,0,0
2015-02-04,0,0
2015-02-05,12,0
2015-02-06,63,0
2015-02-07,91,0
2015-02-08,120,0
2015-02-09,68,0
2015-02-10,8,0
2015-02-11,29,0
2015-02-12,6,0
2015-02-13,27,0
2015-02-14,0,0
2015-02-15,0,0
2015-02-16,90,0
2015-02-17,353,0
2015-02-18,711,0
2015-02-19,51,0
2015-02-20,166,0
2015-02-21,97,0
2015-02-22,60,0
2015-02-23,118,0
2015-02-24,92,0
2015-02-25,40,0
2015-02-26,232,0
2015-02-27,29,0
2015-02-28,224,0
2015-03-01,192,0
2015-03-02,75,0
2015-03-03,100,0
2015-03-04,46,0
2015-03-05,376,0
2015-03-06,171,0
2015-03-07,356,0
2015-03-08,82,0
2015-03-09,92,0
2015-03-10,22,0
2015-03-11,89,0
2015-03-12,0,0
2015-03-13,0,0
2015-03-14,0,0
2015-03-15,0,0
2015-03-16,0,0
2015-03-17,4,0
2015-03-18,0,0
2015-03-19,292,0
2015-03-20,257,0
2015-03-21,48,0
2015-03-22,665,0
2015-03-23,142,0
2015-03-24,2,0
2015-03-25,0,0
2015-03-26,0,0
2015-03-27,61,0
2015-03-28,58,0
2015-03-29,65,0
2015-03-30,71,0
2015-03-31,130,0
2015-04-01,31,0
2015-04-02,6,0
2015-04-03,0,0
2015-04-04,0,0
2015-04-05,0,0
2015-04-06,56,0
2015-04-07,20,0
2015-04-08,0,0
2015-04-09,0,0
2015-04-10,0,0
2015-04-11,236,0
2015-04-12,100,0
2015-04-13,49,0
2015-04-14,83,0
2015-04-15,138,0
2015-04-16,3,0
2015-04-17,1,0
2015-04-18,0,0
2015-04-19,0,0
2015-04-20,2,0
2015-04-21,3,0
2015-04-22,25,0
2015-04-23,21,0
2015-04-24,241,0
2015-04-25,230,0
2015-04-26,21,0
2015-04-27,8,0
2015-04-28,1,0
2015-04-29,4,0
2015-04-30,17,0
2015-05-01,0,0
2015-05-02,0,0
2015-05-03,0,0
2015-05-04,17,0
2015-05-05,14,0
2015-05-06,81,0
2015-05-07,151,0
2015-05-08,47,0
2015-05-09,2,0
2015-05-10,153,0
2015-05-11,325,0
2015-05-12,107,0
2015-05-13,1,0
2015-05-14,0,0
2015-05-15,1,0
2015-05-16,58,0
2015-05-17,123,0
2015-05-18,1,0
2015-05-19,91,0
2015-05-20,0,0
2015-05-21,437,0
2015-05-22,143,0
2015-05-23,12,0
2015-05-24,133,0
2015-05-25,104,0
2015-05-26,37,0
2015-05-27,108,0
2015-05-28,99,0
2015-05-29,76,0
2015-05-30,67,0
2015-05-31,30,0
2015-06-01,152,0
2015-06-02,214,0
2015-06-03,7,0
2015-06-04,30,0
2015-06-05,61,0
2015-06-06,108,0
2015-06-07,99,0
2015-06-08,1,0
2015-06-09,20,0
2015-06-10,191,0
2015-06-11,0,0
2015-06-12,0,0
2015-06-13,0,0
2015-06-14,41,0
2015-06-15,3,0
2015-06-16,8,0
2015-06-17,130,0
2015-06-18,14,0
2015-06-19,0,0
2015-06-20,0,0
2015-06-21,0,0
2015-06-22,0,0
2015-06-23,0,0
2015-06-24,12,0
2015-06-25,29,0
2015-06-26,0,0
2015-06-27,0,0
2015-06-28,132,0
2015-06-29,16,0
2015-06-30,0,0
2015-07-01,0,0
2015-07-02,44,0
2015-07-03,8,0
2015-07-04,0,0
2015-07-05,178,0
2015-07-06,71,0
2015-07-07,14,0
2015-07-08,1,0
2015-07-09,5,0
2015-07-10,0,0
2015-07-11,47,0
2015-07-12,26,0
2015-07-13,0,0
2015-07-14,0,0
2015-07-15,27,0
2015-07-16,2,0
2015-07-17,125,0
2015-07-18,104,0
2015-07-19,33,0
2015-07-20,79,0
2015-07-21,69,0
2015-07-22,92,0
2015-07-23,27,0
2015-07-24,85,0
2015-07-25,10,0
2015-07-26,2,0
2015-07-27,5,0
2015-07-28,0,0
2015-07-29,16,0
2015-07-30,12,0
2015-07-31,1,0
2015-08-01,74,0
2015-08-02,23,0
2015-08-03,2,0
2015-08-04,110,0
2015-08-05,6,0
2015-08-06,121,0
2015-08-07,36,0
2015-08-08,21,0
2015-08-09,74,0
2015-08-10,128,0
2015-08-11,39,0
2015-08-12,1,0
2015-08-13,0,0
2015-08-14,2,0
2015-08-15,206,0
2015-08-16,18,0
2015-08-17,0,0
2015-08-18,0,0
2015-08-19,0,0
2015-08-20,0,0
2015-08-21,26,0
2015-08-22,5,0
2015-08-23,1,0
2015-08-24,3,0
2015-08-25,185,0
2015-08-26,120,0
2015-08-27,202,0
2015-08-28,230,0
2015-08-29,101,0
2015-08-30,189,0
2015-08-31,0,0
2015-09-01,17,0
2015-09-02,14,0
2015-09-03,0,0
2015-09-04,103,0
2015-09-05,0,0
2015-09-06,0,0
2015-09-07,3,0
2015-09-08,0,0
2015-09-09,1,0
2015-09-10,2,0
2015-09-11,1,0
2015-09-12,27,0
2015-09-13,51,0
2015-09-14,5,0
2015-09-15,76,0
2015-09-16,1,0
2015-09-17,17,0
2015-09-18,54,0
2015-09-19,28,0
2015-09-20,0,0
2015-09-21,0,0
2015-09-22,26,0
2015-09-23,75,0
2015-09-24,408,0
2015-09-25,283,0
2015-09-26,17,0
2015-09-27,1,0
2015-09-28,0,0
2015-09-29,9,0
2015-09-30,36,0
2015-10-01,61,0
2015-10-02,49,0
2015-10-03,52,0
2015-10-04,6,0
2015-10-05,0,0
2015-10-06,4,0
2015-10-07,46,0
2015-10-08,66,0
2015-10-09,17,0
2015-10-10,0,0
2015-10-11,16,0
2015-10-12,0,0
2015-10-13,5,0
2015-10-14,0,0
2015-10-15,0,0
2015-10-16,0,0
2015-10-17,0,0
2015-10-18,0,0
2015-10-19,2,0
2015-10-20,105,0
2015-10-21,263,0
2015-10-22,224,0
2015-10-23,6,0
2015-10-24,418,0
2015-10-25,193,0
2015-10-26,68,0
2015-10-27,0,0
2015-10-28,0,0
2015-10-29,0,0
2015-10-30,34,0
2015-10-31,125,0
2015-11-01,0,0
2015-11-02,0,0
2015-11-03,78,0
2015-11-04,6,0
2015-11-05,1,0
2015-11-06,232,0
2015-11-07,19,0
2015-11-08,171,0
2015-11-09,166,0
2015-11-10,122,0
2015-11-11,76,0
2015-11-12,260,0
2015-11-13,298,0
2015-11-14,157,0
2015-11-15,66,0
2015-11-16,320,0
2015-11-17,330,0
2015-11-18,15,0
2015-11-19,0,0
2015-11-20,5,0
2015-11-21,0,0
2015-11-22,0,0
2015-11-23,87,0
2015-11-24,181,0
2015-11-25,52,0
2015-11-26,852,0
2015-11-27,413,0
2015-11-28,159,0
2015-11-29,145,0
2015-11-30,77,0
2015-12-01,43,0
2015-12-02,358,0
2015-12-03,235,0
2015-12-04,291,0
2015-12-05,196,0
2015-12-06,163,0
2015-12-07,0,0
2015-12-08,247,0
2015-12-09,287,0
2015-12-10,112,0
2015-12-11,133,0
2015-12-12,6,0
2015-12-13,22,0
2015-12-14,13,0
2015-12-15,0,0
2015-12-16,105,0
2015-12-17,266,0
2015-12-18,209,0
2015-12-19,416,0
2015-12-20,422,0
2015-12-21,112,0
2015-12-22,152,0
2015-12-23,47,0
2015-12-24,206,0
2015-12-25,92,0
2015-12-26,0,0
2015-12-27,48,0
2015-12-28,0,0
2015-12-29,14,0
2015-12-30,286,0
2015-12-31,187,0
2016-01-01,29,0
2016-01-02,0,0
2016-01-03,0,0
2016-01-04,0,0
2016-01-05,0,0
2016-01-06,0,0
2016-01-07,0,0
2016-01-08,0,0
2016-01-09,0,0
2016-01-10,2,0
2016-01-11,0,0
2016-01-12,0,0
2016-01-13,16,0
2016-01-14,8,0
2016-01-15,137,0
2016-01-16,0,0
2016-01-17,9,0
2016-01-18,21,0
2016-01-19,0,0
2016-01-20,0,0
2016-01-21,0,0
2016-01-22,25,0
2016-01-23,185,0
2016-01-24,30,0
2016-01-25,152,0
2016-01-26,250,0
2016-01-27,96,0
2016-01-28,163,0
2016-01-29,242,0
2016-01-30,177,0
2016-01-31,98,0
2016-02-01,232,0
2016-02-02,235,0
2016-02-03,93,0
2016-02-04,36,0
2016-02-05,223,0
2016-02-06,329,0
2016-02-07,259,0
2016-02-08,132,0
2016-02-09,157,0
2016-02-10,0,0
2016-02-11,0,0
2016-02-12,0,0
2016-02-13,0,0
2016-02-14,0,0
2016-02-15,0,0
2016-02-16,97,0
2016-02-17,67,0
2016-02-18,0,0
2016-02-19,115,0
2016-02-20,191,0
2016-02-21,152,0
2016-02-22,85,0
2016-02-23,45,0
2016-02-24,84,0
2016-02-25,0,0
2016-02-26,33,0
2016-02-27,20,0
2016-02-28,0,0
2016-02-29,0,0
2016-03-01,36,0
2016-03-02,0,0
2016-03-03,0,0
2016-03-04,0,0
2016-03-05,0,0
2016-03-06,0,0
2016-03-07,0,0
2016-03-08,2,0
2016-03-09,0,0
2016-03-10,0,0
2016-03-11,0,0
2016-03-12,47,0
2016-03-13,12,0
2016-03-14,0,0
2016-03-15,0,0
2016-03-16,0,0
2016-03-17,0,0
2016-03-18,5,0
2016-03-19,32,0
2016-03-20,71,0
2016-03-21,61,0
2016-03-22,19,0
2016-03-23,0,0
2016-03-24,152,0
2016-03-25,51,0
2016-03-26,313,0
2016-03-27,24,0
2016-03-28,54,0
2016-03-29,216,0
2016-03-30,58,0
2016-03-31,2,0
2016-04-01,136,0
2016-04-02,150,0
2016-04-03,17,0
2016-04-04,40,0
2016-04-05,103,0
2016-04-06,102,0
2016-04-07,6,0
2016-04-08,0,0
2016-04-09,0,0
2016-04-10,0,0
2016-04-11,0,0
2016-04-12,0,0
2016-04-13,0,0
2016-04-14,2,0
2016-04-15,20,0
2016-04-16,0,0
2016-04-17,110,0
2016-04-18,203,0
2016-04-19,16,0
2016-04-20,67,0
2016-04-21,28,0
2016-04-22,24,0
2016-04-23,14,0
2016-04-24,0,0
2016-04-25,0,0
2016-04-26,0,0
2016-04-27,0,0
2016-04-28,3,0
2016-04-29,0,0
2016-04-30,4,0
2016-05-01,42,0
2016-05-02,226,0
2016-05-03,22,0
2016-05-04,0,0
2016-05-05,0,0
2016-05-06,3,0
2016-05-07,2,0
2016-05-08,0,0
2016-05-09,0,0
2016-05-10,0,0
2016-05-11,0,0
2016-05-12,0,0
2016-05-13,0,0
2016-05-14,0,0
2016-05-15,0,0
2016-05-16,4,0
2016-05-17,8,0
2016-05-18,92,0
2016-05-19,55,0
2016-05-20,121,0
2016-05-21,99,0
2016-05-22,66,0
2016-05-23,0,0
2016-05-24,0,0
2016-05-25,0,0
2016-05-26,0,0
2016-05-27,0,0
2016-05-28,40,0
2016-05-29,0,0
2016-05-30,87,0
2016-05-31,15,0
2016-06-01,20,0
2016-06-02,0,0
2016-06-03,0,0
2016-06-04,0,0
2016-06-05,0,0
2016-06-06,0,0
2016-06-07,0,0
2016-06-08,0,0
2016-06-09,0,0
2016-06-10,10,0
2016-06-11,28,0
2016-06-12,0,0
2016-06-13,0,0
2016-06-14,0,0
2016-06-15,0,0
2016-06-16,3,0
2016-06-17,3,0
2016-06-18,0,0
2016-06-19,0,0
2016-06-20,118,0
2016-06-21,4,0
2016-06-22,0,0
2016-06-23,2,0
2016-06-24,103,0
2016-06-25,3,0
2016-06-26,78,0
2016-06-27,229,0
2016-06-28,194,0
2016-06-29,25,0
2016-06-30,94,0
2016-07-01,153,0
2016-07-02,176,0
2016-07-03,59,0
2016-07-04,141,0
2016-07-05,2,0
2016-07-06,0,0
2016-07-07,6,0
2016-07-08,21,0
2016-07-09,5,0
2016-07-10,264,0
2016-07-11,220,0
2016-07-12,9,0
2016-07-13,0,0
2016-07-14,0,0
2016-07-15,55,0
2016-07-16,214,0
2016-07-17,222,0
2016-07-18,14,0
2016-07-19,124,0
2016-07-20,0,0
2016-07-21,63,0
2016-07-22,45,0
2016-07-23,2,0
2016-07-24,0,0
