Date,Close
2015-01-02,2.8365
2015-01-04,
2015-01-05,2.788
2015-01-06,2.7915
2015-01-07,2.791
2015-01-08,2.7865
2015-01-09,2.788
2015-01-11,
2015-01-12,2.7455
2015-01-13,2.635
2015-01-14,2.4995
2015-01-15,2.6005
2015-01-16,2.5855
2015-01-18,
2015-01-20,2.6035
2015-01-21,2.581
2015-01-22,2.579
2015-01-23,2.534
2015-01-25,
2015-01-26,2.493
2015-01-27,2.4805
2015-01-28,2.503
2015-01-29,2.43
2015-01-30,2.465
2015-02-01,
2015-02-02,2.5075
2015-02-03,2.565
2015-02-04,2.587
2015-02-05,2.5605
2015-02-06,2.5875
2015-02-08,
2015-02-09,2.578
2015-02-10,2.5485
2015-02-11,2.552
2015-02-12,2.589
2015-02-13,2.608
2015-02-15,
2015-02-17,2.5685
2015-02-18,2.619
2015-02-19,2.6035
2015-02-20,2.6035
2015-02-22,
2015-02-23,2.605
2015-02-24,2.65
2015-02-25,2.662
2015-02-26,2.656
2015-02-27,2.686
2015-03-01,
2015-03-02,2.701
2015-03-03,2.65
2015-03-04,2.6635
2015-03-05,2.6675
2015-03-06,2.624
2015-03-08,
2015-03-09,2.6205
2015-03-10,2.618
2015-03-11,2.6155
2015-03-12,2.616
2015-03-13,2.666
2015-03-15,
2015-03-16,2.6695
2015-03-17,2.619
2015-03-18,2.57
2015-03-19,2.63
2015-03-20,2.7
2015-03-22,
2015-03-23,2.785
2015-03-24,2.805
2015-03-25,2.8
2015-03-26,2.815
2015-03-27,2.772
2015-03-29,
2015-03-30,2.7645
2015-03-31,2.7465
2015-04-01,2.721
2015-04-02,2.734
2015-04-05,
2015-04-06,2.7095
2015-04-07,2.7675
2015-04-08,2.742
2015-04-09,2.735
2015-04-10,2.75
2015-04-12,
2015-04-13,2.735
2015-04-14,2.6975
2015-04-15,2.692
2015-04-16,2.76
2015-04-17,2.772
2015-04-19,
2015-04-20,2.725
2015-04-21,2.695
2015-04-22,2.6675
2015-04-23,2.6655
2015-04-24,2.7405
2015-04-26,
2015-04-27,2.7595
2015-04-28,2.764
2015-04-29,2.7545
2015-04-30,2.786
2015-05-01,2.8845
2015-05-03,
2015-05-04,2.895
2015-05-05,2.9065
2015-05-06,2.9145
2015-05-07,2.913
2015-05-08,2.8965
2015-05-10,
2015-05-11,2.908
2015-05-12,2.9175
2015-05-13,2.9345
2015-05-14,2.93
2015-05-15,2.9225
2015-05-17,
2015-05-18,2.9185
2015-05-19,2.85
2015-05-20,2.844
2015-05-21,2.8535
2015-05-22,2.815
2015-05-24,
2015-05-26,2.811
2015-05-27,2.805
2015-05-28,2.78
2015-05-29,2.754
2015-05-31,
2015-06-01,2.7355
2015-06-02,2.7355
2015-06-03,2.7465
2015-06-04,2.707
2015-06-05,2.7085
2015-06-07,
2015-06-08,2.716
2015-06-09,2.733
2015-06-10,2.747
2015-06-11,2.6875
2015-06-12,2.6855
2015-06-14,
2015-06-15,2.653
2015-06-16,2.624
2015-06-17,2.618
2015-06-18,2.6195
2015-06-19,2.5875
2015-06-21,
2015-06-22,2.583
2015-06-23,2.593
2015-06-24,2.646
2015-06-25,2.642
2015-06-26,2.632
2015-06-28,
2015-06-29,2.6215
2015-06-30,2.5945
2015-07-01,2.615
2015-07-02,2.628
2015-07-05,
2015-07-06,2.51
2015-07-07,2.39
2015-07-08,2.41
2015-07-09,2.5
2015-07-10,2.5365
2015-07-12,
2015-07-13,2.507
2015-07-14,2.5285
2015-07-15,2.511
2015-07-16,2.52
2015-07-17,2.495
2015-07-19,
2015-07-20,2.475
2015-07-21,2.4775
2015-07-22,2.4315
2015-07-23,2.3625
2015-07-24,2.3665
2015-07-26,
2015-07-27,2.342
2015-07-28,2.348
2015-07-29,2.403
2015-07-30,2.361
2015-07-31,2.3545
2015-08-02,
2015-08-03,2.33
2015-08-04,2.34
2015-08-05,2.3525
2015-08-06,2.3455
2015-08-07,2.3335
2015-08-09,
2015-08-10,2.348
2015-08-11,2.3295
2015-08-12,2.31
2015-08-13,2.3635
2015-08-14,2.3525
2015-08-16,
2015-08-17,2.3205
2015-08-18,2.2805
2015-08-19,2.2705
2015-08-20,2.3105
2015-08-21,2.3
2015-08-23,
2015-08-24,2.2275
2015-08-25,2.265
2015-08-26,2.251
2015-08-27,2.299
2015-08-28,2.309
2015-08-30,
2015-08-31,2.294
2015-09-01,2.29
2015-09-02,2.2915
2015-09-03,2.336
2015-09-04,2.3195
2015-09-06,
2015-09-08,2.326
2015-09-09,2.4275
2015-09-10,2.43
2015-09-11,2.4305
2015-09-13,
2015-09-14,2.409
2015-09-15,2.406
2015-09-16,2.43
2015-09-17,2.447
2015-09-18,2.3855
2015-09-20,
2015-09-21,2.3845
2015-09-22,2.2975
2015-09-23,2.3
2015-09-24,2.29
2015-09-25,2.284
2015-09-27,
2015-09-28,2.2455
2015-09-29,2.2405
2015-09-30,2.263
2015-10-01,2.305
2015-10-02,2.2805
2015-10-04,
2015-10-05,2.3415
2015-10-06,2.356
2015-10-07,2.3625
2015-10-08,2.3265
2015-10-09,2.3515
2015-10-11,
2015-10-12,2.414
2015-10-13,2.3865
2015-10-14,2.403
2015-10-15,2.4095
2015-10-16,2.3955
2015-10-18,
2015-10-19,2.365
2015-10-20,2.364
2015-10-21,2.335
2015-10-22,2.363
2015-10-23,2.35
2015-10-25,
2015-10-26,2.35
2015-10-27,2.358
2015-10-28,2.327
2015-10-29,2.315
2015-10-30,2.305
2015-11-01,
2015-11-02,2.2905
2015-11-03,2.2995
2015-11-04,2.3155
2015-11-05,2.251
2015-11-06,2.24
2015-11-08,
2015-11-09,2.23
2015-11-10,2.209
2015-11-11,2.213
2015-11-12,2.164
2015-11-13,2.163
2015-11-15,
2015-11-16,2.116
2015-11-17,2.098
2015-11-18,2.075
2015-11-19,2.0725
2015-11-20,2.041
2015-11-22,
2015-11-23,2.0045
2015-11-24,2.023
2015-11-25,2.0395
2015-11-27,2.038
2015-11-29,
2015-11-30,2.0325
2015-12-01,2.04
2015-12-02,2.0285
2015-12-03,2.025
2015-12-04,2.04
2015-12-06,
2015-12-07,2.038
2015-12-08,2.037
2015-12-09,2.052
2015-12-10,2.052
2015-12-11,2.058
2015-12-13,
2015-12-14,2.0845
2015-12-15,2.041
2015-12-16,2.0565
2015-12-17,2.0285
2015-12-18,2.0465
2015-12-20,
2015-12-21,2.1025
2015-12-22,2.097
2015-12-23,2.098
2015-12-24,2.105
2015-12-27,
2015-12-28,2.0665
2015-12-29,2.125
2015-12-30,2.1195
2015-12-31,2.1115
2016-01-03,
2016-01-04,2.063
2016-01-05,2.0735
2016-01-06,2.071
2016-01-07,1.9925
2016-01-08,2.009
2016-01-10,
2016-01-11,1.9655
2016-01-12,1.9505
2016-01-13,1.9495
2016-01-14,1.96
2016-01-15,1.9385
2016-01-17,
2016-01-18,
2016-01-19,1.9365
2016-01-20,1.952
2016-01-21,1.969
2016-01-22,1.9985
2016-01-24,
2016-01-25,1.9845
2016-01-26,2.0225
2016-01-27,2.041
2016-01-28,2.039
2016-01-29,2.048
2016-01-31,
2016-02-01,2.027
2016-02-02,2.0415
2016-02-03,2.079
2016-02-04,2.104
2016-02-05,2.0845
2016-02-07,
2016-02-08,2.0785
2016-02-09,2.0155
2016-02-10,2.003
2016-02-11,1.9995
2016-02-12,2.0105
2016-02-14,
2016-02-15,
2016-02-16,2.046
2016-02-17,2.04
2016-02-18,2.0545
2016-02-19,2.0715
2016-02-21,
2016-02-22,2.097
2016-02-23,2.09
2016-02-24,2.0725
2016-02-25,2.065
2016-02-26,2.0765
2016-02-28,
2016-02-29,2.0965
2016-03-01,2.094
2016-03-02,2.1405
2016-03-03,2.175
2016-03-04,2.2085
2016-03-06,
2016-03-07,2.2485
2016-03-08,2.2045
2016-03-09,2.206
2016-03-10,2.208
2016-03-11,2.2335
2016-03-13,
2016-03-14,2.231
2016-03-15,2.205
2016-03-16,2.223
2016-03-17,2.257
2016-03-18,2.278
2016-03-20,
2016-03-21,2.2785
2016-03-22,2.272
