Date,Close
2015-01-02,2.805
2015-01-04,
2015-01-05,2.875
2015-01-06,2.811
2015-01-07,2.825
2015-01-08,2.816
2015-01-09,2.888
2015-01-11,
2015-01-12,2.783
2015-01-13,2.795
2015-01-14,2.932
2015-01-15,3.057
2015-01-16,3.024
2015-01-18,
2015-01-20,2.821
2015-01-21,2.867
2015-01-22,2.766
2015-01-23,2.855
2015-01-25,
2015-01-26,2.841
2015-01-27,2.888
2015-01-28,2.828
2015-01-29,2.672
2015-01-30,2.637
2015-02-01,
2015-02-02,2.608
2015-02-03,2.65
2015-02-04,2.649
2015-02-05,2.578
2015-02-06,2.567
2015-02-08,
2015-02-09,2.571
2015-02-10,2.609
2015-02-11,2.685
2015-02-12,2.679
2015-02-13,2.656
2015-02-15,
2015-02-17,2.697
2015-02-18,2.732
2015-02-19,2.772
2015-02-20,2.801
2015-02-22,
2015-02-23,2.845
2015-02-24,2.827
2015-02-25,2.852
2015-02-26,2.689
2015-02-27,2.684
2015-03-01,
2015-03-02,2.65
2015-03-03,2.641
2015-03-04,2.712
2015-03-05,2.743
2015-03-06,2.783
2015-03-08,
2015-03-09,2.668
2015-03-10,2.683
2015-03-11,2.662
2015-03-12,2.725
2015-03-13,2.674
2015-03-15,
2015-03-16,2.68
2015-03-17,2.74
2015-03-18,2.775
2015-03-19,2.776
2015-03-20,2.762
2015-03-22,
2015-03-23,2.691
2015-03-24,2.735
2015-03-25,2.712
2015-03-26,2.649
2015-03-27,2.578
2015-03-29,
2015-03-30,2.608
2015-03-31,2.622
2015-04-01,2.583
2015-04-02,2.591
2015-04-05,
2015-04-06,2.633
2015-04-07,2.647
2015-04-08,2.611
2015-04-09,2.522
2015-04-10,2.504
2015-04-12,
2015-04-13,2.475
2015-04-14,2.502
2015-04-15,2.491
2015-04-16,2.545
2015-04-17,2.625
2015-04-19,
2015-04-20,2.534
2015-04-21,2.533
2015-04-22,2.554
2015-04-23,2.52
2015-04-24,2.518
2015-04-26,
2015-04-27,2.443
2015-04-28,2.468
2015-04-29,2.511
2015-04-30,2.557
2015-05-01,2.714
2015-05-03,
2015-05-04,2.738
2015-05-05,2.766
2015-05-06,2.747
2015-05-07,2.711
2015-05-08,2.725
2015-05-10,
2015-05-11,2.796
2015-05-12,2.785
2015-05-13,2.856
2015-05-14,2.888
2015-05-15,2.971
2015-05-17,
2015-05-18,2.978
2015-05-19,2.938
2015-05-20,2.902
2015-05-21,2.92
2015-05-22,2.881
2015-05-24,
2015-05-26,2.788
2015-05-27,2.797
2015-05-28,2.7
2015-05-29,2.633
2015-05-31,
2015-06-01,2.603
2015-06-02,2.599
2015-06-03,2.625
2015-06-04,2.556
2015-06-05,2.581
2015-06-07,
2015-06-08,2.624
2015-06-09,2.696
2015-06-10,2.825
2015-06-11,2.814
2015-06-12,2.744
2015-06-14,
2015-06-15,2.764
2015-06-16,2.831
2015-06-17,2.839
2015-06-18,2.772
2015-06-19,2.739
2015-06-21,
2015-06-22,2.715
2015-06-23,2.712
2015-06-24,2.711
2015-06-25,2.752
2015-06-26,2.743
2015-06-28,
2015-06-29,2.735
2015-06-30,2.752
2015-07-01,2.761
2015-07-02,2.795
2015-07-05,
2015-07-06,2.731
2015-07-07,2.688
2015-07-08,2.676
2015-07-09,2.644
2015-07-10,2.723
2015-07-12,
2015-07-13,2.787
2015-07-14,2.822
2015-07-15,2.832
2015-07-16,2.842
2015-07-17,2.826
2015-07-19,
2015-07-20,2.785
2015-07-21,2.822
2015-07-22,2.841
2015-07-23,2.804
2015-07-24,2.773
2015-07-26,
2015-07-27,2.735
2015-07-28,2.777
2015-07-29,2.831
2015-07-30,2.762
2015-07-31,2.706
2015-08-02,
2015-08-03,2.707
2015-08-04,2.752
2015-08-05,2.78
2015-08-06,2.726
2015-08-07,2.761
2015-08-09,
2015-08-10,2.818
2015-08-11,2.796
2015-08-12,2.852
2015-08-13,2.784
2015-08-14,2.781
2015-08-16,
2015-08-17,2.718
2015-08-18,2.68
2015-08-19,2.694
2015-08-20,2.694
2015-08-21,2.67
2015-08-23,
2015-08-24,2.624
2015-08-25,2.652
2015-08-26,2.668
2015-08-27,2.629
2015-08-28,2.664
2015-08-30,
2015-08-31,2.643
2015-09-01,2.67
2015-09-02,2.632
2015-09-03,2.633
2015-09-04,2.648
2015-09-06,
2015-09-08,2.641
2015-09-09,2.641
2015-09-10,2.656
2015-09-11,2.66
2015-09-13,
2015-09-14,2.692
2015-09-15,2.721
2015-09-16,2.657
2015-09-17,2.603
2015-09-18,2.602
2015-09-20,
2015-09-21,2.55
2015-09-22,2.562
2015-09-23,2.558
2015-09-24,2.521
2015-09-25,2.529
2015-09-27,
2015-09-28,2.549
2015-09-29,2.581
2015-09-30,2.511
2015-10-01,2.42
2015-10-02,2.403
2015-10-04,
2015-10-05,2.429
2015-10-06,2.436
2015-10-07,2.455
2015-10-08,2.452
2015-10-09,2.469
2015-10-11,
2015-10-12,2.51
2015-10-13,2.487
2015-10-14,2.472
2015-10-15,2.449
2015-10-16,2.41
2015-10-18,
2015-10-19,2.435
2015-10-20,2.444
2015-10-21,2.379
2015-10-22,2.356
2015-10-23,2.275
2015-10-25,
2015-10-26,2.05
2015-10-27,1.948
2015-10-28,2.006
2015-10-29,2.235
2015-10-30,2.188
2015-11-01,
2015-11-02,2.231
2015-11-03,2.236
2015-11-04,2.255
2015-11-05,2.249
2015-11-06,2.317
2015-11-08,
2015-11-09,2.274
2015-11-10,2.292
2015-11-11,2.249
2015-11-12,2.234
2015-11-13,2.284
2015-11-15,
2015-11-16,2.33
2015-11-17,2.285
2015-11-18,2.328
2015-11-19,2.255
2015-11-20,2.123
2015-11-22,
2015-11-23,2.051
2015-11-24,2.13
2015-11-25,2.133
