Date,Open,High,Low,Close
2015-01-02,0.716,0.724,0.645,0.681
2015-01-05,0.669,0.697,0.653,0.661
2015-01-06,0.661,0.677,0.593,0.629
2015-01-07,0.633,0.649,0.601,0.613
2015-01-08,0.621,0.649,0.593,0.609
2015-01-09,0.613,0.637,0.541,0.565
2015-01-12,0.569,0.585,0.537,0.549
2015-01-13,0.545,0.573,0.521,0.545
2015-01-14,0.537,0.545,0.457,0.501
2015-01-15,0.500,0.541,0.404,0.412
2015-01-16,0.423,0.500,0.403,0.492
2015-01-20,0.492,0.516,0.443,0.496
2015-01-20,0.492,0.516,0.443,0.496
2015-01-21,0.495,0.532,0.475,0.512
2015-01-22,0.499,0.536,0.483,0.524
2015-01-23,0.523,0.535,0.466,0.491
2015-01-26,0.478,0.535,0.474,0.519
2015-01-27,0.519,0.531,0.482,0.515
2015-01-28,0.519,0.539,0.470,0.470
2015-01-29,0.496,0.551,0.488,0.520
2015-01-30,0.524,0.532,0.445,0.453
2015-02-02,0.461,0.492,0.429,0.457
2015-02-03,0.461,0.524,0.445,0.512
2015-02-04,0.508,0.563,0.441,0.492
2015-02-05,0.472,0.548,0.464,0.524
2015-02-06,0.524,0.668,0.504,0.648
2015-02-09,0.632,0.676,0.600,0.656
2015-02-10,0.648,0.688,0.632,0.656
2015-02-11,0.652,0.688,0.636,0.676
2015-02-12,0.676,0.697,0.596,0.628
2015-02-13,0.629,0.661,0.617,0.645
2015-02-17,0.645,0.730,0.617,0.682
2015-02-18,0.667,0.694,0.565,0.613
2015-02-19,0.602,0.654,0.569,0.621
2015-02-20,0.634,0.667,0.565,0.638
2015-02-23,0.638,0.663,0.590,0.606
2015-02-24,0.606,0.651,0.537,0.557
2015-02-25,0.598,0.634,0.586,0.606
2015-02-26,0.606,0.661,0.590,0.649
2015-02-27,0.638,0.678,0.615,0.626
2015-03-02,0.642,0.670,0.623,0.666
2015-03-03,0.662,0.698,0.643,0.682
2015-03-04,0.683,0.698,0.647,0.659
2015-03-05,0.655,0.679,0.627,0.643
2015-03-06,0.648,0.743,0.572,0.727
2015-03-09,0.728,0.740,0.684,0.692
2015-03-10,0.708,0.720,0.664,0.684
2015-03-11,0.676,0.724,0.664,0.684
2015-03-12,0.680,0.697,0.636,0.672
2015-03-13,0.676,0.705,0.629,0.661
2015-03-16,0.657,0.677,0.629,0.653
2015-03-17,0.657,0.682,0.633,0.674
2015-03-18,0.670,0.694,0.532,0.548
2015-03-19,0.553,0.642,0.528,0.613
2015-03-20,0.609,0.622,0.569,0.585
2015-03-23,0.590,0.602,0.557,0.573
2015-03-24,0.577,0.602,0.541,0.557
2015-03-25,0.578,0.613,0.555,0.606
2015-03-26,0.602,0.629,0.586,0.614
2015-03-27,0.614,0.626,0.575,0.598
2015-03-30,0.591,0.606,0.555,0.583
2015-03-31,0.583,0.591,0.543,0.559
2015-04-01,0.567,0.583,0.524,0.539
2015-04-02,0.540,0.559,0.520,0.543
2015-04-03,0.544,0.552,0.468,0.480
2015-04-06,0.488,0.516,0.468,0.500
2015-04-07,0.504,0.544,0.488,0.520
2015-04-08,0.524,0.556,0.512,0.536
2015-04-09,0.536,0.572,0.520,0.552
2015-04-10,0.556,0.568,0.536,0.556
2015-04-13,0.560,0.584,0.520,0.532
2015-04-14,0.544,0.552,0.492,0.516
2015-04-15,0.520,0.524,0.488,0.500
2015-04-16,0.508,0.520,0.480,0.496
2015-04-17,0.488,0.524,0.464,0.512
2015-04-20,0.516,0.541,0.492,0.524
2015-04-21,0.532,0.545,0.504,0.520
2015-04-22,0.520,0.565,0.508,0.549
2015-04-23,0.553,0.565,0.516,0.533
2015-04-24,0.537,0.557,0.496,0.504
2015-04-27,0.516,0.541,0.500,0.539
2015-04-28,0.539,0.575,0.535,0.563
2015-04-29,0.559,0.606,0.547,0.567
2015-04-30,0.559,0.622,0.551,0.571
2015-05-01,0.583,0.619,0.575,0.599
2015-05-04,0.591,0.623,0.583,0.603
2015-05-05,0.607,0.647,0.579,0.627
2015-05-06,0.631,0.655,0.603,0.639
2015-05-07,0.635,0.667,0.615,0.635
2015-05-08,0.640,0.652,0.560,0.568
2015-05-11,0.576,0.628,0.560,0.620
2015-05-12,0.624,0.652,0.588,0.596
2015-05-13,0.600,0.624,0.556,0.580
2015-05-14,0.580,0.588,0.528,0.548
2015-05-15,0.548,0.569,0.520,0.540
2015-05-18,0.536,0.589,0.528,0.581
2015-05-19,0.581,0.630,0.557,0.617
2015-05-20,0.601,0.626,0.573,0.589
2015-05-21,0.581,0.601,0.557,0.577
2015-05-22,0.573,0.635,0.565,0.618
2015-05-26,0.614,0.655,0.598,0.614
2015-05-27,0.653,0.680,0.637,0.649
2015-05-28,0.653,0.668,0.613,0.633
2015-05-29,0.637,0.645,0.594,0.609
2015-06-01,0.613,0.661,0.593,0.649
