,1w,2w,3w,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,11m,12m
2013-01-01,0.08,0.088,0.095,0.108,0.15,0.188,0.227,0.277,0.319,0.35,0.397,0.433,0.472,0.5,0.54
2013-01-02,0.08,0.088,0.095,0.109,0.15,0.188,0.229,0.277,0.319,0.36,0.399,0.433,0.472,0.509,0.543
2013-01-03,0.079,0.087,0.095,0.109,0.15,0.189,0.23,0.28,0.32,0.36,0.4,0.434,0.473,0.51,0.544
2013-01-04,0.08,0.088,0.096,0.11,0.154,0.191,0.234,0.283,0.324,0.364,0.404,0.438,0.478,0.516,0.549
2013-01-07,0.08,0.088,0.096,0.11,0.155,0.192,0.235,0.284,0.325,0.364,0.405,0.439,0.479,0.517,0.55
2013-01-08,0.08,0.088,0.096,0.11,0.155,0.192,0.235,0.284,0.326,0.365,0.406,0.439,0.479,0.518,0.551
2013-01-09,0.08,0.088,0.098,0.11,0.156,0.192,0.234,0.284,0.326,0.365,0.405,0.439,0.479,0.518,0.551
2013-01-10,0.08,0.088,0.098,0.11,0.155,0.19,0.234,0.283,0.325,0.364,0.404,0.437,0.478,0.517,0.55
2013-01-11,0.08,0.088,0.098,0.111,0.158,0.195,0.24,0.289,0.331,0.371,0.412,0.446,0.487,0.525,0.559
2013-01-14,0.08,0.088,0.098,0.112,0.16,0.199,0.245,0.295,0.337,0.379,0.418,0.454,0.493,0.532,0.566
2013-01-15,0.081,0.088,0.099,0.112,0.163,0.202,0.25,0.299,0.341,0.382,0.421,0.457,0.497,0.536,0.57
2013-01-16,0.08,0.088,0.098,0.111,0.162,0.201,0.25,0.297,0.34,0.382,0.42,0.458,0.497,0.536,0.57
2013-01-17,0.08,0.088,0.099,0.112,0.163,0.204,0.253,0.303,0.344,0.386,0.425,0.463,0.501,0.541,0.574
2013-01-18,0.08,0.089,0.099,0.112,0.166,0.209,0.259,0.31,0.351,0.396,0.436,0.474,0.514,0.553,0.587
2013-01-21,0.08,0.089,0.099,0.112,0.166,0.209,0.26,0.311,0.353,0.396,0.435,0.473,0.513,0.553,0.587
2013-01-22,0.08,0.089,0.099,0.112,0.166,0.209,0.26,0.311,0.353,0.396,0.435,0.473,0.512,0.552,0.586
2013-01-23,0.081,0.089,0.099,0.112,0.166,0.209,0.261,0.311,0.353,0.395,0.436,0.472,0.511,0.551,0.586
2013-01-24,0.081,0.089,0.1,0.113,0.167,0.211,0.263,0.313,0.353,0.396,0.436,0.473,0.512,0.552,0.585
2013-01-25,0.081,0.089,0.099,0.113,0.167,0.214,0.266,0.315,0.356,0.401,0.44,0.476,0.517,0.557,0.59
2013-01-28,0.082,0.09,0.1,0.117,0.174,0.224,0.276,0.326,0.37,0.414,0.456,0.493,0.535,0.574,0.609
2013-01-29,0.083,0.091,0.101,0.118,0.176,0.226,0.279,0.328,0.373,0.416,0.457,0.497,0.538,0.577,0.611
2013-01-30,0.083,0.092,0.102,0.12,0.179,0.23,0.283,0.332,0.376,0.42,0.462,0.502,0.545,0.583,0.619
2013-01-31,0.083,0.093,0.103,0.121,0.18,0.232,0.284,0.333,0.378,0.42,0.463,0.503,0.545,0.584,0.62
2013-02-01,0.084,0.094,0.104,0.122,0.181,0.234,0.286,0.335,0.38,0.421,0.464,0.504,0.548,0.586,0.622
2013-02-04,0.084,0.094,0.104,0.123,0.18,0.233,0.285,0.334,0.38,0.42,0.462,0.503,0.547,0.585,0.621
2013-02-05,0.084,0.094,0.104,0.123,0.179,0.233,0.284,0.333,0.38,0.419,0.461,0.501,0.545,0.584,0.618
2013-02-06,0.084,0.093,0.104,0.123,0.179,0.233,0.284,0.333,0.379,0.418,0.46,0.501,0.544,0.583,0.616
2013-02-07,0.083,0.092,0.103,0.122,0.178,0.232,0.283,0.333,0.378,0.418,0.46,0.501,0.544,0.583,0.617
2013-02-08,0.082,0.091,0.101,0.12,0.176,0.227,0.277,0.327,0.372,0.411,0.452,0.494,0.534,0.574,0.609
2013-02-11,0.082,0.091,0.102,0.121,0.176,0.227,0.276,0.326,0.371,0.409,0.451,0.491,0.532,0.571,0.606
2013-02-12,0.082,0.091,0.102,0.121,0.175,0.226,0.276,0.326,0.369,0.407,0.45,0.49,0.529,0.569,0.604
2013-02-13,0.081,0.091,0.101,0.121,0.176,0.226,0.276,0.325,0.369,0.406,0.449,0.489,0.528,0.567,0.602
2013-02-14,0.081,0.091,0.101,0.121,0.176,0.226,0.275,0.324,0.367,0.404,0.446,0.486,0.526,0.564,0.598
2013-02-15,0.081,0.091,0.101,0.12,0.176,0.225,0.273,0.319,0.363,0.4,0.442,0.481,0.521,0.558,0.593
2013-02-18,0.08,0.091,0.101,0.12,0.175,0.223,0.269,0.316,0.359,0.398,0.438,0.477,0.516,0.554,0.589
2013-02-19,0.08,0.09,0.1,0.12,0.173,0.221,0.267,0.314,0.357,0.396,0.436,0.476,0.514,0.551,0.586
2013-02-20,0.081,0.09,0.1,0.12,0.173,0.221,0.267,0.312,0.356,0.395,0.435,0.475,0.512,0.55,0.585
2013-02-21,0.08,0.09,0.101,0.119,0.173,0.22,0.267,0.31,0.354,0.393,0.433,0.473,0.51,0.549,0.583
2013-02-22,0.081,0.09,0.101,0.119,0.173,0.218,0.266,0.309,0.352,0.391,0.43,0.471,0.508,0.547,0.581
2013-02-25,0.081,0.09,0.1,0.117,0.17,0.213,0.26,0.301,0.343,0.381,0.421,0.461,0.498,0.537,0.571
2013-02-26,0.08,0.09,0.1,0.117,0.169,0.21,0.256,0.297,0.338,0.376,0.416,0.455,0.492,0.53,0.565
2013-02-27,0.08,0.09,0.1,0.118,0.169,0.21,0.254,0.296,0.336,0.373,0.413,0.451,0.488,0.526,0.56
2013-02-28,0.08,0.089,0.1,0.118,0.169,0.209,0.25,0.294,0.334,0.371,0.41,0.448,0.487,0.523,0.557
2013-03-01,0.08,0.089,0.099,0.117,0.166,0.206,0.247,0.289,0.328,0.365,0.404,0.441,0.478,0.515,0.549
2013-03-04,0.08,0.089,0.099,0.117,0.164,0.202,0.242,0.286,0.324,0.359,0.4,0.436,0.474,0.51,0.544
2013-03-05,0.08,0.089,0.099,0.117,0.163,0.2,0.24,0.283,0.322,0.359,0.399,0.434,0.471,0.509,0.543
2013-03-06,0.08,0.089,0.1,0.118,0.162,0.2,0.239,0.282,0.321,0.358,0.397,0.432,0.47,0.507,0.54
2013-03-07,0.079,0.088,0.101,0.118,0.162,0.2,0.239,0.281,0.321,0.358,0.397,0.43,0.47,0.505,0.538
2013-03-08,0.079,0.087,0.101,0.118,0.162,0.201,0.241,0.284,0.324,0.361,0.4,0.434,0.474,0.51,0.541
