,Sight deposit rate,Reserve rate,Overnight lending rate,3yrs,5yrs,10yrs,3months,6months,9months,12months,NOWA,Volume NOK (mill),Qualifier,Banks lending,Banks borrowing,Transactions
2013-01-01,,,,,,,,,,,,,,,,
2013-01-02,1.5,0.5,2.5,1.45,1.56,2.07,1.49,1.47,1.54,1.54,1.5,23040.0,Handlet,,,
2013-01-03,1.5,0.5,2.5,1.43,1.57,2.09,1.45,1.54,1.55,1.55,1.48,27759.0,Handlet,,,
2013-01-04,1.5,0.5,2.5,1.43,1.57,2.12,1.48,1.51,1.54,1.56,1.49,4279.0,Handlet,,,
2013-01-07,1.5,0.5,2.5,1.43,1.58,2.14,1.53,1.53,1.53,1.58,1.46,15860.0,Handlet,,,
2013-01-08,1.5,0.5,2.5,1.39,1.54,2.13,1.57,1.53,1.56,1.61,1.46,11835.0,Handlet,,,
2013-01-09,1.5,0.5,2.5,1.39,1.54,2.12,1.57,1.55,1.56,1.56,1.49,4758.0,Handlet,,,
2013-01-10,1.5,0.5,2.5,1.42,1.61,2.22,1.62,1.57,1.56,1.56,1.46,9760.0,Handlet,,,
2013-01-11,1.5,0.5,2.5,1.47,1.67,2.26,1.62,1.57,1.59,1.56,1.48,9614.0,Handlet,,,
2013-01-14,1.5,0.5,2.5,1.47,1.65,2.25,1.61,1.59,1.56,1.56,1.47,9995.0,Handlet,,,
2013-01-15,1.5,0.5,2.5,1.54,1.73,2.34,1.59,1.58,1.58,1.57,1.49,13129.0,Handlet,,,
2013-01-16,1.5,0.5,2.5,1.49,1.7,2.31,1.58,1.57,1.54,1.49,1.5,8874.0,Handlet,,,
2013-01-17,1.5,0.5,2.5,1.55,1.77,2.33,1.58,1.56,1.59,1.62,1.5,8649.0,Handlet,,,
2013-01-18,1.5,0.5,2.5,1.6,1.8,2.32,1.59,1.6,1.6,1.58,1.49,9011.0,Handlet,,,
2013-01-21,1.5,0.5,2.5,1.59,1.82,2.35,1.63,1.62,1.63,1.62,1.48,6836.0,Handlet,,,
2013-01-22,1.5,0.5,2.5,1.64,1.87,2.42,1.62,1.62,1.63,1.63,1.49,19253.0,Handlet,,,
2013-01-23,1.5,0.5,2.5,1.61,1.87,2.41,1.63,1.66,1.65,1.62,1.48,16809.0,Handlet,,,
2013-01-24,1.5,0.5,2.5,1.61,1.83,2.34,1.64,1.63,1.63,1.62,1.46,16622.0,Handlet,,,
