"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2020","12.55","12.70","12.70","12.46","54.02K","-0.55%"
"Dec 30, 2020","12.62","12.61","12.68","12.54","5.16K","0.40%"
"Dec 29, 2020","12.57","12.70","12.71","12.54","28.44K","0.32%"
"Dec 28, 2020","12.53","12.53","12.60","12.51","16.46K","0.32%"
"Dec 24, 2020","12.49","12.49","12.49","12.47","14.14K","0.00%"
"Dec 23, 2020","12.49","12.33","12.50","12.29","28.59K","2.97%"
"Dec 22, 2020","12.13","12.18","12.22","12.09","35.10K","-0.98%"
"Dec 21, 2020","12.25","12.08","12.31","12.06","34.28K","-1.53%"
"Dec 18, 2020","12.44","12.41","12.44","12.39","19.89K","1.22%"
"Dec 17, 2020","12.29","12.31","12.38","12.26","10.49K","0.16%"
"Dec 16, 2020","12.27","12.21","12.27","12.18","17.29K","0.66%"
"Dec 15, 2020","12.19","12.10","12.23","12.03","11.63K","1.84%"
"Dec 14, 2020","11.97","12.09","12.11","11.97","36.06K","-0.08%"
"Dec 11, 2020","11.98","11.92","12.03","11.90","87.11K","-0.62%"
"Dec 10, 2020","12.06","11.93","12.10","11.91","9.12K","0.74%"
"Dec 09, 2020","11.97","12.06","12.11","11.85","39.92K","-0.77%"
"Dec 08, 2020","12.06","11.94","12.06","11.94","24.87K","0.75%"
"Dec 07, 2020","11.97","12.02","12.03","11.97","16.25K","0.00%"
"Dec 04, 2020","11.97","11.92","12.05","11.92","22.28K","1.00%"
"Dec 03, 2020","11.85","11.89","11.99","11.85","28.43K","-0.17%"
"Dec 02, 2020","11.87","11.76","11.95","11.76","35.24K","-0.92%"
"Dec 01, 2020","11.98","11.85","11.98","11.85","49.54K","2.39%"
"Nov 30, 2020","11.70","11.92","11.95","11.69","65.15K","-2.34%"
"Nov 27, 2020","11.98","11.98","12.07","11.98","8.36K","0.17%"
"Nov 25, 2020","11.96","11.85","11.98","11.81","42.22K","0.25%"
"Nov 24, 2020","11.93","11.71","11.93","11.71","11.64K","4.10%"
"Nov 23, 2020","11.46","11.49","11.52","11.41","14.32K","0.75%"
"Nov 20, 2020","11.38","11.41","11.41","11.37","3.68K","0.13%"
"Nov 19, 2020","11.36","11.27","11.36","11.24","10.89K","-0.04%"
"Nov 18, 2020","11.36","11.35","11.49","11.34","13.30K","0.22%"
"Nov 17, 2020","11.34","11.28","11.37","11.28","57.71K","0.27%"
"Nov 16, 2020","11.31","11.30","11.34","11.24","25.94K","2.54%"
"Nov 13, 2020","11.03","10.97","11.03","10.94","50.26K","1.75%"
"Nov 12, 2020","10.84","11.03","11.04","10.82","31.71K","-1.72%"
"Nov 11, 2020","11.03","11.02","11.07","10.99","11.59K","0.36%"
"Nov 10, 2020","10.99","10.97","11.00","10.89","21.06K","1.10%"
"Nov 09, 2020","10.87","11.01","11.06","10.62","145.75K","4.92%"
"Nov 06, 2020","10.36","10.40","10.41","10.31","33.39K","0.58%"
"Nov 05, 2020","10.30","10.28","10.37","10.15","88.79K","1.48%"
"Nov 04, 2020","10.15","10.01","10.20","10.01","77.04K","1.60%"
"Nov 03, 2020","9.99","9.92","10.02","9.88","49.04K","2.88%"
"Nov 02, 2020","9.71","9.66","9.71","9.63","39.61K","1.09%"
"Oct 30, 2020","9.60","9.59","9.69","9.53","129.18K","0.58%"
"Oct 29, 2020","9.55","9.50","9.63","9.21","122.68K","-1.44%"
"Oct 28, 2020","9.69","9.77","9.83","9.63","109.13K","-4.81%"
"Oct 27, 2020","10.18","10.23","10.24","10.14","51.80K","0.15%"
"Oct 26, 2020","10.16","10.28","10.33","10.11","209.85K","-3.19%"
"Oct 23, 2020","10.50","10.48","10.50","10.43","11.80K","0.48%"
"Oct 22, 2020","10.45","10.43","10.46","10.38","69.03K","0.29%"
"Oct 21, 2020","10.42","10.51","10.54","10.42","122.40K","-0.95%"
"Oct 20, 2020","10.52","10.54","10.58","10.48","186.28K","0.86%"
"Oct 19, 2020","10.43","10.55","10.65","10.41","478.43K","-0.67%"
"Oct 16, 2020","10.50","10.51","10.57","10.50","372.49K","0.00%"
"Oct 15, 2020","10.50","10.35","10.59","10.35","749.48K","-1.50%"
"Oct 14, 2020","10.66","10.67","10.67","10.66","5.26K","-0.09%"
"Oct 13, 2020","10.67","10.65","10.70","10.65","11.83K","-1.93%"
"Oct 12, 2020","10.88","10.82","10.89","10.82","13.98K","0.55%"
"Oct 11, 2020","10.82","10.82","10.82","10.82","-","0.00%"
"Oct 09, 2020","10.82","10.77","10.83","10.72","10.31K","1.12%"
"Oct 08, 2020","10.70","10.74","10.74","10.70","9.90K","0.94%"
"Oct 07, 2020","10.60","10.57","10.60","10.57","24.97K","1.82%"
"Oct 06, 2020","10.41","10.70","10.76","10.41","19.69K","-2.43%"
"Oct 05, 2020","10.67","10.60","10.68","10.59","44.56K","3.39%"
"Oct 04, 2020","10.32","10.32","10.32","10.32","-","0.00%"
"Oct 03, 2020","10.32","10.32","10.32","10.32","-","0.00%"
"Oct 02, 2020","10.32","10.27","10.39","10.27","13.05K","-0.29%"
"Oct 01, 2020","10.35","10.27","10.35","10.25","11.97K","0.10%"
"Sep 30, 2020","10.34","10.22","10.34","10.21","25.40K","2.38%"
"Sep 29, 2020","10.10","10.11","10.15","10.01","29.28K","0.30%"
"Sep 28, 2020","10.07","10.04","10.07","10.04","62.32K","1.51%"
"Sep 27, 2020","9.92","9.92","9.92","9.92","-","0.00%"
"Sep 26, 2020","9.92","9.92","9.92","9.92","-","0.00%"
"Sep 25, 2020","9.92","9.76","9.93","9.76","17.72K","-0.80%"
"Sep 24, 2020","10.00","9.80","10.00","9.80","27.38K","0.70%"
"Sep 23, 2020","9.93","10.16","10.16","9.93","19.22K","-2.26%"
"Sep 22, 2020","10.16","10.15","10.17","10.13","17.61K","-0.20%"
"Sep 21, 2020","10.18","10.13","10.19","10.11","65.10K","-4.95%"
"Sep 18, 2020","10.71","10.70","10.76","10.63","54.07K","-0.74%"
"Sep 17, 2020","10.79","10.67","10.79","10.67","51.75K","-0.09%"
"Sep 16, 2020","10.80","10.77","10.86","10.75","104.29K","0.56%"
"Sep 15, 2020","10.74","10.79","10.81","10.73","219.85K","0.66%"
"Sep 14, 2020","10.67","10.70","10.72","10.63","114.72K","-0.65%"
"Sep 13, 2020","10.74","10.74","10.74","10.74","-","0.00%"
"Sep 11, 2020","10.74","10.75","10.78","10.67","32.26K","2.09%"
"Sep 10, 2020","10.52","10.80","10.82","10.51","203.89K","-2.59%"
"Sep 09, 2020","10.80","10.75","10.82","10.75","133.07K","3.15%"
"Sep 08, 2020","10.47","10.62","10.62","10.47","70.44K","-3.32%"
"Sep 04, 2020","10.83","10.89","10.91","10.59","65.85K","1.12%"
"Sep 03, 2020","10.71","10.92","10.93","10.70","379.96K","-2.64%"
"Sep 02, 2020","11.00","11.02","11.04","10.98","212.67K","-0.90%"
"Sep 01, 2020","11.10","11.13","11.15","11.07","37.11K","-0.09%"
"Aug 31, 2020","11.11","11.13","11.22","11.10","46.77K","-0.18%"
"Aug 30, 2020","11.13","11.13","11.13","11.13","-","0.00%"
"Aug 28, 2020","11.13","11.06","11.14","11.06","24.85K","1.09%"
"Aug 27, 2020","11.01","11.03","11.03","10.95","38.01K","-1.26%"
"Aug 26, 2020","11.15","11.03","11.15","11.03","12.18K","1.36%"
"Aug 25, 2020","11.00","10.97","11.02","10.95","19.54K","-0.36%"
"Aug 24, 2020","11.04","10.99","11.05","10.94","39.59K","1.66%"
"Aug 23, 2020","10.86","10.86","10.86","10.86","-","0.00%"
"Aug 21, 2020","10.86","10.83","10.88","10.76","121.46K","-1.09%"
"Aug 20, 2020","10.98","10.92","10.98","10.92","27.73K","-0.18%"
"Aug 19, 2020","11.00","11.11","11.11","10.99","25.67K","-1.35%"
"Aug 18, 2020","11.15","11.21","11.21","11.10","17.92K","-0.27%"
"Aug 17, 2020","11.18","11.15","11.19","11.08","35.06K","0.81%"
"Aug 14, 2020","11.09","11.04","11.16","11.00","54.95K","-0.81%"
"Aug 13, 2020","11.18","11.22","11.22","11.15","22.73K","0.63%"
"Aug 12, 2020","11.11","11.06","11.13","11.06","50.16K","2.30%"
"Aug 11, 2020","10.86","11.01","11.06","10.82","82.91K","1.02%"
"Aug 10, 2020","10.75","10.76","10.76","10.70","17.96K","-0.19%"
"Aug 09, 2020","10.77","10.77","10.77","10.77","-","0.00%"
"Aug 08, 2020","10.77","10.77","10.77","10.77","-","0.00%"
"Aug 07, 2020","10.77","10.66","10.77","10.66","93.14K","-0.19%"
"Aug 06, 2020","10.79","10.82","10.82","10.75","62.75K","-0.37%"
"Aug 05, 2020","10.83","10.77","10.85","10.77","73.10K","2.46%"
"Aug 04, 2020","10.57","10.47","10.57","10.47","36.95K","0.57%"
"Aug 03, 2020","10.51","10.41","10.51","10.37","39.06K","2.24%"
"Aug 02, 2020","10.28","10.28","10.28","10.28","-","0.00%"
"Jul 31, 2020","10.28","10.39","10.43","10.20","56.59K","-1.06%"
"Jul 30, 2020","10.39","10.38","10.40","10.20","1.06M","-1.89%"
"Jul 29, 2020","10.59","10.48","10.64","10.40","32.20K","1.53%"
"Jul 28, 2020","10.43","10.46","10.49","10.40","38.02K","-0.29%"
"Jul 27, 2020","10.46","10.49","10.55","10.45","71.40K","0.97%"
"Jul 26, 2020","10.36","10.36","10.36","10.36","-","0.00%"
"Jul 25, 2020","10.36","10.36","10.36","10.36","-","0.00%"
"Jul 24, 2020","10.36","10.35","10.41","10.33","76.39K","-0.19%"
"Jul 23, 2020","10.38","10.45","10.47","10.35","49.24K","-1.52%"
"Jul 22, 2020","10.54","10.59","10.59","10.52","40.26K","-0.57%"
"Jul 21, 2020","10.60","10.62","10.67","10.58","69.12K","1.44%"
"Jul 20, 2020","10.45","10.40","10.45","10.38","66.70K","0.97%"
"Jul 17, 2020","10.35","10.31","10.37","10.27","121.50K","1.17%"
"Jul 16, 2020","10.23","10.26","10.28","10.19","63.77K","-0.10%"
