Date,Hours,DK1,DK2,DK
2013-01-01,00 - 01,2611.0,1539.0,4150.0
2013-01-01,01 - 02,2132.0,1535.0,3667.0
2013-01-01,02 - 03,1676.0,1474.0,3150.0
2013-01-01,03 - 04,1478.0,1430.0,2908.0
2013-01-01,04 - 05,1320.0,1368.0,2688.0
2013-01-01,05 - 06,1363.0,1405.0,2768.0
2013-01-01,06 - 07,1386.0,1430.0,2816.0
2013-01-01,07 - 08,1358.0,1435.0,2793.0
2013-01-01,08 - 09,1629.0,1426.0,3055.0
2013-01-01,09 - 10,1639.0,1457.0,3096.0
2013-01-01,10 - 11,1752.0,1425.0,3177.0
2013-01-01,11 - 12,1964.0,1429.0,3393.0
2013-01-01,12 - 13,2092.0,1279.0,3371.0
2013-01-01,13 - 14,2345.0,1076.0,3421.0
2013-01-01,14 - 15,2541.0,1128.0,3669.0
2013-01-01,15 - 16,2705.0,1225.0,3930.0
2013-01-01,16 - 17,2785.0,1247.0,4032.0
2013-01-01,17 - 18,2793.0,1246.0,4039.0
2013-01-01,18 - 19,2878.0,1278.0,4156.0
2013-01-01,19 - 20,2915.0,1348.0,4263.0
2013-01-01,20 - 21,2877.0,1294.0,4171.0
2013-01-01,21 - 22,2763.0,1316.0,4079.0
2013-01-01,22 - 23,2440.0,1436.0,3876.0
2013-01-01,23 - 00,2094.0,1447.0,3541.0
2013-01-02,00 - 01,1777.0,1494.0,3271.0
2013-01-02,01 - 02,1625.0,1468.0,3093.0
2013-01-02,02 - 03,1671.0,1481.0,3152.0
2013-01-02,03 - 04,1569.0,1466.0,3035.0
2013-01-02,04 - 05,1778.0,1354.0,3132.0
2013-01-02,05 - 06,1953.0,1350.0,3303.0
2013-01-02,06 - 07,2290.0,1394.0,3684.0
2013-01-02,07 - 08,3010.0,1495.0,4505.0
2013-01-02,08 - 09,3065.0,1341.0,4406.0
2013-01-02,09 - 10,2979.0,1342.0,4321.0
2013-01-02,10 - 11,3082.0,1414.0,4496.0
2013-01-02,11 - 12,3098.0,1467.0,4565.0
2013-01-02,12 - 13,3275.0,1550.0,4825.0
2013-01-02,13 - 14,3350.0,1573.0,4923.0
2013-01-02,14 - 15,3356.0,1581.0,4937.0
2013-01-02,15 - 16,3461.0,1611.0,5072.0
2013-01-02,16 - 17,3583.0,1637.0,5220.0
2013-01-02,17 - 18,3607.0,1619.0,5226.0
2013-01-02,18 - 19,3408.0,1683.0,5091.0
2013-01-02,19 - 20,3184.0,1679.0,4863.0
2013-01-02,20 - 21,3123.0,1601.0,4724.0
2013-01-02,21 - 22,2864.0,1541.0,4405.0
2013-01-02,22 - 23,2907.0,1505.0,4412.0
2013-01-02,23 - 00,2826.0,1423.0,4249.0
2013-01-03,00 - 01,2735.0,1442.0,4177.0
2013-01-03,01 - 02,2684.0,1463.0,4147.0
2013-01-03,02 - 03,2762.0,1449.0,4211.0
2013-01-03,03 - 04,2849.0,1550.0,4399.0
2013-01-03,04 - 05,2824.0,1618.0,4442.0
2013-01-03,05 - 06,2996.0,1622.0,4618.0
2013-01-03,06 - 07,3393.0,1719.0,5112.0
2013-01-03,07 - 08,3864.0,1750.0,5614.0
2013-01-03,08 - 09,4298.0,1761.0,6059.0
2013-01-03,09 - 10,4223.0,1773.0,5996.0
2013-01-03,10 - 11,4258.0,1799.0,6057.0
