Date,Hours,SE1,SE2,SE3,SE4,SE
2013-01-01,00 - 01,1270.0,2996.0,11852.0,1506.0,17624.0
2013-01-01,01 - 02,1196.0,2385.0,11807.0,1485.0,16874.0
2013-01-01,02 - 03,1089.0,2289.0,11796.0,1463.0,16637.0
2013-01-01,03 - 04,1087.0,2232.0,11758.0,1429.0,16506.0
2013-01-01,04 - 05,1091.0,2225.0,11657.0,1386.0,16358.0
2013-01-01,05 - 06,1160.0,2379.0,11599.0,1338.0,16476.0
2013-01-01,06 - 07,1287.0,2610.0,11582.0,1291.0,16770.0
2013-01-01,07 - 08,1586.0,2931.0,11563.0,1245.0,17324.0
2013-01-01,08 - 09,1862.0,3115.0,11514.0,1196.0,17687.0
2013-01-01,09 - 10,2058.0,3249.0,11471.0,1139.0,17916.0
2013-01-01,10 - 11,2348.0,3500.0,11502.0,1082.0,18431.0
2013-01-01,11 - 12,2636.0,3637.0,11469.0,1001.0,18743.0
2013-01-01,12 - 13,2643.0,4030.0,11397.0,957.0,19029.0
2013-01-01,13 - 14,2785.0,4103.0,11409.0,905.0,19203.0
2013-01-01,14 - 15,2888.0,4303.0,11408.0,864.0,19464.0
2013-01-01,15 - 16,3035.0,4668.0,11402.0,844.0,19948.0
2013-01-01,16 - 17,3281.0,5026.0,11443.0,836.0,20586.0
2013-01-01,17 - 18,3499.0,5337.0,11553.0,841.0,21231.0
2013-01-01,18 - 19,3491.0,5523.0,11540.0,853.0,21409.0
2013-01-01,19 - 20,3477.0,5530.0,11537.0,883.0,21427.0
2013-01-01,20 - 21,3320.0,5262.0,11503.0,894.0,20978.0
2013-01-01,21 - 22,2763.0,4754.0,11318.0,887.0,19723.0
2013-01-01,22 - 23,2102.0,4657.0,11281.0,898.0,18937.0
2013-01-01,23 - 00,1701.0,4200.0,11256.0,890.0,18047.0
2013-01-02,00 - 01,1298.0,3556.0,11142.0,911.0,16907.0
2013-01-02,01 - 02,1221.0,3127.0,11076.0,906.0,16330.0
2013-01-02,02 - 03,1223.0,3102.0,11072.0,913.0,16310.0
2013-01-02,03 - 04,1224.0,3070.0,11057.0,914.0,16265.0
2013-01-02,04 - 05,1225.0,3193.0,11073.0,924.0,16415.0
2013-01-02,05 - 06,1637.0,3454.0,11224.0,908.0,17224.0
2013-01-02,06 - 07,2359.0,4529.0,11317.0,877.0,19082.0
2013-01-02,07 - 08,3587.0,5049.0,11401.0,901.0,20938.0
2013-01-02,08 - 09,3847.0,5363.0,11458.0,895.0,21562.0
2013-01-02,09 - 10,3958.0,5580.0,11480.0,891.0,21909.0
2013-01-02,10 - 11,3987.0,5606.0,11492.0,888.0,21973.0
2013-01-02,11 - 12,3989.0,5596.0,11359.0,904.0,21847.0
2013-01-02,12 - 13,3995.0,5586.0,11415.0,942.0,21938.0
2013-01-02,13 - 14,3903.0,5657.0,11423.0,980.0,21963.0
2013-01-02,14 - 15,3905.0,5562.0,11379.0,992.0,21838.0
2013-01-02,15 - 16,3959.0,5569.0,11419.0,1006.0,21953.0
2013-01-02,16 - 17,3965.0,5805.0,11649.0,1021.0,22440.0
2013-01-02,17 - 18,3984.0,5904.0,11653.0,1056.0,22596.0
2013-01-02,18 - 19,3958.0,5808.0,11632.0,1075.0,22473.0
2013-01-02,19 - 20,3938.0,5724.0,11544.0,1076.0,22282.0
2013-01-02,20 - 21,3751.0,5470.0,11447.0,1086.0,21753.0
2013-01-02,21 - 22,3578.0,5163.0,11452.0,1104.0,21297.0
2013-01-02,22 - 23,3129.0,4983.0,11308.0,1106.0,20526.0
2013-01-02,23 - 00,2061.0,4436.0,11315.0,1085.0,18897.0
2013-01-03,00 - 01,1494.0,3911.0,11403.0,1173.0,17980.0
2013-01-03,01 - 02,1435.0,3631.0,11367.0,1162.0,17594.0
2013-01-03,02 - 03,1427.0,3561.0,11387.0,1180.0,17554.0
2013-01-03,03 - 04,1418.0,3520.0,11391.0,1194.0,17522.0
2013-01-03,04 - 05,1423.0,3670.0,11406.0,1221.0,17720.0
2013-01-03,05 - 06,1840.0,3850.0,11456.0,1245.0,18392.0
2013-01-03,06 - 07,2414.0,4560.0,11610.0,1278.0,19862.0
2013-01-03,07 - 08,3515.0,5642.0,11643.0,1332.0,22132.0
2013-01-03,08 - 09,3781.0,5962.0,11666.0,1362.0,22771.0
2013-01-03,09 - 10,3803.0,5741.0,11716.0,1397.0,22658.0
2013-01-03,10 - 11,3747.0,5589.0,11782.0,1440.0,22558.0
2013-01-03,11 - 12,3782.0,5676.0,11936.0,1463.0,22857.0
2013-01-03,12 - 13,3783.0,5804.0,12012.0,1512.0,23111.0
2013-01-03,13 - 14,3784.0,5850.0,12025.0,1523.0,23182.0
2013-01-03,14 - 15,3786.0,5888.0,12081.0,1538.0,23294.0
2013-01-03,15 - 16,3737.0,5884.0,12128.0,1554.0,23304.0
2013-01-03,16 - 17,3782.0,5962.0,12165.0,1558.0,23467.0
2013-01-03,17 - 18,3849.0,5985.0,12161.0,1562.0,23557.0
2013-01-03,18 - 19,3787.0,6006.0,12154.0,1572.0,23519.0
2013-01-03,19 - 20,3725.0,5942.0,12083.0,1568.0,23318.0
2013-01-03,20 - 21,3511.0,5832.0,12064.0,1566.0,22974.0
2013-01-03,21 - 22,3168.0,5464.0,12069.0,1583.0,22285.0
2013-01-03,22 - 23,2498.0,5027.0,12014.0,1561.0,21100.0
2013-01-03,23 - 00,1456.0,4142.0,11943.0,1545.0,19088.0
2013-01-04,00 - 01,1286.0,3338.0,11890.0,1497.0,18011.0
2013-01-04,01 - 02,1226.0,3030.0,11863.0,1480.0,17599.0
2013-01-04,02 - 03,1169.0,3052.0,11858.0,1470.0,17548.0
2013-01-04,03 - 04,1175.0,3043.0,11875.0,1459.0,17553.0
2013-01-04,04 - 05,1281.0,3275.0,11868.0,1418.0,17842.0
2013-01-04,05 - 06,1486.0,3676.0,11831.0,1387.0,18381.0
2013-01-04,06 - 07,2473.0,4881.0,11916.0,1350.0,20621.0
2013-01-04,07 - 08,3585.0,6010.0,11909.0,1302.0,22806.0
2013-01-04,08 - 09,3939.0,6299.0,11933.0,1246.0,23417.0
2013-01-04,09 - 10,3951.0,6255.0,11842.0,1202.0,23250.0
2013-01-04,10 - 11,3970.0,6084.0,11840.0,1172.0,23065.0
2013-01-04,11 - 12,3892.0,6063.0,11716.0,1073.0,22744.0
2013-01-04,12 - 13,3857.0,5927.0,11636.0,1008.0,22427.0
2013-01-04,13 - 14,3827.0,5810.0,11606.0,1033.0,22276.0
2013-01-04,14 - 15,3800.0,5662.0,11493.0,1002.0,21957.0
2013-01-04,15 - 16,3896.0,5673.0,11490.0,1019.0,22079.0
