,TOTAL Imports,Exports TOTAL,Imports  Food and live animals,Exports  Food and live animals,Imports Beverages and tobacco,Exports Beverages and tobacco,"Imports Crude materials, inedible, except fuels","Exports Crude materials, inedible, except fuels","Imports Mineral fuels, lubricants and related materials","Exports Mineral fuels, lubricants and related materials","Imports Animal and vegetable oils, fats and waxes","Exports Animal and vegetable oils, fats and waxes",Imports Chemicals and related products n.e.s.,Exports Chemicals and related products n.e.s.,Imports Manufactured goods classified chiefly by material,Exports Manufactured goods classified chiefly by material,Imports Machinery and transport equipment,Exports Machinery and transport equipment,Imports Miscellaneous manufactured articles,Exports Miscellaneous manufactured articles,Imports Other commodities and transactions,Exports Other commodities and transactions
2013-01-01,2979844,17981887,297489,236028,18784,6776,880556,2246885,755237,14013863,34818,12603,369728,955390,399904,445324,125842,55185,96989,9832,499,1
2013-02-01,2829461,16570526,294026,253384,23985,7757,941619,1795417,625042,13224207,33564,9378,305449,810413,379886,409844,132874,51770,92375,8355,641,1
2013-03-01,2392903,17744285,222406,258083,24149,13078,726296,2212492,433844,13891334,10657,16967,343527,864081,403574,430960,138024,48788,89599,8502,826,1
2013-04-01,2987641,17020422,258836,185653,23880,4169,925629,2560317,640207,12716844,46169,13277,356697,1022996,485254,453525,157562,54176,92706,9464,702,1
2013-05-01,2981618,17230242,276277,192193,20526,14640,830464,2709972,770078,13108966,28708,15970,339113,661814,466774,461334,155399,56340,93397,9013,880,0
2013-06-01,2739899,17216505,254065,184341,21026,5566,797971,2879692,577589,12803205,36213,7210,339674,820575,472535,452225,148400,53843,91411,9847,1017,1
2013-07-01,2983075,18445304,309612,160231,22939,10362,867151,2945172,741850,13925461,55574,20632,338284,852377,409815,457418,142321,66368,94324,7283,1206,1
2013-08-01,2990757,16764150,339456,164130,18248,10348,643046,2609473,893271,12583147,76023,5549,324574,888450,463810,433556,134376,60817,97005,8679,949,0
2013-09-01,2979033,15282595,303255,220351,16344,14164,703298,2550878,804691,11100091,73923,17122,352950,843994,477289,465522,143082,60128,103419,10344,783,1
2013-10-01,3218384,18236879,368377,325349,18488,10301,880705,3023074,665190,13486739,78149,12055,400641,844366,537675,465422,158295,58835,110035,10737,828,0
2013-11-01,2857718,18722304,321996,280394,19237,10080,837752,2451775,589000,14574388,65527,15699,315097,866856,469335,447196,143179,65822,95720,10092,874,3
2013-12-01,2819733,16665663,336285,221842,15012,3752,864260,1391533,710638,13789804,28784,9466,316740,799714,332714,394626,131481,47147,83085,7777,735,1
2014-01-01,2720429,19229434,316578,221763,16205,14685,752377,2317365,595388,15199169,46784,14919,341556,921509,441205,473702,119345,56101,90410,10219,580,1
2014-02-01,2843653,16355093,308450,221752,17425,4032,814002,1830730,669162,12938727,39622,12588,310150,865591,466374,416231,128572,56266,89243,9175,653,1
2014-03-01,2686726,18276887,304109,283089,18492,10028,813399,2349505,412617,14202782,36673,12071,345751,918490,509010,435441,145133,55653,100792,9829,751,1
2014-04-01,2681014,17485651,278925,267412,20130,10094,812742,2263834,487218,13465260,42383,17196,346653,900037,461115,496177,140612,55804,90240,9836,996,1
2014-05-01,3018661,16986701,334375,206525,22200,9602,889918,2964614,568117,12492040,39561,10917,407161,776866,519347,460291,141070,55430,95948,10415,963,1
2014-06-01,2937212,15131489,302542,202420,21387,16237,867231,2817230,527716,10756869,51829,14214,373810,803662,543295,458699,151118,52932,97157,9224,1128,1
2014-07-01,3027317,16801657,291500,196181,24193,5714,713817,2789136,902836,12451731,62138,11911,361807,869151,432984,404833,144606,65007,92034,7987,1400,6
2014-08-01,2665634,16350668,260881,174469,19282,16667,751832,2420060,524523,12371364,65857,16373,308235,852474,511785,437623,125884,52287,96132,9347,1223,4
2014-09-01,3118764,17450261,334395,272419,20504,5588,881221,3054382,620459,12707117,75828,17496,371405,842182,558885,481426,148136,58567,107057,11083,874,1
