,Value (NOK 1 000) Imports Crude fertilizers and crude minerales,Weight (tonnes) Imports Crude fertilizers and crude minerales,Value (NOK 1 000) Exports Crude fertilizers and crude minerales,Weight (tonnes) Exports Crude fertilizers and crude minerales,"Value (NOK 1 000) Imports Petroleum, petroleum products","Weight (tonnes) Imports Petroleum, petroleum products","Value (NOK 1 000) Exports Petroleum, petroleum products","Weight (tonnes) Exports Petroleum, petroleum products","Value (NOK 1 000) Imports Gas , natural and manufactured","Weight (tonnes) Imports Gas , natural and manufactured","Value (NOK 1 000) Exports Gas , natural and manufactured","Weight (tonnes) Exports Gas , natural and manufactured",Value (NOK 1 000) Imports Electric current,Weight (tonnes) Imports Electric current,Value (NOK 1 000) Exports Electric current,Weight (tonnes) Exports Electric current,"Value (NOK 1 000) Imports Chemical materials and products, n.e.s.","Weight (tonnes) Imports Chemical materials and products, n.e.s.","Value (NOK 1 000) Exports Chemical materials and products, n.e.s.","Weight (tonnes) Exports Chemical materials and products, n.e.s.",Value (NOK 1 000) Imports Iron and steel,Weight (tonnes) Imports Iron and steel,Value (NOK 1 000) Exports Iron and steel,Weight (tonnes) Exports Iron and steel,"Value (NOK 1 000) Imports Manufactures of metals, n.e.s.","Weight (tonnes) Imports Manufactures of metals, n.e.s.","Value (NOK 1 000) Exports Manufactures of metals, n.e.s.","Weight (tonnes) Exports Manufactures of metals, n.e.s."
2013-01-01,229192,318943,202338,1536995,2810759,594691,26403906,5489382,240419,44833,26128642,8524460,314062,-,387449,-,572689,41470,1150973,637277,1040103,81066,1129145,138534,1611018,47241,509203,9827
2013-02-01,250192,327816,169476,1190379,2392356,533128,28602566,5825599,60068,10799,23167065,7397302,328896,-,293151,-,550160,37676,900158,519303,1058330,75283,828482,106912,1801469,55794,767410,12141
2013-03-01,240191,323262,209779,1600246,1671633,346539,30510578,6314570,47575,8572,23060420,7576747,544984,-,287016,-,559808,36657,1040431,569371,981272,86211,959261,137277,1952352,57248,518848,8852
2013-04-01,237952,304360,221007,1707668,2482778,523134,24425479,5443284,49390,9260,22052158,7273531,683221,-,195246,-,617265,48361,1121159,685056,1414976,109333,1057979,134725,2405414,69719,699568,14426
2013-05-01,210946,265941,239877,1991978,2854635,644308,28149562,6221575,49034,10180,20631372,6887380,317308,-,382306,-,639714,49606,687096,441235,1145795,89903,990558,145654,1958564,62938,754872,15344
2013-06-01,224576,263297,290837,2295489,2278030,482973,27743782,5997133,38627,8077,20506003,6789866,129262,-,432886,-,603359,49656,910378,535675,1099991,78198,868956,119447,1939310,63505,3377350,45554
2013-07-01,225435,264362,232478,2118961,3085718,652335,33182203,6712325,39861,7653,20999489,7065491,76072,-,500164,-,628660,49394,867822,573228,971943,62336,831711,107755,1946506,63110,705482,13065
2013-08-01,211468,258500,214849,1815136,3740206,784808,32259114,6347111,38137,7054,18011134,5902474,31174,-,534966,-,621984,52278,919918,573214,1079785,96390,879988,118027,1958027,63175,685397,15285
2013-09-01,191234,239833,257903,1838383,3736083,717591,25265754,5041414,64755,12218,17566625,5836040,87403,-,398591,-,614883,43237,1020114,559711,1147169,78801,1136889,140592,2045659,63823,790495,15749
2013-10-01,258480,311391,271617,1916115,2843263,566209,27735940,5607928,90463,17175,24443949,7068511,198635,-,287783,-,777983,58205,987443,570538,1262959,98282,995421,122726,2357428,67032,813033,15939
2013-11-01,198852,256155,252314,1795190,2230091,456327,31686213,6302911,190337,36442,26934427,7733895,204716,-,330237,-,642148,43760,999005,601055,1038591,86348,1028300,119742,2042255,59513,718035,12496
2013-12-01,264381,304284,198043,817206,2998772,592364,30244808,5957412,129670,25237,27151144,7832356,208662,-,359979,-,547110,36078,861778,524646,847390,63332,877118,116986,1663476,43580,524938,9086
2014-01-01,235932,327966,220316,1367370,2420608,470644,35592293,7000827,120858,22027,26923406,8185239,217434,-,411806,-,629799,44541,1142224,589632,1192688,93114,1223152,127708,2000922,60625,610707,10703
2014-02-01,229367,315625,238420,993457,2767326,543279,28865218,5749087,114443,20596,23200052,7189623,263069,-,306278,-,584468,37607,1018636,588769,1240124,110874,845815,105184,2234924,65269,588045,10728
2014-03-01,268146,336528,255092,1623549,1601357,306230,29984533,6086939,64442,14724,26286406,8115836,242119,-,304616,-,650235,40207,1090363,650512,1469182,120023,1021993,121442,2426160,70935,693270,12927
2014-04-01,187329,216736,245069,1446080,1638360,349754,30242267,6215061,134697,28295,19453653,7250189,119918,-,396869,-,653326,42587,938122,547378,1113363,86182,1049526,139362,2166751,61676,629716,12280
2014-05-01,208049,271654,307290,2033589,2204483,461221,27945459,5577750,77488,17748,18401705,6914227,40733,-,398131,-,685465,54678,965060,543300,1284750,118640,1057798,128987,3101767,66508,639119,11255
2014-06-01,276253,333125,299723,1924239,1947594,390161,25196214,4955461,72338,15798,15026326,5785722,29667,-,465295,-,650396,47285,955059,543548,1428756,128609,1162173,139740,2197443,63952,635900,11681
2014-07-01,178123,212259,290620,1877409,3797307,772957,30144505,6069865,61897,13212,14974320,6191876,32721,-,596645,-,656283,52871,897188,561808,1280161,93747,931210,92784,2013070,52304,681444,8801
2014-08-01,245410,261794,237533,1667265,2022314,413517,28705198,6064622,82881,18158,14676131,5948995,63071,-,464957,-,631745,49555,969638,530781,1658665,140319,1171926,125801,1884770,52888,552962,11070
2014-09-01,193865,263581,356184,2406972,2444235,486831,28506494,6178511,95585,22139,15101609,6217957,80963,-,583733,-,774770,60360,1062740,545253,1632669,147465,1092248,138840,2201290,63658,723386,12948
2014-10-01,270105,324915,362147,2421012,2292517,456234,29149543,6730131,82911,18449,23789222,8433231,139471,-,455562,-,692346,49972,1034642,580810,1600797,131650,1244529,138110,2338564,63385,969372,14744
2014-11-01,205609,229586,346767,2417228,2051076,429589,22096711,5589132,73983,18477,22836560,8053562,134742,-,509153,-,700259,45978,810507,418722,1088486,87140,1110330,115420,2241949,59148,875434,12640
