Date,Open,High,Low,Close,Adj Close,Volume
2013-01-01,28.35,29,28.35,28.92,21.431572,5393541
2013-01-02,28.35,29,28.35,28.92,21.431572,5393541
2013-01-03,28.83,29.09,28.49,29.09,21.557552,4537083
2013-01-04,28.879999,28.93,28.6,28.799999,21.342642,3952137
2013-01-07,28.85,28.889999,28.42,28.549999,21.157377,2833281
2013-01-08,28.6,28.74,28.309999,28.459999,21.090683,3184716
2013-01-09,28.719999,29.030001,28.559999,28.59,21.187021,4285307
2013-01-10,28.67,28.99,28.67,28.93,21.438982,3959566
2013-01-11,28.9,28.940001,28.24,28.4,21.046217,4918652
2013-01-14,28.440001,28.84,28.440001,28.51,21.127733,4333655
2013-01-15,28.49,28.75,28.27,28.32,20.986931,3668648
2013-01-16,27.790001,27.799999,27.41,27.68,20.512653,6674673
2013-01-17,27.6,27.629999,27.02,27.51,20.386671,7576208
2013-01-18,27.68,27.809999,27.139999,27.540001,20.408903,5638495
2013-01-21,27.6,27.68,27.209999,27.32,20.245865,2549376
2013-01-22,27.299999,27.389999,26.98,27.129999,20.105068,5024762
2013-01-23,27.219999,27.639999,27.129999,27.370001,20.282925,6857727
2013-01-24,27.450001,27.57,27.309999,27.35,20.268101,4400775
2013-01-25,27.4,27.42,26.940001,26.940001,19.964266,6115311
2013-01-28,26.91,27.049999,26.219999,26.299999,19.489983,6235951
2013-01-29,26.360001,26.629999,26.23,26.52,19.653017,4099508
2013-01-30,26.58,26.639999,26.15,26.27,19.467754,4155502
2013-01-31,26.190001,26.58,26.139999,26.17,19.393644,4748843
2013-02-01,26.24,26.85,26.190001,26.780001,19.845695,4060265
2013-02-04,26.879999,26.98,26.51,26.73,19.80864,4105140
2013-02-05,26.450001,26.65,26.370001,26.48,19.623375,4445781
2013-02-06,26.459999,26.879999,26.360001,26.42,19.578915,4440756
2013-02-07,26.5,26.74,26.299999,26.4,19.564089,4727170
2013-02-08,26.5,26.940001,26.48,26.799999,19.860516,5136772
2013-02-11,26.83,26.99,26.700001,26.700001,19.786409,5211619
2013-02-12,27.25,27.690001,26.68,26.75,19.823462,12970403
2013-02-13,26.959999,27.26,26.91,27.030001,20.030962,6670598
2013-02-14,26.969999,27.49,26.959999,27.49,20.371851,8281505
2013-02-15,27.459999,27.790001,27.190001,27.450001,20.342207,5551145
2013-02-18,27.49,27.5,27.16,27.25,20.193993,4538977
2013-02-19,27.209999,27.559999,27.200001,27.42,20.319977,5447810
2013-02-20,27.41,27.530001,27.200001,27.25,20.193993,4903604
2013-02-21,27.02,27.08,26.48,26.74,19.816051,7040287
2013-02-22,26.860001,27.059999,26.34,26.360001,19.534447,4594663
2013-02-25,26.48,27.059999,26.48,26.84,19.890162,5451321
2013-02-26,26.16,26.549999,26.059999,26.34,19.519627,5932791
2013-02-27,26.35,26.48,25.629999,26.01,19.275074,7077180
2013-02-28,26.200001,26.25,25.4,25.4,18.823025,7711468
2013-03-01,25.4,25.6,25.049999,25.139999,18.63035,5675216
2013-03-04,25.030001,25.290001,24.93,25.15,18.637758,3994075
2013-03-05,25.27,25.65,25.16,25.52,18.911951,5042405
2013-03-06,25.65,25.84,25.27,25.299999,18.74892,3247969
2013-03-07,25.41,25.84,25.41,25.610001,18.978651,3403656
2013-03-08,25.6,25.76,25.25,25.35,18.785973,4439408
2013-03-11,25.4,25.799999,25.34,25.6,18.971241,3749569
2013-03-12,25.450001,25.709999,25.25,25.25,18.711864,4547692
2013-03-13,25.26,25.41,24.99,25.049999,18.563652,3742553
2013-03-14,25.059999,25.540001,24.9,25.540001,18.926779,4342302
2013-03-15,25.639999,25.690001,25.459999,25.549999,18.934181,6773414
2013-03-18,25.08,25.549999,25.07,25.549999,18.934181,3616897
2013-03-19,25.42,25.5,25.08,25.4,18.823025,3917819
2013-03-20,25.41,25.59,25.139999,25.15,18.637758,3422450
2013-03-21,25.370001,25.48,25.08,25.379999,18.808205,3343249
2013-03-22,25.34,25.6,25.120001,25.190001,18.667402,2847188
2013-03-25,25.43,25.49,25.07,25.07,18.578476,2358043
2013-03-26,25.26,25.4,25.139999,25.370001,18.800795,2386128
2013-03-27,25.370001,25.68,25.219999,25.299999,18.74892,2219937
2013-04-02,25.25,25.43,24.549999,24.700001,18.304283,7485943
2013-04-03,24.65,25.049999,24.5,24.969999,18.504368,4904704
2013-04-04,24.84,25.280001,24.83,24.98,18.511778,4059082
2013-04-05,24.959999,25.040001,24.48,24.84,18.40803,3878014
2013-04-08,24.85,25.25,24.68,25.1,18.600708,3761590
2013-04-09,25.299999,25.58,25.219999,25.4,18.823025,3886853
2013-04-10,25.690001,26.290001,25.690001,25.780001,19.104631,6123181
2013-04-11,25.75,25.879999,25.4,25.5,18.897135,3354504
2013-04-12,25.629999,25.700001,25.4,25.700001,19.045349,3848333
2013-04-15,25.639999,25.700001,24.85,24.9,18.452494,4238117
2013-04-16,24.92,25.379999,24.77,24.969999,18.504368,4014056
2013-04-17,24.99,25.190001,24.799999,25.1,18.600708,3616117
2013-04-18,25.040001,25.559999,25.030001,25.440001,18.852671,3919367
2013-04-19,25.559999,25.76,25.450001,25.719999,19.060163,2639027
2013-04-22,25.68,25.9,25.440001,25.6,18.971241,3224709
2013-04-23,25.48,26.120001,25.4,26.059999,19.31213,4218160
2013-04-24,26.639999,26.950001,26.09,26.200001,19.415878,8823331
2013-04-25,26.290001,27.27,26.23,27.27,20.208818,6639065
2013-04-26,27.200001,27.290001,26.77,27.15,20.119888,3107612
2013-04-29,27.01,27.219999,26.68,26.92,19.949444,3082571
2013-04-30,26.950001,27.049999,26.76,27,20.008732,3068434
2013-05-02,26.959999,26.99,26.620001,26.98,19.993906,3104036
2013-05-03,26.959999,27.389999,26.6,27.389999,20.297743,4209651
2013-05-06,27.370001,27.48,27.040001,27.059999,20.053192,2042144
2013-05-07,27.25,27.5,27.059999,27.17,20.134708,2750990
2013-05-08,27.299999,27.469999,27.059999,27.35,20.268101,2516371
2013-05-10,26.860001,26.93,26.42,26.68,20.32906,3799788
2013-05-13,26.639999,26.67,26.32,26.440001,20.146187,2399485
2013-05-14,26.6,26.6,25.940001,26.290001,20.031895,2848851
2013-05-15,26.280001,26.290001,26,26.059999,19.856646,2684482
2013-05-16,26.190001,26.389999,26.07,26.299999,20.039513,3019784
2013-05-21,26.219999,27.030001,26.17,26.9,20.496691,5082599
2013-05-22,26.889999,27.07,26.639999,27.07,20.626223,3772376
2013-05-23,26.450001,26.540001,26.219999,26.49,20.184286,4775311
2013-05-24,26.469999,26.65,26.389999,26.49,20.184286,2314502
2013-05-27,26.6,26.6,26.4,26.549999,20.230003,780258
2013-05-28,26.549999,26.959999,26.51,26.620001,20.283342,2435030
2013-05-29,26.469999,26.889999,26.43,26.73,20.367153,2848989
2013-05-30,26.75,27.110001,26.5,26.5,20.191906,3091082
2013-05-31,26.530001,26.879999,26.41,26.73,20.367153,3674801
