"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 21, 2021","202.60","202.60","202.60","202.60","-","0.12%"
"Jan 20, 2021","202.35","202.80","202.80","202.35","0.47K","-0.98%"
"Jan 19, 2021","204.35","204.35","204.35","204.35","-","0.59%"
"Jan 18, 2021","203.15","203.15","203.15","203.15","-","-0.20%"
"Jan 15, 2021","203.55","203.55","203.55","203.55","-","1.07%"
"Jan 14, 2021","201.40","201.00","201.40","201.00","1.25K","-2.28%"
"Jan 13, 2021","206.10","205.40","206.10","204.60","0.28K","-1.01%"
"Jan 12, 2021","208.20","209.20","209.20","206.60","0.12K","0.82%"
"Jan 11, 2021","206.50","206.50","206.50","206.50","-","-3.01%"
"Jan 08, 2021","212.90","212.90","212.90","212.90","-","0.33%"
"Jan 07, 2021","212.20","212.40","212.40","212.20","0.05K","1.34%"
"Jan 06, 2021","209.40","209.20","209.40","209.20","0.52K","0.00%"
"Jan 05, 2021","209.40","211.20","211.40","208.60","0.81K","0.00%"
"Jan 04, 2021","209.40","214.60","214.60","209.40","2.44K","-2.56%"
"Dec 30, 2020","214.90","215.40","215.40","214.20","0.20K","0.09%"
"Dec 29, 2020","214.70","214.70","214.70","214.70","-","1.85%"
"Dec 23, 2020","210.80","209.60","210.80","209.40","0.19K","3.54%"
"Dec 21, 2020","203.60","203.60","203.60","203.60","-","-1.74%"
"Dec 18, 2020","207.20","207.20","207.20","207.20","-","1.69%"
"Dec 17, 2020","203.75","204.00","206.00","203.75","0.50K","0.49%"
"Dec 16, 2020","202.75","201.00","203.20","201.00","1.83K","-1.43%"
"Dec 15, 2020","205.70","205.70","205.70","205.70","-","-0.29%"
"Dec 14, 2020","206.30","205.20","206.30","204.80","0.30K","1.83%"
"Dec 11, 2020","202.60","204.80","204.80","202.60","0.30K","-1.07%"
"Dec 09, 2020","204.80","204.80","204.80","204.80","-","1.31%"
"Dec 08, 2020","202.15","202.15","202.15","202.15","-","-2.15%"
"Dec 07, 2020","206.60","206.40","206.60","206.40","0.07K","-1.53%"
"Dec 04, 2020","209.80","211.60","211.60","209.80","0.01K","-0.19%"
"Dec 03, 2020","210.20","209.80","210.40","209.80","0.31K","-0.10%"
"Dec 02, 2020","210.40","211.20","215.00","210.20","1.09K","2.04%"
"Nov 30, 2020","206.20","209.60","209.60","205.80","0.47K","0.10%"
"Nov 27, 2020","206.00","206.00","206.00","206.00","-","-3.06%"
"Nov 23, 2020","212.50","210.40","212.50","210.40","0.34K","-3.33%"
"Nov 17, 2020","219.81","219.40","219.81","219.40","1.55K","-1.38%"
"Nov 16, 2020","222.89","220.40","222.89","220.40","0.15K","1.41%"
"Nov 13, 2020","219.80","219.80","219.80","219.80","-","1.20%"
"Nov 12, 2020","217.20","216.40","219.00","216.40","0.23K","2.36%"
"Nov 10, 2020","212.20","206.20","212.20","206.20","1.02K","4.35%"
"Nov 04, 2020","203.35","203.00","203.35","203.00","0.04K","1.57%"
"Nov 03, 2020","200.20","200.20","200.20","200.20","-","-3.66%"
"Nov 02, 2020","207.80","201.00","207.80","201.00","0.05K","0.92%"
"Oct 30, 2020","205.90","203.00","206.20","203.00","0.07K","3.03%"
"Oct 29, 2020","199.85","200.40","200.40","199.85","0.03K","2.83%"
"Oct 28, 2020","194.35","201.40","201.40","194.35","0.89K","-5.79%"
"Oct 27, 2020","206.30","206.80","206.80","206.30","0.01K","-2.23%"
"Oct 26, 2020","211.00","214.00","214.00","211.00","0.03K","-3.92%"
"Oct 23, 2020","219.60","217.40","219.60","217.40","0.14K","3.49%"
"Oct 22, 2020","212.20","212.20","212.20","212.20","-","-3.46%"
"Oct 21, 2020","219.80","219.80","219.80","219.80","-","-0.50%"
"Oct 20, 2020","220.90","220.40","220.90","220.40","0.16K","0.23%"
"Oct 19, 2020","220.40","221.00","221.00","220.40","0.01K","-0.45%"
"Oct 16, 2020","221.40","221.40","221.40","221.40","-","-0.63%"
"Oct 15, 2020","222.80","222.80","222.80","222.80","-","-5.75%"
"Oct 14, 2020","236.40","232.60","236.40","232.60","0.09K","3.78%"
"Oct 09, 2020","227.80","227.80","227.80","227.80","-","0.18%"
"Oct 08, 2020","227.40","224.23","228.00","224.23","1.07K","1.93%"
"Oct 07, 2020","223.10","222.60","223.10","222.60","0.05K","-0.84%"
"Oct 06, 2020","225.00","224.00","225.00","224.00","1.30K","4.65%"
"Sep 29, 2020","215.00","215.00","215.00","215.00","-","-0.74%"
"Sep 25, 2020","216.60","216.60","216.60","216.60","-","-0.91%"
"Sep 23, 2020","218.60","218.60","218.60","218.60","-","-0.36%"
"Sep 22, 2020","219.40","219.00","219.40","219.00","0.61K","-1.17%"
"Sep 21, 2020","222.00","222.00","222.00","222.00","-","-0.63%"
"Sep 18, 2020","223.40","224.60","224.60","223.40","0.10K","-0.62%"
"Sep 17, 2020","224.80","224.80","224.80","224.80","-","-0.35%"
"Sep 16, 2020","225.60","227.60","227.60","225.60","0.15K","0.09%"
"Sep 15, 2020","225.40","224.00","227.00","224.00","0.26K","2.08%"
"Sep 14, 2020","220.80","221.60","221.60","220.60","0.17K","-0.09%"
"Sep 10, 2020","221.00","219.20","221.20","218.60","0.47K","-0.41%"
"Sep 07, 2020","221.90","224.80","225.80","221.90","0.66K","3.21%"
"Sep 04, 2020","215.00","215.00","215.00","215.00","-","-1.38%"
"Sep 01, 2020","218.00","218.00","218.00","218.00","-","-1.49%"
"Aug 28, 2020","221.30","217.80","221.30","217.60","0.30K","1.33%"
"Aug 27, 2020","218.40","220.20","220.60","218.40","0.40K","-1.67%"
"Aug 26, 2020","222.10","221.00","222.10","219.20","0.20K","-2.63%"
"Aug 25, 2020","228.10","223.00","230.20","222.60","2.43K","2.56%"
"Aug 24, 2020","222.40","223.80","223.80","221.80","0.56K","0.72%"
"Aug 21, 2020","220.80","225.00","225.00","220.20","3.03K","-3.24%"
"Aug 20, 2020","228.20","234.60","235.00","228.20","0.74K","-2.31%"
"Aug 19, 2020","233.60","236.60","236.60","233.60","2.98K","1.61%"
"Aug 18, 2020","229.90","225.00","230.40","225.00","1.03K","0.61%"
"Aug 17, 2020","228.50","234.40","234.60","226.60","2.57K","-2.35%"
"Aug 14, 2020","234.00","235.40","236.00","231.80","0.52K","-0.68%"
"Aug 13, 2020","235.60","233.00","236.40","233.00","1.01K","1.46%"
"Aug 12, 2020","232.20","226.80","234.00","226.80","1.41K","2.47%"
"Aug 11, 2020","226.60","227.60","228.60","226.00","1.07K","2.03%"
"Aug 10, 2020","222.10","222.80","223.60","220.40","0.74K","-0.85%"
"Aug 07, 2020","224.00","222.80","224.40","222.40","0.98K","-0.18%"
"Aug 06, 2020","224.40","219.80","224.80","219.80","0.14K","1.68%"
