Date, Close/Last, Volume, Open, High, Low
01/20/2021, 1987, 4, 1984.5, 1995.25, 1984.5
01/19/2021, 1967.5, 34, 1963.5, 1964, 1963.5
01/15/2021, 1984.75, 44, 1984.75, 1984.75, 1984.75
01/14/2021, 2009.25, 26, 2013, 2013, 2009.25
01/13/2021, 2015.75, 20, 2016.75, 2018.25, 2016.5
01/12/2021, 2023.75, 63, 2022, 2028, 2022
01/11/2021, 2006.5, 145, 2008.5, 2008.5, 2001
01/08/2021, 2023.75, 255, 2034, 2034, 2017.5
01/07/2021, 2040.75, 319, 2046, 2054.25, 2023
01/06/2021, 2039.5, 293, 2076, 2076.75, 2038.5
01/05/2021, 2051.5, 156, 2046.75, 2052.25, 2045.5
01/04/2021, 2047.5, 100, 2023.25, 2048.5, 2023.25
12/30/2020, 2024, N/A, 2024, 2024, 2024
12/29/2020, 2014.25, 70, 2010.5, 2014.25, 2009.5
12/23/2020, 2037, N/A, 2037, 2037, 2037
12/22/2020, 2017.25, 8, 2017.25, 2017.25, 2017.25
12/21/2020, 2045, 63, 2065.5, 2065.5, 2038.25
12/18/2020, 2075, 1, 2071.5, 2071.5, 2071.5
12/17/2020, 2065.25, N/A, 2065.25, 2065.25, 2065.25
12/16/2020, 2048.5, N/A, 2048.5, 2048.5, 2048.5
12/15/2020, 2034.25, N/A, 2034.25, 2034.25, 2034.25
12/14/2020, 2034.75, N/A, 2034.75, 2034.75, 2034.75
12/11/2020, 2060.25, 10, 2040.25, 2040.25, 2034.75
12/10/2020, 2065, 12, 2065, 2065, 2065
12/09/2020, 2045, 32, 2034.5, 2034.5, 2034
12/08/2020, 2001.25, 35, 2005, 2012, 2000
12/07/2020, 2025.75, 28, 2023, 2023, 2022.75
12/04/2020, 2051.5, 25, 2057.5, 2057.5, 2056.25
12/03/2020, 2034.75, N/A, 2034.75, 2034.75, 2034.75
12/02/2020, 2068.25, 156, 2074.5, 2074.75, 2038
12/01/2020, 2062.5, 54, 2061.5, 2064.75, 2061.5
11/30/2020, 2039.5, 5, 2032.75, 2032.75, 2032.75
11/26/2020, 1984.25, N/A, 1984.25, 1984.25, 1984.25
11/25/2020, 1987.5, 43, 1990, 1990, 1979
11/24/2020, 1982, 56, 1973, 1982.5, 1981.5
11/23/2020, 1969.5, 95, 1991.75, 1970, 1968.5
11/20/2020, 1993.75, 101, 2002.5, 2007.5, 1993.75
11/19/2020, 1993, 146, 1996, 2002.25, 1991
11/17/2020, 1983.25, N/A, 1983.25, 1983.25, 1983.25
11/16/2020, 1998.5, 222, 1950, 1969, 1950
11/13/2020, 1944.5, 10, 1959, 1959.25, 1959
11/12/2020, 1937.5, N/A, 1937.5, 1937.5, 1937.5
11/11/2020, 1930.75, N/A, 1930.75, 1930.75, 1930.75
11/10/2020, 1923.25, 68, 1919, 1926.75, 1919
11/09/2020, 1900.25, N/A, 1900.25, 1900.25, 1900.25
11/06/2020, 1923, 85, 1929.5, 1929.5, 1915
11/05/2020, 1913.25, 129, 1913.25, 1913.25, 1913.25
11/04/2020, 1926.5, 117, 1887.25, 1916, 1907.25
11/03/2020, 1919.5, 86, 1886.75, 1918, 1918
11/02/2020, 1885, 6, 1885, 1885, 1885
10/30/2020, 1844.5, N/A, 1844.5, 1844.5, 1844.5
10/29/2020, 1815.5, 9, 1811.5, 1815.5, 1811
10/28/2020, 1817, 7, 1817.25, 1817.25, 1817.25
10/27/2020, 1832, N/A, 1832, 1832, 1832
10/26/2020, 1838, N/A, 1838, 1838, 1838
10/22/2020, 1852, N/A, 1852, 1852, 1852
10/21/2020, 1865, 37, 1867.75, 1868, 1867.75
10/20/2020, 1854.5, 27, 1867.25, 1867.25, 1854.25
10/19/2020, 1863.75, 18, 1866.5, 1868, 1864.75
10/16/2020, 1878.5, 62, 1886.5, 1886.5, 1878
10/15/2020, 1868.25, 15, 1865, 1865, 1865
10/14/2020, 1865.5, 129, 1878.25, 1878.25, 1864.75
10/13/2020, 1872.5, 123, 1874.5, 1875, 1865
