"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 20, 2021","1,742.37","1,746.16","1,746.16","1,734.85","-","0.29%"
"Jan 19, 2021","1,737.41","1,731.05","1,740.23","1,724.82","-","1.72%"
"Jan 15, 2021","1,707.95","1,727.40","1,727.40","1,704.86","-","-1.95%"
"Jan 14, 2021","1,741.98","1,716.05","1,745.23","1,716.05","-","1.95%"
"Jan 13, 2021","1,708.63","1,707.27","1,713.60","1,701.01","-","-0.99%"
"Jan 12, 2021","1,725.68","1,710.33","1,726.36","1,708.91","-","1.30%"
"Jan 11, 2021","1,703.56","1,702.18","1,705.97","1,683.82","-","-1.16%"
"Jan 08, 2021","1,723.55","1,721.33","1,729.77","1,708.60","-","0.73%"
"Jan 07, 2021","1,711.08","1,698.10","1,715.68","1,697.37","-","1.02%"
"Jan 06, 2021","1,693.73","1,676.30","1,700.93","1,676.30","-","2.23%"
"Jan 05, 2021","1,656.83","1,636.17","1,662.31","1,636.17","-","1.46%"
"Jan 04, 2021","1,632.95","1,662.79","1,666.71","1,626.02","-","-0.59%"
"Dec 31, 2020","1,642.57","1,644.61","1,650.68","1,638.48","-","-0.42%"
"Dec 30, 2020","1,649.50","1,651.43","1,656.92","1,647.18","-","0.64%"
"Dec 29, 2020","1,638.99","1,637.20","1,650.89","1,632.78","-","0.79%"
"Dec 28, 2020","1,626.10","1,622.22","1,638.37","1,620.99","-","0.41%"
"Dec 24, 2020","1,619.39","1,613.27","1,621.19","1,605.75","-","0.38%"
"Dec 23, 2020","1,613.23","1,593.38","1,618.58","1,593.38","-","2.78%"
"Dec 22, 2020","1,569.52","1,588.44","1,588.44","1,569.52","-","-1.50%"
"Dec 21, 2020","1,593.46","1,589.49","1,597.39","1,574.15","-","-1.78%"
"Dec 18, 2020","1,622.39","1,622.38","1,628.07","1,616.36","-","0.17%"
"Dec 17, 2020","1,619.56","1,623.05","1,625.92","1,616.18","-","0.64%"
"Dec 16, 2020","1,609.33","1,606.90","1,611.68","1,598.27","-","-0.07%"
"Dec 15, 2020","1,610.46","1,590.86","1,612.50","1,590.86","-","1.26%"
"Dec 14, 2020","1,590.48","1,605.40","1,607.39","1,589.95","-","0.11%"
"Dec 11, 2020","1,588.70","1,600.98","1,600.98","1,577.13","-","-1.58%"
"Dec 10, 2020","1,614.23","1,587.92","1,617.39","1,587.47","-","1.29%"
"Dec 09, 2020","1,593.66","1,604.41","1,608.85","1,583.22","-","0.66%"
"Dec 08, 2020","1,583.25","1,586.76","1,592.89","1,581.07","-","-0.21%"
"Dec 07, 2020","1,586.57","1,593.06","1,596.51","1,585.83","-","-0.27%"
"Dec 04, 2020","1,590.94","1,591.85","1,595.02","1,585.55","-","1.10%"
"Dec 03, 2020","1,573.68","1,572.60","1,585.29","1,571.46","-","-0.06%"
"Dec 02, 2020","1,574.58","1,568.97","1,575.46","1,557.46","-","0.54%"
"Dec 01, 2020","1,566.11","1,560.20","1,575.42","1,555.13","-","2.19%"
"Nov 30, 2020","1,532.51","1,580.35","1,581.39","1,531.74","-","-3.24%"
"Nov 27, 2020","1,583.85","1,591.92","1,593.19","1,582.29","-","0.78%"
"Nov 25, 2020","1,571.53","1,577.85","1,582.20","1,568.94","-","-0.55%"
"Nov 24, 2020","1,580.29","1,547.06","1,581.35","1,547.06","-","3.33%"
"Nov 23, 2020","1,529.35","1,520.56","1,533.76","1,518.25","-","1.37%"
"Nov 20, 2020","1,508.70","1,517.89","1,517.89","1,504.74","-","-0.14%"
"Nov 19, 2020","1,510.83","1,509.69","1,511.57","1,497.18","-","-0.42%"
"Nov 18, 2020","1,517.25","1,523.67","1,533.87","1,516.88","-","-0.46%"
"Nov 17, 2020","1,524.22","1,517.02","1,526.25","1,513.68","-","0.43%"
"Nov 16, 2020","1,517.67","1,496.18","1,517.70","1,496.18","-","3.68%"
"Nov 13, 2020","1,463.77","1,457.51","1,467.51","1,456.87","-","1.48%"
"Nov 12, 2020","1,442.46","1,462.60","1,473.08","1,439.15","-","-1.91%"
"Nov 11, 2020","1,470.61","1,482.07","1,482.24","1,468.12","-","-0.25%"
"Nov 10, 2020","1,474.26","1,472.81","1,475.30","1,467.21","-","1.75%"
"Nov 09, 2020","1,448.97","1,445.02","1,463.50","1,445.02","-","6.71%"
"Nov 06, 2020","1,357.86","1,358.37","1,366.07","1,355.92","-","0.17%"
"Nov 05, 2020","1,355.53","1,345.51","1,363.47","1,345.51","-","1.40%"
"Nov 04, 2020","1,336.82","1,331.04","1,348.15","1,319.57","-","1.20%"
"Nov 03, 2020","1,320.94","1,313.53","1,333.67","1,313.53","-","1.65%"
"Nov 02, 2020","1,299.54","1,287.50","1,302.22","1,283.74","-","1.86%"
"Oct 30, 2020","1,275.84","1,272.87","1,275.84","1,264.06","-","0.00%"
"Oct 29, 2020","1,275.82","1,272.61","1,279.63","1,260.73","-","-1.29%"
"Oct 28, 2020","1,292.55","1,310.59","1,312.85","1,291.57","-","-4.54%"
"Oct 27, 2020","1,354.02","1,358.48","1,363.22","1,352.80","-","-0.06%"
"Oct 26, 2020","1,354.85","1,375.52","1,375.64","1,350.60","-","-2.97%"
"Oct 23, 2020","1,396.26","1,389.49","1,397.29","1,388.32","-","1.25%"
"Oct 22, 2020","1,379.09","1,374.53","1,381.51","1,374.53","-","-0.60%"
"Oct 21, 2020","1,387.43","1,387.57","1,397.83","1,387.43","-","0.07%"
"Oct 20, 2020","1,386.41","1,388.50","1,395.98","1,385.48","-","0.75%"
"Oct 19, 2020","1,376.03","1,393.47","1,401.27","1,376.03","-","0.23%"
"Oct 16, 2020","1,372.93","1,383.66","1,383.66","1,368.17","-","-0.46%"
"Oct 15, 2020","1,379.34","1,372.30","1,382.47","1,367.76","-","-2.07%"
"Oct 14, 2020","1,408.53","1,413.02","1,414.53","1,403.73","-","-0.09%"
"Oct 13, 2020","1,409.82","1,408.78","1,413.51","1,399.32","-","-0.46%"
"Oct 12, 2020","1,416.30","1,410.08","1,420.42","1,408.71","-","-0.26%"
"Oct 09, 2020","1,419.97","1,416.28","1,427.63","1,413.81","-","0.80%"
"Oct 08, 2020","1,408.67","1,398.18","1,412.94","1,398.01","-","1.00%"
"Oct 07, 2020","1,394.72","1,394.56","1,398.44","1,387.11","-","0.85%"
"Oct 06, 2020","1,382.94","1,407.50","1,416.05","1,381.85","-","-1.29%"
"Oct 05, 2020","1,400.99","1,376.77","1,401.31","1,376.77","-","2.50%"
"Oct 02, 2020","1,366.78","1,358.00","1,372.11","1,358.00","-","0.43%"
"Oct 01, 2020","1,360.99","1,366.14","1,366.70","1,356.77","-","-0.43%"
"Sep 30, 2020","1,366.90","1,350.00","1,368.23","1,349.88","-","1.79%"
"Sep 29, 2020","1,342.85","1,341.59","1,345.67","1,330.29","-","0.04%"
"Sep 28, 2020","1,342.33","1,328.12","1,345.06","1,328.12","-","1.39%"
"Sep 25, 2020","1,323.99","1,323.95","1,326.73","1,313.71","-","-0.94%"
"Sep 24, 2020","1,336.61","1,329.53","1,342.27","1,319.70","-","0.51%"
"Sep 23, 2020","1,329.81","1,363.25","1,363.25","1,329.79","-","-2.51%"
"Sep 22, 2020","1,364.05","1,373.94","1,385.21","1,359.50","-","-0.57%"
"Sep 21, 2020","1,371.87","1,387.82","1,387.91","1,360.23","-","-4.24%"
"Sep 18, 2020","1,432.61","1,437.43","1,443.50","1,426.74","-","-0.99%"
"Sep 17, 2020","1,446.94","1,444.29","1,446.94","1,438.06","-","-0.48%"
"Sep 16, 2020","1,453.85","1,452.94","1,462.42","1,449.33","-","0.20%"
"Sep 15, 2020","1,450.97","1,453.72","1,462.33","1,449.26","-","0.31%"
"Sep 14, 2020","1,446.52","1,459.19","1,459.19","1,445.99","-","-0.28%"
"Sep 11, 2020","1,450.59","1,443.06","1,452.74","1,437.92","-","1.39%"
"Sep 10, 2020","1,430.74","1,461.43","1,467.49","1,428.69","-","-2.81%"
"Sep 09, 2020","1,472.09","1,432.77","1,473.11","1,432.77","-","4.93%"
"Sep 08, 2020","1,402.89","1,424.47","1,426.60","1,401.84","-","-3.68%"
"Sep 04, 2020","1,456.44","1,445.10","1,460.65","1,436.06","-","1.27%"
"Sep 03, 2020","1,438.17","1,454.16","1,458.16","1,431.70","-","-1.81%"
"Sep 02, 2020","1,464.72","1,484.79","1,484.79","1,459.30","-","-1.49%"
"Sep 01, 2020","1,486.87","1,490.44","1,491.41","1,482.98","-","0.20%"
"Aug 31, 2020","1,483.94","1,497.05","1,497.05","1,481.24","-","-0.50%"
"Aug 28, 2020","1,491.39","1,486.72","1,493.16","1,483.60","-","1.13%"
"Aug 27, 2020","1,474.71","1,495.06","1,497.13","1,471.08","-","-1.03%"
"Aug 26, 2020","1,490.08","1,494.76","1,494.76","1,479.99","-","-0.23%"
"Aug 25, 2020","1,493.46","1,497.80","1,500.95","1,485.72","-","0.01%"
"Aug 24, 2020","1,493.37","1,484.43","1,498.57","1,484.43","-","2.05%"
"Aug 21, 2020","1,463.37","1,466.10","1,466.10","1,453.44","-","-1.24%"
"Aug 20, 2020","1,481.70","1,476.92","1,483.18","1,468.52","-","-0.91%"
"Aug 19, 2020","1,495.34","1,504.29","1,513.00","1,492.69","-","-0.61%"
"Aug 18, 2020","1,504.54","1,512.55","1,518.89","1,502.56","-","-0.62%"
"Aug 17, 2020","1,513.91","1,512.43","1,520.68","1,510.53","-","0.38%"
"Aug 14, 2020","1,508.23","1,500.06","1,511.32","1,498.57","-","-0.57%"
"Aug 13, 2020","1,516.88","1,523.38","1,531.58","1,513.79","-","-0.01%"
"Aug 12, 2020","1,517.07","1,501.29","1,523.43","1,501.29","-","2.18%"
"Aug 11, 2020","1,484.64","1,504.31","1,509.27","1,482.76","-","0.98%"
"Aug 10, 2020","1,470.25","1,464.71","1,474.75","1,464.50","-","0.66%"
"Aug 07, 2020","1,460.56","1,460.01","1,461.49","1,453.53","-","-0.60%"
"Aug 06, 2020","1,469.40","1,466.52","1,471.25","1,461.56","-","-0.07%"
"Aug 05, 2020","1,470.45","1,465.71","1,480.68","1,465.71","-","2.01%"
"Aug 04, 2020","1,441.50","1,421.16","1,442.49","1,421.14","-","1.35%"
"Aug 03, 2020","1,422.29","1,401.22","1,426.26","1,401.22","-","1.85%"
