"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 20, 2021","2,575.64","2,575.64","2,575.64","2,575.64","-","0.29%"
"Jan 19, 2021","2,568.30","2,568.30","2,568.30","2,568.30","-","1.72%"
"Jan 15, 2021","2,524.75","2,524.75","2,524.75","2,524.75","-","-1.95%"
"Jan 14, 2021","2,575.07","2,575.07","2,575.07","2,575.07","-","1.95%"
"Jan 13, 2021","2,525.77","2,525.77","2,525.77","2,525.77","-","-0.99%"
"Jan 12, 2021","2,550.97","2,550.97","2,550.97","2,550.97","-","1.30%"
"Jan 11, 2021","2,518.27","2,518.27","2,518.27","2,518.27","-","-1.16%"
"Jan 08, 2021","2,547.83","2,547.83","2,547.83","2,547.83","-","0.73%"
"Jan 07, 2021","2,529.39","2,529.39","2,529.39","2,529.39","-","1.02%"
"Jan 06, 2021","2,503.73","2,503.73","2,503.73","2,503.73","-","2.23%"
"Jan 05, 2021","2,449.20","2,449.20","2,449.20","2,449.20","-","1.46%"
"Jan 04, 2021","2,413.90","2,413.90","2,413.90","2,413.90","-","-0.59%"
"Dec 31, 2020","2,428.11","2,428.11","2,428.11","2,428.11","-","-0.42%"
"Dec 30, 2020","2,438.36","2,438.36","2,438.36","2,438.36","-","0.64%"
"Dec 29, 2020","2,422.82","2,422.82","2,422.82","2,422.82","-","0.79%"
"Dec 28, 2020","2,403.77","2,403.77","2,403.77","2,403.77","-","0.41%"
"Dec 24, 2020","2,393.84","2,393.84","2,393.84","2,393.84","-","0.38%"
"Dec 23, 2020","2,384.74","2,384.74","2,384.74","2,384.74","-","2.78%"
"Dec 22, 2020","2,320.13","2,320.13","2,320.13","2,320.13","-","-1.50%"
"Dec 21, 2020","2,355.51","2,355.51","2,355.51","2,355.51","-","-1.78%"
"Dec 18, 2020","2,398.28","2,398.28","2,398.28","2,398.28","-","0.17%"
"Dec 17, 2020","2,394.10","2,394.10","2,394.10","2,394.10","-","0.64%"
"Dec 16, 2020","2,378.98","2,378.98","2,378.98","2,378.98","-","-0.07%"
"Dec 15, 2020","2,380.64","2,380.64","2,380.64","2,380.64","-","1.26%"
"Dec 14, 2020","2,351.11","2,351.11","2,351.11","2,351.11","-","0.11%"
"Dec 11, 2020","2,348.48","2,348.48","2,348.48","2,348.48","-","-1.58%"
"Dec 10, 2020","2,386.22","2,386.22","2,386.22","2,386.22","-","1.29%"
"Dec 09, 2020","2,355.81","2,355.81","2,355.81","2,355.81","-","0.66%"
"Dec 08, 2020","2,340.42","2,340.42","2,340.42","2,340.42","-","-0.21%"
"Dec 07, 2020","2,345.33","2,345.33","2,345.33","2,345.33","-","-0.27%"
"Dec 04, 2020","2,351.79","2,351.79","2,351.79","2,351.79","-","1.10%"
"Dec 03, 2020","2,326.27","2,326.27","2,326.27","2,326.27","-","-0.06%"
"Dec 02, 2020","2,327.60","2,327.60","2,327.60","2,327.60","-","0.54%"
"Dec 01, 2020","2,315.09","2,315.09","2,315.09","2,315.09","-","2.19%"
"Nov 30, 2020","2,265.41","2,265.41","2,265.41","2,265.41","-","-3.24%"
"Nov 27, 2020","2,341.31","2,341.31","2,341.31","2,341.31","-","0.78%"
"Nov 25, 2020","2,323.09","2,323.09","2,323.09","2,323.09","-","-0.38%"
