"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 21, 2021","516.13","513.83","517.44","513.52","-","0.40%"
"Jan 20, 2021","514.06","514.57","517.43","513.43","-","-0.10%"
"Jan 19, 2021","514.55","510.69","515.32","510.23","-","0.76%"
"Jan 18, 2021","510.67","508.13","511.04","503.11","-","0.74%"
"Jan 15, 2021","506.91","510.79","511.64","506.39","-","-0.86%"
"Jan 14, 2021","511.29","506.19","512.89","505.84","-","1.01%"
"Jan 13, 2021","506.17","511.66","517.16","504.76","-","-1.07%"
"Jan 12, 2021","511.67","507.10","512.43","506.45","-","0.90%"
"Jan 11, 2021","507.11","513.54","513.54","505.02","-","-0.49%"
"Jan 08, 2021","509.62","505.55","512.20","505.10","-","0.82%"
"Jan 07, 2021","505.49","499.77","505.99","499.20","-","1.15%"
"Jan 06, 2021","499.72","492.10","500.85","491.28","-","1.55%"
"Jan 05, 2021","492.10","495.04","495.61","490.91","-","-0.35%"
"Jan 04, 2021","493.83","499.81","504.88","493.13","-","-1.30%"
"Jan 01, 2021","500.32","500.32","503.75","496.79","-","-0.00%"
"Dec 31, 2020","500.34","500.32","501.01","499.55","-","0.00%"
"Dec 30, 2020","500.33","499.16","501.44","497.99","-","0.23%"
"Dec 29, 2020","499.20","497.45","501.92","495.49","-","0.35%"
"Dec 28, 2020","497.45","492.96","498.69","492.49","-","0.93%"
"Dec 25, 2020","492.86","492.86","494.37","490.37","-","0.00%"
"Dec 24, 2020","492.86","492.91","495.04","490.74","-","0.00%"
"Dec 23, 2020","492.86","485.02","493.84","484.22","-","1.62%"
"Dec 22, 2020","485.02","480.86","486.27","480.43","-","0.86%"
"Dec 21, 2020","480.90","494.76","494.76","478.36","-","-2.40%"
"Dec 18, 2020","492.74","488.14","493.48","487.40","-","0.86%"
"Dec 17, 2020","488.53","486.54","491.60","486.54","-","0.17%"
"Dec 16, 2020","487.71","484.88","488.69","484.77","-","0.40%"
"Dec 15, 2020","485.76","484.84","487.60","482.57","-","0.07%"
"Dec 14, 2020","485.42","485.95","490.60","483.96","-","-0.08%"
"Dec 11, 2020","485.79","489.52","489.92","483.87","-","-0.76%"
"Dec 10, 2020","489.52","489.72","491.11","485.96","-","-0.03%"
"Dec 09, 2020","489.66","485.16","490.14","484.52","-","0.93%"
"Dec 08, 2020","485.17","484.92","486.89","483.64","-","0.07%"
"Dec 07, 2020","484.85","487.23","488.46","483.79","-","-0.49%"
"Dec 04, 2020","487.23","483.44","487.47","482.97","-","0.80%"
"Dec 03, 2020","483.36","483.89","486.76","482.07","-","-0.11%"
"Dec 02, 2020","483.89","486.64","487.03","481.45","-","-0.56%"
"Dec 01, 2020","486.62","486.00","490.26","481.89","-","0.44%"
"Nov 30, 2020","484.51","493.89","494.73","484.24","-","-1.90%"
"Nov 27, 2020","493.91","490.04","494.28","487.76","-","0.85%"
"Nov 26, 2020","489.75","489.69","490.80","488.09","-","0.01%"
"Nov 25, 2020","489.69","490.18","492.40","486.28","-","-0.11%"
"Nov 24, 2020","490.21","479.46","490.58","478.91","-","2.26%"
"Nov 23, 2020","479.36","474.19","481.19","473.78","-","1.09%"
"Nov 20, 2020","474.19","470.88","476.77","470.87","-","0.46%"
"Nov 19, 2020","472.04","478.51","478.99","471.05","-","-1.34%"
"Nov 18, 2020","478.46","477.03","479.24","475.37","-","0.30%"
"Nov 17, 2020","477.03","478.38","479.38","475.72","-","-0.29%"
"Nov 16, 2020","478.43","469.07","480.50","467.85","-","2.00%"
"Nov 13, 2020","469.07","467.85","470.28","464.84","-","0.24%"
"Nov 12, 2020","467.95","468.93","470.06","464.49","-","-0.29%"
"Nov 11, 2020","469.33","463.14","470.30","462.78","-","1.33%"
"Nov 10, 2020","463.16","465.65","465.65","458.80","-","-0.40%"
