"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 21, 2021","365.01","362.54","365.89","362.36","-","0.81%"
"Jan 20, 2021","362.07","361.23","364.05","360.13","-","0.44%"
"Jan 19, 2021","360.48","355.35","361.36","355.31","-","1.40%"
"Jan 18, 2021","355.49","353.49","355.75","349.26","-","0.32%"
"Jan 15, 2021","354.34","361.03","361.50","353.19","-","-1.76%"
"Jan 14, 2021","360.67","357.48","362.48","356.75","-","1.08%"
"Jan 13, 2021","356.82","362.19","366.40","355.78","-","-1.36%"
"Jan 12, 2021","361.73","355.70","362.01","354.74","-","1.90%"
"Jan 11, 2021","354.99","359.83","360.25","352.08","-","-2.10%"
"Jan 08, 2021","362.60","358.61","364.88","356.98","-","1.30%"
"Jan 07, 2021","357.94","355.81","358.84","354.47","-","3.56%"
"Jan 06, 2021","345.65","347.52","356.68","346.34","-","0.00%"
"Jan 05, 2021","345.65","345.15","347.91","343.52","-","-0.12%"
"Jan 04, 2021","346.05","349.85","354.48","343.96","-","-0.98%"
"Jan 01, 2021","349.49","348.93","348.93","346.47","-","0.00%"
"Dec 31, 2020","349.49","350.65","351.60","348.16","-","-0.29%"
"Dec 30, 2020","350.49","346.21","350.61","345.87","-","1.23%"
"Dec 29, 2020","346.23","344.62","348.39","344.35","-","0.82%"
"Dec 28, 2020","343.40","341.84","345.63","339.96","-","0.54%"
"Dec 25, 2020","341.55","339.76","342.39","339.74","-","0.00%"
"Dec 24, 2020","341.55","341.18","342.72","338.89","-","0.22%"
"Dec 23, 2020","340.79","332.29","341.53","331.17","-","2.72%"
"Dec 22, 2020","331.75","332.96","335.82","330.85","-","0.11%"
"Dec 21, 2020","331.37","341.18","341.76","323.22","-","-3.27%"
"Dec 18, 2020","342.57","340.85","343.66","339.04","-","0.59%"
"Dec 17, 2020","340.57","336.39","342.34","336.30","-","1.49%"
"Dec 16, 2020","335.58","333.18","337.31","332.60","-","0.91%"
"Dec 15, 2020","332.57","332.48","333.83","329.93","-","0.15%"
"Dec 14, 2020","332.08","331.04","336.90","329.65","-","0.86%"
"Dec 11, 2020","329.25","333.90","334.72","326.39","-","-1.53%"
"Dec 10, 2020","334.36","331.33","334.71","328.73","-","0.64%"
"Dec 09, 2020","332.23","331.28","336.30","330.74","-","0.37%"
"Dec 08, 2020","331.01","331.79","333.78","329.92","-","-0.37%"
"Dec 07, 2020","332.23","330.82","333.30","326.06","-","0.17%"
"Dec 04, 2020","331.65","329.93","333.01","329.47","-","0.43%"
"Dec 03, 2020","330.22","328.98","331.36","326.20","-","0.86%"
"Dec 02, 2020","327.40","330.21","331.11","325.02","-","-0.61%"
"Dec 01, 2020","329.41","326.18","331.43","325.21","-","0.68%"
"Nov 30, 2020","327.19","334.78","335.13","325.63","-","-2.25%"
"Nov 27, 2020","334.73","329.77","334.87","329.53","-","1.45%"
"Nov 26, 2020","329.96","331.77","332.23","328.66","-","-0.56%"
"Nov 25, 2020","331.83","329.42","331.95","327.75","-","1.20%"
"Nov 24, 2020","327.89","317.95","329.49","317.68","-","3.49%"
"Nov 23, 2020","316.82","314.51","320.64","314.51","-","0.57%"
"Nov 20, 2020","315.01","313.13","317.39","312.69","-","0.85%"
"Nov 19, 2020","312.37","317.10","317.59","310.23","-","-1.72%"
"Nov 18, 2020","317.85","314.65","318.67","313.75","-","1.01%"
"Nov 17, 2020","314.67","315.91","316.69","313.72","-","-0.41%"
"Nov 16, 2020","315.96","306.92","316.95","306.11","-","3.20%"
"Nov 13, 2020","306.15","305.08","307.87","303.03","-","-0.43%"
"Nov 12, 2020","307.46","309.22","309.58","304.61","-","-0.48%"
"Nov 11, 2020","308.95","307.59","310.85","307.05","-","0.72%"
"Nov 10, 2020","306.74","307.70","309.01","304.20","-","-0.45%"
"Nov 09, 2020","308.14","290.16","309.60","289.02","-","6.63%"
