"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 20, 2021","26.37","26.22","26.37","26.22","2.41K","0.32%"
"Jan 19, 2021","26.28","26.24","26.31","26.15","12.32K","1.75%"
"Jan 15, 2021","25.83","25.96","25.96","25.59","3.89K","-1.86%"
"Jan 14, 2021","26.32","26.11","26.32","26.11","1.03K","1.21%"
"Jan 13, 2021","26.01","26.09","26.09","25.95","22.16K","-1.10%"
"Jan 12, 2021","26.30","26.05","26.30","26.02","60.80K","0.90%"
"Jan 11, 2021","26.07","25.79","26.13","25.68","7.24K","-1.93%"
"Jan 08, 2021","26.58","26.78","26.78","26.32","14.90K","1.25%"
"Jan 07, 2021","26.25","26.18","26.33","26.07","12.11K","1.51%"
"Jan 06, 2021","25.86","25.71","25.98","25.71","33.27K","1.81%"
"Jan 05, 2021","25.40","25.27","25.58","25.23","17.68K","1.06%"
"Jan 04, 2021","25.13","25.63","25.67","25.00","127.15K","0.18%"
"Dec 31, 2020","25.09","25.39","25.39","25.07","14.58K","-0.96%"
"Dec 30, 2020","25.33","25.27","25.47","25.26","7.75K","1.19%"
"Dec 29, 2020","25.03","25.14","25.17","24.99","4.75K","0.74%"
"Dec 28, 2020","24.85","24.93","24.93","24.75","5.26K","0.26%"
"Dec 24, 2020","24.79","24.70","24.79","24.67","1.34K","0.14%"
"Dec 23, 2020","24.75","24.44","24.76","24.44","4.61K","3.16%"
"Dec 22, 2020","23.99","24.20","24.20","23.94","15.82K","-1.58%"
"Dec 21, 2020","24.38","23.83","24.52","23.78","48.37K","-0.63%"
"Dec 18, 2020","24.54","24.61","24.79","24.50","6.18K","0.40%"
"Dec 17, 2020","24.44","24.36","24.48","24.36","3.12K","0.56%"
"Dec 16, 2020","24.30","24.10","24.30","24.06","6.54K","1.09%"
"Dec 15, 2020","24.04","24.00","24.04","23.89","5.84K","0.84%"
"Dec 14, 2020","23.84","24.00","24.00","23.76","20.23K","-0.59%"
"Dec 11, 2020","23.98","23.95","23.98","23.77","1.28K","-0.79%"
"Dec 10, 2020","24.17","23.86","24.21","23.86","10.92K","1.26%"
"Dec 09, 2020","23.87","24.18","24.21","23.80","3.28K","-0.73%"
"Dec 08, 2020","24.05","24.08","24.08","24.05","0.61K","0.32%"
"Dec 07, 2020","23.97","24.13","24.13","23.95","16.97K","-0.13%"
"Dec 04, 2020","24.00","23.90","24.08","23.90","2.67K","0.88%"
"Dec 03, 2020","23.79","23.87","23.94","23.77","8.93K","-0.35%"
"Dec 02, 2020","23.87","23.69","23.89","23.69","21.12K","-0.22%"
"Dec 01, 2020","23.92","23.71","23.95","23.71","6.58K","2.16%"
"Nov 30, 2020","23.42","24.08","24.08","23.42","8.72K","-2.46%"
"Nov 27, 2020","24.01","24.00","24.18","24.00","5.14K","0.29%"
"Nov 25, 2020","23.94","23.72","23.95","23.72","18.62K","0.93%"
"Nov 24, 2020","23.72","23.47","23.79","23.41","5.00K","3.18%"
"Nov 23, 2020","22.99","22.86","23.03","22.86","2.34K","0.68%"
"Nov 20, 2020","22.83","22.86","22.88","22.82","1.76K","0.33%"
"Nov 19, 2020","22.76","22.73","22.76","22.55","3.28K","-0.18%"
"Nov 18, 2020","22.80","22.86","23.00","22.80","7.33K","0.25%"
"Nov 17, 2020","22.75","22.72","22.82","22.59","3.46K","0.45%"
"Nov 16, 2020","22.64","22.72","22.80","22.54","5.10K","2.45%"
"Nov 13, 2020","22.10","22.08","22.10","22.01","1.95K","1.80%"
"Nov 12, 2020","21.71","21.91","22.00","21.64","6.23K","-1.65%"
"Nov 11, 2020","22.08","22.19","22.24","22.08","2.56K","0.34%"
"Nov 10, 2020","22.00","21.95","22.04","21.95","4.12K","0.73%"
"Nov 09, 2020","21.84","22.11","22.17","21.84","23.45K","5.20%"
"Nov 06, 2020","20.76","20.78","20.81","20.69","8.23K","0.81%"
"Nov 05, 2020","20.59","20.74","20.74","20.59","1.01K","1.45%"
"Nov 04, 2020","20.30","20.11","20.33","20.11","6.57K","1.81%"
"Nov 03, 2020","19.94","19.81","19.99","19.81","2.45K","2.62%"
"Nov 02, 2020","19.43","19.26","19.43","19.23","10.07K","1.46%"
"Oct 30, 2020","19.15","19.26","19.27","19.15","4.88K","-0.16%"
"Oct 29, 2020","19.18","18.95","19.32","18.94","8.06K","-0.54%"
"Oct 28, 2020","19.28","19.47","19.47","19.28","7.12K","-5.01%"
"Oct 27, 2020","20.30","20.41","20.41","20.30","2.93K","0.03%"
"Oct 26, 2020","20.30","20.52","20.61","20.25","2.54K","-3.43%"
"Oct 23, 2020","21.01","20.99","21.03","20.89","5.95K","1.03%"
"Oct 22, 2020","20.80","20.78","20.82","20.77","1.94K","-0.24%"
"Oct 21, 2020","20.85","21.04","21.04","20.85","2.57K","-0.82%"
"Oct 20, 2020","21.02","21.13","21.14","21.02","1.61K","0.82%"
"Oct 19, 2020","20.85","21.15","21.16","20.85","7.81K","-0.05%"
"Oct 17, 2020","20.86","20.86","20.86","20.86","-","0.00%"
"Oct 16, 2020","20.86","21.00","21.01","20.86","14.58K","-0.48%"
"Oct 15, 2020","20.96","20.71","20.96","20.71","8.91K","-1.64%"
"Oct 14, 2020","21.31","21.40","21.40","21.31","1.16K","0.00%"
"Oct 13, 2020","21.31","21.51","21.51","21.18","309.55K","-1.80%"
"Oct 12, 2020","21.70","21.64","21.70","21.64","1.16K","0.28%"
"Oct 11, 2020","21.64","21.64","21.64","21.64","-","0.00%"
"Oct 09, 2020","21.64","21.55","21.64","21.55","4.07K","0.72%"
"Oct 08, 2020","21.48","21.36","21.48","21.36","2.89K","1.15%"
