"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 19, 2021","2,880.62","2,863.83","2,889.41","2,863.83","-","0.75%"
"Jan 18, 2021","2,859.23","2,832.88","2,859.23","2,818.33","-","0.72%"
"Jan 15, 2021","2,838.87","2,863.65","2,863.65","2,837.89","-","-0.90%"
"Jan 14, 2021","2,864.73","2,835.59","2,867.19","2,835.59","-","1.30%"
"Jan 13, 2021","2,827.83","2,875.35","2,879.96","2,827.83","-","-0.94%"
"Jan 12, 2021","2,854.68","2,839.41","2,859.92","2,839.41","-","0.59%"
"Jan 11, 2021","2,837.93","2,841.93","2,852.76","2,827.37","-","-0.13%"
"Jan 08, 2021","2,841.51","2,827.58","2,858.50","2,827.58","-","0.54%"
"Jan 07, 2021","2,826.37","2,804.27","2,826.85","2,792.05","-","1.29%"
"Jan 06, 2021","2,790.30","2,779.55","2,799.72","2,766.29","-","1.29%"
"Jan 05, 2021","2,754.68","2,757.17","2,776.70","2,748.81","-","-0.42%"
"Jan 04, 2021","2,766.34","2,810.04","2,825.68","2,766.34","-","-1.44%"
"Dec 30, 2020","2,806.66","2,797.62","2,815.37","2,795.67","-","0.19%"
"Dec 29, 2020","2,801.46","2,792.59","2,816.66","2,792.09","-","0.30%"
"Dec 28, 2020","2,792.97","2,779.69","2,792.97","2,774.84","-","0.90%"
"Dec 23, 2020","2,767.96","2,733.38","2,768.36","2,732.25","-","1.37%"
"Dec 22, 2020","2,730.60","2,716.89","2,733.08","2,713.46","-","0.73%"
"Dec 21, 2020","2,710.80","2,732.87","2,749.65","2,697.93","-","-2.22%"
"Dec 18, 2020","2,772.43","2,743.52","2,779.51","2,743.52","-","0.80%"
"Dec 17, 2020","2,750.37","2,766.69","2,774.30","2,748.28","-","-0.08%"
"Dec 16, 2020","2,752.59","2,756.53","2,758.17","2,744.26","-","0.16%"
"Dec 15, 2020","2,748.23","2,734.04","2,759.66","2,734.04","-","0.03%"
"Dec 14, 2020","2,747.52","2,774.60","2,781.14","2,741.41","-","-0.32%"
"Dec 11, 2020","2,756.42","2,766.85","2,778.80","2,746.23","-","-0.82%"
"Dec 10, 2020","2,779.24","2,776.58","2,790.92","2,761.56","-","-0.13%"
"Dec 09, 2020","2,782.85","2,755.46","2,782.85","2,755.46","-","1.22%"
"Dec 08, 2020","2,749.29","2,745.74","2,758.47","2,738.59","-","0.11%"
"Dec 07, 2020","2,746.27","2,755.78","2,768.09","2,738.94","-","-0.42%"
"Dec 04, 2020","2,757.85","2,753.68","2,765.14","2,746.84","-","0.59%"
"Dec 03, 2020","2,741.68","2,759.62","2,761.95","2,736.49","-","-0.22%"
"Dec 02, 2020","2,747.77","2,750.41","2,756.35","2,737.17","-","-0.55%"
"Dec 01, 2020","2,762.91","2,730.58","2,781.94","2,730.58","-","0.53%"
"Nov 30, 2020","2,748.46","2,778.72","2,778.72","2,748.46","-","-1.89%"
"Nov 27, 2020","2,801.36","2,764.08","2,803.66","2,758.54","-","1.03%"
"Nov 26, 2020","2,772.80","2,777.56","2,778.10","2,766.11","-","-0.22%"
"Nov 25, 2020","2,778.92","2,791.96","2,795.09","2,765.87","-","-0.14%"
"Nov 24, 2020","2,782.86","2,754.64","2,782.86","2,754.64","-","1.70%"
"Nov 23, 2020","2,736.37","2,725.24","2,741.24","2,720.91","-","1.18%"
"Nov 20, 2020","2,704.41","2,696.89","2,719.34","2,696.89","-","0.31%"
"Nov 19, 2020","2,696.08","2,702.89","2,715.07","2,690.22","-","-1.32%"
"Nov 18, 2020","2,732.28","2,719.54","2,736.48","2,709.88","-","-0.01%"
"Nov 17, 2020","2,732.53","2,729.48","2,742.95","2,721.73","-","-0.18%"
"Nov 16, 2020","2,737.49","2,711.84","2,750.97","2,695.43","-","1.82%"
"Nov 13, 2020","2,688.47","2,665.69","2,694.75","2,665.69","-","0.30%"
"Nov 12, 2020","2,680.54","2,674.33","2,693.92","2,667.42","-","-0.59%"
"Nov 11, 2020","2,696.33","2,683.31","2,701.34","2,675.54","-","0.76%"
"Nov 10, 2020","2,676.09","2,674.14","2,679.18","2,643.35","-","-0.10%"
"Nov 09, 2020","2,678.80","2,564.54","2,679.61","2,557.17","-","5.29%"
"Nov 06, 2020","2,544.26","2,541.09","2,553.95","2,532.61","-","-0.11%"
"Nov 05, 2020","2,547.00","2,551.48","2,551.80","2,523.66","-","0.26%"
"Nov 04, 2020","2,540.28","2,513.68","2,541.15","2,487.97","-","1.01%"
"Nov 03, 2020","2,514.77","2,504.54","2,531.28","2,496.39","-","0.49%"
"Nov 02, 2020","2,502.50","2,462.64","2,502.86","2,456.11","-","1.69%"
"Oct 30, 2020","2,460.94","2,476.16","2,476.16","2,446.89","-","-0.61%"
"Oct 29, 2020","2,476.16","2,454.20","2,481.17","2,435.27","-","1.17%"
"Oct 28, 2020","2,447.63","2,497.39","2,498.25","2,447.63","-","-2.73%"
"Oct 27, 2020","2,516.25","2,543.21","2,550.47","2,514.78","-","-1.04%"
"Oct 26, 2020","2,542.65","2,603.77","2,603.77","2,542.65","-","-2.88%"
"Oct 23, 2020","2,618.11","2,579.17","2,623.03","2,579.17","-","1.70%"
"Oct 22, 2020","2,574.41","2,606.38","2,606.38","2,570.89","-","-1.17%"
"Oct 21, 2020","2,605.00","2,624.76","2,637.15","2,592.75","-","-0.53%"
"Oct 20, 2020","2,618.83","2,633.14","2,652.33","2,618.83","-","-0.50%"
"Oct 19, 2020","2,632.11","2,626.49","2,641.67","2,623.64","-","0.37%"
"Oct 16, 2020","2,622.38","2,604.99","2,633.02","2,604.99","-","0.76%"
"Oct 15, 2020","2,602.52","2,638.97","2,638.97","2,596.58","-","-1.36%"
"Oct 14, 2020","2,638.28","2,626.13","2,642.98","2,623.07","-","0.40%"
"Oct 13, 2020","2,627.75","2,620.16","2,639.75","2,620.16","-","0.14%"
"Oct 12, 2020","2,623.98","2,639.91","2,646.30","2,623.98","-","-0.42%"
"Oct 09, 2020","2,635.08","2,652.14","2,652.62","2,632.53","-","-0.35%"
"Oct 08, 2020","2,644.46","2,646.78","2,647.50","2,636.76","-","0.04%"
"Oct 07, 2020","2,643.48","2,659.87","2,667.31","2,642.09","-","-0.62%"
"Oct 06, 2020","2,659.87","2,648.16","2,663.28","2,637.18","-","0.99%"
"Oct 05, 2020","2,633.68","2,617.28","2,633.68","2,613.56","-","1.79%"
"Oct 02, 2020","2,587.30","2,570.20","2,587.64","2,563.74","-","0.12%"
"Oct 01, 2020","2,584.09","2,604.79","2,604.79","2,584.09","-","-0.78%"
"Sep 30, 2020","2,604.36","2,583.04","2,605.94","2,575.77","-","0.27%"
"Sep 29, 2020","2,597.31","2,605.11","2,606.89","2,545.66","-","-0.22%"
"Sep 28, 2020","2,603.00","2,589.35","2,603.46","2,586.01","-","1.27%"
"Sep 25, 2020","2,570.43","2,582.90","2,601.50","2,567.32","-","-0.23%"
"Sep 24, 2020","2,576.33","2,584.02","2,591.41","2,558.42","-","-0.77%"
"Sep 23, 2020","2,596.29","2,595.00","2,618.67","2,592.55","-","0.21%"
"Sep 22, 2020","2,590.79","2,582.92","2,608.44","2,582.92","-","0.62%"
"Sep 21, 2020","2,574.81","2,661.04","2,661.04","2,574.81","-","-3.41%"
"Sep 18, 2020","2,665.74","2,661.88","2,665.74","2,649.49","-","0.04%"
"Sep 17, 2020","2,664.74","2,657.14","2,664.74","2,640.01","-","0.00%"
"Sep 16, 2020","2,664.70","2,671.87","2,682.47","2,656.36","-","-0.21%"
"Sep 15, 2020","2,670.18","2,663.42","2,681.68","2,648.63","-","0.85%"
"Sep 14, 2020","2,647.64","2,670.11","2,674.08","2,647.64","-","-0.26%"
"Sep 11, 2020","2,654.57","2,645.64","2,657.68","2,636.35","-","0.36%"
"Sep 10, 2020","2,645.12","2,656.08","2,658.63","2,635.30","-","-0.16%"
"Sep 09, 2020","2,649.31","2,579.35","2,649.85","2,579.35","-","2.36%"
"Sep 08, 2020","2,588.22","2,637.36","2,638.90","2,580.61","-","-1.68%"
"Sep 07, 2020","2,632.39","2,608.47","2,633.57","2,608.47","-","0.68%"
"Sep 04, 2020","2,614.72","2,615.24","2,635.47","2,593.02","-","-0.50%"
"Sep 03, 2020","2,627.98","2,627.43","2,641.67","2,621.36","-","0.05%"
"Sep 02, 2020","2,626.67","2,646.19","2,656.80","2,621.28","-","-0.74%"
"Sep 01, 2020","2,646.19","2,630.42","2,652.99","2,626.60","-","0.45%"
"Aug 31, 2020","2,634.24","2,678.28","2,679.66","2,634.24","-","-1.07%"
"Aug 28, 2020","2,662.71","2,678.89","2,683.20","2,655.63","-","-0.70%"
"Aug 27, 2020","2,681.42","2,685.98","2,692.26","2,670.09","-","-0.24%"
"Aug 26, 2020","2,687.86","2,682.46","2,694.45","2,681.56","-","-0.92%"
"Aug 25, 2020","2,712.94","2,732.11","2,746.19","2,711.35","-","-0.34%"
"Aug 24, 2020","2,722.23","2,687.34","2,722.23","2,687.34","-","1.97%"
"Aug 21, 2020","2,669.63","2,683.05","2,684.18","2,656.22","-","-0.24%"
"Aug 20, 2020","2,676.14","2,682.96","2,690.33","2,674.90","-","-0.84%"
"Aug 19, 2020","2,698.80","2,680.22","2,701.24","2,678.98","-","0.33%"
"Aug 18, 2020","2,690.01","2,700.20","2,711.75","2,686.70","-","-0.80%"
"Aug 17, 2020","2,711.69","2,711.17","2,716.76","2,699.04","-","0.13%"
"Aug 14, 2020","2,708.22","2,723.82","2,723.82","2,683.04","-","-1.12%"
"Aug 13, 2020","2,738.84","2,737.35","2,747.74","2,727.60","-","-0.21%"
"Aug 12, 2020","2,744.60","2,717.26","2,744.60","2,711.16","-","1.00%"
"Aug 11, 2020","2,717.55","2,685.03","2,732.13","2,685.03","-","1.75%"
"Aug 10, 2020","2,670.93","2,661.91","2,676.69","2,648.79","-","0.65%"
"Aug 07, 2020","2,653.61","2,647.49","2,662.07","2,640.42","-","-0.18%"
"Aug 06, 2020","2,658.30","2,655.86","2,668.34","2,641.00","-","-0.14%"
"Aug 05, 2020","2,661.96","2,642.06","2,669.20","2,641.03","-","0.93%"
"Aug 04, 2020","2,637.42","2,627.54","2,637.42","2,612.37","-","0.85%"
"Aug 03, 2020","2,615.17","2,564.36","2,615.62","2,562.38","-","1.90%"
"Jul 31, 2020","2,566.52","2,579.36","2,591.49","2,566.52","-","0.61%"
"Jul 30, 2020","2,550.88","2,610.89","2,611.87","2,550.88","-","-2.78%"
"Jul 29, 2020","2,623.78","2,623.97","2,628.34","2,609.95","-","-0.13%"
