"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 18, 2020","1,795.23","1,801.86","1,805.46","1,772.84","-","0.34%"
"Sep 17, 2020","1,789.20","1,817.22","1,817.70","1,786.47","-","-2.52%"
"Sep 16, 2020","1,835.36","1,832.99","1,859.56","1,829.29","-","0.59%"
"Sep 15, 2020","1,824.66","1,815.06","1,839.92","1,800.82","-","0.54%"
"Sep 14, 2020","1,814.83","1,811.31","1,828.46","1,811.25","-","0.49%"
"Sep 11, 2020","1,805.97","1,789.62","1,816.23","1,784.57","-","0.63%"
"Sep 10, 2020","1,794.74","1,822.76","1,825.52","1,786.48","-","-1.16%"
"Sep 09, 2020","1,815.76","1,755.25","1,817.42","1,752.89","-","2.45%"
"Sep 08, 2020","1,772.33","1,804.39","1,814.45","1,760.33","-","-0.22%"
"Sep 04, 2020","1,776.26","1,776.05","1,805.73","1,753.03","-","-0.11%"
"Sep 03, 2020","1,778.14","1,763.06","1,786.90","1,762.88","-","-0.05%"
"Sep 02, 2020","1,779.08","1,820.03","1,823.79","1,770.27","-","-2.67%"
"Sep 01, 2020","1,827.94","1,824.15","1,844.64","1,822.29","-","0.11%"
"Aug 31, 2020","1,825.94","1,799.00","1,827.73","1,793.13","-","1.69%"
"Aug 28, 2020","1,795.60","1,805.66","1,821.94","1,792.39","-","0.33%"
"Aug 27, 2020","1,789.61","1,799.45","1,817.38","1,780.56","-","-0.09%"
"Aug 26, 2020","1,791.27","1,829.44","1,830.54","1,771.23","-","-1.99%"
"Aug 25, 2020","1,827.71","1,817.33","1,845.90","1,815.33","-","0.54%"
"Aug 24, 2020","1,817.81","1,778.83","1,819.39","1,778.75","-","2.76%"
"Aug 21, 2020","1,768.95","1,821.83","1,830.92","1,763.78","-","-2.32%"
"Aug 20, 2020","1,811.05","1,840.18","1,840.30","1,805.91","-","-2.45%"
"Aug 19, 2020","1,856.49","1,842.77","1,872.55","1,842.31","-","0.79%"
"Aug 18, 2020","1,841.91","1,866.78","1,867.68","1,839.18","-","-1.03%"
"Aug 17, 2020","1,861.09","1,849.05","1,866.78","1,830.79","-","0.98%"
"Aug 14, 2020","1,843.09","1,851.96","1,852.62","1,814.26","-","-0.76%"
"Aug 13, 2020","1,857.14","1,850.17","1,859.75","1,831.70","-","0.48%"
"Aug 12, 2020","1,848.27","1,789.59","1,849.96","1,784.03","-","2.92%"
"Aug 11, 2020","1,795.83","1,749.13","1,813.59","1,748.48","-","2.45%"
"Aug 10, 2020","1,752.86","1,749.71","1,759.59","1,736.97","-","0.26%"
"Aug 07, 2020","1,748.34","1,745.75","1,765.37","1,743.39","-","-0.31%"
"Aug 06, 2020","1,753.86","1,763.34","1,763.44","1,743.39","-","-0.48%"
"Aug 05, 2020","1,762.34","1,749.58","1,769.81","1,740.07","-","1.28%"
"Aug 04, 2020","1,740.05","1,740.47","1,744.62","1,714.14","-","0.37%"
"Aug 03, 2020","1,733.66","1,686.60","1,735.20","1,684.58","-","1.85%"
"Jul 31, 2020","1,702.25","1,694.70","1,718.59","1,694.47","-","1.57%"
"Jul 30, 2020","1,675.89","1,720.66","1,721.54","1,672.23","-","-3.03%"
"Jul 29, 2020","1,728.25","1,721.19","1,734.81","1,712.77","-","0.64%"
"Jul 28, 2020","1,717.30","1,687.61","1,719.07","1,682.82","-","1.28%"
"Jul 27, 2020","1,695.64","1,698.38","1,704.94","1,682.56","-","0.68%"
"Jul 24, 2020","1,684.11","1,688.19","1,690.39","1,664.05","-","-0.85%"
"Jul 23, 2020","1,698.57","1,699.36","1,713.01","1,687.68","-","-0.10%"
"Jul 22, 2020","1,700.25","1,704.76","1,714.47","1,681.77","-","-0.06%"
"Jul 21, 2020","1,701.26","1,708.00","1,717.94","1,692.29","-","-0.00%"
"Jul 20, 2020","1,701.29","1,694.09","1,702.75","1,687.92","-","0.64%"
