"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 21, 2021","201.40","204.00","204.00","201.20","3.26K","-0.20%"
"Jan 20, 2021","201.80","206.60","206.60","201.00","33.79K","-2.04%"
"Jan 19, 2021","206.00","206.00","206.80","204.00","21.98K","0.88%"
"Jan 18, 2021","204.20","202.60","206.00","202.60","18.22K","0.79%"
"Jan 15, 2021","202.60","203.40","203.40","201.20","20.23K","0.40%"
"Jan 14, 2021","201.80","203.00","204.80","201.40","36.69K","-1.18%"
"Jan 13, 2021","204.20","205.20","206.00","203.20","61.69K","-1.16%"
"Jan 12, 2021","206.60","207.20","209.00","205.60","25.62K","-0.67%"
"Jan 11, 2021","208.00","213.20","213.20","204.80","18.57K","-2.16%"
"Jan 08, 2021","212.60","212.20","215.40","212.20","24.07K","0.66%"
"Jan 07, 2021","211.20","209.60","212.80","209.40","24.40K","0.76%"
"Jan 06, 2021","209.60","211.00","211.40","207.60","12.66K","-0.19%"
"Jan 05, 2021","210.00","206.00","211.60","206.00","14.94K","0.48%"
"Jan 04, 2021","209.00","214.00","216.40","209.00","14.15K","-2.61%"
"Dec 30, 2020","214.60","217.00","217.00","213.20","11.53K","-0.37%"
"Dec 29, 2020","215.40","211.00","216.00","210.80","17.81K","2.09%"
"Dec 28, 2020","211.00","210.00","212.20","209.00","10.29K","0.48%"
"Dec 23, 2020","210.00","206.00","211.60","206.00","68.25K","1.94%"
"Dec 22, 2020","206.00","203.00","207.80","203.00","73.53K","1.98%"
"Dec 21, 2020","202.00","204.00","205.80","202.00","72.65K","-1.46%"
"Dec 18, 2020","205.00","203.60","212.00","203.20","84.59K","-0.29%"
"Dec 17, 2020","205.60","202.00","207.00","202.00","17.25K","0.78%"
"Dec 16, 2020","204.00","207.00","207.00","199.40","49.21K","-1.45%"
"Dec 15, 2020","207.00","207.80","207.80","204.60","12.49K","0.58%"
"Dec 14, 2020","205.80","208.00","208.00","204.00","30.84K","1.18%"
"Dec 11, 2020","203.40","204.80","206.80","202.40","31.18K","-0.59%"
"Dec 10, 2020","204.60","206.00","208.80","203.20","110.17K","-0.58%"
"Dec 09, 2020","205.80","203.00","206.60","201.00","7.66K","2.39%"
"Dec 08, 2020","201.00","205.80","206.00","201.00","32.87K","-2.33%"
"Dec 07, 2020","205.80","209.00","209.00","205.20","12.70K","-1.15%"
"Dec 04, 2020","208.20","209.20","211.80","208.00","14.77K","-0.19%"
"Dec 03, 2020","208.60","212.60","212.60","208.40","12.21K","-1.42%"
"Dec 02, 2020","211.60","212.00","215.00","210.20","18.58K","-0.19%"
"Dec 01, 2020","212.00","207.80","212.00","207.40","11.33K","3.11%"
"Nov 30, 2020","205.60","204.60","210.20","204.60","30.52K","-2.19%"
"Nov 27, 2020","210.20","208.20","212.00","204.20","34.63K","-0.19%"
"Nov 26, 2020","210.60","204.80","212.40","204.20","17.89K","2.83%"
"Nov 25, 2020","204.80","204.40","207.60","204.40","20.53K","1.49%"
"Nov 24, 2020","201.80","211.40","212.80","201.80","27.24K","-4.27%"
"Nov 23, 2020","210.80","208.80","214.40","208.00","27.98K","0.86%"
"Nov 20, 2020","209.00","205.00","215.60","205.00","22.71K","-2.79%"
"Nov 19, 2020","215.00","220.00","220.20","214.20","26.22K","-2.71%"
"Nov 18, 2020","221.00","218.00","221.00","218.00","22.99K","0.45%"
"Nov 17, 2020","220.00","220.40","221.00","215.00","27.55K","-0.18%"
"Nov 16, 2020","220.40","220.00","223.40","217.80","42.39K","0.18%"
"Nov 13, 2020","220.00","220.20","221.60","218.80","20.01K","0.00%"
"Nov 12, 2020","220.00","220.00","220.00","214.00","28.76K","0.64%"
"Nov 11, 2020","218.60","213.00","221.60","213.00","32.31K","3.02%"
"Nov 10, 2020","212.20","205.00","212.40","205.00","17.74K","1.73%"
"Nov 09, 2020","208.60","200.00","211.00","200.00","24.87K","4.30%"
"Nov 06, 2020","200.00","200.00","203.00","198.00","25.99K","0.00%"
"Nov 05, 2020","200.00","203.00","204.20","198.70","40.13K","-1.19%"
"Nov 04, 2020","202.40","204.00","206.60","201.40","18.15K","-0.78%"
"Nov 03, 2020","204.00","203.00","205.60","197.80","32.85K","-0.68%"
"Nov 02, 2020","205.40","205.00","207.80","199.70","12.77K","0.29%"
"Oct 30, 2020","204.80","199.00","206.20","199.00","13.64K","2.55%"
"Oct 29, 2020","199.70","196.20","200.60","196.00","11.80K","1.89%"
"Oct 28, 2020","196.00","205.40","206.40","191.20","47.92K","-4.58%"
"Oct 27, 2020","205.40","211.00","213.00","205.40","13.44K","-2.47%"
"Oct 26, 2020","210.60","218.00","220.00","210.60","14.31K","-3.31%"
"Oct 23, 2020","217.80","212.00","222.00","212.00","23.79K","3.22%"
"Oct 22, 2020","211.00","222.40","222.60","211.00","35.88K","-4.09%"
"Oct 21, 2020","220.00","226.00","226.00","217.60","18.45K","-0.18%"
"Oct 20, 2020","220.40","219.40","220.80","219.40","2.30K","-0.09%"
"Oct 19, 2020","220.60","221.00","221.40","218.60","5.25K","-0.45%"
"Oct 16, 2020","221.60","222.00","224.20","220.20","9.84K","-1.69%"
"Oct 15, 2020","225.40","234.00","234.00","219.80","14.97K","-2.09%"
"Oct 14, 2020","230.20","230.00","236.80","230.00","29.69K","0.52%"
"Oct 13, 2020","229.00","226.00","229.00","226.00","6.53K","0.44%"
"Oct 12, 2020","228.00","228.00","228.00","215.20","12.81K","0.00%"
"Oct 09, 2020","228.00","226.80","228.00","225.00","18.04K","0.00%"
"Oct 08, 2020","228.00","225.00","228.40","225.00","20.73K","2.70%"
"Oct 07, 2020","222.00","223.60","225.40","222.00","10.03K","-1.07%"
"Oct 06, 2020","224.40","225.00","225.00","222.40","8.78K","0.99%"
"Oct 05, 2020","222.20","222.00","223.20","219.80","4.42K","0.09%"
"Oct 02, 2020","222.00","222.00","223.80","220.00","14.40K","0.00%"
"Oct 01, 2020","222.00","218.00","224.60","213.40","19.90K","3.74%"
"Sep 30, 2020","214.00","214.80","214.80","212.20","11.22K","-0.47%"
"Sep 29, 2020","215.00","208.80","216.60","208.80","17.88K","-2.18%"
"Sep 28, 2020","219.80","214.00","219.80","210.40","15.08K","1.48%"
"Sep 25, 2020","216.60","218.80","218.80","214.40","14.97K","-1.01%"
"Sep 24, 2020","218.80","219.80","224.00","217.40","11.98K","-0.45%"
"Sep 23, 2020","219.80","221.00","221.00","217.00","6.46K","-0.54%"
"Sep 22, 2020","221.00","216.80","226.60","214.60","5.73K","0.73%"
"Sep 21, 2020","219.40","222.60","222.60","216.60","8.25K","-1.53%"
"Sep 18, 2020","222.80","227.80","227.80","222.00","19.96K","-0.62%"
"Sep 17, 2020","224.20","226.20","227.00","224.00","6.35K","-0.88%"
"Sep 16, 2020","226.20","227.00","227.60","225.00","13.68K","-0.35%"
"Sep 15, 2020","227.00","224.40","227.20","222.80","16.02K","1.43%"
"Sep 14, 2020","223.80","221.40","224.20","220.20","13.56K","0.90%"
"Sep 11, 2020","221.80","218.00","223.00","218.00","9.24K","1.19%"
"Sep 10, 2020","219.20","219.60","220.40","216.60","30.32K","0.00%"
"Sep 09, 2020","219.20","222.00","222.00","215.80","28.28K","-0.90%"
"Sep 08, 2020","221.20","220.00","221.20","218.00","10.95K","-0.27%"
"Sep 07, 2020","221.80","227.80","227.80","220.60","24.53K","0.27%"
"Sep 04, 2020","221.20","220.00","221.60","214.40","11.19K","0.55%"
"Sep 03, 2020","220.00","217.00","220.00","213.40","9.76K","1.48%"
"Sep 02, 2020","216.80","217.20","218.40","216.00","13.23K","-0.09%"
"Sep 01, 2020","217.00","219.20","219.20","216.40","9.63K","-1.90%"
"Aug 31, 2020","221.20","216.00","221.20","216.00","19.10K","0.82%"
"Aug 28, 2020","219.40","218.00","221.80","214.80","13.83K","0.64%"
"Aug 27, 2020","218.00","223.80","225.80","217.80","47.98K","-2.59%"
"Aug 26, 2020","223.80","222.00","224.00","214.80","76.76K","-0.89%"
"Aug 25, 2020","225.80","225.00","230.80","222.00","44.06K","2.36%"
"Aug 24, 2020","220.60","223.40","225.00","220.20","25.05K","-0.63%"
"Aug 21, 2020","222.00","227.00","227.00","220.00","29.36K","-2.29%"
"Aug 20, 2020","227.20","239.40","239.40","226.20","9.02K","-3.07%"
"Aug 19, 2020","234.40","229.40","239.80","227.80","8.56K","2.63%"
"Aug 18, 2020","228.40","229.20","231.00","223.80","19.31K","-0.35%"
"Aug 17, 2020","229.20","230.00","237.00","226.00","27.34K","-3.13%"
"Aug 14, 2020","236.60","232.00","236.60","231.40","9.15K","0.51%"
"Aug 13, 2020","235.40","234.00","237.20","232.00","12.02K","0.17%"
"Aug 12, 2020","235.00","227.80","235.00","225.20","22.69K","3.34%"
"Aug 11, 2020","227.40","225.00","228.60","222.20","10.55K","2.43%"
"Aug 10, 2020","222.00","223.00","223.60","219.80","12.35K","-0.89%"
"Aug 07, 2020","224.00","223.60","225.20","220.00","13.41K","0.18%"
"Aug 06, 2020","223.60","222.00","224.80","218.00","16.59K","0.90%"
"Aug 05, 2020","221.60","222.80","225.00","220.20","11.22K","-0.45%"
"Aug 04, 2020","222.60","226.40","226.40","219.60","10.52K","-1.77%"
"Aug 03, 2020","226.60","225.80","229.60","223.20","12.40K","0.27%"
"Jul 31, 2020","226.00","221.20","226.40","218.80","28.72K","2.17%"
"Jul 30, 2020","221.20","225.20","225.20","219.00","14.60K","0.55%"
"Jul 29, 2020","220.00","228.20","228.40","219.20","19.99K","-3.25%"
"Jul 28, 2020","227.40","221.40","230.80","221.40","12.88K","2.80%"
"Jul 27, 2020","221.20","218.80","221.60","217.80","12.65K","1.10%"
"Jul 24, 2020","218.80","226.00","226.00","218.80","11.99K","-2.93%"
"Jul 23, 2020","225.40","223.00","225.40","220.00","16.54K","1.26%"
"Jul 22, 2020","222.60","226.80","226.80","221.00","18.24K","-1.85%"
"Jul 21, 2020","226.80","220.00","229.20","219.60","27.60K","3.09%"
"Jul 20, 2020","220.00","220.00","223.80","218.80","20.78K","-1.17%"
"Jul 17, 2020","222.60","222.60","225.80","220.40","24.63K","0.63%"
"Jul 16, 2020","221.20","223.60","224.00","221.00","20.78K","-1.07%"
"Jul 15, 2020","223.60","221.60","223.60","218.20","25.57K","0.99%"
"Jul 14, 2020","221.40","222.20","222.60","218.00","20.51K","-0.36%"
"Jul 13, 2020","222.20","230.40","230.40","220.00","21.34K","-0.80%"
"Jul 10, 2020","224.00","226.00","228.60","223.80","120.31K","-0.44%"
"Jul 09, 2020","225.00","229.00","229.00","220.60","30.10K","-2.09%"
"Jul 08, 2020","229.80","230.20","235.40","229.60","24.13K","-1.71%"
"Jul 07, 2020","233.80","236.40","236.60","232.00","17.24K","-1.10%"
"Jul 06, 2020","236.40","238.80","238.80","233.40","20.80K","-1.99%"
"Jul 03, 2020","241.20","240.00","245.00","238.00","17.49K","0.50%"
"Jul 02, 2020","240.00","243.00","243.60","238.20","20.01K","-1.23%"
"Jul 01, 2020","243.00","250.00","250.00","242.20","21.39K","-3.11%"
"Jun 30, 2020","250.80","240.00","252.40","239.00","59.99K","4.33%"
"Jun 29, 2020","240.40","222.20","242.00","222.20","59.27K","7.51%"
"Jun 26, 2020","223.60","221.00","225.80","221.00","23.95K","0.99%"
"Jun 25, 2020","221.40","217.60","222.00","215.60","31.44K","1.65%"
"Jun 24, 2020","217.80","218.00","218.40","216.40","26.50K","-0.09%"
"Jun 23, 2020","218.00","223.60","223.60","218.00","39.55K","-2.07%"
"Jun 22, 2020","222.60","221.00","226.40","218.60","28.05K","-2.62%"
"Jun 19, 2020","228.60","226.60","229.80","223.20","183.59K","1.15%"
"Jun 18, 2020","226.00","227.00","227.40","223.60","22.78K","-0.44%"
"Jun 17, 2020","227.00","228.60","233.40","224.60","51.12K","-0.70%"
