"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 21, 2021","18,457.50","18,210.00","18,510.00","18,200.00","-","1.44%"
"Jan 20, 2021","18,195.00","18,210.00","18,262.50","18,022.50","-","0.05%"
"Jan 19, 2021","18,185.00","18,132.50","18,405.00","17,952.50","-","0.48%"
"Jan 18, 2021","18,097.50","18,005.00","18,237.50","18,005.00","-","0.30%"
"Jan 15, 2021","18,042.50","18,322.50","18,452.50","17,792.50","-","-1.51%"
"Jan 14, 2021","18,320.00","17,697.50","18,397.50","17,605.00","-","3.62%"
"Jan 13, 2021","17,680.00","17,782.50","17,870.00","17,500.00","-","0.04%"
"Jan 12, 2021","17,672.50","17,172.50","17,715.00","17,157.50","-","2.73%"
"Jan 11, 2021","17,202.50","17,525.00","17,632.50","17,037.50","-","-1.84%"
"Jan 08, 2021","17,525.00","18,095.00","18,167.50","17,467.50","-","-3.12%"
"Jan 07, 2021","18,090.00","17,792.50","18,195.00","17,757.50","-","1.77%"
"Jan 06, 2021","17,775.00","17,767.50","17,937.50","17,517.50","-","0.24%"
"Jan 05, 2021","17,732.50","17,387.50","17,757.50","17,327.50","-","2.09%"
"Jan 04, 2021","17,370.00","16,660.00","17,505.00","16,660.00","-","4.72%"
"Dec 31, 2020","16,587.50","16,790.00","16,872.50","16,562.50","-","-1.06%"
"Dec 30, 2020","16,765.00","16,892.50","16,982.50","16,715.00","-","-0.73%"
"Dec 29, 2020","16,887.50","17,237.50","17,405.00","16,857.50","-","-0.85%"
"Dec 24, 2020","17,032.50","16,887.50","17,130.00","16,797.50","-","0.93%"
"Dec 23, 2020","16,875.00","16,682.50","16,965.00","16,295.00","-","0.99%"
"Dec 22, 2020","16,710.00","17,315.00","17,430.00","16,582.50","-","-3.65%"
"Dec 21, 2020","17,342.50","17,465.00","17,805.00","17,087.50","-","-0.86%"
"Dec 18, 2020","17,492.50","17,490.00","17,717.50","17,430.00","-","0.00%"
"Dec 17, 2020","17,492.50","17,412.50","17,665.00","17,312.50","-","0.63%"
