"Date","Price","Open","High","Low","Change %"
"Jan 21, 2021","0.086","0.086","0.089","0.086","-40.28%"
"Jan 20, 2021","0.144","0.143","0.144","0.143","0.00%"
"Jan 19, 2021","0.144","0.143","0.144","0.143","0.70%"
"Jan 18, 2021","0.143","0.142","0.143","0.142","0.00%"
"Jan 15, 2021","0.143","0.143","0.144","0.143","-0.69%"
"Jan 14, 2021","0.144","0.141","0.144","0.141","1.41%"
"Jan 13, 2021","0.142","0.141","0.142","0.141","0.00%"
"Jan 12, 2021","0.142","0.139","0.142","0.139","3.65%"
"Jan 11, 2021","0.137","0.146","0.146","0.126","7.03%"
"Jan 08, 2021","0.128","0.128","0.128","0.128","0.00%"
"Jan 07, 2021","0.128","0.118","0.136","0.118","5.79%"
"Jan 06, 2021","0.121","0.118","0.121","0.118","0.00%"
"Jan 05, 2021","0.121","0.112","0.126","0.112","4.31%"
"Jan 04, 2021","0.116","0.112","0.116","0.112","1.75%"
"Dec 30, 2020","0.114","0.114","0.116","0.114","2.70%"
"Dec 29, 2020","0.111","0.098","0.121","0.098","13.27%"
"Dec 28, 2020","0.098","0.098","0.105","0.098","-8.41%"
"Dec 23, 2020","0.107","0.109","0.111","0.107","-1.83%"
"Dec 22, 2020","0.109","0.117","0.117","0.109","0.00%"
"Dec 21, 2020","0.109","0.115","0.115","0.106","-12.10%"
"Dec 18, 2020","0.124","0.119","0.128","0.119","-8.15%"
"Dec 17, 2020","0.135","0.142","0.198","0.126","-16.15%"
"Dec 16, 2020","0.161","0.157","0.176","0.146","11.03%"
"Dec 15, 2020","0.145","0.153","0.153","0.105","-5.23%"
"Dec 14, 2020","0.153","0.102","0.157","0.098","57.73%"
"Dec 11, 2020","0.097","0.092","0.097","0.092","-1.02%"
"Dec 10, 2020","0.098","0.097","0.098","0.097","1.03%"
"Dec 09, 2020","0.097","0.092","0.097","0.092","1.04%"
"Dec 08, 2020","0.096","0.096","0.096","0.096","1.05%"
"Dec 07, 2020","0.095","0.097","0.099","0.095","-4.04%"
"Dec 04, 2020","0.099","0.097","0.099","0.097","1.02%"
"Dec 03, 2020","0.098","0.096","0.098","0.096","1.03%"
"Dec 02, 2020","0.097","0.095","0.097","0.095","-1.02%"
"Dec 01, 2020","0.098","0.100","0.101","0.098","-3.92%"
"Nov 30, 2020","0.102","0.099","0.103","0.055","3.03%"
"Nov 27, 2020","0.099","0.094","0.099","0.055","3.12%"
"Nov 26, 2020","0.096","0.094","0.096","0.094","1.05%"
"Nov 25, 2020","0.095","0.094","0.095","0.094","0.00%"
"Nov 24, 2020","0.095","0.095","0.095","0.095","-1.04%"
"Nov 23, 2020","0.096","0.094","0.096","0.094","2.13%"
"Nov 20, 2020","0.094","0.093","0.094","0.093","-1.05%"
"Nov 19, 2020","0.095","0.095","0.095","0.095","1.06%"
"Nov 18, 2020","0.094","0.092","0.094","0.092","0.00%"
"Nov 17, 2020","0.094","0.093","0.094","0.093","0.00%"
"Nov 16, 2020","0.094","0.102","0.102","0.050","-3.09%"
"Nov 13, 2020","0.097","0.094","0.097","0.060","3.19%"
"Nov 12, 2020","0.094","0.055","0.094","0.055","3.30%"
"Nov 11, 2020","0.091","0.091","0.091","0.091","1.11%"
"Nov 10, 2020","0.090","0.090","0.090","0.090","0.00%"
"Nov 09, 2020","0.090","0.090","0.090","0.090","80.00%"
"Nov 06, 2020","0.050","0.050","0.050","0.050","0.00%"
"Nov 05, 2020","0.050","0.050","0.050","0.050","-43.82%"
"Nov 04, 2020","0.089","0.089","0.089","0.089","1.14%"
"Nov 03, 2020","0.088","0.088","0.088","0.088","-1.12%"
"Nov 02, 2020","0.089","0.081","0.092","0.045","7.23%"
"Oct 30, 2020","0.083","0.068","0.083","0.040","7.79%"
"Oct 29, 2020","0.077","0.068","0.077","0.068","5.48%"
"Oct 28, 2020","0.073","0.065","0.073","0.029","12.31%"
"Oct 27, 2020","0.065","0.063","0.065","0.063","0.00%"
"Oct 26, 2020","0.065","0.062","0.066","0.062","1.56%"
"Oct 23, 2020","0.064","0.063","0.064","0.063","1.59%"
"Oct 22, 2020","0.063","0.062","0.063","0.062","0.00%"
"Oct 21, 2020","0.063","0.061","0.063","0.061","3.28%"
"Oct 20, 2020","0.061","0.061","0.061","0.061","-1.61%"
"Oct 19, 2020","0.062","0.045","0.062","0.009","37.78%"
"Oct 16, 2020","0.045","0.045","0.045","0.045","0.00%"
"Oct 15, 2020","0.045","0.045","0.045","0.045","0.00%"
"Oct 14, 2020","0.045","0.047","0.047","0.043","0.00%"
"Oct 13, 2020","0.045","0.045","0.045","0.045","0.00%"
"Oct 12, 2020","0.045","0.038","0.045","0.004","18.42%"
"Oct 09, 2020","0.038","0.038","0.038","0.038","0.00%"
"Oct 08, 2020","0.038","0.038","0.038","0.037","5.56%"
"Oct 07, 2020","0.036","0.031","0.036","-0.001","12.50%"
"Oct 06, 2020","0.032","0.032","0.032","0.032","3.23%"
"Oct 05, 2020","0.031","-0.054","0.047","-0.031","-3,200.00%"
"Oct 02, 2020","-0.001","-0.002","-0.001","-0.002","-97.22%"
"Oct 01, 2020","-0.036","-0.005","-0.001","-0.036","1,700.00%"
"Sep 30, 2020","-0.002","-0.005","-0.002","-0.006","0.00%"
"Sep 29, 2020","-0.002","-0.006","-0.002","-0.009","-77.78%"
"Sep 28, 2020","-0.009","-0.009","-0.009","-0.009","-78.57%"
"Sep 25, 2020","-0.042","-0.008","-0.005","-0.042","425.00%"
"Sep 24, 2020","-0.008","-0.014","0.021","-0.049","-33.33%"
"Sep 23, 2020","-0.012","-0.014","-0.012","-0.014","-7.69%"
"Sep 22, 2020","-0.013","-0.011","-0.011","-0.049","0.00%"
