"Date","Price","Open","High","Low","Change %"
"Jan 20, 2021","150.2","151.1","151.1","149.6","-0.66%"
"Jan 19, 2021","151.2","151.4","152.2","149.2","-0.40%"
"Jan 18, 2021","151.8","152.8","153.6","150.5","-0.65%"
"Jan 15, 2021","152.8","152.4","153.3","151.0","0.73%"
"Jan 14, 2021","151.7","152.3","153.7","150.3","-0.78%"
"Jan 13, 2021","152.9","150.2","152.1","148.9","1.33%"
"Jan 12, 2021","150.9","147.7","151.0","145.9","2.10%"
"Jan 11, 2021","147.8","145.9","148.7","145.9","1.37%"
"Jan 08, 2021","145.8","141.5","147.5","140.6","0.48%"
"Jan 07, 2021","145.1","141.6","146.2","139.3","1.90%"
"Jan 06, 2021","142.4","135.4","142.4","134.8","2.30%"
"Jan 05, 2021","139.2","147.7","148.2","139.2","-5.82%"
"Jan 04, 2021","147.8","148.0","150.1","144.5","-0.47%"
"Dec 31, 2020","148.5","148.6","549.0","148.5","-0.54%"
"Dec 30, 2020","149.3","148.9","149.8","146.8","0.34%"
"Dec 29, 2020","148.8","149.8","150.8","147.4","-0.67%"
"Dec 28, 2020","149.8","147.7","149.3","146.8","0.88%"
"Dec 24, 2020","148.5","148.4","148.5","148.4","-0.13%"
"Dec 23, 2020","148.7","149.9","150.5","146.8","-0.47%"
"Dec 22, 2020","149.4","147.5","149.7","146.5","1.84%"
"Dec 21, 2020","146.7","148.1","151.9","146.9","-1.01%"
"Dec 18, 2020","148.2","147.8","150.0","147.1","0.20%"
"Dec 17, 2020","147.9","141.9","150.1","140.2","4.01%"
"Dec 16, 2020","142.2","144.7","144.9","140.8","-1.46%"
"Dec 15, 2020","144.3","146.0","147.6","143.3","-1.03%"
"Dec 14, 2020","145.8","146.2","149.2","145.1","-0.88%"
"Dec 11, 2020","147.1","148.4","149.5","147.0","-1.01%"
"Dec 10, 2020","148.6","148.3","149.6","145.6","0.75%"
"Dec 09, 2020","147.5","143.3","147.6","143.1","2.22%"
"Dec 08, 2020","144.3","143.1","145.5","142.1","0.98%"
"Dec 07, 2020","142.9","141.3","144.0","139.6","1.56%"
"Dec 04, 2020","140.7","139.1","139.9","137.7","1.30%"
"Dec 03, 2020","138.9","138.4","138.8","135.9","0.87%"
"Dec 02, 2020","137.7","136.4","138.3","135.0","0.95%"
"Dec 01, 2020","136.4","136.8","139.2","134.9","-0.29%"
"Nov 30, 2020","136.8","139.3","139.6","136.1","-1.72%"
"Nov 27, 2020","139.2","138.7","139.3","137.0","0.22%"
"Nov 26, 2020","138.9","137.4","139.2","136.1","1.54%"
"Nov 25, 2020","136.8","135.7","139.3","135.0","0.66%"
"Nov 24, 2020","135.9","133.6","138.1","132.7","0.82%"
"Nov 23, 2020","134.8","134.0","135.7","133.1","-0.30%"
"Nov 20, 2020","135.2","133.5","135.3","132.4","1.73%"
"Nov 19, 2020","132.9","133.2","134.0","131.5","0.30%"
"Nov 18, 2020","132.5","133.1","133.3","130.9","0.61%"
"Nov 17, 2020","131.7","129.3","132.2","128.6","1.70%"
"Nov 16, 2020","129.5","129.6","131.3","128.5","0.31%"
"Nov 13, 2020","129.1","133.3","134.3","128.6","-3.15%"
"Nov 12, 2020","133.3","133.4","133.7","130.4","0.83%"
"Nov 11, 2020","132.2","129.4","133.5","126.9","1.77%"
"Nov 10, 2020","129.9","128.5","130.6","124.0","1.88%"
"Nov 09, 2020","127.5","130.6","131.5","126.0","-2.37%"
"Nov 06, 2020","130.6","131.8","133.0","127.6","-1.06%"
"Nov 05, 2020","132.0","133.6","134.3","129.8","-0.45%"
"Nov 04, 2020","132.6","134.0","134.5","130.4","0.99%"
"Nov 03, 2020","131.3","131.5","132.4","129.8","0.00%"
"Nov 02, 2020","131.3","128.8","131.7","126.1","2.66%"
"Oct 30, 2020","127.9","127.6","128.4","125.9","0.63%"
"Oct 29, 2020","127.1","124.6","128.4","124.2","1.19%"
"Oct 28, 2020","125.6","127.7","128.8","124.8","-1.80%"
"Oct 27, 2020","127.9","128.0","128.9","125.2","-0.31%"
"Oct 26, 2020","128.3","129.7","130.4","125.0","-0.31%"
"Oct 23, 2020","128.7","125.4","127.9","124.7","2.55%"
"Oct 22, 2020","125.5","124.1","127.4","122.8","1.37%"
"Oct 21, 2020","123.8","121.9","126.1","119.9","0.90%"
"Oct 20, 2020","122.7","122.6","124.8","120.9","0.16%"
"Oct 19, 2020","122.5","121.3","122.8","120.4","0.33%"
"Oct 16, 2020","122.1","121.5","123.3","120.7","0.83%"
"Oct 15, 2020","121.1","122.0","124.0","120.9","0.17%"
"Oct 14, 2020","120.9","122.3","124.0","120.8","-1.55%"
"Oct 13, 2020","122.8","119.0","123.7","118.4","2.59%"
"Oct 12, 2020","119.7","118.6","121.0","118.0","0.59%"
"Oct 09, 2020","119.0","119.5","120.4","116.6","-0.25%"
"Oct 08, 2020","119.3","117.3","119.0","115.9","2.32%"
"Oct 07, 2020","116.6","116.2","118.1","115.1","0.87%"
"Oct 06, 2020","115.6","113.4","117.4","112.1","2.76%"
"Oct 05, 2020","112.5","112.4","113.4","110.1","-0.09%"
"Oct 02, 2020","112.6","112.8","113.6","109.2","0.72%"
"Oct 01, 2020","111.8","109.4","111.9","107.7","1.27%"
"Sep 30, 2020","110.4","112.4","112.9","109.7","-1.69%"
"Sep 29, 2020","112.3","110.9","112.2","109.6","1.35%"
"Sep 28, 2020","110.8","110.0","111.3","108.7","0.54%"
"Sep 25, 2020","110.2","110.4","111.2","107.9","-0.18%"
"Sep 24, 2020","110.4","113.4","115.3","108.8","-3.07%"
"Sep 23, 2020","113.9","111.8","114.4","110.6","1.79%"
"Sep 22, 2020","111.9","112.0","113.5","110.8","-0.09%"
"Sep 21, 2020","112.0","111.2","113.6","110.0","0.99%"
"Sep 18, 2020","110.9","110.9","112.8","108.7","0.09%"
"Sep 17, 2020","110.8","111.2","112.4","110.0","0.18%"
"Sep 16, 2020","110.6","111.4","112.8","110.1","-1.25%"
"Sep 15, 2020","112.0","111.5","112.9","110.3","0.27%"
"Sep 14, 2020","111.7","112.8","115.1","111.7","-0.80%"
"Sep 11, 2020","112.6","112.1","113.0","109.2","1.99%"
