"Date","Price","Open","High","Low","Change %"
"Jan 21, 2021","0.084","0.083","0.086","0.083","-48.47%"
"Jan 20, 2021","0.163","0.161","0.163","0.161","0.62%"
"Jan 19, 2021","0.162","0.162","0.162","0.162","0.62%"
"Jan 18, 2021","0.161","0.158","0.161","0.123","0.00%"
"Jan 15, 2021","0.161","0.159","0.161","0.159","0.63%"
"Jan 14, 2021","0.160","0.158","0.160","0.155","1.27%"
"Jan 13, 2021","0.158","0.158","0.158","0.156","1.28%"
"Jan 12, 2021","0.156","0.154","0.156","0.151","3.31%"
"Jan 11, 2021","0.151","0.136","0.157","0.121","9.42%"
"Jan 08, 2021","0.138","0.138","0.138","0.135","2.22%"
"Jan 07, 2021","0.135","0.127","0.135","0.121","4.65%"
"Jan 06, 2021","0.129","0.127","0.129","0.124","3.20%"
"Jan 05, 2021","0.125","0.116","0.125","0.111","10.62%"
"Jan 04, 2021","0.113","0.112","0.113","0.105","5.61%"
"Dec 30, 2020","0.107","0.097","0.111","0.097","0.94%"
"Dec 29, 2020","0.106","0.095","0.106","0.094","17.78%"
"Dec 28, 2020","0.090","0.092","0.092","0.080","-7.22%"
"Dec 23, 2020","0.097","0.100","0.101","0.083","-3.96%"
"Dec 22, 2020","0.101","0.108","0.108","0.099","1.00%"
"Dec 21, 2020","0.100","0.107","0.107","0.083","-24.81%"
"Dec 18, 2020","0.133","0.112","0.133","0.095","-1.48%"
"Dec 17, 2020","0.135","0.120","0.165","0.100","-2.17%"
"Dec 16, 2020","0.138","0.124","0.140","0.105","-8.61%"
"Dec 15, 2020","0.151","0.157","0.160","0.075","-5.03%"
"Dec 14, 2020","0.159","0.137","0.193","0.070","20.45%"
"Dec 11, 2020","0.132","0.124","0.132","0.124","0.76%"
"Dec 10, 2020","0.131","0.131","0.131","0.131","1.55%"
"Dec 09, 2020","0.129","0.121","0.129","0.121","0.78%"
"Dec 08, 2020","0.128","0.128","0.128","0.128","0.00%"
"Dec 07, 2020","0.128","0.126","0.132","0.126","-0.78%"
"Dec 04, 2020","0.129","0.129","0.129","0.129","0.78%"
"Dec 03, 2020","0.128","0.124","0.128","0.124","0.00%"
"Dec 02, 2020","0.128","0.122","0.188","0.090","0.79%"
"Dec 01, 2020","0.127","0.127","0.131","0.127","-3.05%"
"Nov 30, 2020","0.131","0.127","0.132","0.052","2.34%"
"Nov 27, 2020","0.128","0.120","0.128","0.052","3.23%"
"Nov 26, 2020","0.124","0.122","0.124","0.122","0.00%"
"Nov 25, 2020","0.124","0.120","0.124","0.120","0.81%"
"Nov 24, 2020","0.123","0.119","0.123","0.119","0.82%"
"Nov 23, 2020","0.122","0.122","0.122","0.122","1.67%"
"Nov 20, 2020","0.120","0.120","0.120","0.120","0.84%"
"Nov 19, 2020","0.119","0.118","0.119","0.118","0.85%"
"Nov 18, 2020","0.118","0.116","0.118","0.116","0.85%"
"Nov 17, 2020","0.117","0.117","0.117","0.117","46.25%"
"Nov 16, 2020","0.080","0.125","0.179","0.047","-33.88%"
"Nov 13, 2020","0.121","0.119","0.121","0.057","1.68%"
"Nov 12, 2020","0.119","0.117","0.119","0.052","4.39%"
"Nov 11, 2020","0.114","0.110","0.114","0.047","0.88%"
"Nov 10, 2020","0.113","0.110","0.113","0.110","0.00%"
"Nov 09, 2020","0.113","0.109","0.113","0.109","0.89%"
"Nov 06, 2020","0.112","0.111","0.112","0.111","40.00%"
"Nov 05, 2020","0.080","0.112","0.182","0.080","-27.27%"
"Nov 04, 2020","0.110","0.110","0.110","0.110","-0.90%"
"Nov 03, 2020","0.111","0.108","0.111","0.108","1.83%"
"Nov 02, 2020","0.109","0.100","0.178","0.040","4.81%"
"Oct 30, 2020","0.104","0.088","0.104","0.034","46.48%"
"Oct 29, 2020","0.071","0.087","0.099","0.066","-26.04%"
"Oct 28, 2020","0.096","0.083","0.155","0.024","14.29%"
"Oct 27, 2020","0.084","0.079","0.084","0.079","0.00%"
"Oct 26, 2020","0.084","0.079","0.085","0.079","1.20%"
"Oct 23, 2020","0.083","0.083","0.083","0.083","1.22%"
"Oct 22, 2020","0.082","0.078","0.082","0.078","0.00%"
"Oct 21, 2020","0.082","0.080","0.082","0.080","2.50%"
"Oct 20, 2020","0.080","0.077","0.080","0.077","48.15%"
"Oct 19, 2020","0.054","0.064","0.138","0.004","-15.63%"
"Oct 16, 2020","0.064","0.061","0.064","0.061","3.23%"
"Oct 15, 2020","0.062","0.062","0.062","0.062","51.22%"
"Oct 14, 2020","0.041","0.069","0.140","0.041","-32.79%"
"Oct 13, 2020","0.061","0.061","0.061","0.061","1.67%"
"Oct 12, 2020","0.060","0.034","0.060","-0.001","9.09%"
"Oct 09, 2020","0.055","0.055","0.055","0.055","0.00%"
"Oct 08, 2020","0.055","0.052","0.055","0.052","1.85%"
"Oct 07, 2020","0.054","0.045","0.054","-0.006","10.20%"
"Oct 06, 2020","0.049","0.049","0.049","0.049","0.00%"
"Oct 05, 2020","0.049","0.004","0.049","-0.047","276.92%"
"Oct 02, 2020","0.013","0.013","0.013","0.013","0.00%"
"Oct 01, 2020","0.013","0.003","0.013","0.003","0.00%"
"Sep 30, 2020","0.013","0.003","0.013","0.003","18.18%"
"Sep 29, 2020","0.011","0.003","0.011","0.003","-152.38%"
"Sep 28, 2020","-0.021","-0.061","0.001","-0.021","-59.62%"
"Sep 25, 2020","-0.052","0.003","0.008","-0.057","79.31%"
"Sep 24, 2020","-0.029","-0.011","0.060","-0.064","262.50%"
"Sep 23, 2020","-0.008","-0.015","-0.008","-0.015","-46.67%"
"Sep 22, 2020","-0.015","-0.010","-0.010","-0.064","0.00%"
"Sep 21, 2020","-0.015","-0.010","-0.010","-0.015","0.00%"
"Sep 18, 2020","-0.015","-0.007","-0.007","-0.062","7.14%"
"Sep 17, 2020","-0.014","-0.012","-0.012","-0.059","55.56%"
"Sep 16, 2020","-0.009","-0.029","0.020","-0.054","-73.53%"
"Sep 15, 2020","-0.034","-0.071","-0.071","-0.073","30.77%"
"Sep 14, 2020","-0.026","0.074","0.080","-0.026","-181.25%"
"Sep 11, 2020","0.032","0.032","0.032","0.032","-5.88%"
"Sep 10, 2020","0.034","0.034","0.034","0.034","-8.11%"
"Sep 09, 2020","0.037","0.123","0.123","0.037","-50.00%"
"Sep 08, 2020","0.074","0.074","0.074","0.074","85.00%"
"Sep 04, 2020","0.040","0.040","0.040","0.040","-46.67%"
"Sep 03, 2020","0.075","0.075","0.075","0.075","87.50%"
"Sep 02, 2020","0.040","0.040","0.040","0.040","0.00%"
"Sep 01, 2020","0.040","0.040","0.040","0.040","0.00%"
"Aug 31, 2020","0.040","0.050","0.128","0.040","-20.00%"
"Aug 28, 2020","0.050","0.050","0.050","0.050","-3.85%"
"Aug 27, 2020","0.052","0.052","0.052","0.052","-38.82%"
"Aug 26, 2020","0.085","0.134","0.134","0.085","49.12%"
"Aug 25, 2020","0.057","0.057","0.057","0.057","0.00%"
"Aug 24, 2020","0.057","0.057","0.057","0.057","-5.00%"
"Aug 21, 2020","0.060","0.060","0.060","0.060","-30.23%"
"Aug 20, 2020","0.086","0.193","0.193","0.086","43.33%"
"Aug 19, 2020","0.060","0.060","0.060","0.060","0.00%"
"Aug 18, 2020","0.060","0.057","0.060","0.057","192.68%"
"Aug 17, 2020","0.021","0.035","0.035","0.021","-65.83%"
"Aug 14, 2020","0.060","0.060","0.060","0.060","0.00%"
"Aug 13, 2020","0.060","0.060","0.060","0.060","0.00%"
"Aug 12, 2020","0.060","0.060","0.060","0.057","1.69%"
"Aug 11, 2020","0.059","0.059","0.059","0.059","-33.71%"
"Aug 10, 2020","0.089","0.089","0.089","0.089","50.85%"
"Aug 07, 2020","0.059","0.059","0.059","0.059","-34.44%"
"Aug 06, 2020","0.090","0.090","0.090","0.090","52.54%"
"Aug 04, 2020","0.059","0.059","0.059","0.059","-34.44%"
"Aug 03, 2020","0.090","0.090","0.090","0.090","52.54%"
"Jul 31, 2020","0.059","0.059","0.059","0.059","0.00%"
"Jul 30, 2020","0.059","0.059","0.059","0.059","0.00%"
"Jul 29, 2020","0.059","0.059","0.059","0.059","0.00%"
"Jul 28, 2020","0.059","0.048","0.061","0.048","-3.28%"
"Jul 27, 2020","0.061","0.061","0.061","0.061","0.00%"
"Jul 24, 2020","0.061","0.061","0.061","0.061","-31.46%"
"Jul 23, 2020","0.089","0.089","0.089","0.089","45.90%"
"Jul 22, 2020","0.061","0.061","0.061","0.061","0.00%"
"Jul 21, 2020","0.061","0.061","0.061","0.061","-31.46%"
"Jul 20, 2020","0.089","0.048","0.089","0.048","45.90%"
"Jul 17, 2020","0.061","0.061","0.061","0.061","-35.11%"
"Jul 16, 2020","0.094","0.061","0.094","0.061","-1.05%"
"Jul 15, 2020","0.095","0.095","0.095","0.095","53.23%"
"Jul 14, 2020","0.062","0.062","0.062","0.062","1.64%"
"Jul 13, 2020","0.061","0.061","0.061","0.061","0.00%"
"Jul 10, 2020","0.061","0.061","0.061","0.061","-4.69%"
"Jul 09, 2020","0.064","0.064","0.064","0.064","0.00%"
"Jul 08, 2020","0.064","0.064","0.064","0.064","0.00%"
"Jul 07, 2020","0.064","0.064","0.064","0.064","0.00%"
"Jul 06, 2020","0.064","0.064","0.064","0.064","0.00%"
"Jul 03, 2020","0.064","0.084","0.084","0.064","-28.09%"
"Jul 02, 2020","0.089","0.071","0.089","0.061","-5.32%"
"Jul 01, 2020","0.094","0.193","0.193","0.094","-1.05%"
"Jun 30, 2020","0.095","0.095","0.095","0.095","-8.65%"
"Jun 29, 2020","0.104","0.076","0.104","0.076","4.00%"
"Jun 26, 2020","0.100","0.100","0.100","0.100","98.02%"
"Jun 25, 2020","0.051","0.051","0.051","0.051","-49.50%"
"Jun 24, 2020","0.100","0.199","0.199","0.100","31.58%"
"Jun 23, 2020","0.076","0.086","0.086","0.076","-16.48%"
"Jun 22, 2020","0.091","0.091","0.091","0.091","-9.00%"
"Jun 19, 2020","0.100","0.104","0.104","0.091","-4.76%"
"Jun 18, 2020","0.105","0.100","0.083","0.093","5.00%"
"Jun 17, 2020","0.100","0.100","0.100","0.100","5.26%"
"Jun 16, 2020","0.095","0.105","0.105","0.095","5.56%"
"Jun 15, 2020","0.090","0.137","0.189","0.081","8.43%"
"Jun 12, 2020","0.083","0.083","0.083","0.083","0.00%"
"Jun 11, 2020","0.083","0.083","0.083","0.083","0.00%"
