Date 	Price 	Open 	High 	Low 	Vol. 	Change %
Jan 20, 2021 	893.41 	893.41 	893.41 	893.41 	- 	-0.00%
Jan 19, 2021 	893.43 	893.43 	893.43 	893.43 	- 	0.92%
Jan 18, 2021 	885.30 	885.30 	885.30 	885.30 	- 	0.76%
Jan 15, 2021 	878.66 	878.66 	878.66 	878.66 	- 	-0.89%
Jan 14, 2021 	886.55 	886.55 	886.55 	886.55 	- 	1.11%
Jan 13, 2021 	876.81 	876.81 	876.81 	876.81 	- 	-1.05%
Jan 12, 2021 	886.10 	886.10 	886.10 	886.10 	- 	0.84%
Jan 11, 2021 	878.73 	878.73 	878.73 	878.73 	- 	-0.42%
Jan 08, 2021 	882.44 	882.44 	882.44 	882.44 	- 	0.76%
Jan 07, 2021 	875.75 	875.75 	875.75 	875.75 	- 	1.09%
Jan 06, 2021 	866.30 	866.30 	866.30 	866.30 	- 	1.43%
Jan 05, 2021 	854.10 	854.10 	854.10 	854.10 	- 	-0.42%
Jan 04, 2021 	857.73 	857.73 	857.73 	857.73 	- 	-1.41%
Dec 31, 2020 	870.03 	870.03 	870.03 	870.03 	- 	0.00%
Dec 30, 2020 	870.03 	870.03 	870.03 	870.03 	- 	0.22%
Dec 29, 2020 	868.15 	868.15 	868.15 	868.15 	- 	0.35%
Dec 28, 2020 	865.15 	865.15 	865.15 	865.15 	- 	0.98%
Dec 25, 2020 	856.73 	856.73 	856.73 	856.73 	- 	0.00%
Dec 24, 2020 	856.73 	856.73 	856.73 	856.73 	- 	0.00%
Dec 23, 2020 	856.73 	856.73 	856.73 	856.73 	- 	1.49%
Dec 22, 2020 	844.14 	844.14 	844.14 	844.14 	- 	0.82%
Dec 21, 2020 	837.26 	837.26 	837.26 	837.26 	- 	-2.33%
Dec 18, 2020 	857.23 	857.23 	857.23 	857.23 	- 	0.96%
Dec 17, 2020 	849.09 	849.09 	849.09 	849.09 	- 	0.22%
Dec 16, 2020 	847.26 	847.26 	847.26 	847.26 	- 	0.15%
Dec 15, 2020 	846.03 	846.03 	846.03 	846.03 	- 	0.03%
Dec 14, 2020 	845.75 	845.75 	845.75 	845.75 	- 	-0.12%
Dec 11, 2020 	846.74 	846.74 	846.74 	846.74 	- 	-0.72%
Dec 10, 2020 	852.91 	852.91 	852.91 	852.91 	- 	-0.00%
Dec 09, 2020 	852.93 	852.93 	852.93 	852.93 	- 	1.14%
Dec 08, 2020 	843.31 	843.31 	843.31 	843.31 	- 	0.03%
Dec 07, 2020 	843.05 	843.05 	843.05 	843.05 	- 	-0.45%
Dec 04, 2020 	846.84 	846.84 	846.84 	846.84 	- 	0.63%
Dec 03, 2020 	841.52 	841.52 	841.52 	841.52 	- 	-0.11%
Dec 02, 2020 	842.44 	842.44 	842.44 	842.44 	- 	-0.58%
Dec 01, 2020 	847.35 	847.35 	847.35 	847.35 	- 	0.36%
Nov 30, 2020 	844.30 	844.30 	844.30 	844.30 	- 	-1.96%
Nov 27, 2020 	861.20 	861.20 	861.20 	861.20 	- 	0.96%
Nov 26, 2020 	852.99 	852.99 	852.99 	852.99 	- 	0.05%
Nov 25, 2020 	852.58 	852.58 	852.58 	852.58 	- 	0.00%
Nov 24, 2020 	852.54 	852.54 	852.54 	852.54 	- 	1.55%
Nov 23, 2020 	839.52 	839.52 	839.52 	839.52 	- 	1.00%
Nov 20, 2020 	831.21 	831.21 	831.21 	831.21 	- 	0.44%
Nov 19, 2020 	827.55 	827.55 	827.55 	827.55 	- 	-1.32%
Nov 18, 2020 	838.66 	838.66 	838.66 	838.66 	- 	0.33%
Nov 17, 2020 	835.92 	835.92 	835.92 	835.92 	- 	-0.27%
Nov 16, 2020 	838.21 	838.21 	838.21 	838.21 	- 	1.79%
Nov 13, 2020 	823.49 	823.49 	823.49 	823.49 	- 	0.18%
Nov 12, 2020 	821.99 	821.99 	821.99 	821.99 	- 	-0.35%
Nov 11, 2020 	824.86 	824.86 	824.86 	824.86 	- 	1.20%
Nov 10, 2020 	815.07 	815.07 	815.07 	815.07 	- 	-0.57%
Nov 09, 2020 	819.76 	819.76 	819.76 	819.76 	- 	4.64%
Nov 06, 2020 	783.39 	783.39 	783.39 	783.39 	- 	-0.06%
Nov 05, 2020 	783.83 	783.83 	783.83 	783.83 	- 	0.34%
Nov 04, 2020 	781.14 	781.14 	781.14 	781.14 	- 	1.30%
Nov 03, 2020 	771.13 	771.13 	771.13 	771.13 	- 	0.47%
Nov 02, 2020 	767.55 	767.55 	767.55 	767.55 	- 	1.49%
Oct 30, 2020 	756.27 	756.27 	756.27 	756.27 	- 	-0.39%
Oct 29, 2020 	759.21 	759.21 	759.21 	759.21 	- 	1.24%
Oct 28, 2020 	749.91 	749.91 	749.91 	749.91 	- 	-2.61%
Oct 27, 2020 	769.98 	769.98 	769.98 	769.98 	- 	-1.02%
Oct 26, 2020 	777.95 	777.95 	777.95 	777.95 	- 	-2.88%
Oct 23, 2020 	801.02 	801.02 	801.02 	801.02 	- 	1.55%
Oct 22, 2020 	788.79 	788.79 	788.79 	788.79 	- 	-1.23%
Oct 21, 2020 	798.65 	798.65 	798.65 	798.65 	- 	-0.78%
Oct 20, 2020 	804.90 	810.31 	810.31 	804.90 	- 	-0.67%
Oct 19, 2020 	810.31 	810.31 	810.31 	810.31 	- 	0.27%
Oct 16, 2020 	808.14 	808.14 	808.14 	808.14 	- 	0.76%
Oct 15, 2020 	802.01 	802.01 	802.01 	802.01 	- 	-1.39%
Oct 14, 2020 	813.29 	813.29 	813.29 	813.29 	- 	0.52%
Oct 13, 2020 	809.11 	809.11 	809.11 	809.11 	- 	-0.09%
Oct 12, 2020 	809.84 	809.84 	809.84 	809.84 	- 	-0.10%
Oct 09, 2020 	810.64 	810.64 	810.64 	810.64 	- 	-0.21%
Oct 08, 2020 	812.38 	812.38 	812.38 	812.38 	- 	0.12%
Oct 07, 2020 	811.42 	811.42 	811.42 	811.42 	- 	-0.63%
Oct 06, 2020 	816.59 	816.59 	816.59 	816.59 	- 	0.99%
Oct 05, 2020 	808.62 	808.62 	808.62 	808.62 	- 	1.70%
Oct 02, 2020 	795.07 	795.07 	795.07 	795.07 	- 	-0.05%
Oct 01, 2020 	795.46 	795.46 	795.46 	795.46 	- 	-0.59%
Sep 30, 2020 	800.22 	800.22 	800.22 	800.22 	- 	0.33%
Sep 29, 2020 	797.60 	797.60 	797.60 	797.60 	- 	-0.18%
Sep 28, 2020 	799.01 	799.01 	799.01 	799.01 	- 	1.39%
Sep 25, 2020 	788.05 	788.05 	788.05 	788.05 	- 	-0.07%
Sep 24, 2020 	788.62 	788.62 	788.62 	788.62 	- 	-0.83%
Sep 23, 2020 	795.19 	795.19 	795.19 	795.19 	- 	0.39%
Sep 22, 2020 	792.08 	792.08 	792.08 	792.08 	- 	0.94%
Sep 21, 2020 	784.71 	784.71 	784.71 	784.71 	- 	-3.39%
Sep 18, 2020 	812.26 	812.26 	812.26 	812.26 	- 	0.07%
Sep 17, 2020 	811.71 	811.71 	811.71 	811.71 	- 	-0.12%
Sep 16, 2020 	812.72 	812.72 	812.72 	812.72 	- 	-0.02%
Sep 15, 2020 	812.88 	812.88 	812.88 	812.88 	- 	0.92%
Sep 14, 2020 	805.45 	805.45 	805.45 	805.45 	- 	-0.20%
Sep 11, 2020 	807.06 	807.06 	807.06 	807.06 	- 	0.35%
Sep 10, 2020 	804.21 	804.21 	804.21 	804.21 	- 	-0.18%
Sep 09, 2020 	805.67 	805.67 	805.67 	805.67 	- 	2.11%
Sep 08, 2020 	789.00 	789.00 	789.00 	789.00 	- 	-1.66%
