"Date","Week day","ON","1W","1M","2M","3M","6M","12M"
"19.01.2021","Tue","-0.59386","-0.57214","-0.58671","-0.56114","-0.55386","-0.53314","-0.49871"
"18.01.2021","Mon","-0.59343","-0.57886","-0.58886","-0.56086","-0.55529","-0.53643","-0.50071"
"15.01.2021","Fri","-0.58700","-0.57871","-0.58814","-0.55871","-0.55557","-0.53671","-0.49814"
"14.01.2021","Thu","-0.58843","-0.57629","-0.59486","-0.55829","-0.55314","-0.53457","-0.49614"
"13.01.2021","Wed","-0.58443","-0.57586","-0.59443","-0.55743","-0.55271","-0.53457","-0.49186"
"12.01.2021","Tue","-0.58914","-0.57157","-0.59500","-0.55714","-0.55914","-0.53629","-0.49143"
"11.01.2021","Mon","-0.58800","-0.57157","-0.59471","-0.55486","-0.56471","-0.53443","-0.49429"
"08.01.2021","Fri","-0.58857","-0.57814","-0.59543","-0.55829","-0.57086","-0.53600","-0.49486"
"07.01.2021","Thu","-0.58857","-0.57600","-0.59343","-0.55729","-0.56714","-0.53814","-0.49414"
"06.01.2021","Wed","-0.58714","-0.57943","-0.59100","-0.55929","-0.56671","-0.53557","-0.49243"
"05.01.2021","Tue","-0.58714","-0.57614","-0.59029","-0.55271","-0.55943","-0.53243","-0.49371"
"04.01.2021","Mon","-0.58429","-0.56771","-0.58957","-0.55129","-0.56257","-0.53514","-0.49386"
"31.12.2020","Thu","-0.60043","-0.56743","-0.58586","-0.55586","-0.56629","-0.53300","-0.48986"
"30.12.2020","Wed","-0.58640","-0.56643","-0.58686","-0.55486","-0.56629","-0.53157","-0.48957"
"29.12.2020","Tue","-0.58071","-0.58586","-0.60657","-0.55729","-0.56186","-0.53343","-0.48929"
"24.12.2020","Thu","-0.58529","-0.58529","-0.59671","-0.55914","-0.56357","-0.53029","-0.48457"
"23.12.2020","Wed","-0.58514","-0.58743","-0.59614","-0.55829","-0.57386","-0.53286","-0.48600"
"22.12.2020","Tue","-0.58400","-0.56871","-0.59529","-0.55900","-0.57300","-0.53329","-0.48629"
"21.12.2020","Mon","-0.58171","-0.56871","-0.59457","-0.55629","-0.56829","-0.53343","-0.48386"
"18.12.2020","Fri","-0.58329","-0.56971","-0.59371","-0.55743","-0.56829","-0.53657","-0.48157"
"17.12.2020","Thu","-0.58786","-0.57743","-0.59729","-0.55857","-0.56914","-0.54029","-0.48443"
"16.12.2020","Wed","-0.58286","-0.57786","-0.59043","-0.55257","-0.56586","-0.53800","-0.49200"
"15.12.2020","Tue","-0.58514","-0.57643","-0.58629","-0.55557","-0.56800","-0.53314","-0.49700"
"14.12.2020","Mon","-0.58500","-0.57586","-0.58386","-0.55929","-0.56543","-0.53543","-0.49814"
"11.12.2020","Fri","-0.58386","-0.57957","-0.58200","-0.55657","-0.57229","-0.53557","-0.49657"
"10.12.2020","Thu","-0.58214","-0.57843","-0.58843","-0.56429","-0.56443","-0.53457","-0.50100"
"09.12.2020","Wed","-0.58757","-0.57743","-0.59129","-0.56271","-0.56857","-0.53371","-0.49700"
"08.12.2020","Tue","-0.58414","-0.57086","-0.59143","-0.55314","-0.56843","-0.53057","-0.49514"
"07.12.2020","Mon","-0.58229","-0.56929","-0.59543","-0.54543","-0.55614","-0.52514","-0.48700"
"04.12.2020","Fri","-0.58400","-0.56957","-0.58957","-0.55486","-0.55286","-0.52229","-0.48543"
"03.12.2020","Thu","-0.58229","-0.56714","-0.58614","-0.55700","-0.55410","-0.51900","-0.47929"
"02.12.2020","Wed","-0.58114","-0.56971","-0.58614","-0.55457","-0.54843","-0.51800","-0.47814"
"01.12.2020","Tue","-0.58586","-0.56886","-0.58571","-0.55071","-0.55043","-0.51686","-0.47914"
"30.11.2020","Mon","-0.58586","-0.56843","-0.58371","-0.54929","-0.55157","-0.51714","-0.47814"
"27.11.2020","Fri","-0.59014","-0.56840","-0.58114","-0.54610","-0.54529","-0.51514","-0.47743"
"26.11.2020","Thu","-0.58743","-0.56720","-0.57871","-0.54543","-0.54643","-0.51486","-0.47686"
"25.11.2020","Wed","-0.59086","-0.56914","-0.57829","-0.54943","-0.54429","-0.51629","-0.47300"
"24.11.2020","Tue","-0.58871","-0.57743","-0.57986","-0.54600","-0.54814","-0.51914","-0.47057"
"23.11.2020","Mon","-0.58900","-0.57886","-0.57900","-0.54771","-0.54271","-0.52014","-0.46986"
"20.11.2020","Fri","-0.58914","-0.57729","-0.57829","-0.54529","-0.54386","-0.51886","-0.46886"
"19.11.2020","Thu","-0.58800","-0.57671","-0.57686","-0.54471","-0.54329","-0.51886","-0.46757"
"18.11.2020","Wed","-0.59029","-0.57571","-0.57614","-0.54486","-0.54543","-0.51986","-0.46757"
"17.11.2020","Tue","-0.58600","-0.58000","-0.57657","-0.54886","-0.54629","-0.51757","-0.46800"
"16.11.2020","Mon","-0.59214","-0.58029","-0.57386","-0.54557","-0.53971","-0.51571","-0.45714"
