Montha	Price		Change
Jan 2013	583.76	2.93 %
Feb 2013	597.42	2.34 %
Mar 2013	591.85	-0.93 %
Apr 2013	572.53	-3.26 %
May 2013	578.66	1.07 %
Jun 2013	585.38	1.16 %
Jul 2013	633.39	8.20 %
Aug 2013	645.13	1.85 %
Sep 2013	648.94	0.59 %
Oct 2013	627.77	-3.26 %
Nov 2013	623.93	-0.61 %
Dec 2013	647.38	3.76 %
Jan 2014	629.44	-2.77 %
Feb 2014	642.88	2.13 %
Mar 2014	624.11	-2.92 %
Apr 2014	626.39	0.37 %
May 2014	627.25	0.14 %
Jun 2014	654.52	4.35 %
Jul 2014	651.97	-0.39 %
Aug 2014	620.02	-4.90 %
Sep 2014	608.45	-1.87 %
Oct 2014	564.98	-7.14 %
Nov 2014	523.13	-7.41 %
Dec 2014	441.40	-15.62 %
Jan 2015	362.76	-17.82 %
Feb 2015	416.50	14.81 %
Mar 2015	421.52	1.21 %
Apr 2015	453.94	7.69 %
May 2015	471.85	3.95 %
Jun 2015	478.72	1.46 %
Jul 2015	441.99	-7.67 %
Aug 2015	376.61	-14.79 %
Sep 2015	383.38	1.80 %
Oct 2015	388.85	1.43 %
Nov 2015	371.52	-4.46 %
Dec 2015	318.19	-14.36 %
Jan 2016	262.88	-17.38 %
Feb 2016	267.53	1.77 %
Mar 2016	317.60	18.72 %
Apr 2016	335.02	5.49 %
May 2016	378.14	12.87 %
Jun 2016	396.05	4.74 %
Jul 2016	373.90	-5.59 %
Aug 2016	372.42	-0.40 %
Sep 2016	369.61	-0.75 %
Oct 2016	402.34	8.85 %
Nov 2016	379.91	-5.57 %
Dec 2016	450.53	18.59 %
Jan 2017	454.76	0.94 %
Feb 2017	452.31	-0.54 %
Mar 2017	432.72	-4.33 %
Apr 2017	447.55	3.43 %
May 2017	425.10	-5.02 %
Jun 2017	390.79	-8.07 %
Jul 2017	388.83	-0.50 %
Aug 2017	394.35	1.42 %
Sep 2017	414.60	5.14 %
Oct 2017	438.56	5.78 %
Nov 2017	490.85	11.92 %
Dec 2017	508.77	3.65 %
Jan 2018	524.70	3.13 %
Feb 2018	497.23	-5.23 %
Mar 2018	498.42	0.24 %
Apr 2018	539.11	8.16 %
May 2018	594.53	10.28 %
Jun 2018	584.00	-1.77 %
Jul 2018	590.69	1.15 %
Aug 2018	591.88	0.20 %
Sep 2018	621.48	5.00 %
Oct 2018	633.30	1.90 %
Nov 2018	527.28	-16.74 %
Dec 2018	464.38	-11.93 %
Jan 2019	483.81	4.18 %
Feb 2019	524.72	8.45 %
Mar 2019	548.49	4.53 %
Apr 2019	587.39	7.09 %
May 2019	584.28	-0.53 %
Jun 2019	515.69	-11.74 %
Jul 2019	529.27	2.63 %
Aug 2019	517.00	-2.32 %
Sep 2019	541.04	4.65 %
Oct 2019	524.21	-3.11 %
Nov 2019	552.22	5.34 %
Dec 2019	573.73	3.90 %
Jan 2020	551.94	-3.80 %
Feb 2020	495.81	-10.17 %
Mar 2020	329.09	-33.63 %
Apr 2020	219.92	-33.17 %
May 2020	306.56	39.40 %
Jun 2020	375.98	22.64 %
Jul 2020	390.05	3.74 %
Aug 2020	388.57	-0.38 %
Sep 2020	371.98	-4.27 %
Oct 2020	370.34	-0.44 %
Nov 2020	384.92	3.94 %
