Macrotrends Data Download

Norway Inflation Rate 1960-2021


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, Inflation Rate (%), Annual Change, 
1960-12-31,0.3605
1961-12-31,2.1552,1.79
1962-12-31,5.2743,3.12
1963-12-31,2.4716,-2.8
1964-12-31,5.867,3.4
1965-12-31,4.1872,-1.68
1966-12-31,3.2506,-0.94
1967-12-31,4.5793,1.33
1968-12-31,3.4483,-1.13
1969-12-31,2.9629,-0.49
1970-12-31,10.6372,7.67
1971-12-31,6.2239,-4.41
1972-12-31,7.2584,1.03
1973-12-31,7.4195,0.16
1974-12-31,9.4118,1.99
1975-12-31,11.6892,2.28
1976-12-31,9.1615,-2.53
1977-12-31,9.1038,-0.06
1978-12-31,8.1617,-0.94
1979-12-31,4.5097,-3.65
1980-12-31,10.8787,6.37
1981-12-31,13.643,2.76
1982-12-31,11.341,-2.3
1983-12-31,8.4652,-2.88
1984-12-31,6.2183,-2.25
1985-12-31,5.7149,-0.5
1986-12-31,7.1765,1.46
1987-12-31,8.717,1.54
1988-12-31,6.6764,-2.04
1989-12-31,4.5461,-2.13
1990-12-31,4.131,-0.42
1991-12-31,3.4382,-0.69
1992-12-31,2.3281,-1.11
1993-12-31,2.2883,-0.04
1994-12-31,1.3757,-0.91
1995-12-31,2.4604,1.08
1996-12-31,1.2625,-1.2
1997-12-31,2.5669,1.3
1998-12-31,2.2524,-0.31
1999-12-31,2.366,0.11
2000-12-31,3.0855,0.72
2001-12-31,3.0042,-0.08
2002-12-31,1.2867,-1.72
2003-12-31,2.4878,1.2
2004-12-31,0.4545,-2.03
2005-12-31,1.5321,1.08
2006-12-31,2.3293,0.8
2007-12-31,0.7126,-1.62
2008-12-31,3.7539,3.04
2009-12-31,2.1974,-1.56
2010-12-31,2.4189,0.22
2011-12-31,1.285,-1.13
2012-12-31,0.6969,-0.59
2013-12-31,2.1205,1.42
2014-12-31,2.0417,-0.08
2015-12-31,2.1711,0.13
2016-12-31,3.55,1.38
2017-12-31,1.8751,-1.67
2018-12-31,2.7648,0.89
2019-12-31,2.1677,-0.6
