"time","OSLKO34 ESG","OSLKO34 ESG( volume )"
"2015-12-17 01:00","99.16","50000000"
"2016-01-14 01:00","100.985","100000000"
"2016-01-26 01:00","101.01","10000000"
"2016-02-04 01:00","101.7","40000000"
"2016-02-08 01:00","101.64","6000000"
"2016-02-22 01:00","101.9","6000000"
"2016-03-07 01:00","101.86","10000000"
"2016-04-07 02:00","102.75","11000000"
"2016-05-13 02:00","101.503","75000000"
"2016-06-02 02:00","101.8","1000000"
"2016-06-13 02:00","103.01","3000000"
"2016-07-06 02:00","104.43","10000000"
"2016-07-13 02:00","105.2","83000000"
"2016-10-26 02:00","102.68","4000000"
"2016-11-14 01:00","100.18","19000000"
"2017-01-17 01:00","101.5","5000000"
"2017-03-06 01:00","100.981","50000000"
"2017-06-09 02:00","102.2","4000000"
"2017-08-31 02:00","102.26","7000000"
"2017-10-18 02:00","102.085","7000000"
"2018-01-24 01:00","101.02","1000000"
"2018-02-01 01:00","100.18","25000000"
"2018-03-23 01:00","99.85","75000000"
"2018-06-04 02:00","100.75","4000000"
"2018-06-18 02:00","100.8","3000000"
"2018-08-15 02:00","100.807","2000000"
"2018-08-29 02:00","101.15","2000000"
"2018-12-12 01:00","100.7","8000000"
"2019-01-23 01:00","100.6","4000000"
"2019-11-26 01:00","101.34","2000000"
"2019-12-09 01:00","101.08","6000000"
"2020-04-22 02:00","105.11","30000000"
"2020-07-01 02:00","105.83","19000000"
"2020-07-02 02:00","105.99","15000000"
"2020-09-08 02:00","111.422","20000000"
"2020-09-10 02:00","106.05","38000000"
