"time","OSLKO38","OSLKO38( volume )"
"2017-12-12 01:00","99.45","50000000"
"2017-12-14 01:00","99","100000000"
"2017-12-18 01:00","99.501","60000000"
"2017-12-19 01:00","99.95","30000000"
"2017-12-20 01:00","99.1","20000000"
"2018-01-11 01:00","99","50000000"
"2018-02-15 01:00","96.75","30000000"
"2018-02-16 01:00","96.56","1000000"
"2018-02-19 01:00","97.06","23000000"
"2018-02-26 01:00","97.15","9000000"
"2018-02-27 01:00","97.15","1000000"
"2018-04-04 02:00","97.42","50000000"
"2018-06-12 02:00","97.37","28000000"
"2018-06-25 02:00","97.85","2000000"
"2018-06-26 02:00","97.63","141000000"
