"time","SPOL30 PRO","SPOL30 PRO( volume )"
"2015-03-09 01:00","99.89","185000000"
"2015-04-27 02:00","99.78","12000000"
"2015-04-28 02:00","99.82","203000000"
"2015-04-29 02:00","99.83","50000000"
"2015-05-19 02:00","99.89","30000000"
"2015-05-21 02:00","99.894","50000000"
"2015-05-27 02:00","99.9","20000000"
"2015-10-05 02:00","96.21","200000000"
"2015-10-07 02:00","96.16","100000000"
"2015-10-12 02:00","96.868","200000000"
"2015-10-19 02:00","96.923","50000000"
"2015-10-20 02:00","96.924","60000000"
"2015-11-06 01:00","96.756","25000000"
"2015-11-09 01:00","96.87","40000000"
"2015-11-10 01:00","96.75","128000000"
"2015-12-16 01:00","95.76","25000000"
"2015-12-17 01:00","95.624","10000000"
"2016-03-16 01:00","96.7","10000000"
"2016-05-25 02:00","97.847","20000000"
"2016-06-27 02:00","97.77","50000000"
"2016-06-29 02:00","98.042","50000000"
"2016-07-13 02:00","98.32","45000000"
"2016-09-30 02:00","99.08","15000000"
"2017-02-09 01:00","99.9","110000000"
"2017-02-17 01:00","99.81","1000000"
"2017-03-14 01:00","99.948","11000000"
"2017-03-28 02:00","100.039","40000000"
"2017-04-20 02:00","100.024","10000000"
"2017-04-21 02:00","100.01","65000000"
"2017-05-16 02:00","100.145","5000000"
"2017-05-18 02:00","100.143","5000000"
"2017-05-31 02:00","100.152","1000000"
"2017-06-01 02:00","100.18","20000000"
"2017-06-06 02:00","100.095","13000000"
"2017-06-09 02:00","100.226","172000000"
"2017-06-19 02:00","100.22","40000000"
"2017-07-04 02:00","100.27","25000000"
"2017-07-05 02:00","100.3","10000000"
"2017-11-20 01:00","100.313","6000000"
"2017-12-06 01:00","100.265","48000000"
"2017-12-07 01:00","100.29","48000000"
"2017-12-29 01:00","100.323","6000000"
"2018-03-20 01:00","100.576","45000000"
"2018-08-20 02:00","100.725","48000000"
"2018-08-28 02:00","100.761","20000000"
"2018-09-25 02:00","100.625","22000000"
"2018-12-03 01:00","100.4","111000000"
"2019-01-15 01:00","100.4","15000000"
"2019-02-07 01:00","100.49","42000000"
"2019-02-11 01:00","100.49","71000000"
"2019-03-06 01:00","100.6","48000000"
"2019-03-07 01:00","100.55","21000000"
"2019-03-25 01:00","100.604","15000000"
"2019-05-06 02:00","100.73","10000000"
"2019-05-21 02:00","100.732","20000000"
"2019-07-03 02:00","100.69","9000000"
"2019-08-08 02:00","100.708","24000000"
"2019-09-06 02:00","100.68","6000000"
"2019-09-13 02:00","100.675","45000000"
"2019-09-17 02:00","100.65","50000000"
"2019-10-11 02:00","100.615","37000000"
"2019-10-25 02:00","100.586","20000000"
"2019-11-06 01:00","100.578","22000000"
"2019-11-08 01:00","100.565","25000000"
"2019-11-13 01:00","100.554","3000000"
"2020-01-27 01:00","100.512","15000000"
"2020-02-18 01:00","100.469","28000000"
"2020-03-02 01:00","100.35","15000000"
"2020-03-24 01:00","99.87","40000000"
"2020-03-30 02:00","100.028","15000000"
"2020-03-31 02:00","100.09","81000000"
"2020-04-01 02:00","100.04","40000000"
"2020-04-30 02:00","100.281","51000000"
"2020-09-03 02:00","100.272","100000000"
"2020-10-06 02:00","100.2092","414000000"
"2020-10-07 02:00","100.2078","117000000"
