"time","OBOSX OIL SERV GR","volume"
"2000-01-03 01:00","100","0"
"2000-01-04 01:00","95.65","0"
"2000-01-05 01:00","91.67","0"
"2000-01-06 01:00","90.72","0"
"2000-01-07 01:00","91.03","0"
"2000-01-10 01:00","93.9","0"
"2000-01-11 01:00","93.86","0"
"2000-01-12 01:00","87.9","0"
"2000-01-13 01:00","89.03","0"
"2000-01-14 01:00","89.32","0"
"2000-01-17 01:00","92.75","0"
"2000-01-18 01:00","93.32","0"
"2000-01-19 01:00","94.21","0"
"2000-01-20 01:00","94.67","0"
"2000-01-21 01:00","95.28","0"
"2000-01-24 01:00","99.04","0"
"2000-01-25 01:00","96.63","0"
"2000-01-26 01:00","97.51","0"
"2000-01-27 01:00","96.86","0"
"2000-01-28 01:00","94.97","0"
"2000-01-31 01:00","91.64","0"
"2000-02-01 01:00","91.99","0"
"2000-02-02 01:00","94.62","0"
"2000-02-03 01:00","94.68","0"
"2000-02-04 01:00","91.86","0"
"2000-02-07 01:00","89.52","0"
"2000-02-08 01:00","89.6","0"
"2000-02-09 01:00","88.42","0"
"2000-02-10 01:00","90.59","0"
"2000-02-11 01:00","93.21","0"
"2000-02-14 01:00","91.2","0"
"2000-02-15 01:00","94.48","0"
"2000-02-16 01:00","93.04","0"
"2000-02-17 01:00","93.54","0"
"2000-02-18 01:00","93.43","0"
"2000-02-21 01:00","91.51","0"
"2000-02-22 01:00","91.26","0"
"2000-02-23 01:00","92.85","0"
"2000-02-24 01:00","93.88","0"
"2000-02-25 01:00","94.36","0"
"2000-02-28 01:00","91.38","0"
"2000-02-29 01:00","92.94","0"
"2000-03-01 01:00","97.75","0"
"2000-03-02 01:00","99.76","0"
"2000-03-03 01:00","102.77","0"
"2000-03-06 01:00","99.83","0"
"2000-03-07 01:00","101.3","0"
"2000-03-08 01:00","102.41","0"
"2000-03-09 01:00","99.49","0"
"2000-03-10 01:00","101.51","0"
"2000-03-13 01:00","96.34","0"
"2000-03-14 01:00","96.11","0"
"2000-03-15 01:00","91","0"
"2000-03-16 01:00","90.81","0"
"2000-03-17 01:00","91.99","0"
"2000-03-20 01:00","89.55","0"
"2000-03-21 01:00","90.22","0"
"2000-03-22 01:00","91.35","0"
"2000-03-23 01:00","92.06","0"
"2000-03-24 01:00","93.06","0"
"2000-03-27 02:00","93.19","0"
"2000-03-28 02:00","90.86","0"
"2000-03-29 02:00","89.18","0"
"2000-03-30 02:00","91.92","0"
"2000-03-31 02:00","95.32","0"
"2000-04-03 02:00","96.41","0"
"2000-04-04 02:00","95.58","0"
"2000-04-05 02:00","89.49","0"
"2000-04-06 02:00","92.82","0"
"2000-04-07 02:00","92.48","0"
"2000-04-10 02:00","90.14","0"
"2000-04-11 02:00","88.66","0"
"2000-04-12 02:00","89.45","0"
"2000-04-13 02:00","88.31","0"
"2000-04-14 02:00","86.69","0"
"2000-04-17 02:00","83.46","0"
"2000-04-18 02:00","84.93","0"
"2000-04-19 02:00","87.27","0"
"2000-04-25 02:00","85.67","0"
"2000-04-26 02:00","86.11","0"
"2000-04-27 02:00","84.01","0"
"2000-04-28 02:00","87.08","0"
"2000-05-02 02:00","90.82","0"
"2000-05-03 02:00","94.13","0"
"2000-05-04 02:00","93.83","0"
"2000-05-05 02:00","93.58","0"
"2000-05-08 02:00","96.5","0"
"2000-05-09 02:00","98.93","0"
"2000-05-10 02:00","98.42","0"
"2000-05-11 02:00","99.06","0"
"2000-05-12 02:00","99.66","0"
"2000-05-15 02:00","99.39","0"
"2000-05-16 02:00","101.75","0"
"2000-05-18 02:00","101.65","0"
"2000-05-19 02:00","99.26","0"
"2000-05-22 02:00","97.67","0"
"2000-05-23 02:00","94.87","0"
"2000-05-24 02:00","93.78","0"
"2000-05-25 02:00","95.26","0"
"2000-05-26 02:00","94.85","0"
"2000-05-29 02:00","93.91","0"
"2000-05-30 02:00","94.72","0"
"2000-05-31 02:00","94.48","0"
"2000-06-02 02:00","99.59","0"
"2000-06-05 02:00","97.64","0"
"2000-06-06 02:00","94.93","0"
"2000-06-07 02:00","94","0"
"2000-06-08 02:00","93.05","0"
"2000-06-09 02:00","93.86","0"
"2000-06-13 02:00","95.14","0"
"2000-06-14 02:00","93.45","0"
"2000-06-15 02:00","94.7","0"
"2000-06-16 02:00","94.08","0"
"2000-06-19 02:00","93.69","0"
"2000-06-20 02:00","92.25","0"
"2000-06-21 02:00","92.1","0"
"2000-06-22 02:00","94.33","0"
"2000-06-23 02:00","93.38","0"
"2000-06-26 02:00","92.52","0"
"2000-06-27 02:00","90.81","0"
"2000-06-28 02:00","86.8","0"
"2000-06-29 02:00","86.71","0"
"2000-06-30 02:00","87.55","0"
"2000-07-03 02:00","88.32","0"
"2000-07-04 02:00","88.86","0"
"2000-07-05 02:00","88.74","0"
"2000-07-06 02:00","88.76","0"
"2000-07-07 02:00","87.28","0"
"2000-07-10 02:00","87.21","0"
"2000-07-11 02:00","85.38","0"
"2000-07-12 02:00","89.72","0"
"2000-07-13 02:00","90.9","0"
"2000-07-14 02:00","93.22","0"
"2000-07-17 02:00","93.68","0"
"2000-07-18 02:00","96.52","0"
"2000-07-19 02:00","99.57","0"
"2000-07-20 02:00","101.5","0"
"2000-07-21 02:00","101.48","0"
"2000-07-24 02:00","98.98","0"
"2000-07-25 02:00","97.7","0"
"2000-07-26 02:00","96.99","0"
"2000-07-27 02:00","97.39","0"
"2000-07-28 02:00","95.44","0"
"2000-07-31 02:00","95.29","0"
