"time","OSE All-SHARE GR","volume"
"2000-01-03 01:00","183.52","0"
"2000-01-04 01:00","177.02","0"
"2000-01-05 01:00","172.38","0"
"2000-01-06 01:00","173.99","0"
"2000-01-07 01:00","177.51","0"
"2000-01-10 01:00","181.78","0"
"2000-01-11 01:00","180.81","0"
"2000-01-12 01:00","177.97","0"
"2000-01-13 01:00","180.77","0"
"2000-01-14 01:00","182.16","0"
"2000-01-17 01:00","182.13","0"
"2000-01-18 01:00","181.94","0"
"2000-01-19 01:00","181.9","0"
"2000-01-20 01:00","182.92","0"
"2000-01-21 01:00","183.13","0"
"2000-01-24 01:00","185.45","0"
"2000-01-25 01:00","181.79","0"
"2000-01-26 01:00","183.53","0"
"2000-01-27 01:00","183.5","0"
"2000-01-28 01:00","182.98","0"
"2000-01-31 01:00","178.29","0"
"2000-02-01 01:00","178.03","0"
"2000-02-02 01:00","180.18","0"
"2000-02-03 01:00","184.17","0"
"2000-02-04 01:00","184.9","0"
"2000-02-07 01:00","184.53","0"
"2000-02-08 01:00","186.47","0"
"2000-02-09 01:00","184.37","0"
"2000-02-10 01:00","186.13","0"
"2000-02-11 01:00","186.81","0"
"2000-02-14 01:00","186.71","0"
"2000-02-15 01:00","184.79","0"
"2000-02-16 01:00","183.34","0"
"2000-02-17 01:00","182.33","0"
"2000-02-18 01:00","182.71","0"
"2000-02-21 01:00","180.83","0"
"2000-02-22 01:00","182.75","0"
"2000-02-23 01:00","185.09","0"
"2000-02-24 01:00","186","0"
"2000-02-25 01:00","184.99","0"
"2000-02-28 01:00","183.55","0"
"2000-02-29 01:00","184.96","0"
"2000-03-01 01:00","188.56","0"
"2000-03-02 01:00","187.01","0"
"2000-03-03 01:00","188.36","0"
"2000-03-06 01:00","189.2","0"
"2000-03-07 01:00","194.05","0"
"2000-03-08 01:00","194","0"
"2000-03-09 01:00","193.64","0"
"2000-03-10 01:00","193.21","0"
"2000-03-13 01:00","188.11","0"
"2000-03-14 01:00","189.75","0"
"2000-03-15 01:00","185.14","0"
"2000-03-16 01:00","184.79","0"
"2000-03-17 01:00","183.5","0"
"2000-03-20 01:00","184.05","0"
"2000-03-21 01:00","182.28","0"
"2000-03-22 01:00","184.09","0"
"2000-03-23 01:00","184.2","0"
"2000-03-24 01:00","185.02","0"
"2000-03-27 02:00","183.47","0"
"2000-03-28 02:00","183.77","0"
"2000-03-29 02:00","182.12","0"
"2000-03-30 02:00","178.61","0"
"2000-03-31 02:00","181.85","0"
"2000-04-03 02:00","179.77","0"
"2000-04-04 02:00","178.88","0"
"2000-04-05 02:00","169.83","0"
"2000-04-06 02:00","175.45","0"
"2000-04-07 02:00","178.01","0"
"2000-04-10 02:00","178.48","0"
"2000-04-11 02:00","175.1","0"
"2000-04-12 02:00","175.63","0"
"2000-04-13 02:00","173.75","0"
"2000-04-14 02:00","169.54","0"
"2000-04-17 02:00","166.42","0"
"2000-04-18 02:00","168.65","0"
"2000-04-19 02:00","172.05","0"
"2000-04-25 02:00","172.63","0"
"2000-04-26 02:00","174.08","0"
"2000-04-27 02:00","171.67","0"
