"time","OSLO SHIPPING PR","volume"
"2020-11-30 01:00","98.1","0"
"2020-12-01 01:00","98.27","0"
"2020-12-02 01:00","97.15","0"
"2020-12-03 01:00","97.83","0"
"2020-12-04 01:00","99.32","0"
"2020-12-07 01:00","99.79","0"
"2020-12-08 01:00","99.53","0"
"2020-12-09 01:00","99.83","0"
"2020-12-10 01:00","100.48","0"
"2020-12-11 01:00","101.37","0"
"2020-12-14 01:00","103.28","0"
"2020-12-15 01:00","102.13","0"
"2020-12-16 01:00","103.29","0"
"2020-12-17 01:00","103.96","0"
"2020-12-18 01:00","105.44","0"
"2020-12-21 01:00","101.84","0"
"2020-12-22 01:00","103.18","0"
"2020-12-23 01:00","103.49","0"
"2020-12-24 01:00","103.49","0"
"2020-12-28 01:00","104.19","0"
"2020-12-29 01:00","103.99","0"
"2020-12-30 01:00","105.33","0"
"2020-12-31 01:00","105.33","0"
"2021-01-04 01:00","106.79","0"
"2021-01-05 01:00","108.61","0"
"2021-01-06 01:00","107.8","0"
"2021-01-07 01:00","108.94","0"
"2021-01-08 01:00","111.89","0"
"2021-01-11 01:00","110.79","0"
"2021-01-12 01:00","112.19","0"
"2021-01-13 01:00","111.21","0"
"2021-01-14 01:00","111.21","0"
"2021-01-15 01:00","109.63","0"
"2021-01-18 01:00","108.88","0"
"2021-01-19 01:00","109.55","0"
"2021-01-20 01:00","109.46","0"
