EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, BJOERNOEYA (STAID: 179).
Blended and updated with sources: 100577 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
100577,19790101,  -95,    0
100577,19790102, -208,    0
100577,19790103, -104,    0
100577,19790104, -177,    0
100577,19790105,   -8,    0
100577,19790106,  -31,    0
100577,19790107,  -55,    0
100577,19790108,  -44,    0
100577,19790109, -147,    0
100577,19790110, -240,    0
100577,19790111,  -78,    0
100577,19790112, -185,    0
100577,19790113, -101,    0
100577,19790114, -139,    0
100577,19790115, -123,    0
100577,19790116,  -56,    0
100577,19790117,  -17,    0
100577,19790118,    2,    0
100577,19790119,  -44,    0
100577,19790120,  -59,    0
100577,19790121, -149,    0
100577,19790122, -115,    0
100577,19790123,  -81,    0
100577,19790124, -125,    0
100577,19790125, -127,    0
100577,19790126,  -66,    0
100577,19790127,  -75,    0
100577,19790128, -104,    0
100577,19790129, -179,    0
100577,19790130, -165,    0
100577,19790131, -195,    0
100577,19790201, -163,    0
100577,19790202,  -74,    0
100577,19790203, -105,    0
100577,19790204,  -68,    0
100577,19790205,  -72,    0
100577,19790206,  -66,    0
100577,19790207,  -61,    0
100577,19790208,  -65,    0
100577,19790209, -113,    0
100577,19790210,  -95,    0
100577,19790211,  -67,    0
100577,19790212, -110,    0
100577,19790213, -121,    0
100577,19790214,  -58,    0
100577,19790215,  -37,    0
100577,19790216,  -35,    0
100577,19790217,    9,    0
100577,19790218,   12,    0
100577,19790219,   11,    0
100577,19790220,   17,    0
100577,19790221,   17,    0
100577,19790222,  -14,    0
100577,19790223, -122,    0
100577,19790224, -166,    0
100577,19790225, -134,    0
100577,19790226,  -70,    0
100577,19790227, -156,    0
100577,19790228, -157,    0
100577,19790301,  -35,    0
100577,19790302,   -6,    0
100577,19790303,   -9,    0
100577,19790304,  -29,    0
100577,19790305,  -34,    0
100577,19790306,  -46,    0
100577,19790307,  -19,    0
100577,19790308,  -43,    0
100577,19790309,   -1,    0
100577,19790310,  -17,    0
100577,19790311,  -23,    0
100577,19790312,   -9,    0
100577,19790313,  -26,    0
100577,19790314,  -86,    0
100577,19790315, -123,    0
100577,19790316, -119,    0
100577,19790317, -142,    0
100577,19790318, -109,    0
100577,19790319, -112,    0
100577,19790320, -121,    0
100577,19790321, -151,    0
100577,19790322, -132,    0
100577,19790323,  -91,    0
100577,19790324,  -69,    0
100577,19790325,  -50,    0
100577,19790326,  -19,    0
100577,19790327,  -12,    0
100577,19790328,   -9,    0
100577,19790329,   16,    0
100577,19790330,    7,    0
100577,19790331,   -3,    0
100577,19790401,   -1,    0
100577,19790402,   -6,    0
100577,19790403,  -15,    0
100577,19790404,  -39,    0
100577,19790405,  -28,    0
100577,19790406,  -19,    0
100577,19790407, -106,    0
100577,19790408, -120,    0
100577,19790409, -105,    0
100577,19790410, -107,    0
100577,19790411,  -80,    0
100577,19790412, -127,    0
100577,19790413,  -90,    0
100577,19790414, -167,    0
100577,19790415, -152,    0
100577,19790416, -128,    0
100577,19790417, -137,    0
100577,19790418,  -95,    0
100577,19790419,  -25,    0
100577,19790420,  -80,    0
100577,19790421,  -25,    0
100577,19790422,  -36,    0
100577,19790423,  -74,    0
100577,19790424, -105,    0
100577,19790425,  -58,    0
100577,19790426,  -19,    0
100577,19790427,  -28,    0
100577,19790428,  -24,    0
100577,19790429,  -23,    0
100577,19790430,  -35,    0
100577,19790501,  -57,    0
100577,19790502,  -24,    0
100577,19790503,  -42,    0
100577,19790504,  -22,    0
100577,19790505,  -45,    0
100577,19790506,  -67,    0
100577,19790507,  -57,    0
100577,19790508,  -41,    0
100577,19790509,  -57,    0
100577,19790510,  -25,    0
100577,19790511,  -37,    0
100577,19790512,  -22,    0
100577,19790513,  -34,    0
100577,19790514,  -27,    0
100577,19790515,  -33,    0
100577,19790516,  -56,    0
100577,19790517,  -57,    0
100577,19790518,  -52,    0
100577,19790519,  -63,    0
100577,19790520,  -65,    0
100577,19790521,  -33,    0
100577,19790522,  -24,    0
100577,19790523,  -45,    0
100577,19790524,  -38,    0
100577,19790525,  -12,    0
100577,19790526,    2,    0
100577,19790527,   11,    0
100577,19790528,  -15,    0
100577,19790529,  -15,    0
100577,19790530,  -15,    0
100577,19790531,   -3,    0
100577,19790601,   15,    0
100577,19790602,   20,    0
100577,19790603,    4,    0
100577,19790604,   -8,    0
100577,19790605,    0,    0
100577,19790606,    1,    0
100577,19790607,    1,    0
100577,19790608,  -16,    0
100577,19790609,  -27,    0
100577,19790610,   -4,    0
100577,19790611,   12,    0
100577,19790612,    7,    0
100577,19790613,   20,    0
100577,19790614,   28,    0
100577,19790615,   35,    0
100577,19790616,   16,    0
