EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, SVALBARD AIRPORT (STAID: 186).
Blended and updated with sources: 100580 199233 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
100580,19790101, -214,    0
100580,19790102, -234,    0
100580,19790103, -205,    0
100580,19790104, -261,    0
100580,19790105, -145,    0
100580,19790106, -116,    0
100580,19790107, -172,    0
100580,19790108, -110,    0
100580,19790109, -187,    0
100580,19790110, -283,    0
100580,19790111, -280,    0
100580,19790112, -301,    0
100580,19790113, -293,    0
100580,19790114, -248,    0
100580,19790115, -273,    0
100580,19790116, -141,    0
100580,19790117,  -77,    0
100580,19790118,  -68,    0
100580,19790119, -175,    0
100580,19790120, -218,    0
100580,19790121, -256,    0
100580,19790122, -246,    0
100580,19790123, -223,    0
100580,19790124, -219,    0
100580,19790125, -238,    0
100580,19790126, -153,    0
100580,19790127, -150,    0
100580,19790128, -181,    0
100580,19790129, -208,    0
100580,19790130, -236,    0
100580,19790131, -237,    0
100580,19790201, -202,    0
100580,19790202, -217,    0
100580,19790203, -226,    0
100580,19790204, -233,    0
100580,19790205, -189,    0
100580,19790206, -205,    0
100580,19790207, -178,    0
100580,19790208, -217,    0
100580,19790209, -230,    0
100580,19790210, -197,    0
100580,19790211, -115,    0
100580,19790212, -225,    0
100580,19790213, -181,    0
100580,19790214, -190,    0
100580,19790215, -185,    0
100580,19790216, -167,    0
100580,19790217,  -35,    0
100580,19790218,  -90,    0
100580,19790219,   -2,    0
100580,19790220,   -4,    0
100580,19790221,  -16,    0
100580,19790222, -174,    0
100580,19790223, -339,    0
100580,19790224, -390,    0
100580,19790225, -396,    0
100580,19790226, -378,    0
100580,19790227, -359,    0
100580,19790228, -393,    0
100580,19790301, -206,    0
100580,19790302, -184,    0
100580,19790303, -131,    0
100580,19790304,  -92,    0
100580,19790305, -148,    0
100580,19790306, -181,    0
100580,19790307, -131,    0
100580,19790308,  -95,    0
100580,19790309, -102,    0
100580,19790310, -106,    0
100580,19790311, -170,    0
100580,19790312,  -93,    0
100580,19790313, -144,    0
100580,19790314, -186,    0
100580,19790315, -262,    0
100580,19790316, -300,    0
100580,19790317, -227,    0
100580,19790318, -249,    0
100580,19790319, -169,    0
100580,19790320, -160,    0
100580,19790321, -192,    0
100580,19790322, -220,    0
100580,19790323, -200,    0
100580,19790324, -233,    0
100580,19790325, -195,    0
100580,19790326, -131,    0
100580,19790327, -137,    0
100580,19790328,  -98,    0
100580,19790329,  -88,    0
100580,19790330,  -31,    0
100580,19790331,  -33,    0
100580,19790401,  -94,    0
100580,19790402, -100,    0
100580,19790403, -111,    0
100580,19790404, -106,    0
100580,19790405,  -98,    0
100580,19790406, -160,    0
100580,19790407, -230,    0
100580,19790408, -242,    0
100580,19790409, -219,    0
100580,19790410, -200,    0
100580,19790411, -208,    0
100580,19790412, -237,    0
100580,19790413, -162,    0
100580,19790414, -220,    0
100580,19790415, -235,    0
100580,19790416, -242,    0
100580,19790417, -226,    0
100580,19790418, -120,    0
100580,19790419, -152,    0
100580,19790420, -210,    0
100580,19790421, -201,    0
100580,19790422, -202,    0
100580,19790423, -178,    0
100580,19790424, -188,    0
100580,19790425, -179,    0
100580,19790426, -169,    0
100580,19790427, -153,    0
100580,19790428, -119,    0
100580,19790429, -126,    0
100580,19790430, -114,    0
100580,19790501, -138,    0
100580,19790502, -102,    0
100580,19790503,  -55,    0
100580,19790504, -100,    0
100580,19790505,  -88,    0
100580,19790506,  -98,    0
100580,19790507,  -81,    0
100580,19790508, -116,    0
100580,19790509,  -98,    0
100580,19790510, -109,    0
100580,19790511, -106,    0
100580,19790512,  -98,    0
100580,19790513, -103,    0
100580,19790514,  -93,    0
100580,19790515,  -66,    0
100580,19790516,  -57,    0
100580,19790517,  -79,    0
100580,19790518,  -79,    0
100580,19790519,  -88,    0
100580,19790520,  -80,    0
100580,19790521,  -96,    0
100580,19790522,  -98,    0
100580,19790523,  -72,    0
100580,19790524,  -59,    0
100580,19790525,  -74,    0
100580,19790526,  -60,    0
100580,19790527,  -50,    0
100580,19790528,  -48,    0
100580,19790529,  -50,    0
100580,19790530,  -40,    0
100580,19790531,  -26,    0
100580,19790601,   -4,    0
100580,19790602,    2,    0
100580,19790603,  -44,    0
100580,19790604,  -35,    0
100580,19790605,  -38,    0
100580,19790606,  -46,    0
100580,19790607,  -25,    0
100580,19790608,  -40,    0
100580,19790609,  -23,    0
100580,19790610,  -22,    0
100580,19790611,  -19,    0
100580,19790612,  -32,    0
100580,19790613,  -11,    0
100580,19790614,   -7,    0
100580,19790615,    0,    0
100580,19790616,    6,    0
100580,19790617,   18,    0
100580,19790618,   17,    0
100580,19790619,    0,    0
100580,19790620,    5,    0
100580,19790621,   -8,    0
100580,19790622,   -6,    0
100580,19790623,  -11,    0
100580,19790624,    8,    0
100580,19790625,    9,    0
100580,19790626,   15,    0
100580,19790627,   16,    0
100580,19790628,   20,    0
100580,19790629,   33,    0
100580,19790630,   53,    0
100580,19790701,   54,    0
100580,19790702,   76,    0
100580,19790703,   82,    0
100580,19790704,   64,    0
100580,19790705,   44,    0
100580,19790706,   68,    0
100580,19790707,   63,    0
100580,19790708,   52,    0
100580,19790709,   38,    0
100580,19790710,   80,    0
100580,19790711,  126,    0
100580,19790712,   72,    0
100580,19790713,   67,    0
100580,19790714,   81,    0
100580,19790715,   76,    0
100580,19790716,  126,    0
100580,19790717,  112,    0
100580,19790718,  124,    0
100580,19790719,  107,    0
100580,19790720,  101,    0
100580,19790721,   86,    0
100580,19790722,   74,    0
100580,19790723,   98,    0
100580,19790724,   71,    0
100580,19790725,   94,    0
100580,19790726,   57,    0
100580,19790727,   58,    0
100580,19790728,   45,    0
100580,19790729,   52,    0
100580,19790730,   52,    0
100580,19790731,   30,    0
100580,19790801,   21,    0
100580,19790802,   30,    0
100580,19790803,   33,    0
100580,19790804,   32,    0
100580,19790805,   40,    0
100580,19790806,   42,    0
100580,19790807,   43,    0
100580,19790808,   37,    0
100580,19790809,   51,    0
100580,19790810,   71,    0
100580,19790811,   94,    0
100580,19790812,   71,    0
100580,19790813,   28,    0
100580,19790814,   40,    0
100580,19790815,  113,    0
100580,19790816,  117,    0
100580,19790817,   65,    0
100580,19790818,   74,    0
100580,19790819,   63,    0
100580,19790820,   54,    0
100580,19790821,   56,    0
100580,19790822,   36,    0
100580,19790823,   46,    0
100580,19790824,   31,    0
100580,19790825,   32,    0
100580,19790826,   30,    0
100580,19790827,   34,    0
100580,19790828,   35,    0
100580,19790829,   32,    0
100580,19790830,   15,    0
100580,19790831,   17,    0
100580,19790901,   14,    0
100580,19790902,   15,    0
100580,19790903,   16,    0
100580,19790904,    7,    0
100580,19790905,   17,    0
100580,19790906,    6,    0
100580,19790907,   -8,    0
100580,19790908,  -15,    0
100580,19790909,   18,    0
100580,19790910,   11,    0
100580,19790911,   39,    0
100580,19790912,   25,    0
100580,19790913,   20,    0
100580,19790914,   46,    0
100580,19790915,   41,    0
100580,19790916,   67,    0
100580,19790917,   50,    0
100580,19790918,    4,    0
100580,19790919,   24,    0
100580,19790920,   -2,    0
100580,19790921,   -2,    0
100580,19790922,   10,    0
100580,19790923,  -15,    0
100580,19790924,  -39,    0
100580,19790925,  -54,    0
100580,19790926,    6,    0
100580,19790927,   12,    0
100580,19790928,    7,    0
100580,19790929,   -5,    0
100580,19790930,  -13,    0
100580,19791001,  -12,    0
100580,19791002,   -1,    0
100580,19791003,  -26,    0
100580,19791004,  -15,    0
100580,19791005,  -11,    0
100580,19791006,  -12,    0
100580,19791007,  -43,    0
100580,19791008,  -29,    0
100580,19791009,  -44,    0
100580,19791010,  -76,    0
100580,19791011,  -27,    0
100580,19791012,  -34,    0
100580,19791013,  -75,    0
100580,19791014, -125,    0
100580,19791015,  -99,    0
100580,19791016, -130,    0
100580,19791017, -158,    0
100580,19791018, -129,    0
100580,19791019,  -35,    0
100580,19791020,  -47,    0
100580,19791021,  -92,    0
100580,19791022, -101,    0
100580,19791023,  -69,    0
100580,19791024,  -37,    0
100580,19791025,  -72,    0
100580,19791026,  -18,    0
100580,19791027,   36,    0
100580,19791028,   53,    0
100580,19791029,   66,    0
100580,19791030,   27,    0
100580,19791031,   13,    0
100580,19791101,  -10,    0
100580,19791102,  -23,    0
100580,19791103,   -9,    0
100580,19791104,   -5,    0
100580,19791105,   17,    0
100580,19791106,   11,    0
100580,19791107,  -16,    0
100580,19791108,  -24,    0
100580,19791109,  -28,    0
100580,19791110,  -53,    0
100580,19791111,  -96,    0
100580,19791112, -121,    0
100580,19791113, -131,    0
100580,19791114,  -89,    0
100580,19791115,  -46,    0
100580,19791116,  -63,    0
100580,19791117,  -40,    0
100580,19791118,  -21,    0
100580,19791119,  -77,    0
100580,19791120, -100,    0
100580,19791121, -119,    0
100580,19791122,  -28,    0
100580,19791123, -119,    0
100580,19791124,  -98,    0
100580,19791125, -111,    0
100580,19791126, -161,    0
100580,19791127, -159,    0
100580,19791128, -116,    0
100580,19791129, -106,    0
100580,19791130, -107,    0
100580,19791201,  -87,    0
100580,19791202,  -76,    0
100580,19791203,  -56,    0
100580,19791204, -110,    0
100580,19791205, -195,    0
100580,19791206, -188,    0
100580,19791207, -141,    0
100580,19791208, -163,    0
100580,19791209, -170,    0
100580,19791210, -162,    0
100580,19791211, -130,    0
100580,19791212, -122,    0
100580,19791213, -183,    0
100580,19791214,  -26,    0
100580,19791215,  -15,    0
100580,19791216,  -69,    0
100580,19791217,  -51,    0
100580,19791218,  -38,    0
100580,19791219, -103,    0
100580,19791220,  -12,    0
100580,19791221,  -56,    0
100580,19791222, -140,    0
100580,19791223, -131,    0
100580,19791224, -157,    0
100580,19791225, -221,    0
100580,19791226, -185,    0
100580,19791227, -103,    0
100580,19791228,  -85,    0
100580,19791229, -200,    0
100580,19791230, -239,    0
100580,19791231, -318,    0
100580,19800101, -279,    0
100580,19800102, -287,    0
100580,19800103, -269,    0
100580,19800104, -157,    0
100580,19800105, -251,    0
100580,19800106, -311,    0
100580,19800107, -206,    0
100580,19800108, -219,    0
