EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, HOPEN (STAID: 187).
Blended and updated with sources: 100583 901062 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
100583,19790101, -219,    0
100583,19790102, -234,    0
100583,19790103, -189,    0
100583,19790104, -169,    0
100583,19790105,  -83,    0
100583,19790106,  -37,    0
100583,19790107, -146,    0
100583,19790108,  -88,    0
100583,19790109, -222,    0
100583,19790110, -310,    0
100583,19790111, -268,    0
100583,19790112, -223,    0
100583,19790113, -233,    0
100583,19790114, -198,    0
100583,19790115, -197,    0
100583,19790116,  -89,    0
100583,19790117,  -26,    0
100583,19790118,  -29,    0
100583,19790119, -116,    0
100583,19790120, -157,    0
100583,19790121, -213,    0
100583,19790122, -221,    0
100583,19790123, -197,    0
100583,19790124, -236,    0
100583,19790125, -223,    0
100583,19790126, -110,    0
100583,19790127, -162,    0
100583,19790128, -183,    0
100583,19790129, -197,    0
100583,19790130, -237,    0
100583,19790131, -287,    0
100583,19790201, -251,    0
100583,19790202, -288,    0
100583,19790203, -286,    0
100583,19790204, -277,    0
100583,19790205, -254,    0
100583,19790206, -213,    0
100583,19790207, -250,    0
100583,19790208, -264,    0
100583,19790209, -266,    0
100583,19790210, -121,    0
100583,19790211, -195,    0
100583,19790212, -290,    0
100583,19790213, -229,    0
100583,19790214, -188,    0
100583,19790215, -186,    0
100583,19790216, -140,    0
100583,19790217,  -17,    0
100583,19790218,  -24,    0
100583,19790219,    1,    0
100583,19790220,   12,    0
100583,19790221,    6,    0
100583,19790222,  -64,    0
100583,19790223, -250,    0
100583,19790224, -287,    0
100583,19790225, -259,    0
100583,19790226, -156,    0
100583,19790227, -285,    0
100583,19790228, -310,    0
100583,19790301, -258,    0
100583,19790302, -183,    0
100583,19790303,  -43,    0
100583,19790304,  -37,    0
100583,19790305, -175,    0
100583,19790306, -246,    0
100583,19790307, -123,    0
100583,19790308, -164,    0
100583,19790309, -181,    0
100583,19790310, -231,    0
100583,19790311, -201,    0
100583,19790312, -143,    0
100583,19790313, -241,    0
100583,19790314, -272,    0
100583,19790315, -240,    0
100583,19790316, -221,    0
100583,19790317, -271,    0
100583,19790318, -273,    0
100583,19790319, -232,    0
100583,19790320, -236,    0
100583,19790321, -246,    0
100583,19790322, -204,    0
100583,19790323, -182,    0
100583,19790324, -183,    0
100583,19790325, -209,    0
100583,19790326, -187,    0
100583,19790327, -128,    0
100583,19790328,  -98,    0
100583,19790329,  -57,    0
100583,19790330,  -17,    0
100583,19790331,  -20,    0
100583,19790401,   -8,    0
100583,19790402,  -34,    0
100583,19790403,  -55,    0
100583,19790404, -104,    0
100583,19790405, -127,    0
100583,19790406, -125,    0
100583,19790407, -179,    0
100583,19790408, -197,    0
100583,19790409, -209,    0
100583,19790410, -183,    0
100583,19790411, -205,    0
100583,19790412, -230,    0
100583,19790413, -163,    0
100583,19790414, -219,    0
100583,19790415, -230,    0
100583,19790416, -228,    0
100583,19790417, -213,    0
100583,19790418, -155,    0
100583,19790419,  -71,    0
100583,19790420, -179,    0
