EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, GLOMFJORD (STAID: 188).
Blended and updated with sources: 100586 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
100586,19790101,  -33,    0
100586,19790102,  -41,    0
100586,19790103,  -70,    0
100586,19790104,  -11,    0
100586,19790105,  -53,    0
100586,19790106,   -6,    0
100586,19790107,   17,    0
100586,19790108,    7,    0
100586,19790109,  -25,    0
100586,19790110,    0,    0
100586,19790111,   -5,    0
100586,19790112,    2,    0
100586,19790113,  -21,    0
100586,19790114,  -39,    0
100586,19790115,  -22,    0
100586,19790116,  -11,    0
100586,19790117,    3,    0
100586,19790118,   18,    0
100586,19790119,    8,    0
100586,19790120,   -5,    0
100586,19790121,   -5,    0
100586,19790122,    1,    0
100586,19790123,  -10,    0
100586,19790124,   -8,    0
100586,19790125,  -76,    0
100586,19790126, -113,    0
100586,19790127,  -83,    0
100586,19790128,  -35,    0
100586,19790129,  -60,    0
100586,19790130,  -11,    0
100586,19790131,   -1,    0
100586,19790201,  -17,    0
100586,19790202,  -52,    0
100586,19790203,  -45,    0
100586,19790204,  -73,    0
100586,19790205,  -76,    0
100586,19790206,  -19,    0
100586,19790207,  -18,    0
100586,19790208,  -27,    0
100586,19790209,  -29,    0
100586,19790210,  -27,    0
100586,19790211,  -31,    0
100586,19790212,  -81,    0
100586,19790213, -133,    0
100586,19790214,  -55,    0
100586,19790215,   18,    0
100586,19790216,   34,    0
100586,19790217,   20,    0
100586,19790218,  -33,    0
100586,19790219,   16,    0
100586,19790220,  -19,    0
100586,19790221,   43,    0
100586,19790222,   20,    0
100586,19790223,    4,    0
100586,19790224,    2,    0
100586,19790225,   58,    0
100586,19790226,   25,    0
100586,19790227,  -14,    0
100586,19790228,   22,    0
100586,19790301,   45,    0
100586,19790302,   21,    0
100586,19790303,   44,    0
100586,19790304,   10,    0
100586,19790305,  -11,    0
100586,19790306,   10,    0
100586,19790307,   43,    0
100586,19790308,   12,    0
100586,19790309,   33,    0
100586,19790310,   34,    0
100586,19790311,   21,    0
100586,19790312,   19,    0
100586,19790313,    1,    0
100586,19790314,  -28,    0
100586,19790315,  -45,    0
100586,19790316,  -88,    0
100586,19790317,  -92,    0
100586,19790318,  -53,    0
100586,19790319,  -72,    0
100586,19790320,  -73,    0
100586,19790321,  -34,    0
100586,19790322,    6,    0
100586,19790323,   12,    0
100586,19790324,   -2,    0
100586,19790325,    1,    0
100586,19790326,   42,    0
100586,19790327,   73,    0
100586,19790328,   56,    0
100586,19790329,   52,    0
100586,19790330,   26,    0
100586,19790331,   49,    0
100586,19790401,   57,    0
100586,19790402,   58,    0
100586,19790403,   36,    0
100586,19790404,   34,    0
100586,19790405,   42,    0
100586,19790406,   50,    0
100586,19790407,   15,    0
100586,19790408,   -5,    0
100586,19790409,  -27,    0
100586,19790410,    4,    0
100586,19790411,   24,    0
100586,19790412,   13,    0
100586,19790413,  -15,    0
100586,19790414,  -33,    0
100586,19790415,  -21,    0
100586,19790416,  -27,    0
100586,19790417,    0,    0
100586,19790418,   21,    0
100586,19790419,   43,    0
100586,19790420,   60,    0
100586,19790421,   60,    0
100586,19790422,   66,    0
100586,19790423,   70,    0
100586,19790424,   77,    0
100586,19790425,   90,    0
100586,19790426,   69,    0
100586,19790427,   35,    0
100586,19790428,   47,    0
100586,19790429,   35,    0
100586,19790430,   28,    0
100586,19790501,   32,    0
100586,19790502,   60,    0
100586,19790503,   52,    0
100586,19790504,   65,    0
100586,19790505,   58,    0
100586,19790506,   52,    0
100586,19790507,   54,    0
100586,19790508,   45,    0
100586,19790509,   38,    0
100586,19790510,   31,    0
100586,19790511,   32,    0
100586,19790512,   36,    0
100586,19790513,   23,    0
100586,19790514,   31,    0
100586,19790515,   20,    0
100586,19790516,   47,    0
100586,19790517,   79,    0
100586,19790518,   62,    0
100586,19790519,   45,    0
100586,19790520,   40,    0
100586,19790521,   92,    0
100586,19790522,  118,    0
100586,19790523,   94,    0
100586,19790524,  118,    0
100586,19790525,  117,    0
100586,19790526,   86,    0
100586,19790527,   83,    0
100586,19790528,  108,    0
100586,19790529,   84,    0
100586,19790530,   97,    0
100586,19790531,   72,    0
100586,19790601,  146,    0
100586,19790602,   79,    0
100586,19790603,   96,    0
100586,19790604,   69,    0
100586,19790605,   84,    0
100586,19790606,  137,    0
100586,19790607,  136,    0
100586,19790608,   61,    0
100586,19790609,   61,    0
100586,19790610,   70,    0
100586,19790611,   81,    0
100586,19790612,   83,    0
100586,19790613,   87,    0
100586,19790614,  152,    0
100586,19790615,  116,    0
100586,19790616,   94,    0
100586,19790617,   69,    0
100586,19790618,   61,    0
100586,19790619,   89,    0
100586,19790620,  103,    0
100586,19790621,  146,    0
100586,19790622,  190,    0
100586,19790623,  137,    0
100586,19790624,  172,    0
100586,19790625,  214,    0
100586,19790626,  121,    0
100586,19790627,  125,    0
100586,19790628,  103,    0
100586,19790629,   97,    0
100586,19790630,  115,    0
100586,19790701,   82,    0
100586,19790702,   82,    0
100586,19790703,  110,    0
100586,19790704,   91,    0
100586,19790705,  104,    0
100586,19790706,  112,    0
100586,19790707,  166,    0
100586,19790708,  173,    0
100586,19790709,  225,    0
100586,19790710,  128,    0
100586,19790711,  109,    0
100586,19790712,  119,    0
100586,19790713,  157,    0
100586,19790714,  150,    0
100586,19790715,  161,    0
100586,19790716,  131,    0
100586,19790717,  119,    0
100586,19790718,  154,    0
100586,19790719,  190,    0
100586,19790720,  162,    0
100586,19790721,  172,    0
100586,19790722,  127,    0
100586,19790723,  118,    0
100586,19790724,  132,    0
100586,19790725,  146,    0
100586,19790726,  130,    0
100586,19790727,  106,    0
100586,19790728,  115,    0
100586,19790729,  127,    0
100586,19790730,  169,    0
100586,19790731,  151,    0
100586,19790801,  143,    0
100586,19790802,  118,    0
100586,19790803,   85,    0
100586,19790804,   86,    0
100586,19790805,   96,    0
100586,19790806,  112,    0
100586,19790807,  156,    0
100586,19790808,  185,    0
100586,19790809,  196,    0
100586,19790810,  146,    0
100586,19790811,  113,    0
100586,19790812,  138,    0
100586,19790813,  177,    0
100586,19790814,  185,    0
100586,19790815,  187,    0
100586,19790816,  128,    0
100586,19790817,  139,    0
100586,19790818,  147,    0
100586,19790819,  193,    0
100586,19790820,  183,    0
100586,19790821,  170,    0
100586,19790822,  155,    0
100586,19790823,  105,    0
100586,19790824,   94,    0
100586,19790825,   90,    0
100586,19790826,  105,    0
100586,19790827,   91,    0
100586,19790828,   89,    0
100586,19790829,  108,    0
100586,19790830,   88,    0
100586,19790831,   73,    0
100586,19790901,   87,    0
100586,19790902,   80,    0
100586,19790903,  118,    0
100586,19790904,  119,    0
100586,19790905,  101,    0
100586,19790906,   95,    0
100586,19790907,  156,    0
100586,19790908,  119,    0
100586,19790909,   84,    0
100586,19790910,  100,    0
100586,19790911,   69,    0
100586,19790912,   64,    0
100586,19790913,   66,    0
100586,19790914,   60,    0
100586,19790915,   52,    0
100586,19790916,   38,    0
100586,19790917,   72,    0
100586,19790918,   92,    0
100586,19790919,   74,    0
100586,19790920,   67,    0
100586,19790921,   79,    0
100586,19790922,   59,    0
100586,19790923,   52,    0
100586,19790924,   58,    0
100586,19790925,   96,    0
100586,19790926,   73,    0
100586,19790927,   76,    0
100586,19790928,   50,    0
100586,19790929,   51,    0
100586,19790930,   37,    0
100586,19791001,   27,    0
100586,19791002,   38,    0
100586,19791003,   77,    0
100586,19791004,   33,    0
100586,19791005,   26,    0
100586,19791006,   36,    0
100586,19791007,   64,    0
100586,19791008,   69,    0
100586,19791009,   53,    0
100586,19791010,   50,    0
100586,19791011,   52,    0
100586,19791012,   30,    0
100586,19791013,   42,    0
100586,19791014,   27,    0
100586,19791015,   31,    0
100586,19791016,   25,    0
100586,19791017,   24,    0
100586,19791018,   45,    0
100586,19791019,   69,    0
100586,19791020,   64,    0
100586,19791021,   10,    0
100586,19791022,   51,    0
100586,19791023,   61,    0
100586,19791024,   27,    0
100586,19791025,   65,    0
100586,19791026,   73,    0
100586,19791027,   63,    0
100586,19791028,   65,    0
100586,19791029,   42,    0
100586,19791030,    6,    0
100586,19791031,   20,    0
100586,19791101,   25,    0
100586,19791102,   27,    0
100586,19791103,   42,    0
100586,19791104,   70,    0
100586,19791105,   69,    0
100586,19791106,   63,    0
100586,19791107,   45,    0
100586,19791108,   43,    0
100586,19791109,   13,    0
100586,19791110,   13,    0
100586,19791111,  -13,    0
100586,19791112,    3,    0
100586,19791113,   35,    0
100586,19791114,   10,    0
100586,19791115,  -25,    0
100586,19791116,   -8,    0
100586,19791117,    9,    0
100586,19791118,   50,    0
100586,19791119,   39,    0
100586,19791120,   27,    0
100586,19791121,   62,    0
100586,19791122,   46,    0
100586,19791123,   13,    0
100586,19791124,   10,    0
100586,19791125,    9,    0
100586,19791126,    8,    0
100586,19791127,    5,    0
100586,19791128,  -14,    0
100586,19791129,   25,    0
100586,19791130,    8,    0
100586,19791201,  -15,    0
100586,19791202,   51,    0
100586,19791203,   39,    0
100586,19791204,   43,    0
100586,19791205,   49,    0
100586,19791206,   16,    0
100586,19791207,  -41,    0
100586,19791208,  -12,    0
100586,19791209,  -21,    0
100586,19791210,  -40,    0
100586,19791211,  -21,    0
100586,19791212,   -8,    0
100586,19791213,  -23,    0
100586,19791214,   19,    0
100586,19791215,  -20,    0
100586,19791216,  -65,    0
100586,19791217,  -91,    0
100586,19791218, -103,    0
100586,19791219,  -35,    0
100586,19791220,   18,    0
100586,19791221,   63,    0
100586,19791222,   52,    0
100586,19791223,    7,    0
100586,19791224,   17,    0
100586,19791225,   27,    0
100586,19791226,   13,    0
100586,19791227,   29,    0
100586,19791228,   31,    0
100586,19791229,   21,    0
100586,19791230,   -9,    0
100586,19791231,    2,    0
100586,19800101,  -50,    0
100586,19800102,  -77,    0
100586,19800103,  -55,    0
100586,19800104,  -14,    0
100586,19800105,  -19,    0
100586,19800106,  -31,    0
100586,19800107,  -44,    0
100586,19800108,  -17,    0
100586,19800109,  -67,    0
100586,19800110,  -31,    0
100586,19800111,  -34,    0
100586,19800112,   23,    0
100586,19800113,   49,    0
100586,19800114,   11,    0
100586,19800115,  -23,    0
100586,19800116,    5,    0
100586,19800117,   20,    0
