EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, JAN MAYEN (STAID: 189).
Blended and updated with sources: 100589 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
100589,19790101, -172,    0
100589,19790102, -128,    0
100589,19790103, -109,    0
100589,19790104,  -71,    0
100589,19790105,  -48,    0
100589,19790106,  -17,    0
100589,19790107,  -30,    0
100589,19790108, -118,    0
100589,19790109, -149,    0
100589,19790110, -194,    0
100589,19790111, -254,    0
100589,19790112, -236,    0
100589,19790113, -198,    0
100589,19790114, -117,    0
100589,19790115,  -21,    0
100589,19790116,   -3,    0
100589,19790117,  -26,    0
100589,19790118,   47,    0
100589,19790119,  -41,    0
100589,19790120,  -32,    0
100589,19790121,  -29,    0
100589,19790122, -124,    0
100589,19790123,  -90,    0
100589,19790124,  -55,    0
100589,19790125, -142,    0
100589,19790126, -169,    0
100589,19790127, -114,    0
100589,19790128, -104,    0
100589,19790129, -138,    0
100589,19790130, -100,    0
100589,19790131,  -67,    0
100589,19790201,  -58,    0
100589,19790202,  -14,    0
100589,19790203,  -28,    0
100589,19790204,  -62,    0
100589,19790205,  -79,    0
100589,19790206, -106,    0
100589,19790207, -102,    0
100589,19790208, -165,    0
100589,19790209, -170,    0
100589,19790210, -164,    0
100589,19790211, -155,    0
100589,19790212, -201,    0
100589,19790213,  -63,    0
100589,19790214,  -45,    0
100589,19790215,  -12,    0
100589,19790216,   -1,    0
100589,19790217,    5,    0
100589,19790218,    2,    0
100589,19790219,    3,    0
100589,19790220,    0,    0
100589,19790221,  -23,    0
100589,19790222,  -65,    0
100589,19790223, -152,    0
100589,19790224,  -41,    0
100589,19790225,  -22,    0
100589,19790226, -128,    0
100589,19790227,  -39,    0
100589,19790228,  -12,    0
100589,19790301,  -49,    0
100589,19790302,  -98,    0
100589,19790303,  -95,    0
100589,19790304, -135,    0
100589,19790305,  -92,    0
100589,19790306,  -67,    0
100589,19790307, -101,    0
100589,19790308,  -35,    0
100589,19790309,  -16,    0
100589,19790310,  -28,    0
100589,19790311,  -25,    0
100589,19790312,  -38,    0
100589,19790313,  -39,    0
100589,19790314,  -64,    0
100589,19790315,  -54,    0
100589,19790316,  -27,    0
100589,19790317,  -62,    0
100589,19790318,  -54,    0
100589,19790319,  -62,    0
100589,19790320,  -73,    0
100589,19790321,  -74,    0
100589,19790322,  -56,    0
100589,19790323,  -23,    0
100589,19790324,   -9,    0
100589,19790325,   -2,    0
100589,19790326,  -15,    0
100589,19790327,  -34,    0
100589,19790328,  -44,    0
100589,19790329,  -65,    0
100589,19790330,  -20,    0
100589,19790331,    0,    0
100589,19790401,   13,    0
100589,19790402,   10,    0
100589,19790403,  -23,    0
100589,19790404,  -21,    0
100589,19790405,  -18,    0
100589,19790406,  -51,    0
100589,19790407,  -75,    0
100589,19790408,  -43,    0
100589,19790409,  -30,    0
100589,19790410,  -49,    0
100589,19790411,  -89,    0
100589,19790412,  -70,    0
100589,19790413,  -66,    0
100589,19790414,  -41,    0
100589,19790415,  -35,    0
100589,19790416,  -43,    0
100589,19790417,  -43,    0
100589,19790418,  -30,    0
100589,19790419,  -18,    0
100589,19790420,   19,    0
100589,19790421,  -20,    0
100589,19790422,  -27,    0
100589,19790423,  -20,    0
100589,19790424,  -14,    0
100589,19790425,  -27,    0
100589,19790426,  -34,    0
100589,19790427,  -27,    0
100589,19790428,  -46,    0
100589,19790429,  -53,    0
100589,19790430,  -62,    0
100589,19790501,  -33,    0
100589,19790502,  -49,    0
100589,19790503,  -27,    0
100589,19790504,  -22,    0
100589,19790505,  -35,    0
100589,19790506,  -28,    0
100589,19790507,  -30,    0
100589,19790508,  -37,    0
100589,19790509,  -43,    0
100589,19790510,  -26,    0
100589,19790511,  -67,    0
100589,19790512,  -64,    0
100589,19790513,  -48,    0
100589,19790514,  -43,    0
100589,19790515,  -43,    0
100589,19790516,  -51,    0
100589,19790517,  -51,    0
100589,19790518,  -35,    0
100589,19790519,  -43,    0
100589,19790520,  -38,    0
100589,19790521,  -30,    0
100589,19790522,    3,    0
100589,19790523,   16,    0
100589,19790524,   15,    0
100589,19790525,   13,    0
100589,19790526,  -16,    0
100589,19790527,  -20,    0
100589,19790528,  -10,    0
100589,19790529,   -1,    0
100589,19790530,    6,    0
100589,19790531,    0,    0
100589,19790601,    3,    0
100589,19790602,   42,    0
100589,19790603,   30,    0
100589,19790604,   29,    0
100589,19790605,   29,    0
100589,19790606,   35,    0
100589,19790607,   11,    0
100589,19790608,    4,    0
100589,19790609,    2,    0
100589,19790610,   16,    0
100589,19790611,   12,    0
100589,19790612,    6,    0
100589,19790613,   -4,    0
100589,19790614,    3,    0
100589,19790615,    7,    0
100589,19790616,   14,    0
100589,19790617,    8,    0
100589,19790618,    8,    0
100589,19790619,   31,    0
100589,19790620,   30,    0
100589,19790621,   38,    0
100589,19790622,   42,    0
100589,19790623,   40,    0
100589,19790624,   34,    0
100589,19790625,   30,    0
100589,19790626,    2,    0
100589,19790627,    6,    0
100589,19790628,   14,    0
100589,19790629,   15,    0
100589,19790630,    6,    0
100589,19790701,    7,    0
100589,19790702,   18,    0
100589,19790703,   36,    0
100589,19790704,   37,    0
100589,19790705,   39,    0
100589,19790706,   31,    0
100589,19790707,   38,    0
100589,19790708,   39,    0
100589,19790709,   48,    0
100589,19790710,   47,    0
100589,19790711,   44,    0
100589,19790712,   48,    0
100589,19790713,   48,    0
100589,19790714,   40,    0
100589,19790715,   38,    0
100589,19790716,   39,    0
100589,19790717,   40,    0
100589,19790718,   35,    0
100589,19790719,   42,    0
100589,19790720,   36,    0
100589,19790721,   25,    0
100589,19790722,   31,    0
100589,19790723,   34,    0
100589,19790724,   51,    0
100589,19790725,   35,    0
100589,19790726,   46,    0
100589,19790727,   45,    0
100589,19790728,   49,    0
100589,19790729,   61,    0
100589,19790730,   48,    0
100589,19790731,   33,    0
100589,19790801,   51,    0
100589,19790802,   59,    0
100589,19790803,   54,    0
100589,19790804,   50,    0
100589,19790805,   35,    0
100589,19790806,   53,    0
100589,19790807,   65,    0
100589,19790808,   68,    0
100589,19790809,   74,    0
100589,19790810,   56,    0
100589,19790811,   56,    0
100589,19790812,   54,    0
100589,19790813,   56,    0
100589,19790814,   66,    0
100589,19790815,   73,    0
100589,19790816,   45,    0
100589,19790817,   54,    0
100589,19790818,   48,    0
100589,19790819,   55,    0
100589,19790820,   63,    0
100589,19790821,   60,    0
100589,19790822,   75,    0
100589,19790823,   60,    0
100589,19790824,   49,    0
100589,19790825,   31,    0
100589,19790826,   43,    0
100589,19790827,   37,    0
100589,19790828,   47,    0
100589,19790829,   44,    0
100589,19790830,   46,    0
100589,19790831,   34,    0
100589,19790901,   44,    0
100589,19790902,   54,    0
100589,19790903,   59,    0
100589,19790904,   25,    0
100589,19790905,   27,    0
100589,19790906,   35,    0
100589,19790907,   71,    0
100589,19790908,   47,    0
100589,19790909,   14,    0
100589,19790910,    7,    0
100589,19790911,   15,    0
100589,19790912,    4,    0
100589,19790913,    8,    0
100589,19790914,    6,    0
100589,19790915,    3,    0
100589,19790916,   -3,    0
100589,19790917,    1,    0
100589,19790918,    5,    0
100589,19790919,    9,    0
100589,19790920,    6,    0
100589,19790921,    7,    0
100589,19790922,   22,    0
100589,19790923,   42,    0
100589,19790924,   36,    0
100589,19790925,   51,    0
100589,19790926,   29,    0
