EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, FAERDER FYR (STAID: 192).
Blended and updated with sources: 100598 901482 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
100598,19790101, -130,    0
100598,19790102,  -64,    0
100598,19790103,  -47,    0
100598,19790104,  -71,    0
100598,19790105,  -81,    0
100598,19790106,  -24,    0
100598,19790107,   31,    0
100598,19790108,   14,    0
100598,19790109,    5,    0
100598,19790110,   -4,    0
100598,19790111,   -9,    0
100598,19790112,  -17,    0
100598,19790113,  -36,    0
100598,19790114,  -29,    0
100598,19790115,  -62,    0
100598,19790116,  -30,    0
100598,19790117,  -39,    0
100598,19790118,  -28,    0
100598,19790119,  -22,    0
100598,19790120,  -43,    0
100598,19790121,  -52,    0
100598,19790122,  -46,    0
100598,19790123,  -53,    0
100598,19790124,  -61,    0
100598,19790125, -106,    0
100598,19790126, -148,    0
100598,19790127, -110,    0
100598,19790128,  -77,    0
100598,19790129,  -81,    0
100598,19790130,  -79,    0
100598,19790131,  -76,    0
100598,19790201,  -62,    0
100598,19790202,  -69,    0
100598,19790203,  -54,    0
100598,19790204,  -26,    0
100598,19790205,  -72,    0
100598,19790206,  -69,    0
100598,19790207,  -25,    0
100598,19790208,  -24,    0
100598,19790209,  -21,    0
100598,19790210,  -17,    0
100598,19790211,  -52,    0
100598,19790212,  -70,    0
100598,19790213,  -64,    0
100598,19790214, -119,    0
100598,19790215, -101,    0
100598,19790216,  -82,    0
100598,19790217,  -65,    0
100598,19790218,  -43,    0
100598,19790219,  -20,    0
100598,19790220,  -19,    0
100598,19790221,  -27,    0
100598,19790222,  -48,    0
100598,19790223,  -30,    0
100598,19790224,   -9,    0
100598,19790225,  -11,    0
100598,19790226,   12,    0
100598,19790227,   15,    0
100598,19790228,    6,    0
100598,19790301,   -5,    0
100598,19790302,   10,    0
100598,19790303,   24,    0
100598,19790304,   18,    0
100598,19790305,   20,    0
100598,19790306,   19,    0
100598,19790307,   13,    0
100598,19790308,   16,    0
100598,19790309,   21,    0
100598,19790310,   13,    0
100598,19790311,    0,    0
100598,19790312,    1,    0
100598,19790313,   -5,    0
100598,19790314,  -14,    0
100598,19790315,  -25,    0
100598,19790316,  -43,    0
100598,19790317,  -86,    0
100598,19790318,  -96,    0
100598,19790319,  -34,    0
100598,19790320,    0,    0
100598,19790321,   -9,    0
100598,19790322,   10,    0
100598,19790323,    6,    0
100598,19790324,   11,    0
100598,19790325,    6,    0
100598,19790326,   24,    0
100598,19790327,   21,    0
100598,19790328,   26,    0
100598,19790329,   23,    0
100598,19790330,   21,    0
100598,19790331,   19,    0
100598,19790401,   27,    0
100598,19790402,   19,    0
100598,19790403,   19,    0
100598,19790404,   22,    0
100598,19790405,   31,    0
100598,19790406,   27,    0
100598,19790407,   30,    0
100598,19790408,   35,    0
100598,19790409,   23,    0
100598,19790410,   36,    0
100598,19790411,   47,    0
100598,19790412,   58,    0
100598,19790413,   41,    0
100598,19790414,   59,    0
100598,19790415,   28,    0
100598,19790416,   21,    0
100598,19790417,   27,    0
100598,19790418,   36,    0
100598,19790419,   45,    0
100598,19790420,   45,    0
100598,19790421,   39,    0
100598,19790422,   46,    0
100598,19790423,   44,    0
100598,19790424,   41,    0
100598,19790425,   41,    0
100598,19790426,   50,    0
100598,19790427,   44,    0
100598,19790428,   45,    0
100598,19790429,   53,    0
100598,19790430,   35,    0
100598,19790501,   58,    0
100598,19790502,   43,    0
100598,19790503,   52,    0
100598,19790504,   46,    0
100598,19790505,   48,    0
100598,19790506,   55,    0
100598,19790507,   54,    0
100598,19790508,   48,    0
100598,19790509,   54,    0
100598,19790510,   75,    0
100598,19790511,   71,    0
