EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, OKSOEY FYR (STAID: 264).
Blended and updated with sources: 105484 134948 901448 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
105484,19790101, -124,    0
105484,19790102,  -97,    0
105484,19790103,  -83,    0
105484,19790104,  -81,    0
105484,19790105,  -77,    0
105484,19790106,   -4,    0
105484,19790107,   34,    0
105484,19790108,   36,    0
105484,19790109,    1,    0
105484,19790110,   -9,    0
105484,19790111,   -2,    0
105484,19790112,  -14,    0
105484,19790113,  -31,    0
105484,19790114,  -53,    0
105484,19790115,  -87,    0
105484,19790116,  -25,    0
105484,19790117,  -22,    0
105484,19790118,  -26,    0
105484,19790119,  -15,    0
105484,19790120,  -30,    0
105484,19790121,  -42,    0
105484,19790122,  -48,    0
105484,19790123,  -52,    0
105484,19790124,  -54,    0
105484,19790125,  -76,    0
105484,19790126, -115,    0
105484,19790127, -108,    0
105484,19790128,  -35,    0
105484,19790129,  -20,    0
105484,19790130,  -64,    0
105484,19790131,  -61,    0
105484,19790201,  -26,    0
105484,19790202,  -27,    0
105484,19790203,    2,    0
105484,19790204,   -3,    0
105484,19790205,   -7,    0
105484,19790206,  -22,    0
105484,19790207,  -12,    0
105484,19790208,  -14,    0
105484,19790209,   -3,    0
105484,19790210,  -26,    0
105484,19790211,  -53,    0
105484,19790212,  -83,    0
105484,19790213,  -52,    0
105484,19790214, -119,    0
105484,19790215,  -91,    0
105484,19790216,  -69,    0
105484,19790217,  -52,    0
105484,19790218,  -37,    0
105484,19790219,  -21,    0
105484,19790220,  -14,    0
105484,19790221,  -15,    0
105484,19790222,  -22,    0
105484,19790223,  -41,    0
105484,19790224,   -6,    0
105484,19790225,    6,    0
105484,19790226,   39,    0
105484,19790227,   30,    0
105484,19790228,   23,    0
105484,19790301,    2,    0
105484,19790302,   39,    0
105484,19790303,   55,    0
105484,19790304,   48,    0
105484,19790305,   52,    0
105484,19790306,   45,    0
105484,19790307,   31,    0
105484,19790308,   34,    0
105484,19790309,   34,    0
105484,19790310,   16,    0
105484,19790311,    1,    0
105484,19790312,    8,    0
105484,19790313,    4,    0
105484,19790314,  -16,    0
105484,19790315,  -18,    0
105484,19790316,  -25,    0
105484,19790317,  -69,    0
105484,19790318,  -77,    0
105484,19790319,  -26,    0
105484,19790320,    6,    0
105484,19790321,    1,    0
105484,19790322,   20,    0
105484,19790323,   27,    0
105484,19790324,   40,    0
105484,19790325,   13,    0
105484,19790326,   33,    0
105484,19790327,   23,    0
105484,19790328,   31,    0
105484,19790329,   30,    0
105484,19790330,   39,    0
105484,19790331,   26,    0
105484,19790401,   34,    0
105484,19790402,   17,    0
105484,19790403,   16,    0
105484,19790404,   26,    0
105484,19790405,   26,    0
105484,19790406,   20,    0
105484,19790407,   34,    0
105484,19790408,   33,    0
105484,19790409,   20,    0
105484,19790410,   33,    0
105484,19790411,   47,    0
105484,19790412,   56,    0
105484,19790413,   36,    0
105484,19790414,   60,    0
105484,19790415,   33,    0
105484,19790416,   17,    0
105484,19790417,   24,    0
105484,19790418,   24,    0
105484,19790419,   31,    0
105484,19790420,   41,    0
105484,19790421,   37,    0
105484,19790422,   32,    0
105484,19790423,   42,    0
105484,19790424,   43,    0
105484,19790425,   42,    0
105484,19790426,   29,    0
105484,19790427,   49,    0
105484,19790428,   47,    0
105484,19790429,   51,    0
105484,19790430,   43,    0
105484,19790501,   40,    0
105484,19790502,   35,    0
105484,19790503,   46,    0
105484,19790504,   35,    0
105484,19790505,   39,    0
105484,19790506,   45,    0
105484,19790507,   43,    0
105484,19790508,   50,    0
105484,19790509,   39,    0
105484,19790510,   72,    0
105484,19790511,   57,    0
105484,19790512,   63,    0
105484,19790513,   67,    0
105484,19790514,   69,    0
105484,19790515,   70,    0
105484,19790516,   69,    0
105484,19790517,   74,    0
105484,19790518,   77,    0
105484,19790519,   69,    0
105484,19790520,   61,    0
105484,19790521,   81,    0
105484,19790522,   83,    0
105484,19790523,   79,    0
105484,19790524,   94,    0
105484,19790525,   83,    0
105484,19790526,   83,    0
105484,19790527,   94,    0
105484,19790528,   92,    0
105484,19790529,  100,    0
105484,19790530,  100,    0
105484,19790531,  142,    0
105484,19790601,  150,    0
105484,19790602,  167,    0
105484,19790603,  154,    0
105484,19790604,  150,    0
105484,19790605,  156,    0
105484,19790606,  169,    0
105484,19790607,  132,    0
105484,19790608,  115,    0
105484,19790609,  100,    0
105484,19790610,  107,    0
105484,19790611,  122,    0
105484,19790612,  110,    0
105484,19790613,  110,    0
105484,19790614,  110,    0
105484,19790615,  117,    0
105484,19790616,  124,    0
105484,19790617,  133,    0
105484,19790618,  130,    0
105484,19790619,  141,    0
105484,19790620,  143,    0
105484,19790621,  135,    0
105484,19790622,  148,    0
105484,19790623,  136,    0
105484,19790624,  148,    0
105484,19790625,  134,    0
105484,19790626,  121,    0
105484,19790627,  108,    0
105484,19790628,  103,    0
105484,19790629,   99,    0
105484,19790630,  107,    0
105484,19790701,  132,    0
105484,19790702,  114,    0
105484,19790703,  151,    0
105484,19790704,  148,    0
105484,19790705,  159,    0
105484,19790706,  154,    0
105484,19790707,  133,    0
105484,19790708,  158,    0
105484,19790709,  148,    0
105484,19790710,  167,    0
105484,19790711,  165,    0
105484,19790712,  150,    0
105484,19790713,  150,    0
105484,19790714,  145,    0
105484,19790715,  139,    0
105484,19790716,  135,    0
105484,19790717,  136,    0
105484,19790718,  137,    0
105484,19790719,  142,    0
105484,19790720,  135,    0
105484,19790721,  119,    0
105484,19790722,  154,    0
105484,19790723,  147,    0
105484,19790724,  131,    0
105484,19790725,  131,    0
105484,19790726,  142,    0
105484,19790727,  140,    0
105484,19790728,  136,    0
105484,19790729,  142,    0
105484,19790730,  154,    0
105484,19790731,  144,    0
105484,19790801,  143,    0
105484,19790802,  142,    0
105484,19790803,  145,    0
105484,19790804,  140,    0
105484,19790805,  136,    0
105484,19790806,  144,    0
105484,19790807,  153,    0
105484,19790808,  152,    0
105484,19790809,  142,    0
105484,19790810,  146,    0
105484,19790811,  143,    0
