EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, ONA II (STAID: 329).
Blended and updated with sources: 109739 901212 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
109739,19790101,  -73,    0
109739,19790102,  -27,    0
109739,19790103,    1,    0
109739,19790104,   12,    0
109739,19790105,   10,    0
109739,19790106,   31,    0
109739,19790107,   40,    0
109739,19790108,   28,    0
109739,19790109,   23,    0
109739,19790110,   24,    0
109739,19790111,    6,    0
109739,19790112,   12,    0
109739,19790113,    7,    0
109739,19790114,   19,    0
109739,19790115,    0,    0
109739,19790116,   26,    0
109739,19790117,   32,    0
109739,19790118,   14,    0
109739,19790119,   15,    0
109739,19790120,   -8,    0
109739,19790121,   28,    0
109739,19790122,   28,    0
109739,19790123,    5,    0
109739,19790124,    6,    0
109739,19790125,  -24,    0
109739,19790126,  -45,    0
109739,19790127,  -22,    0
109739,19790128,    3,    0
109739,19790129,   14,    0
109739,19790130,    3,    0
109739,19790131,   13,    0
109739,19790201,   14,    0
109739,19790202,    4,    0
109739,19790203,  -14,    0
109739,19790204,    4,    0
109739,19790205,   15,    0
109739,19790206,   19,    0
109739,19790207,    3,    0
109739,19790208,    9,    0
109739,19790209,   16,    0
109739,19790210,    7,    0
109739,19790211,   10,    0
109739,19790212,   11,    0
109739,19790213,  -20,    0
109739,19790214,  -62,    0
109739,19790215,   -3,    0
109739,19790216,   11,    0
109739,19790217,   -2,    0
109739,19790218,   22,    0
109739,19790219,   26,    0
109739,19790220,   18,    0
109739,19790221,   22,    0
109739,19790222,   21,    0
109739,19790223,   23,    0
109739,19790224,   31,    0
109739,19790225,   49,    0
109739,19790226,   44,    0
109739,19790227,   17,    0
109739,19790228,   37,    0
109739,19790301,   38,    0
109739,19790302,   57,    0
109739,19790303,   43,    0
109739,19790304,   27,    0
109739,19790305,   23,    0
109739,19790306,   49,    0
109739,19790307,   31,    0
109739,19790308,   34,    0
109739,19790309,   55,    0
109739,19790310,   20,    0
109739,19790311,   18,    0
109739,19790312,   35,    0
109739,19790313,   25,    0
109739,19790314,   10,    0
109739,19790315,    3,    0
109739,19790316,  -10,    0
109739,19790317,  -43,    0
109739,19790318,  -22,    0
109739,19790319,    5,    0
109739,19790320,    0,    0
109739,19790321,   27,    0
109739,19790322,   28,    0
109739,19790323,   29,    0
109739,19790324,   28,    0
109739,19790325,   27,    0
109739,19790326,   32,    0
109739,19790327,   49,    0
109739,19790328,   44,    0
109739,19790329,   40,    0
109739,19790330,   28,    0
109739,19790331,   43,    0
109739,19790401,   42,    0
109739,19790402,   52,    0
109739,19790403,   47,    0
109739,19790404,   44,    0
109739,19790405,   43,    0
109739,19790406,   45,    0
109739,19790407,   35,    0
109739,19790408,   28,    0
109739,19790409,   35,    0
109739,19790410,   30,    0
109739,19790411,   49,    0
109739,19790412,   50,    0
109739,19790413,   29,    0
109739,19790414,   27,    0
109739,19790415,   19,    0
109739,19790416,   21,    0
109739,19790417,   24,    0
109739,19790418,   39,    0
109739,19790419,   55,    0
109739,19790420,   60,    0
109739,19790421,   62,    0
109739,19790422,   53,    0
109739,19790423,   70,    0
109739,19790424,   82,    0
109739,19790425,   67,    0
109739,19790426,   54,    0
109739,19790427,   56,    0
109739,19790428,   45,    0
109739,19790429,   26,    0
109739,19790430,   27,    0
109739,19790501,   39,    0
109739,19790502,   50,    0
109739,19790503,   40,    0
109739,19790504,   34,    0
109739,19790505,   43,    0
109739,19790506,   32,    0
109739,19790507,   30,    0
109739,19790508,   43,    0
109739,19790509,   51,    0
109739,19790510,   39,    0
109739,19790511,   57,    0
109739,19790512,   49,    0
109739,19790513,   63,    0
109739,19790514,   77,    0
109739,19790515,   73,    0
109739,19790516,   72,    0
109739,19790517,   61,    0
109739,19790518,   62,    0
109739,19790519,   53,    0
109739,19790520,   68,    0
109739,19790521,  100,    0
109739,19790522,   89,    0
109739,19790523,   70,    0
109739,19790524,   85,    0
109739,19790525,   68,    0
109739,19790526,   68,    0
109739,19790527,   84,    0
109739,19790528,   84,    0
109739,19790529,   98,    0
109739,19790530,   98,    0
109739,19790531,   81,    0
109739,19790601,  103,    0
109739,19790602,   78,    0
109739,19790603,   89,    0
109739,19790604,  104,    0
109739,19790605,  117,    0
109739,19790606,  137,    0
109739,19790607,  109,    0
109739,19790608,   85,    0
109739,19790609,   77,    0
109739,19790610,   87,    0
109739,19790611,   91,    0
109739,19790612,   92,    0
109739,19790613,   96,    0
109739,19790614,   93,    0
109739,19790615,   97,    0
109739,19790616,   94,    0
109739,19790617,   88,    0
109739,19790618,   88,    0
109739,19790619,  102,    0
109739,19790620,  116,    0
109739,19790621,  102,    0
109739,19790622,  117,    0
109739,19790623,  125,    0
109739,19790624,  121,    0
109739,19790625,  115,    0
109739,19790626,  119,    0
109739,19790627,  101,    0
109739,19790628,  100,    0
109739,19790629,   93,    0
109739,19790630,   94,    0
109739,19790701,   83,    0
109739,19790702,   93,    0
109739,19790703,   87,    0
109739,19790704,  105,    0
109739,19790705,  110,    0
109739,19790706,  106,    0
109739,19790707,  115,    0
109739,19790708,  106,    0
109739,19790709,  113,    0
109739,19790710,  115,    0
109739,19790711,  119,    0
109739,19790712,  127,    0
109739,19790713,  142,    0
109739,19790714,  114,    0
109739,19790715,   98,    0
109739,19790716,  100,    0
109739,19790717,  110,    0
