EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, TORUNGEN FYR (STAID: 331).
Blended and updated with sources: 109664 901465 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
109664,19790101, -120,    0
109664,19790102,  -73,    0
109664,19790103,  -62,    0
109664,19790104,  -86,    0
109664,19790105,  -91,    0
109664,19790106,  -27,    0
109664,19790107,   31,    0
109664,19790108,   35,    0
109664,19790109,    0,    0
109664,19790110,  -10,    0
109664,19790111,   -6,    0
109664,19790112,  -14,    0
109664,19790113,  -39,    0
109664,19790114,  -60,    0
109664,19790115,  -82,    0
109664,19790116,  -38,    0
109664,19790117,  -28,    0
109664,19790118,  -30,    0
109664,19790119,  -17,    0
109664,19790120,  -30,    0
109664,19790121,  -48,    0
109664,19790122,  -54,    0
109664,19790123,  -61,    0
109664,19790124,  -56,    0
109664,19790125,  -83,    0
109664,19790126, -124,    0
109664,19790127, -116,    0
109664,19790128,  -55,    0
109664,19790129,  -39,    0
109664,19790130,  -73,    0
109664,19790131,  -65,    0
109664,19790201,  -57,    0
109664,19790202,  -60,    0
109664,19790203,  -16,    0
109664,19790204,  -19,    0
109664,19790205,  -16,    0
109664,19790206,  -18,    0
109664,19790207,  -21,    0
109664,19790208,  -13,    0
109664,19790209,   -9,    0
109664,19790210,  -21,    0
109664,19790211,  -52,    0
109664,19790212,  -92,    0
109664,19790213,  -56,    0
109664,19790214, -125,    0
109664,19790215,  -95,    0
109664,19790216,  -84,    0
109664,19790217,  -56,    0
109664,19790218,  -34,    0
109664,19790219,  -25,    0
109664,19790220,  -18,    0
109664,19790221,  -19,    0
109664,19790222,  -30,    0
109664,19790223,  -34,    0
109664,19790224,    0,    0
109664,19790225,    2,    0
109664,19790226,   28,    0
109664,19790227,   29,    0
109664,19790228,   30,    0
109664,19790301,    4,    0
109664,19790302,   31,    0
109664,19790303,   56,    0
109664,19790304,   37,    0
109664,19790305,   46,    0
109664,19790306,   40,    0
109664,19790307,   22,    0
109664,19790308,   29,    0
109664,19790309,   20,    0
109664,19790310,   18,    0
109664,19790311,   -4,    0
109664,19790312,    2,    0
109664,19790313,    2,    0
109664,19790314,  -15,    0
109664,19790315,  -20,    0
109664,19790316,  -28,    0
109664,19790317,  -72,    0
109664,19790318,  -87,    0
109664,19790319,  -37,    0
109664,19790320,    4,    0
109664,19790321,    0,    0
109664,19790322,   14,    0
109664,19790323,   17,    0
109664,19790324,   35,    0
109664,19790325,    9,    0
109664,19790326,   30,    0
109664,19790327,   23,    0
109664,19790328,   24,    0
109664,19790329,   29,    0
109664,19790330,   29,    0
109664,19790331,   26,    0
109664,19790401,   39,    0
109664,19790402,   14,    0
109664,19790403,   16,    0
109664,19790404,   23,    0
109664,19790405,   23,    0
109664,19790406,   22,    0
109664,19790407,   30,    0
109664,19790408,   22,    0
109664,19790409,   20,    0
109664,19790410,   29,    0
109664,19790411,   40,    0
109664,19790412,   42,    0
109664,19790413,   34,    0
109664,19790414,   74,    0
109664,19790415,   28,    0
109664,19790416,   18,    0
109664,19790417,   25,    0
109664,19790418,   26,    0
109664,19790419,   27,    0
109664,19790420,   40,    0
109664,19790421,   38,    0
109664,19790422,   39,    0
109664,19790423,   42,    0
109664,19790424,   40,    0
109664,19790425,   37,    0
109664,19790426,   36,    0
109664,19790427,   36,    0
109664,19790428,   40,    0
109664,19790429,   60,    0
109664,19790430,   46,    0
109664,19790501,   47,    0
109664,19790502,   34,    0
109664,19790503,   58,    0
109664,19790504,   36,    0
109664,19790505,   34,    0
109664,19790506,   43,    0
109664,19790507,   39,    0
109664,19790508,   48,    0
109664,19790509,   35,    0
109664,19790510,   70,    0
109664,19790511,   62,    0
109664,19790512,   54,    0
109664,19790513,   66,    0
109664,19790514,   65,    0
109664,19790515,   61,    0
109664,19790516,   66,    0
109664,19790517,   77,    0
109664,19790518,   71,    0
109664,19790519,   68,    0
109664,19790520,   60,    0
109664,19790521,   81,    0
109664,19790522,   81,    0
109664,19790523,   78,    0
109664,19790524,   95,    0
109664,19790525,   91,    0
109664,19790526,   84,    0
109664,19790527,   95,    0
109664,19790528,   88,    0
109664,19790529,   91,    0
109664,19790530,  102,    0
109664,19790531,  123,    0
109664,19790601,  139,    0
109664,19790602,  163,    0
109664,19790603,  149,    0
109664,19790604,  149,    0
109664,19790605,  150,    0
109664,19790606,  170,    0
109664,19790607,  152,    0
109664,19790608,  126,    0
109664,19790609,  106,    0
109664,19790610,  121,    0
109664,19790611,  123,    0
109664,19790612,  118,    0
109664,19790613,  115,    0
109664,19790614,  111,    0
109664,19790615,  119,    0
109664,19790616,  135,    0
109664,19790617,  142,    0
109664,19790618,  153,    0
109664,19790619,  154,    0
109664,19790620,  147,    0
109664,19790621,  141,    0
109664,19790622,  156,    0
109664,19790623,  139,    0
109664,19790624,  153,    0
109664,19790625,  137,    0
109664,19790626,  118,    0
109664,19790627,  114,    0
109664,19790628,  108,    0
109664,19790629,  109,    0
109664,19790630,  123,    0
109664,19790701,  143,    0
109664,19790702,  122,    0
109664,19790703,  161,    0
109664,19790704,  145,    0
109664,19790705,  169,    0
109664,19790706,  162,    0
109664,19790707,  151,    0
109664,19790708,  169,    0
109664,19790709,  159,    0
109664,19790710,  163,    0
109664,19790711,  162,    0
109664,19790712,  161,    0
109664,19790713,  167,    0
109664,19790714,  162,    0
109664,19790715,  160,    0
109664,19790716,  143,    0
109664,19790717,  149,    0
109664,19790718,  142,    0
109664,19790719,  143,    0
109664,19790720,  151,    0
109664,19790721,  143,    0
109664,19790722,  152,    0
109664,19790723,  151,    0
109664,19790724,  138,    0
109664,19790725,  140,    0
109664,19790726,  154,    0
109664,19790727,  153,    0
109664,19790728,  142,    0
109664,19790729,  142,    0
109664,19790730,  149,    0
109664,19790731,  149,    0
109664,19790801,  140,    0
109664,19790802,  137,    0
109664,19790803,  157,    0
109664,19790804,  140,    0
109664,19790805,  140,    0
109664,19790806,  140,    0
109664,19790807,  154,    0
109664,19790808,  148,    0
109664,19790809,  159,    0
109664,19790810,  141,    0
109664,19790811,  136,    0
109664,19790812,  149,    0
109664,19790813,  133,    0
109664,19790814,  157,    0
109664,19790815,  157,    0
109664,19790816,  123,    0
109664,19790817,  138,    0
109664,19790818,  171,    0
109664,19790819,  165,    0
109664,19790820,  161,    0
109664,19790821,  147,    0
109664,19790822,  122,    0
109664,19790823,  118,    0
109664,19790824,  129,    0
109664,19790825,  132,    0
109664,19790826,  156,    0
109664,19790827,  139,    0
109664,19790828,  133,    0
109664,19790829,  161,    0
109664,19790830,  156,    0
109664,19790831,  136,    0
109664,19790901,  138,    0
109664,19790902,  147,    0
109664,19790903,  155,    0
109664,19790904,  134,    0
109664,19790905,  141,    0
109664,19790906,  138,    0
109664,19790907,  155,    0
109664,19790908,  152,    0
109664,19790909,  156,    0
109664,19790910,  137,    0
109664,19790911,  147,    0
109664,19790912,  118,    0
109664,19790913,  128,    0
109664,19790914,   92,    0
109664,19790915,  104,    0
109664,19790916,   93,    0
109664,19790917,  130,    0
109664,19790918,  139,    0
109664,19790919,  128,    0
109664,19790920,  101,    0
109664,19790921,  104,    0
109664,19790922,  116,    0
109664,19790923,   90,    0
109664,19790924,  100,    0
109664,19790925,  103,    0
109664,19790926,  140,    0
109664,19790927,  101,    0
109664,19790928,  109,    0
109664,19790929,  108,    0
109664,19790930,   72,    0
109664,19791001,   70,    0
109664,19791002,   79,    0
109664,19791003,   71,    0
109664,19791004,   86,    0
109664,19791005,   83,    0
109664,19791006,   92,    0
109664,19791007,   95,    0
109664,19791008,   98,    0
109664,19791009,  109,    0
109664,19791010,  112,    0
109664,19791011,  120,    0
109664,19791012,   99,    0
109664,19791013,  107,    0
109664,19791014,  102,    0
109664,19791015,  104,    0
109664,19791016,  100,    0
109664,19791017,   81,    0
109664,19791018,   97,    0
109664,19791019,   83,    0
109664,19791020,  101,    0
109664,19791021,   77,    0
109664,19791022,   55,    0
109664,19791023,   41,    0
109664,19791024,   52,    0
109664,19791025,   74,    0
109664,19791026,   49,    0
109664,19791027,   22,    0
109664,19791028,   47,    0
109664,19791029,   55,    0
109664,19791030,   44,    0
109664,19791031,   48,    0
109664,19791101,   56,    0
109664,19791102,   29,    0
109664,19791103,   56,    0
109664,19791104,   89,    0
109664,19791105,   65,    0
109664,19791106,   39,    0
109664,19791107,   45,    0
109664,19791108,   54,    0
109664,19791109,   36,    0
109664,19791110,   13,    0
109664,19791111,   23,    0
109664,19791112,    4,    0
109664,19791113,  -22,    0
109664,19791114,  -10,    0
109664,19791115,  -13,    0
109664,19791116,    5,    0
109664,19791117,   32,    0
109664,19791118,   61,    0
109664,19791119,   52,    0
109664,19791120,   37,    0
109664,19791121,   23,    0
109664,19791122,   73,    0
109664,19791123,   76,    0
109664,19791124,   37,    0
109664,19791125,   58,    0
109664,19791126,   66,    0
109664,19791127,   51,    0
109664,19791128,   30,    0
109664,19791129,   66,    0
109664,19791130,   54,    0
109664,19791201,   59,    0
109664,19791202,   85,    0
109664,19791203,   69,    0
109664,19791204,   71,    0
109664,19791205,   70,    0
109664,19791206,   59,    0
109664,19791207,   46,    0
109664,19791208,    7,    0
109664,19791209,    1,    0
109664,19791210,  -12,    0
109664,19791211,  -21,    0
109664,19791212,  -47,    0
109664,19791213,    4,    0
109664,19791214,    7,    0
109664,19791215,  -27,    0
109664,19791216,  -66,    0
109664,19791217,  -25,    0
109664,19791218,  -53,    0
109664,19791219,   -2,    0
109664,19791220,    3,    0
109664,19791221,  -36,    0
109664,19791222,  -21,    0
109664,19791223,  -18,    0
109664,19791224,   23,    0
109664,19791225,   36,    0
109664,19791226,   25,    0
109664,19791227,   42,    0
109664,19791228,   42,    0
109664,19791229,   10,    0
109664,19791230,  -10,    0
109664,19791231,  -11,    0
109664,19800101,  -18,    0
109664,19800102,  -37,    0
109664,19800103,  -72,    0
109664,19800104,  -23,    0
109664,19800105,  -45,    0
109664,19800106,   -5,    0
109664,19800107,  -31,    0
109664,19800108,  -26,    0
109664,19800109,  -41,    0
109664,19800110,  -28,    0
109664,19800111,  -29,    0
109664,19800112,  -43,    0
109664,19800113,   22,    0
109664,19800114,   26,    0
109664,19800115,    9,    0
109664,19800116,  -24,    0
109664,19800117,  -18,    0
109664,19800118,   -5,    0
109664,19800119,   -7,    0
109664,19800120,    1,    0
109664,19800121,    1,    0
109664,19800122,    4,    0
109664,19800123,   20,    0
109664,19800124,  -30,    0
109664,19800125,  -86,    0
109664,19800126,  -83,    0
109664,19800127,  -36,    0
109664,19800128,  -43,    0
109664,19800129,  -35,    0
109664,19800130,  -66,    0
109664,19800131,  -77,    0
109664,19800201,  -88,    0
109664,19800202,  -63,    0
109664,19800203,  -32,    0
109664,19800204,  -70,    0
109664,19800205,  -81,    0
109664,19800206,  -73,    0
109664,19800207,  -82,    0
109664,19800208,  -99,    0
109664,19800209, -101,    0
109664,19800210,  -70,    0
109664,19800211,  -61,    0
109664,19800212,  -46,    0
109664,19800213,  -13,    0
109664,19800214,   11,    0
109664,19800215,    4,    0
109664,19800216,   22,    0
109664,19800217,  -19,    0
109664,19800218,  -30,    0
109664,19800219,  -13,    0
109664,19800220,  -13,    0
109664,19800221,  -20,    0
109664,19800222,  -30,    0
109664,19800223,  -37,    0
109664,19800224,  -50,    0
109664,19800225,  -49,    0
109664,19800226,  -39,    0
109664,19800227,  -58,    0
109664,19800228,   -6,    0
109664,19800229,   18,    0
109664,19800301,   46,    0
109664,19800302,   -7,    0
109664,19800303,   -9,    0
109664,19800304,  -15,    0
109664,19800305,    2,    0
109664,19800306,   -1,    0
109664,19800307,   -3,    0
109664,19800308,   -6,    0
109664,19800309,    2,    0
109664,19800310,    3,    0
109664,19800311,   -5,    0
109664,19800312,    2,    0
109664,19800313,   14,    0
109664,19800314,   -3,    0
109664,19800315,  -12,    0
109664,19800316,   -2,    0
109664,19800317,    0,    0
109664,19800318,  -27,    0
109664,19800319,  -57,    0
109664,19800320,  -51,    0
109664,19800321,  -28,    0
109664,19800322,  -20,    0
109664,19800323,  -34,    0
109664,19800324,  -29,    0
109664,19800325,  -21,    0
109664,19800326,   -2,    0
109664,19800327,  -11,    0
109664,19800328,   -9,    0
109664,19800329,    7,    0
109664,19800330,    5,    0
109664,19800331,   27,    0
109664,19800401,    2,    0
109664,19800402,   12,    0
109664,19800403,   32,    0
109664,19800404,   26,    0
109664,19800405,   18,    0
109664,19800406,    8,    0
109664,19800407,   25,    0
109664,19800408,   42,    0
109664,19800409,   26,    0
109664,19800410,   51,    0
109664,19800411,   48,    0
109664,19800412,   31,    0
109664,19800413,   33,    0
109664,19800414,   38,    0
109664,19800415,   61,    0
109664,19800416,   46,    0
109664,19800417,   87,    0
109664,19800418,   66,    0
109664,19800419,   23,    0
109664,19800420,   54,    0
109664,19800421,   50,    0
109664,19800422,   40,    0
109664,19800423,   36,    0
109664,19800424,   56,    0
109664,19800425,   77,    0
109664,19800426,   55,    0
109664,19800427,   74,    0
109664,19800428,   67,    0
109664,19800429,   85,    0
109664,19800430,   93,    0
109664,19800501,   93,    0
109664,19800502,   85,    0
109664,19800503,   81,    0
109664,19800504,   87,    0
109664,19800505,   98,    0
109664,19800506,   99,    0
109664,19800507,   84,    0
109664,19800508,   94,    0
109664,19800509,   77,    0
109664,19800510,   97,    0
109664,19800511,   82,    0
109664,19800512,   81,    0
109664,19800513,   91,    0
109664,19800514,  111,    0
109664,19800515,  134,    0
109664,19800516,  153,    0
109664,19800517,  151,    0
109664,19800518,  157,    0
109664,19800519,  140,    0
109664,19800520,  113,    0
109664,19800521,   75,    0
109664,19800522,   99,    0
109664,19800523,  120,    0
109664,19800524,  114,    0
109664,19800525,  118,    0
109664,19800526,  121,    0
109664,19800527,  106,    0
109664,19800528,   96,    0
109664,19800529,  113,    0
109664,19800530,  117,    0
109664,19800531,  119,    0
109664,19800601,  113,    0
109664,19800602,  144,    0
109664,19800603,  139,    0
109664,19800604,  144,    0
109664,19800605,  180,    0
109664,19800606,  166,    0
109664,19800607,  175,    0
109664,19800608,  166,    0
109664,19800609,  159,    0
109664,19800610,  168,    0
109664,19800611,  188,    0
109664,19800612,  125,    0
109664,19800613,  142,    0
109664,19800614,  147,    0
109664,19800615,  157,    0
109664,19800616,  152,    0
109664,19800617,  147,    0
109664,19800618,  154,    0
109664,19800619,  139,    0
109664,19800620,  133,    0
109664,19800621,  127,    0
109664,19800622,  121,    0
109664,19800623,  130,    0
109664,19800624,  135,    0
109664,19800625,  139,    0
109664,19800626,  138,    0
109664,19800627,  148,    0
109664,19800628,  139,    0
109664,19800629,  137,    0
109664,19800630,  147,    0
109664,19800701,  163,    0
109664,19800702,  175,    0
109664,19800703,  175,    0
109664,19800704,  160,    0
109664,19800705,  149,    0
109664,19800706,  162,    0
109664,19800707,  152,    0
109664,19800708,  166,    0
109664,19800709,  179,    0
109664,19800710,  186,    0
109664,19800711,  180,    0
109664,19800712,  157,    0
109664,19800713,  153,    0
109664,19800714,  143,    0
109664,19800715,  155,    0
109664,19800716,  143,    0
109664,19800717,  167,    0
109664,19800718,  137,    0
109664,19800719,  148,    0
109664,19800720,  145,    0
109664,19800721,  153,    0
109664,19800722,  155,    0
109664,19800723,  150,    0
109664,19800724,  160,    0
109664,19800725,  160,    0
109664,19800726,  175,    0
109664,19800727,  195,    0
109664,19800728,  197,    0
109664,19800729,  204,    0
109664,19800730,  198,    0
109664,19800731,  194,    0
109664,19800801,  182,    0
109664,19800802,  163,    0
109664,19800803,  164,    0
109664,19800804,  177,    0
109664,19800805,  165,    0
109664,19800806,  192,    0
109664,19800807,  176,    0
109664,19800808,  119,    0
109664,19800809,  144,    0
109664,19800810,  151,    0
109664,19800811,  148,    0
109664,19800812,  170,    0
109664,19800813,  168,    0
109664,19800814,  163,    0
109664,19800815,  168,    0
109664,19800816,  180,    0
109664,19800817,  176,    0
109664,19800818,  166,    0
109664,19800819,  161,    0
109664,19800820,  155,    0
109664,19800821,  149,    0
109664,19800822,  165,    0
109664,19800823,  133,    0
109664,19800824,  119,    0
109664,19800825,  126,    0
109664,19800826,  133,    0
109664,19800827,  131,    0
109664,19800828,  142,    0
109664,19800829,  140,    0
109664,19800830,  139,    0
109664,19800831,  131,    0
109664,19800901,  125,    0
109664,19800902,  142,    0
109664,19800903,  147,    0
109664,19800904,  145,    0
109664,19800905,  131,    0
109664,19800906,  149,    0
109664,19800907,  148,    0
109664,19800908,  154,    0
109664,19800909,  137,    0
109664,19800910,  117,    0
109664,19800911,  128,    0
109664,19800912,  125,    0
109664,19800913,  134,    0
109664,19800914,  134,    0
109664,19800915,  130,    0
109664,19800916,  123,    0
109664,19800917,  133,    0
109664,19800918,  125,    0
109664,19800919,  134,    0
109664,19800920,  137,    0
109664,19800921,  139,    0
109664,19800922,  128,    0
109664,19800923,  128,    0
109664,19800924,  133,    0
109664,19800925,  128,    0
109664,19800926,  112,    0
109664,19800927,  107,    0
109664,19800928,  129,    0
109664,19800929,  106,    0
109664,19800930,  118,    0
109664,19801001,  105,    0
109664,19801002,  119,    0
109664,19801003,  104,    0
109664,19801004,  116,    0
109664,19801005,  100,    0
109664,19801006,  109,    0
109664,19801007,  110,    0
109664,19801008,  104,    0
109664,19801009,  102,    0
109664,19801010,  101,    0
109664,19801011,   86,    0
109664,19801012,   87,    0
109664,19801013,   74,    0
109664,19801014,   76,    0
109664,19801015,   77,    0
109664,19801016,   64,    0
109664,19801017,   32,    0
109664,19801018,   58,    0
109664,19801019,   70,    0
109664,19801020,   61,    0
109664,19801021,   42,    0
109664,19801022,   32,    0
109664,19801023,   24,    0
109664,19801024,   31,    0
109664,19801025,   32,    0
109664,19801026,   26,    0
109664,19801027,   86,    0
109664,19801028,   94,    0
109664,19801029,   77,    0
109664,19801030,   27,    0
109664,19801031,   23,    0
109664,19801101,   57,    0
109664,19801102,   42,    0
109664,19801103,   32,    0
109664,19801104,   40,    0
109664,19801105,   51,    0
109664,19801106,   41,    0
109664,19801107,   39,    0
109664,19801108,   42,    0
109664,19801109,   34,    0
109664,19801110,    3,    0
109664,19801111,   29,    0
109664,19801112,   -2,    0
109664,19801113,   33,    0
109664,19801114,   48,    0
109664,19801115,   10,    0
109664,19801116,   47,    0
109664,19801117,   44,    0
109664,19801118,   28,    0
109664,19801119,   10,    0
109664,19801120,   42,    0
109664,19801121,   88,    0
109664,19801122,   98,    0
109664,19801123,  104,    0
109664,19801124,   45,    0
109664,19801125,    6,    0
109664,19801126,  -21,    0
109664,19801127,  -23,    0
109664,19801128,  -33,    0
109664,19801129,  -32,    0
109664,19801130,  -20,    0
109664,19801201,   47,    0
109664,19801202,   44,    0
109664,19801203,   -6,    0
109664,19801204,  -20,    0
109664,19801205,  -27,    0
109664,19801206,  -64,    0
109664,19801207,  -37,    0
109664,19801208,   33,    0
109664,19801209,   78,    0
109664,19801210,   66,    0
109664,19801211,   38,    0
109664,19801212,   64,    0
109664,19801213,   71,    0
109664,19801214,   66,    0
109664,19801215,   47,    0
109664,19801216,   10,    0
109664,19801217,   60,    0
109664,19801218,   38,    0
109664,19801219,   26,    0
109664,19801220,   31,    0
109664,19801221,    4,    0
109664,19801222,    4,    0
109664,19801223,   40,    0
109664,19801224,   49,    0
109664,19801225,   30,    0
109664,19801226,   30,    0
109664,19801227,   -8,    0
109664,19801228,   59,    0
109664,19801229,   79,    0
109664,19801230,   62,    0
109664,19801231,   51,    0
109664,19810101,   33,    0
109664,19810102,   17,    0
109664,19810103,  -16,    0
109664,19810104,  -31,    0
109664,19810105,  -76,    0
109664,19810106,  -85,    0
109664,19810107,  -49,    0
109664,19810108,   33,    0
109664,19810109,   46,    0
109664,19810110,    8,    0
109664,19810111,   17,    0
109664,19810112,   20,    0
109664,19810113,  -13,    0
109664,19810114,   28,    0
109664,19810115,    2,    0
109664,19810116,    9,    0
109664,19810117,  -26,    0
109664,19810118,  -62,    0
109664,19810119,  -80,    0
109664,19810120,  -72,    0
109664,19810121,   16,    0
109664,19810122,   33,    0
109664,19810123,   40,    0
109664,19810124,   50,    0
109664,19810125,   17,    0
109664,19810126,  -14,    0
109664,19810127,   27,    0
109664,19810128,   45,    0
109664,19810129,   41,    0
109664,19810130,   52,    0
109664,19810131,   82,    0
109664,19810201,   78,    0
109664,19810202,   54,    0
109664,19810203,   30,    0
109664,19810204,   17,    0
109664,19810205,   -1,    0
109664,19810206,   27,    0
109664,19810207,   35,    0
109664,19810208,   51,    0
109664,19810209,   11,    0
109664,19810210,  -11,    0
109664,19810211,   -4,    0
109664,19810212,  -37,    0
109664,19810213,  -21,    0
109664,19810214,   20,    0
109664,19810215,    2,    0
109664,19810216,   -6,    0
109664,19810217,    7,    0
109664,19810218,  -24,    0
109664,19810219,  -18,    0
109664,19810220,  -44,    0
109664,19810221,  -59,    0
109664,19810222,  -45,    0
109664,19810223,  -48,    0
109664,19810224,  -21,    0
109664,19810225,  -10,    0
109664,19810226,   -9,    0
109664,19810227,  -29,    0
109664,19810228,  -15,    0
109664,19810301,  -20,    0
109664,19810302,  -25,    0
109664,19810303,  -25,    0
109664,19810304,  -35,    0
109664,19810305,  -14,    0
109664,19810306,  -56,    0
109664,19810307,  -52,    0
109664,19810308,  -19,    0
109664,19810309,   31,    0
109664,19810310,    2,    0
109664,19810311,   -6,    0
109664,19810312,   -7,    0
109664,19810313,   -2,    0
109664,19810314,  -35,    0
109664,19810315,  -55,    0
109664,19810316,  -25,    0
109664,19810317,  -18,    0
109664,19810318,  -20,    0
109664,19810319,   -5,    0
109664,19810320,  -24,    0
109664,19810321,    6,    0
109664,19810322,   25,    0
109664,19810323,   28,    0
109664,19810324,   18,    0
109664,19810325,    3,    0
109664,19810326,   15,    0
109664,19810327,   18,    0
109664,19810328,   20,    0
109664,19810329,   20,    0
109664,19810330,   23,    0
109664,19810331,   23,    0
109664,19810401,   43,    0
109664,19810402,   39,    0
109664,19810403,   42,    0
109664,19810404,   54,    0
109664,19810405,   51,    0
109664,19810406,   28,    0
109664,19810407,   24,    0
109664,19810408,   25,    0
109664,19810409,   56,    0
109664,19810410,   74,    0
109664,19810411,   35,    0
109664,19810412,   54,    0
109664,19810413,   82,    0
109664,19810414,   86,    0
109664,19810415,   74,    0
109664,19810416,   43,    0
109664,19810417,   43,    0
109664,19810418,   62,    0
109664,19810419,   61,    0
109664,19810420,   68,    0
109664,19810421,   48,    0
109664,19810422,   27,    0
109664,19810423,   16,    0
109664,19810424,   24,    0
109664,19810425,   28,    0
109664,19810426,   32,    0
109664,19810427,   44,    0
109664,19810428,   35,    0
109664,19810429,   34,    0
109664,19810430,   58,    0
109664,19810501,   40,    0
109664,19810502,   37,    0
109664,19810503,   33,    0
109664,19810504,   43,    0
109664,19810505,   65,    0
109664,19810506,   64,    0
109664,19810507,   67,    0
109664,19810508,   86,    0
109664,19810509,   90,    0
109664,19810510,  110,    0
109664,19810511,  132,    0
109664,19810512,  137,    0
109664,19810513,  112,    0
109664,19810514,  114,    0
109664,19810515,  120,    0
109664,19810516,  121,    0
109664,19810517,  117,    0
109664,19810518,  120,    0
109664,19810519,  111,    0
109664,19810520,  124,    0
109664,19810521,  134,    0
109664,19810522,  143,    0
109664,19810523,  120,    0
109664,19810524,  126,    0
109664,19810525,  116,    0
109664,19810526,  117,    0
109664,19810527,  119,    0
109664,19810528,  109,    0
109664,19810529,  106,    0
109664,19810530,   99,    0
109664,19810531,  107,    0
109664,19810601,  122,    0
109664,19810602,  137,    0
109664,19810603,  123,    0
109664,19810604,  136,    0
109664,19810605,  115,    0
109664,19810606,  104,    0
109664,19810607,  110,    0
109664,19810608,  102,    0
109664,19810609,  118,    0
109664,19810610,  105,    0
109664,19810611,   96,    0
109664,19810612,   97,    0
109664,19810613,   90,    0
109664,19810614,  119,    0
109664,19810615,  140,    0
109664,19810616,  129,    0
109664,19810617,  138,    0
109664,19810618,  123,    0
109664,19810619,  114,    0
109664,19810620,  119,    0
109664,19810621,  129,    0
109664,19810622,  132,    0
109664,19810623,  140,    0
109664,19810624,  138,    0
109664,19810625,  137,    0
109664,19810626,  145,    0
109664,19810627,  109,    0
109664,19810628,  121,    0
109664,19810629,  128,    0
109664,19810630,  141,    0
109664,19810701,  149,    0
109664,19810702,  122,    0
109664,19810703,  108,    0
109664,19810704,  148,    0
109664,19810705,  132,    0
109664,19810706,  140,    0
109664,19810707,  141,    0
109664,19810708,  137,    0
109664,19810709,  156,    0
109664,19810710,  173,    0
109664,19810711,  171,    0
109664,19810712,  155,    0
109664,19810713,  140,    0
109664,19810714,  161,    0
109664,19810715,  156,    0
109664,19810716,  141,    0
109664,19810717,  131,    0
109664,19810718,  158,    0
109664,19810719,  160,    0
109664,19810720,  160,    0
109664,19810721,  163,    0
109664,19810722,  151,    0
109664,19810723,  151,    0
109664,19810724,  142,    0
109664,19810725,  141,    0
109664,19810726,  167,    0
109664,19810727,  159,    0
109664,19810728,  160,    0
109664,19810729,  167,    0
109664,19810730,  164,    0
109664,19810731,  165,    0
109664,19810801,  152,    0
109664,19810802,  141,    0
109664,19810803,  136,    0
109664,19810804,  153,    0
109664,19810805,  150,    0
109664,19810806,  165,    0
109664,19810807,  159,    0
109664,19810808,  162,    0
109664,19810809,  167,    0
109664,19810810,  153,    0
109664,19810811,  157,    0
109664,19810812,  179,    0
109664,19810813,  177,    0
109664,19810814,  173,    0
109664,19810815,  167,    0
109664,19810816,  138,    0
109664,19810817,  156,    0
109664,19810818,  140,    0
109664,19810819,  151,    0
109664,19810820,  132,    0
109664,19810821,  152,    0
109664,19810822,  143,    0
109664,19810823,  160,    0
109664,19810824,  160,    0
109664,19810825,  173,    0
109664,19810826,  164,    0
109664,19810827,  138,    0
109664,19810828,  143,    0
109664,19810829,  136,    0
109664,19810830,  130,    0
109664,19810831,  143,    0
109664,19810901,  147,    0
109664,19810902,  144,    0
109664,19810903,  132,    0
109664,19810904,  124,    0
109664,19810905,  146,    0
109664,19810906,  146,    0
109664,19810907,  123,    0
109664,19810908,  153,    0
109664,19810909,  145,    0
109664,19810910,  137,    0
109664,19810911,  141,    0
109664,19810912,  144,    0
109664,19810913,  132,    0
109664,19810914,  110,    0
109664,19810915,  110,    0
109664,19810916,  124,    0
109664,19810917,  131,    0
109664,19810918,  137,    0
109664,19810919,  128,    0
109664,19810920,  133,    0
109664,19810921,  139,    0
109664,19810922,  142,    0
109664,19810923,  131,    0
109664,19810924,  133,    0
109664,19810925,  137,    0
109664,19810926,  130,    0
109664,19810927,  139,    0
