EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, LYNGOR FYR (STAID: 1042).
Blended and updated with sources: 109655 901467 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
109655,19790101, -119,    0
109655,19790102,  -76,    0
109655,19790103,  -61,    0
109655,19790104,  -96,    0
109655,19790105,  -96,    0
109655,19790106,  -38,    0
109655,19790107,   30,    0
109655,19790108,   29,    0
109655,19790109,  -10,    0
109655,19790110,  -19,    0
109655,19790111,   -9,    0
109655,19790112,  -19,    0
109655,19790113,  -42,    0
109655,19790114,  -48,    0
109655,19790115,  -74,    0
109655,19790116,  -44,    0
109655,19790117,  -37,    0
109655,19790118,  -36,    0
109655,19790119,  -19,    0
109655,19790120,  -35,    0
109655,19790121,  -48,    0
109655,19790122,  -65,    0
109655,19790123,  -71,    0
109655,19790124,  -59,    0
109655,19790125,  -96,    0
109655,19790126, -137,    0
109655,19790127, -128,    0
109655,19790128,  -70,    0
109655,19790129,  -45,    0
109655,19790130,  -74,    0
109655,19790131,  -70,    0
109655,19790201,  -60,    0
109655,19790202,  -68,    0
109655,19790203,  -25,    0
109655,19790204,  -37,    0
109655,19790205,  -40,    0
109655,19790206,  -39,    0
109655,19790207,  -25,    0
109655,19790208,  -15,    0
109655,19790209,  -12,    0
109655,19790210,  -20,    0
109655,19790211,  -65,    0
109655,19790212, -112,    0
109655,19790213,  -61,    0
109655,19790214, -128,    0
109655,19790215, -103,    0
109655,19790216, -100,    0
109655,19790217,  -64,    0
109655,19790218,  -40,    0
109655,19790219,  -26,    0
109655,19790220,  -20,    0
109655,19790221,  -20,    0
109655,19790222,  -35,    0
109655,19790223,  -27,    0
109655,19790224,  -13,    0
109655,19790225,  -12,    0
109655,19790226,   23,    0
109655,19790227,   27,    0
109655,19790228,   26,    0
109655,19790301,   -3,    0
109655,19790302,   19,    0
109655,19790303,   58,    0
109655,19790304,   33,    0
109655,19790305,   48,    0
109655,19790306,   29,    0
109655,19790307,   15,    0
109655,19790308,   27,    0
109655,19790309,   16,    0
109655,19790310,   17,    0
109655,19790311,   -7,    0
109655,19790312,    8,    0
109655,19790313,    3,    0
109655,19790314,  -12,    0
109655,19790315,  -18,    0
109655,19790316,  -30,    0
109655,19790317,  -78,    0
109655,19790318,  -91,    0
109655,19790319,  -39,    0
109655,19790320,    2,    0
109655,19790321,   -5,    0
109655,19790322,   10,    0
109655,19790323,   16,    0
109655,19790324,   26,    0
109655,19790325,    8,    0
109655,19790326,   28,    0
109655,19790327,   23,    0
109655,19790328,   30,    0
109655,19790329,   32,    0
109655,19790330,   36,    0
109655,19790331,   30,    0
109655,19790401,   44,    0
109655,19790402,   19,    0
109655,19790403,   17,    0
109655,19790404,   23,    0
109655,19790405,   27,    0
109655,19790406,   25,    0
109655,19790407,   33,    0
109655,19790408,   30,    0
109655,19790409,   20,    0
109655,19790410,   32,    0
109655,19790411,   43,    0
109655,19790412,   55,    0
109655,19790413,   38,    0
109655,19790414,   74,    0
109655,19790415,   30,    0
109655,19790416,   18,    0
109655,19790417,   33,    0
109655,19790418,   32,    0
109655,19790419,   41,    0
109655,19790420,   46,    0
109655,19790421,   38,    0
109655,19790422,   49,    0
109655,19790423,   45,    0
109655,19790424,   39,    0
109655,19790425,   37,    0
109655,19790426,   42,    0
109655,19790427,   41,    0
109655,19790428,   39,    0
109655,19790429,   66,    0
109655,19790430,   44,    0
109655,19790501,   56,    0
109655,19790502,   37,    0
109655,19790503,   60,    0
109655,19790504,   33,    0
109655,19790505,   36,    0
109655,19790506,   43,    0
109655,19790507,   39,    0
109655,19790508,   48,    0
109655,19790509,   43,    0
109655,19790510,   74,    0
109655,19790511,   69,    0
109655,19790512,   64,    0
109655,19790513,   76,    0
109655,19790514,   70,    0
109655,19790515,   81,    0
109655,19790516,   80,    0
109655,19790517,   84,    0
109655,19790518,   79,    0
109655,19790519,   74,    0
109655,19790520,   70,    0
109655,19790521,   82,    0
109655,19790522,   87,    0
109655,19790523,   81,    0
109655,19790524,  101,    0
109655,19790525,   97,    0
109655,19790526,   88,    0
109655,19790527,   93,    0
109655,19790528,   97,    0
109655,19790529,   99,    0
109655,19790530,  106,    0
109655,19790531,  149,    0
109655,19790601,  154,    0
109655,19790602,  185,    0
109655,19790603,  162,    0
109655,19790604,  161,    0
109655,19790605,  167,    0
109655,19790606,  185,    0
109655,19790607,  167,    0
109655,19790608,  138,    0
109655,19790609,  118,    0
109655,19790610,  131,    0
109655,19790611,  133,    0
109655,19790612,  126,    0
109655,19790613,  126,    0
109655,19790614,  120,    0
109655,19790615,  126,    0
109655,19790616,  141,    0
109655,19790617,  151,    0
109655,19790618,  155,    0
109655,19790619,  168,    0
109655,19790620,  163,    0
109655,19790621,  145,    0
109655,19790622,  161,    0
109655,19790623,  156,    0
109655,19790624,  152,    0
109655,19790625,  134,    0
109655,19790626,  123,    0
109655,19790627,  121,    0
109655,19790628,  115,    0
109655,19790629,  124,    0
109655,19790630,  126,    0
109655,19790701,  148,    0
109655,19790702,  130,    0
109655,19790703,  162,    0
109655,19790704,  151,    0
109655,19790705,  182,    0
109655,19790706,  173,    0
109655,19790707,  161,    0
109655,19790708,  172,    0
109655,19790709,  166,    0
109655,19790710,  156,    0
109655,19790711,  169,    0
109655,19790712,  168,    0
109655,19790713,  175,    0
109655,19790714,  169,    0
109655,19790715,  168,    0
109655,19790716,  145,    0
109655,19790717,  162,    0
109655,19790718,  146,    0
109655,19790719,  137,    0
