EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, LINDESNES FYR (STAID: 1044).
Blended and updated with sources: 109632 901436 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
109632,19790101, -105,    0
109632,19790102,  -68,    0
109632,19790103,  -61,    0
109632,19790104,  -63,    0
109632,19790105,  -61,    0
109632,19790106,   34,    0
109632,19790107,   57,    0
109632,19790108,   47,    0
109632,19790109,   33,    0
109632,19790110,   14,    0
109632,19790111,   -2,    0
109632,19790112,  -12,    0
109632,19790113,  -16,    0
109632,19790114,  -33,    0
109632,19790115,  -41,    0
109632,19790116,  -10,    0
109632,19790117,  -26,    0
109632,19790118,  -24,    0
109632,19790119,  -16,    0
109632,19790120,  -34,    0
109632,19790121,  -43,    0
109632,19790122,  -46,    0
109632,19790123,  -44,    0
109632,19790124,  -58,    0
109632,19790125,  -79,    0
109632,19790126, -103,    0
109632,19790127,  -67,    0
109632,19790128,  -15,    0
109632,19790129,  -19,    0
109632,19790130,  -61,    0
109632,19790131,  -39,    0
109632,19790201,   -1,    0
109632,19790202,    9,    0
109632,19790203,   13,    0
109632,19790204,   12,    0
109632,19790205,    9,    0
109632,19790206,   12,    0
109632,19790207,   -4,    0
109632,19790208,  -13,    0
109632,19790209,    3,    0
109632,19790210,  -17,    0
109632,19790211,  -30,    0
109632,19790212,  -50,    0
109632,19790213,  -40,    0
109632,19790214, -125,    0
109632,19790215,  -93,    0
109632,19790216,  -66,    0
109632,19790217,  -55,    0
109632,19790218,  -36,    0
109632,19790219,  -22,    0
109632,19790220,   -9,    0
109632,19790221,  -14,    0
109632,19790222,  -15,    0
109632,19790223,  -16,    0
109632,19790224,   21,    0
109632,19790225,   26,    0
109632,19790226,   43,    0
109632,19790227,   33,    0
109632,19790228,   34,    0
109632,19790301,    3,    0
109632,19790302,   44,    0
109632,19790303,   56,    0
109632,19790304,   47,    0
109632,19790305,   49,    0
109632,19790306,   47,    0
109632,19790307,   33,    0
109632,19790308,   37,    0
109632,19790309,   45,    0
109632,19790310,   24,    0
109632,19790311,   14,    0
109632,19790312,    2,    0
109632,19790313,    5,    0
109632,19790314,   -9,    0
109632,19790315,  -14,    0
109632,19790316,  -19,    0
109632,19790317,  -64,    0
109632,19790318,  -73,    0
109632,19790319,  -14,    0
109632,19790320,    9,    0
109632,19790321,    1,    0
109632,19790322,   23,    0
109632,19790323,   24,    0
109632,19790324,   32,    0
109632,19790325,   18,    0
109632,19790326,   39,    0
109632,19790327,   28,    0
109632,19790328,   39,    0
109632,19790329,   41,    0
109632,19790330,   38,    0
109632,19790331,   26,    0
109632,19790401,   31,    0
109632,19790402,   20,    0
109632,19790403,   19,    0
109632,19790404,   27,    0
109632,19790405,   32,    0
109632,19790406,   23,    0
109632,19790407,   32,    0
109632,19790408,   29,    0
109632,19790409,   21,    0
109632,19790410,   35,    0
109632,19790411,   52,    0
109632,19790412,   55,    0
109632,19790413,   43,    0
109632,19790414,   46,    0
109632,19790415,   34,    0
109632,19790416,   13,    0
109632,19790417,   25,    0
109632,19790418,   26,    0
109632,19790419,   39,    0
109632,19790420,   38,    0
109632,19790421,   39,    0
109632,19790422,   28,    0
109632,19790423,   40,    0
109632,19790424,   45,    0
109632,19790425,   50,    0
109632,19790426,   45,    0
109632,19790427,   57,    0
109632,19790428,   39,    0
109632,19790429,   47,    0
109632,19790430,   36,    0
109632,19790501,   27,    0
109632,19790502,   36,    0
109632,19790503,   36,    0
109632,19790504,   31,    0
109632,19790505,   36,    0
109632,19790506,   41,    0
109632,19790507,   43,    0
109632,19790508,   44,    0
109632,19790509,   36,    0
109632,19790510,   49,    0
109632,19790511,   46,    0
109632,19790512,   63,    0
109632,19790513,   62,    0
109632,19790514,   69,    0
109632,19790515,   75,    0
109632,19790516,   74,    0
109632,19790517,   78,    0
109632,19790518,   77,    0
109632,19790519,   62,    0
109632,19790520,   65,    0
109632,19790521,   80,    0
109632,19790522,   75,    0
109632,19790523,   81,    0
109632,19790524,   89,    0
109632,19790525,   74,    0
109632,19790526,   78,    0
109632,19790527,   89,    0
109632,19790528,   82,    0
109632,19790529,   94,    0
109632,19790530,   92,    0
109632,19790531,  150,    0
109632,19790601,  128,    0
109632,19790602,  151,    0
109632,19790603,  160,    0
109632,19790604,  152,    0
109632,19790605,  155,    0
109632,19790606,  163,    0
109632,19790607,  113,    0
109632,19790608,  100,    0
109632,19790609,  101,    0
109632,19790610,   87,    0
109632,19790611,   82,    0
109632,19790612,   96,    0
109632,19790613,   90,    0
109632,19790614,  103,    0
109632,19790615,  111,    0
109632,19790616,  112,    0
109632,19790617,  103,    0
109632,19790618,   99,    0
109632,19790619,  129,    0
109632,19790620,  128,    0
109632,19790621,  124,    0
109632,19790622,  133,    0
109632,19790623,  131,    0
109632,19790624,  146,    0
109632,19790625,  129,    0
109632,19790626,  122,    0
109632,19790627,  104,    0
109632,19790628,  107,    0
109632,19790629,  104,    0
109632,19790630,   89,    0
109632,19790701,   92,    0
109632,19790702,   88,    0
109632,19790703,   99,    0
109632,19790704,  118,    0
109632,19790705,  117,    0
109632,19790706,  119,    0
109632,19790707,  114,    0
109632,19790708,  115,    0
109632,19790709,  121,    0
109632,19790710,  113,    0
109632,19790711,  120,    0
109632,19790712,  124,    0
109632,19790713,  112,    0
109632,19790714,  122,    0
109632,19790715,  109,    0
109632,19790716,  107,    0
109632,19790717,  109,    0
109632,19790718,  125,    0
109632,19790719,  116,    0
109632,19790720,  100,    0
109632,19790721,  103,    0
109632,19790722,  113,    0
109632,19790723,  104,    0
109632,19790724,  101,    0
109632,19790725,  107,    0
109632,19790726,  117,    0
109632,19790727,  116,    0
109632,19790728,  119,    0
109632,19790729,  144,    0
109632,19790730,  138,    0
109632,19790731,  131,    0
109632,19790801,  145,    0
109632,19790802,  143,    0
109632,19790803,  136,    0
109632,19790804,  133,    0
109632,19790805,  128,    0
109632,19790806,  137,    0
109632,19790807,  153,    0
109632,19790808,  151,    0
109632,19790809,  136,    0
109632,19790810,  129,    0
109632,19790811,  134,    0
109632,19790812,  131,    0
109632,19790813,  135,    0
109632,19790814,  160,    0
109632,19790815,  145,    0
109632,19790816,  139,    0
109632,19790817,  129,    0
109632,19790818,  169,    0
109632,19790819,  173,    0
109632,19790820,  160,    0
109632,19790821,  138,    0
109632,19790822,  129,    0
109632,19790823,  134,    0
109632,19790824,  136,    0
109632,19790825,  138,    0
109632,19790826,  157,    0
109632,19790827,  141,    0
109632,19790828,  124,    0
109632,19790829,  143,    0
109632,19790830,  144,    0
109632,19790831,  140,    0
109632,19790901,  141,    0
109632,19790902,  150,    0
109632,19790903,  144,    0
109632,19790904,  126,    0
109632,19790905,  145,    0
109632,19790906,  145,    0
109632,19790907,  150,    0
109632,19790908,  146,    0
109632,19790909,  137,    0
109632,19790910,  136,    0
109632,19790911,  130,    0
109632,19790912,  120,    0
109632,19790913,  116,    0
109632,19790914,   92,    0
109632,19790915,   94,    0
